path,filename,date,type,bytes
.onboard_status.json,.onboard_status.json,2026-07-28,json,148
investor-documents/DOWNLOAD_MANIFEST.json,DOWNLOAD_MANIFEST.json,2026-07-28,json,19757
investor-documents/sec-edgar/10-K-A_20260605_rpt20260131_acc0001193125_26_258284.htm,10-K-A_20260605_rpt20260131_acc0001193125_26_258284.htm,2026-07-28,htm,230890
investor-documents/sec-edgar/10-K_20220414_rpt20220131_acc0001836833_22_000018.htm,10-K_20220414_rpt20220131_acc0001836833_22_000018.htm,2026-07-28,htm,3215410
investor-documents/sec-edgar/10-K_20230330_rpt20230131_acc0001836833_23_000014.htm,10-K_20230330_rpt20230131_acc0001836833_23_000014.htm,2026-07-28,htm,2408536
investor-documents/sec-edgar/10-K_20240329_rpt20240131_acc0001836833_24_000037.htm,10-K_20240329_rpt20240131_acc0001836833_24_000037.htm,2026-07-28,htm,2446822
investor-documents/sec-edgar/10-K_20250326_rpt20250131_acc0001836833_25_000050.htm,10-K_20250326_rpt20250131_acc0001836833_25_000050.htm,2026-07-28,htm,2277076
investor-documents/sec-edgar/10-K_20260323_rpt20260131_acc0001193125_26_119957.htm,10-K_20260323_rpt20260131_acc0001193125_26_119957.htm,2026-07-28,htm,5134123
investor-documents/sec-edgar/10-Q_20211115_rpt20210930_acc0001193125_21_328842.htm,10-Q_20211115_rpt20210930_acc0001193125_21_328842.htm,2026-07-28,htm,674723
investor-documents/sec-edgar/10-Q_20220614_rpt20220430_acc0001836833_22_000033.htm,10-Q_20220614_rpt20220430_acc0001836833_22_000033.htm,2026-07-28,htm,1394218
investor-documents/sec-edgar/10-Q_20220912_rpt20220731_acc0001836833_22_000066.htm,10-Q_20220912_rpt20220731_acc0001836833_22_000066.htm,2026-07-28,htm,1843202
investor-documents/sec-edgar/10-Q_20221214_rpt20221031_acc0001836833_22_000104.htm,10-Q_20221214_rpt20221031_acc0001836833_22_000104.htm,2026-07-28,htm,1920658
investor-documents/sec-edgar/10-Q_20230609_rpt20230430_acc0001836833_23_000046.htm,10-Q_20230609_rpt20230430_acc0001836833_23_000046.htm,2026-07-28,htm,1379861
investor-documents/sec-edgar/10-Q_20230907_rpt20230731_acc0001836833_23_000084.htm,10-Q_20230907_rpt20230731_acc0001836833_23_000084.htm,2026-07-28,htm,1319061
investor-documents/sec-edgar/10-Q_20231208_rpt20231031_acc0001836833_23_000110.htm,10-Q_20231208_rpt20231031_acc0001836833_23_000110.htm,2026-07-28,htm,1531610
investor-documents/sec-edgar/10-Q_20240606_rpt20240430_acc0001836833_24_000062.htm,10-Q_20240606_rpt20240430_acc0001836833_24_000062.htm,2026-07-28,htm,1098738
investor-documents/sec-edgar/10-Q_20240905_rpt20240731_acc0001836833_24_000102.htm,10-Q_20240905_rpt20240731_acc0001836833_24_000102.htm,2026-07-28,htm,1354772
investor-documents/sec-edgar/10-Q_20241209_rpt20241031_acc0001836833_24_000118.htm,10-Q_20241209_rpt20241031_acc0001836833_24_000118.htm,2026-07-28,htm,1565228
investor-documents/sec-edgar/10-Q_20250604_rpt20250430_acc0001836833_25_000063.htm,10-Q_20250604_rpt20250430_acc0001836833_25_000063.htm,2026-07-28,htm,1472719
investor-documents/sec-edgar/10-Q_20250908_rpt20250731_acc0001836833_25_000104.htm,10-Q_20250908_rpt20250731_acc0001836833_25_000104.htm,2026-07-28,htm,1753336
investor-documents/sec-edgar/10-Q_20251210_rpt20251031_acc0001193125_25_314295.htm,10-Q_20251210_rpt20251031_acc0001193125_25_314295.htm,2026-07-28,htm,4274315
investor-documents/sec-edgar/10-Q_20260605_rpt20260430_acc0001193125_26_258304.htm,10-Q_20260605_rpt20260430_acc0001193125_26_258304.htm,2026-07-28,htm,3108772
investor-documents/sec-edgar/424B5_20260605_rpt_acc0001140361_26_024104.htm,424B5_20260605_rpt_acc0001140361_26_024104.htm,2026-07-28,htm,450882
investor-documents/sec-edgar/8-K_20240626_rpt20240624_acc0001836833_24_000070.htm,8-K_20240626_rpt20240624_acc0001836833_24_000070.htm,2026-07-28,htm,32329
investor-documents/sec-edgar/8-K_20240711_rpt20240711_acc0001836833_24_000079.htm,8-K_20240711_rpt20240711_acc0001836833_24_000079.htm,2026-07-28,htm,43107
investor-documents/sec-edgar/8-K_20240905_rpt20240905_acc0001836833_24_000101.htm,8-K_20240905_rpt20240905_acc0001836833_24_000101.htm,2026-07-28,htm,28267
investor-documents/sec-edgar/8-K_20241209_rpt20241209_acc0001836833_24_000117.htm,8-K_20241209_rpt20241209_acc0001836833_24_000117.htm,2026-07-28,htm,28264
investor-documents/sec-edgar/8-K_20250116_rpt20250110_acc0001836833_25_000009.htm,8-K_20250116_rpt20250110_acc0001836833_25_000009.htm,2026-07-28,htm,32979
investor-documents/sec-edgar/8-K_20250129_rpt20250129_acc0001836833_25_000017.htm,8-K_20250129_rpt20250129_acc0001836833_25_000017.htm,2026-07-28,htm,28977
investor-documents/sec-edgar/8-K_20250320_rpt20250320_acc0001836833_25_000039.htm,8-K_20250320_rpt20250320_acc0001836833_25_000039.htm,2026-07-28,htm,29041
investor-documents/sec-edgar/8-K_20250529_rpt20250528_acc0001836833_25_000055.htm,8-K_20250529_rpt20250528_acc0001836833_25_000055.htm,2026-07-28,htm,25670
investor-documents/sec-edgar/8-K_20250604_rpt20250604_acc0001836833_25_000062.htm,8-K_20250604_rpt20250604_acc0001836833_25_000062.htm,2026-07-28,htm,28029
investor-documents/sec-edgar/8-K_20250701_rpt20250701_acc0001836833_25_000075.htm,8-K_20250701_rpt20250701_acc0001836833_25_000075.htm,2026-07-28,htm,28365
investor-documents/sec-edgar/8-K_20250711_rpt20250710_acc0001836833_25_000096.htm,8-K_20250711_rpt20250710_acc0001836833_25_000096.htm,2026-07-28,htm,41380
investor-documents/sec-edgar/8-K_20250908_rpt20250908_acc0001836833_25_000103.htm,8-K_20250908_rpt20250908_acc0001836833_25_000103.htm,2026-07-28,htm,27872
investor-documents/sec-edgar/8-K_20250910_rpt20250905_acc0001836833_25_000108.htm,8-K_20250910_rpt20250905_acc0001836833_25_000108.htm,2026-07-28,htm,32578
investor-documents/sec-edgar/8-K_20250912_rpt20250908_acc0001140361_25_034840.htm,8-K_20250912_rpt20250908_acc0001140361_25_034840.htm,2026-07-28,htm,56666
investor-documents/sec-edgar/8-K_20251210_rpt20251210_acc0001193125_25_314160.htm,8-K_20251210_rpt20251210_acc0001193125_25_314160.htm,2026-07-28,htm,48907
investor-documents/sec-edgar/8-K_20260112_rpt20260112_acc0001193125_26_009922.htm,8-K_20260112_rpt20260112_acc0001193125_26_009922.htm,2026-07-28,htm,49203
investor-documents/sec-edgar/8-K_20260116_rpt20260113_acc0001193125_26_014326.htm,8-K_20260116_rpt20260113_acc0001193125_26_014326.htm,2026-07-28,htm,52845
