2026-07-28T17:45:22.417191 Starting download for SHOP
2026-07-28T17:45:23.144219 OK 2,520,831 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\10-K_20260211_rpt20251231_acc0001594805_26_000007.htm
2026-07-28T17:45:23.603651 OK 2,567,035 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\10-K_20250211_rpt20241231_acc0001594805_25_000012.htm
2026-07-28T17:45:23.961484 OK 741,610 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\10-K-A_20260429_rpt20251231_acc0001594805_26_000011.htm
2026-07-28T17:45:24.332539 OK 750,165 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\10-K-A_20250429_rpt20241231_acc0001594805_25_000039.htm
2026-07-28T17:45:24.752520 OK 1,308,917 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\10-Q_20260505_rpt20260331_acc0001594805_26_000019.htm
2026-07-28T17:45:25.162101 OK 1,715,554 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\10-Q_20251104_rpt20250930_acc0001594805_25_000089.htm
2026-07-28T17:45:25.591710 OK 1,716,751 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\10-Q_20250806_rpt20250630_acc0001594805_25_000073.htm
2026-07-28T17:45:26.012375 OK 1,389,806 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\10-Q_20250508_rpt20250331_acc0001594805_25_000046.htm
2026-07-28T17:45:26.381166 OK 241,360 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\40-F_20240213_rpt20231231_acc0001594805_24_000007.htm
2026-07-28T17:45:26.742451 OK 321,804 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\40-F_20230216_rpt20221231_acc0001594805_23_000011.htm
2026-07-28T17:45:27.092949 OK 315,125 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\40-F_20220216_rpt20211231_acc0001594805_22_000011.htm
2026-07-28T17:45:27.352223 OK 28,526 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\8-K_20260702_rpt20260702_acc0001594805_26_000035.htm
2026-07-28T17:45:27.631390 OK 68,904 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\8-K_20260616_rpt20260616_acc0001594805_26_000030.htm
2026-07-28T17:45:27.901238 OK 29,762 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\8-K_20260602_rpt20260602_acc0001594805_26_000028.htm
2026-07-28T17:45:28.191313 OK 29,755 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\8-K_20260508_rpt20260508_acc0001594805_26_000022.htm
2026-07-28T17:45:28.471199 OK 29,695 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\8-K_20260505_rpt20260505_acc0001594805_26_000018.htm
2026-07-28T17:45:28.741223 OK 31,905 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\8-K_20260211_rpt20260211_acc0001594805_26_000006.htm
2026-07-28T17:45:28.991336 OK 29,153 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\8-K_20251202_rpt20251202_acc0001594805_25_000090.htm
2026-07-28T17:45:29.271637 OK 29,718 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\8-K_20251104_rpt20251104_acc0001594805_25_000088.htm
2026-07-28T17:45:29.582485 OK 27,892 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\8-K_20251009_rpt20251009_acc0001594805_25_000083.htm
2026-07-28T17:45:29.831071 OK 26,861 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\8-K_20250910_rpt20250909_acc0001594805_25_000081.htm
2026-07-28T17:45:30.091513 OK 29,759 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\8-K_20250806_rpt20250806_acc0001594805_25_000072.htm
2026-07-28T17:45:30.410943 OK 63,283 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\8-K_20250618_rpt20250617_acc0001594805_25_000054.htm
2026-07-28T17:45:30.661762 OK 29,732 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\8-K_20250508_rpt20250508_acc0001594805_25_000045.htm
2026-07-28T17:45:30.924149 OK 29,638 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\8-K_20250429_rpt20250429_acc0001594805_25_000040.htm
2026-07-28T17:45:31.231205 OK 31,524 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\8-K_20250319_rpt20250318_acc0001594805_25_000018.htm
2026-07-28T17:45:31.492522 OK 29,766 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\SHOP\investor-documents\sec-edgar\8-K_20250211_rpt20250211_acc0001594805_25_000011.htm
2026-07-28T17:45:31.493994 SEC filings downloaded: 27
2026-07-28T17:45:31.493994 IR PDF URLs found: 0
2026-07-28T17:45:31.495205 Done SHOP. SEC=27 IR=0/0
