insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Radakovich Lynn Vojvodich,,2026-07-22,2026-07-24,2022,31.14,62965.08,A,M,27289,True,True,False,0001662205-26-000009,https://www.sec.gov/Archives/edgar/data/1571996/000166220526000009/0001662205-26-000009.txt
Radakovich Lynn Vojvodich,,2026-07-22,2026-07-24,2022,413.77,836642.94,D,S,25267,True,True,False,0001662205-26-000009,https://www.sec.gov/Archives/edgar/data/1571996/000166220526000009/0001662205-26-000009.txt
"SLTA V (GP), L.L.C.",,2026-07-10,2026-07-14,89222,0.0,0.0,D,J,0,False,False,False,0001193125-26-303270,https://www.sec.gov/Archives/edgar/data/1571996/000119312526303270/0001193125-26-303270.txt
"SLTA V (GP), L.L.C.",,2026-07-10,2026-07-14,67990,0.0,0.0,D,J,0,False,False,False,0001193125-26-303270,https://www.sec.gov/Archives/edgar/data/1571996/000119312526303270/0001193125-26-303270.txt
"SLTA V (GP), L.L.C.",,2026-07-10,2026-07-14,43961,0.0,0.0,D,J,0,False,False,False,0001193125-26-303270,https://www.sec.gov/Archives/edgar/data/1571996/000119312526303270/0001193125-26-303270.txt
"SLTA IV (GP), L.L.C.",,2026-07-10,2026-07-14,89222,0.0,0.0,D,J,0,False,False,False,0001193125-26-303248,https://www.sec.gov/Archives/edgar/data/1571996/000119312526303248/0001193125-26-303248.txt
"SLTA IV (GP), L.L.C.",,2026-07-10,2026-07-14,67990,0.0,0.0,D,J,0,False,False,False,0001193125-26-303248,https://www.sec.gov/Archives/edgar/data/1571996/000119312526303248/0001193125-26-303248.txt
"SLTA IV (GP), L.L.C.",,2026-07-10,2026-07-14,43961,0.0,0.0,D,J,0,False,False,False,0001193125-26-303248,https://www.sec.gov/Archives/edgar/data/1571996/000119312526303248/0001193125-26-303248.txt
"Silver Lake Technology Investors V, L.P.",,2026-07-09,2026-07-13,600,0.0,0.0,A,M,600,False,False,False,0001193125-26-302194,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302194/0001193125-26-302194.txt
"Silver Lake Technology Investors V, L.P.",,2026-07-09,2026-07-13,6,448.17,2689.02,D,S,594,False,False,False,0001193125-26-302194,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302194/0001193125-26-302194.txt
"Silver Lake Technology Investors V, L.P.",,2026-07-09,2026-07-13,22,449.22,9882.84,D,S,573,False,False,False,0001193125-26-302194,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302194/0001193125-26-302194.txt
"Silver Lake Technology Investors V, L.P.",,2026-07-09,2026-07-13,48,450.17,21608.16,D,S,525,False,False,False,0001193125-26-302194,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302194/0001193125-26-302194.txt
"Silver Lake Technology Investors V, L.P.",,2026-07-09,2026-07-13,84,451.08,37890.72,D,S,440,False,False,False,0001193125-26-302194,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302194/0001193125-26-302194.txt
"Silver Lake Technology Investors V, L.P.",,2026-07-09,2026-07-13,106,452.07,47919.42,D,S,334,False,False,False,0001193125-26-302194,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302194/0001193125-26-302194.txt
"Silver Lake Technology Investors V, L.P.",,2026-07-09,2026-07-13,73,453.06,33073.38,D,S,262,False,False,False,0001193125-26-302194,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302194/0001193125-26-302194.txt
"Silver Lake Technology Investors V, L.P.",,2026-07-09,2026-07-13,58,454.1,26337.8,D,S,203,False,False,False,0001193125-26-302194,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302194/0001193125-26-302194.txt
"Silver Lake Technology Investors V, L.P.",,2026-07-09,2026-07-13,63,455.06,28668.78,D,S,140,False,False,False,0001193125-26-302194,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302194/0001193125-26-302194.txt
"Silver Lake Technology Investors V, L.P.",,2026-07-09,2026-07-13,54,456.06,24627.24,D,S,86,False,False,False,0001193125-26-302194,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302194/0001193125-26-302194.txt
"Silver Lake Technology Investors V, L.P.",,2026-07-09,2026-07-13,24,457.08,10969.92,D,S,62,False,False,False,0001193125-26-302194,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302194/0001193125-26-302194.txt
"Silver Lake Technology Investors V, L.P.",,2026-07-09,2026-07-13,22,457.97,10075.34,D,S,40,False,False,False,0001193125-26-302194,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302194/0001193125-26-302194.txt
"Silver Lake Technology Investors V, L.P.",,2026-07-09,2026-07-13,27,459.11,12395.97,D,S,14,False,False,False,0001193125-26-302194,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302194/0001193125-26-302194.txt
"Silver Lake Technology Investors V, L.P.",,2026-07-09,2026-07-13,14,460.02,6440.28,D,S,0,False,False,False,0001193125-26-302194,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302194/0001193125-26-302194.txt
"Silver Lake Technology Investors IV, L.P.",,2026-07-09,2026-07-13,1332,0.0,0.0,A,M,1332,False,False,False,0001193125-26-302204,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302204/0001193125-26-302204.txt
"Silver Lake Technology Investors IV, L.P.",,2026-07-09,2026-07-13,12,448.17,5378.04,D,S,1320,False,False,False,0001193125-26-302204,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302204/0001193125-26-302204.txt
"Silver Lake Technology Investors IV, L.P.",,2026-07-09,2026-07-13,48,449.22,21562.56,D,S,1272,False,False,False,0001193125-26-302204,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302204/0001193125-26-302204.txt
"Silver Lake Technology Investors IV, L.P.",,2026-07-09,2026-07-13,107,450.17,48168.19,D,S,1164,False,False,False,0001193125-26-302204,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302204/0001193125-26-302204.txt
"Silver Lake Technology Investors IV, L.P.",,2026-07-09,2026-07-13,187,451.08,84351.96,D,S,978,False,False,False,0001193125-26-302204,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302204/0001193125-26-302204.txt
"Silver Lake Technology Investors IV, L.P.",,2026-07-09,2026-07-13,236,452.07,106688.52,D,S,742,False,False,False,0001193125-26-302204,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302204/0001193125-26-302204.txt
"Silver Lake Technology Investors IV, L.P.",,2026-07-09,2026-07-13,161,453.06,72942.66,D,S,581,False,False,False,0001193125-26-302204,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302204/0001193125-26-302204.txt
"Silver Lake Technology Investors IV, L.P.",,2026-07-09,2026-07-13,130,454.1,59033.0,D,S,451,False,False,False,0001193125-26-302204,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302204/0001193125-26-302204.txt
"Silver Lake Technology Investors IV, L.P.",,2026-07-09,2026-07-13,140,455.06,63708.4,D,S,311,False,False,False,0001193125-26-302204,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302204/0001193125-26-302204.txt
"Silver Lake Technology Investors IV, L.P.",,2026-07-09,2026-07-13,120,456.06,54727.2,D,S,191,False,False,False,0001193125-26-302204,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302204/0001193125-26-302204.txt
"Silver Lake Technology Investors IV, L.P.",,2026-07-09,2026-07-13,53,457.08,24225.24,D,S,138,False,False,False,0001193125-26-302204,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302204/0001193125-26-302204.txt
"Silver Lake Technology Investors IV, L.P.",,2026-07-09,2026-07-13,49,457.97,22440.53,D,S,89,False,False,False,0001193125-26-302204,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302204/0001193125-26-302204.txt
"Silver Lake Technology Investors IV, L.P.",,2026-07-09,2026-07-13,59,459.11,27087.49,D,S,30,False,False,False,0001193125-26-302204,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302204/0001193125-26-302204.txt
"Silver Lake Technology Investors IV, L.P.",,2026-07-09,2026-07-13,30,460.02,13800.6,D,S,0,False,False,False,0001193125-26-302204,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302204/0001193125-26-302204.txt
"Silver Lake Partners V DE (AIV), L.P.",,2026-07-09,2026-07-13,48990,0.0,0.0,A,M,78830,False,False,False,0001193125-26-302200,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302200/0001193125-26-302200.txt
"Silver Lake Partners V DE (AIV), L.P.",,2026-07-09,2026-07-13,320,448.17,143414.4,D,S,78510,False,False,False,0001193125-26-302200,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302200/0001193125-26-302200.txt
"Silver Lake Partners V DE (AIV), L.P.",,2026-07-09,2026-07-13,1255,449.22,563771.1,D,S,77255,False,False,False,0001193125-26-302200,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302200/0001193125-26-302200.txt
"Silver Lake Partners V DE (AIV), L.P.",,2026-07-09,2026-07-13,2810,450.17,1264977.7,D,S,74445,False,False,False,0001193125-26-302200,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302200/0001193125-26-302200.txt
"Silver Lake Partners V DE (AIV), L.P.",,2026-07-09,2026-07-13,4887,451.08,2204427.96,D,S,69559,False,False,False,0001193125-26-302200,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302200/0001193125-26-302200.txt
"Silver Lake Partners V DE (AIV), L.P.",,2026-07-09,2026-07-13,6176,452.07,2791984.32,D,S,63383,False,False,False,0001193125-26-302200,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302200/0001193125-26-302200.txt
"Silver Lake Partners V DE (AIV), L.P.",,2026-07-09,2026-07-13,4219,453.06,1911460.14,D,S,59163,False,False,False,0001193125-26-302200,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302200/0001193125-26-302200.txt
"Silver Lake Partners V DE (AIV), L.P.",,2026-07-09,2026-07-13,3397,454.1,1542577.7,D,S,55767,False,False,False,0001193125-26-302200,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302200/0001193125-26-302200.txt
"Silver Lake Partners V DE (AIV), L.P.",,2026-07-09,2026-07-13,3672,455.06,1670980.32,D,S,52094,False,False,False,0001193125-26-302200,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302200/0001193125-26-302200.txt
"Silver Lake Partners V DE (AIV), L.P.",,2026-07-09,2026-07-13,3131,456.06,1427923.86,D,S,48963,False,False,False,0001193125-26-302200,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302200/0001193125-26-302200.txt
"Silver Lake Partners V DE (AIV), L.P.",,2026-07-09,2026-07-13,1377,457.08,629399.16,D,S,47587,False,False,False,0001193125-26-302200,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302200/0001193125-26-302200.txt
"Silver Lake Partners V DE (AIV), L.P.",,2026-07-09,2026-07-13,1292,457.97,591697.24,D,S,46294,False,False,False,0001193125-26-302200,https://www.sec.gov/Archives/edgar/data/1571996/000119312526302200/0001193125-26-302200.txt
