insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Scarlett Kathleen,,2026-05-28,2026-05-29,1647,0.0,0.0,A,A,5354,False,True,False,0000029534-26-000070,https://www.sec.gov/Archives/edgar/data/29534/000002953426000070/0000029534-26-000070.txt
Scarlett Kathleen,,2026-05-28,2026-05-29,0,109.9,0.0,D,D,5354,False,True,False,0000029534-26-000070,https://www.sec.gov/Archives/edgar/data/29534/000002953426000070/0000029534-26-000070.txt
Sandler Debra A.,,2026-05-28,2026-05-29,1647,0.0,0.0,A,A,8621,False,True,False,0000029534-26-000066,https://www.sec.gov/Archives/edgar/data/29534/000002953426000066/0000029534-26-000066.txt
Sandler Debra A.,,2026-05-28,2026-05-29,0,109.9,0.0,D,D,8621,False,True,False,0000029534-26-000066,https://www.sec.gov/Archives/edgar/data/29534/000002953426000066/0000029534-26-000066.txt
SANTANA RALPH E,,2026-05-28,2026-05-29,1647,0.0,0.0,A,A,8358,False,True,False,0000029534-26-000068,https://www.sec.gov/Archives/edgar/data/29534/000002953426000068/0000029534-26-000068.txt
SANTANA RALPH E,,2026-05-28,2026-05-29,0,109.9,0.0,D,D,8358,False,True,False,0000029534-26-000068,https://www.sec.gov/Archives/edgar/data/29534/000002953426000068/0000029534-26-000068.txt
ROWLAND DAVID P,,2026-05-28,2026-05-29,1647,0.0,0.0,A,A,7847,False,True,False,0000029534-26-000064,https://www.sec.gov/Archives/edgar/data/29534/000002953426000064/0000029534-26-000064.txt
McGuire Timothy I,,2026-05-28,2026-05-29,1647,0.0,0.0,A,A,17100,False,True,False,0000029534-26-000062,https://www.sec.gov/Archives/edgar/data/29534/000002953426000062/0000029534-26-000062.txt
McGuire Timothy I,,2026-05-28,2026-05-29,0,109.9,0.0,D,D,17100,False,True,False,0000029534-26-000062,https://www.sec.gov/Archives/edgar/data/29534/000002953426000062/0000029534-26-000062.txt
Hicks Gregory H,,2026-05-28,2026-06-01,1647,0.0,0.0,A,A,1647,False,True,False,0000029534-26-000074,https://www.sec.gov/Archives/edgar/data/29534/000002953426000074/0000029534-26-000074.txt
Chadwick Ana Maria,,2026-05-28,2026-05-29,1647,0.0,0.0,A,A,6910,False,True,False,0000029534-26-000060,https://www.sec.gov/Archives/edgar/data/29534/000002953426000060/0000029534-26-000060.txt
Chadwick Ana Maria,,2026-05-28,2026-05-29,0,109.9,0.0,D,D,6910,False,True,False,0000029534-26-000060,https://www.sec.gov/Archives/edgar/data/29534/000002953426000060/0000029534-26-000060.txt
CALBERT MICHAEL M,,2026-05-28,2026-05-29,1647,0.0,0.0,A,A,127852,False,True,False,0000029534-26-000058,https://www.sec.gov/Archives/edgar/data/29534/000002953426000058/0000029534-26-000058.txt
BRYANT WARREN F,,2026-05-28,2026-05-29,1,109.9,109.9,D,D,44265,False,True,False,0000029534-26-000056,https://www.sec.gov/Archives/edgar/data/29534/000002953426000056/0000029534-26-000056.txt
Wheeler Bryan D,EVP & Chief Merchandising Ofc,2026-04-01,2026-04-03,902,117.17,105687.34,D,F,29139,False,False,True,0000029534-26-000053,https://www.sec.gov/Archives/edgar/data/29534/000002953426000053/0000029534-26-000053.txt
West Roderick J,"EVP, Global Supply Chain",2026-04-01,2026-04-03,8017,117.17,939351.89,D,F,67838,False,False,True,0000029534-26-000052,https://www.sec.gov/Archives/edgar/data/29534/000002953426000052/0000029534-26-000052.txt
Wenkoff Carman R,EVP & Chief Information Ofc,2026-04-01,2026-04-03,8870,117.17,1039297.9,D,F,75047,False,False,True,0000029534-26-000051,https://www.sec.gov/Archives/edgar/data/29534/000002953426000051/0000029534-26-000051.txt
TAYLOR RHONDA,EVP & General Counsel,2026-04-01,2026-04-03,8928,117.17,1046093.76,D,F,105302,False,False,True,0000029534-26-000050,https://www.sec.gov/Archives/edgar/data/29534/000002953426000050/0000029534-26-000050.txt
TAYLOR EMILY C,Chief Operating Officer,2026-04-01,2026-04-03,8928,117.17,1046093.76,D,F,86296,False,False,True,0000029534-26-000047,https://www.sec.gov/Archives/edgar/data/29534/000002953426000047/0000029534-26-000047.txt
REARDON KATHLEEN A,EVP & Chief People Officer,2026-04-01,2026-04-03,7938,117.17,930095.46,D,F,66649,False,False,True,0000029534-26-000049,https://www.sec.gov/Archives/edgar/data/29534/000002953426000049/0000029534-26-000049.txt
Herrmann Tracey N,"EVP, Store Operations",2026-04-01,2026-04-03,4519,117.17,529491.23,D,F,45303,False,False,True,0000029534-26-000048,https://www.sec.gov/Archives/edgar/data/29534/000002953426000048/0000029534-26-000048.txt
ELLIOTT ANITA C,SVP & Chief Accounting Officer,2026-04-01,2026-04-03,1303,117.17,152672.51,D,F,34968,False,False,True,0000029534-26-000054,https://www.sec.gov/Archives/edgar/data/29534/000002953426000054/0000029534-26-000054.txt
Wheeler Bryan D,EVP & Chief Merchandising Ofc,2026-03-26,2026-03-30,5704,0.0,0.0,A,A,30041,False,False,True,0000029534-26-000037,https://www.sec.gov/Archives/edgar/data/29534/000002953426000037/0000029534-26-000037.txt
West Roderick J,"EVP, Global Supply Chain",2026-03-26,2026-03-30,8388,0.0,0.0,A,A,75855,False,False,True,0000029534-26-000036,https://www.sec.gov/Archives/edgar/data/29534/000002953426000036/0000029534-26-000036.txt
Wenkoff Carman R,EVP & Chief Information Ofc,2026-03-26,2026-03-30,6710,0.0,0.0,A,A,83917,False,False,True,0000029534-26-000035,https://www.sec.gov/Archives/edgar/data/29534/000002953426000035/0000029534-26-000035.txt
VASOS TODD J,Chief Executive Officer,2026-03-26,2026-03-30,40260,0.0,0.0,A,A,177122,False,True,True,0000029534-26-000029,https://www.sec.gov/Archives/edgar/data/29534/000002953426000029/0000029534-26-000029.txt
TAYLOR RHONDA,EVP & General Counsel,2026-03-26,2026-03-30,6710,0.0,0.0,A,A,114230,False,False,True,0000029534-26-000034,https://www.sec.gov/Archives/edgar/data/29534/000002953426000034/0000029534-26-000034.txt
TAYLOR EMILY C,Chief Operating Officer,2026-03-26,2026-03-30,12581,0.0,0.0,A,A,95224,False,False,True,0000029534-26-000030,https://www.sec.gov/Archives/edgar/data/29534/000002953426000030/0000029534-26-000030.txt
REARDON KATHLEEN A,EVP & Chief People Officer,2026-03-26,2026-03-30,6710,0.0,0.0,A,A,74587,False,False,True,0000029534-26-000033,https://www.sec.gov/Archives/edgar/data/29534/000002953426000033/0000029534-26-000033.txt
Lau Donny H,EVP & Chief Financial Officer,2026-03-26,2026-03-30,10065,0.0,0.0,A,A,49874,False,False,True,0000029534-26-000031,https://www.sec.gov/Archives/edgar/data/29534/000002953426000031/0000029534-26-000031.txt
Herrmann Tracey N,"EVP, Store Operations",2026-03-26,2026-03-30,6710,0.0,0.0,A,A,49822,False,False,True,0000029534-26-000032,https://www.sec.gov/Archives/edgar/data/29534/000002953426000032/0000029534-26-000032.txt
ELLIOTT ANITA C,SVP & Chief Accounting Officer,2026-03-26,2026-03-30,3523,0.0,0.0,A,A,36271,False,False,True,0000029534-26-000038,https://www.sec.gov/Archives/edgar/data/29534/000002953426000038/0000029534-26-000038.txt
West Roderick J,"EVP, Global Supply Chain",2026-03-11,2026-03-12,2691,84.67,227846.97,A,M,69325,False,False,True,0000029534-26-000014,https://www.sec.gov/Archives/edgar/data/29534/000002953426000014/0000029534-26-000014.txt
West Roderick J,"EVP, Global Supply Chain",2026-03-11,2026-03-12,1858,144.84,269112.72,D,F,67467,False,False,True,0000029534-26-000014,https://www.sec.gov/Archives/edgar/data/29534/000002953426000014/0000029534-26-000014.txt
Wheeler Bryan D,EVP & Chief Merchandising Ofc,2026-03-10,2026-03-12,2042,0.0,0.0,A,A,24337,False,False,True,0000029534-26-000016,https://www.sec.gov/Archives/edgar/data/29534/000002953426000016/0000029534-26-000016.txt
West Roderick J,"EVP, Global Supply Chain",2026-03-10,2026-03-12,30626,0.0,0.0,A,A,66634,False,False,True,0000029534-26-000014,https://www.sec.gov/Archives/edgar/data/29534/000002953426000014/0000029534-26-000014.txt
Wenkoff Carman R,EVP & Chief Information Ofc,2026-03-10,2026-03-12,34028,0.0,0.0,A,A,77207,False,False,True,0000029534-26-000012,https://www.sec.gov/Archives/edgar/data/29534/000002953426000012/0000029534-26-000012.txt
TAYLOR RHONDA,EVP & General Counsel,2026-03-10,2026-03-12,34028,0.0,0.0,A,A,107520,False,False,True,0000029534-26-000010,https://www.sec.gov/Archives/edgar/data/29534/000002953426000010/0000029534-26-000010.txt
TAYLOR EMILY C,Chief Operating Officer,2026-03-10,2026-03-12,34028,0.0,0.0,A,A,82643,False,False,True,0000029534-26-000004,https://www.sec.gov/Archives/edgar/data/29534/000002953426000004/0000029534-26-000004.txt
REARDON KATHLEEN A,EVP & Chief People Officer,2026-03-10,2026-03-12,30626,0.0,0.0,A,A,67877,False,False,True,0000029534-26-000008,https://www.sec.gov/Archives/edgar/data/29534/000002953426000008/0000029534-26-000008.txt
Herrmann Tracey N,"EVP, Store Operations",2026-03-10,2026-03-12,17014,0.0,0.0,A,A,43112,False,False,True,0000029534-26-000006,https://www.sec.gov/Archives/edgar/data/29534/000002953426000006/0000029534-26-000006.txt
ELLIOTT ANITA C,SVP & Chief Accounting Officer,2026-03-10,2026-03-12,3404,0.0,0.0,A,A,32748,False,False,True,0000029534-26-000018,https://www.sec.gov/Archives/edgar/data/29534/000002953426000018/0000029534-26-000018.txt
ROWLAND DAVID P,,2026-02-04,2026-02-04,1439,0.0,0.0,A,A,6171,False,True,False,0000029534-26-000002,https://www.sec.gov/Archives/edgar/data/29534/000002953426000002/0000029534-26-000002.txt
Wheeler Bryan D,EVP & Chief Merchandising Ofc,2025-12-19,2025-12-19,3193,90.37,288551.41,A,M,25488,False,False,True,0000029534-25-000029,https://www.sec.gov/Archives/edgar/data/29534/000002953425000029/0000029534-25-000029.txt
Wheeler Bryan D,EVP & Chief Merchandising Ofc,2025-12-19,2025-12-19,6583,92.98,612087.34,A,M,32071,False,False,True,0000029534-25-000029,https://www.sec.gov/Archives/edgar/data/29534/000002953425000029/0000029534-25-000029.txt
