insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
SAYER KEVIN R,Executive Chair,2026-07-20,2026-07-21,26756,76.3193,2041999.19,D,S,328970,True,True,True,0001093557-26-000137,https://www.sec.gov/Archives/edgar/data/1093557/000109355726000137/0001093557-26-000137.txt
Brown Michael Jon,EVP Chief Legal Compliance Off,2026-07-15,2026-07-16,1700,74.42,126514.0,D,S,104653,True,False,True,0001093557-26-000135,https://www.sec.gov/Archives/edgar/data/1093557/000109355726000135/0001093557-26-000135.txt
SAYER KEVIN R,Executive Chair,2026-07-06,2026-07-07,26756,72.0,1926432.0,D,S,355726,True,True,True,0001093557-26-000133,https://www.sec.gov/Archives/edgar/data/1093557/000109355726000133/0001093557-26-000133.txt
FOLETTA MARK G,,2026-06-15,2026-06-17,3801,74.0991,281650.68,D,S,53051,True,True,False,0001093557-26-000130,https://www.sec.gov/Archives/edgar/data/1093557/000109355726000130/0001093557-26-000130.txt
FOLETTA MARK G,,2026-06-15,2026-06-17,199,74.8187,14888.92,D,S,52852,True,True,False,0001093557-26-000130,https://www.sec.gov/Archives/edgar/data/1093557/000109355726000130/0001093557-26-000130.txt
Brown Michael Jon,EVP Chief Legal Compliance Off,2026-06-15,2026-06-17,1700,75.55,128435.0,D,S,106353,True,False,True,0001093557-26-000131,https://www.sec.gov/Archives/edgar/data/1093557/000109355726000131/0001093557-26-000131.txt
Coleman Jon,"EVP, Chief Commercial Officer",2026-06-04,2026-06-05,4911,74.13,364052.43,D,S,95450,True,False,True,0001093557-26-000127,https://www.sec.gov/Archives/edgar/data/1093557/000109355726000127/0001093557-26-000127.txt
Coleman Jon,"EVP, Chief Commercial Officer",2026-06-03,2026-06-05,4912,73.0,358576.0,D,S,100361,True,False,True,0001093557-26-000127,https://www.sec.gov/Archives/edgar/data/1093557/000109355726000127/0001093557-26-000127.txt
Osterloh Albert Frederick IV,,2026-05-28,2026-06-01,1630,0.0,0.0,A,A,8691,False,True,False,0001093557-26-000120,https://www.sec.gov/Archives/edgar/data/1093557/000109355726000120/0001093557-26-000120.txt
Malady Kyle,,2026-05-28,2026-06-01,5575,0.0,0.0,A,A,28242,False,True,False,0001093557-26-000124,https://www.sec.gov/Archives/edgar/data/1093557/000109355726000124/0001093557-26-000124.txt
Heller Bridgette P,,2026-05-28,2026-06-01,5575,0.0,0.0,A,A,30582,False,True,False,0001093557-26-000121,https://www.sec.gov/Archives/edgar/data/1093557/000109355726000121/0001093557-26-000121.txt
GALA RENEE D,,2026-05-28,2026-06-01,5605,0.0,0.0,A,A,12486,False,True,False,0001093557-26-000116,https://www.sec.gov/Archives/edgar/data/1093557/000109355726000116/0001093557-26-000116.txt
FOLETTA MARK G,,2026-05-28,2026-06-01,6331,0.0,0.0,A,A,6331,False,True,False,0001093557-26-000122,https://www.sec.gov/Archives/edgar/data/1093557/000109355726000122/0001093557-26-000122.txt
Driscoll Rimma,,2026-05-28,2026-06-01,5605,0.0,0.0,A,A,17319,False,True,False,0001093557-26-000119,https://www.sec.gov/Archives/edgar/data/1093557/000109355726000119/0001093557-26-000119.txt
Collins Richard Alexander,,2026-05-28,2026-06-01,5605,0.0,0.0,A,A,5605,False,True,False,0001093557-26-000117,https://www.sec.gov/Archives/edgar/data/1093557/000109355726000117/0001093557-26-000117.txt
Ashley Euan A.,,2026-05-28,2026-06-01,5565,0.0,0.0,A,A,12731,False,True,False,0001093557-26-000118,https://www.sec.gov/Archives/edgar/data/1093557/000109355726000118/0001093557-26-000118.txt
AUGUSTINOS NICHOLAS,,2026-05-28,2026-06-01,5575,0.0,0.0,A,A,5575,False,True,False,0001093557-26-000123,https://www.sec.gov/Archives/edgar/data/1093557/000109355726000123/0001093557-26-000123.txt
ALTMAN STEVEN R,,2026-05-28,2026-06-01,5565,0.0,0.0,A,A,5565,False,True,False,0001093557-26-000125,https://www.sec.gov/Archives/edgar/data/1093557/000109355726000125/0001093557-26-000125.txt
