insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
ORBAN PAUL W,"EVP, Chief Financial Officer",2026-07-01,2026-07-07,297,0.0,0.0,A,A,50943,False,False,False,0001197815-26-000001,https://www.sec.gov/Archives/edgar/data/1415404/000119781526000001/0001197815-26-000001.txt
ORBAN PAUL W,"EVP, Chief Financial Officer",2026-07-01,2026-07-07,9,100.88,907.92,D,F,50934,False,False,False,0001197815-26-000001,https://www.sec.gov/Archives/edgar/data/1415404/000119781526000001/0001197815-26-000001.txt
Hershman Lisa W.,,2026-07-01,2026-07-07,10000,24.49,244900.0,A,M,10000,False,False,False,0001738958-26-000003,https://www.sec.gov/Archives/edgar/data/1415404/000173895826000003/0001738958-26-000003.txt
Hershman Lisa W.,,2026-07-01,2026-07-07,2428,100.88,244936.64,D,F,7572,False,False,False,0001738958-26-000003,https://www.sec.gov/Archives/edgar/data/1415404/000173895826000003/0001738958-26-000003.txt
ERGEN CANTEY,,2026-07-01,2026-07-07,198,0.0,0.0,A,A,2165,False,False,False,0001138538-26-000006,https://www.sec.gov/Archives/edgar/data/1415404/000113853826000006/0001138538-26-000006.txt
ERGEN CANTEY,,2026-07-01,2026-07-07,17,100.88,1714.96,D,F,2148,False,False,False,0001138538-26-000006,https://www.sec.gov/Archives/edgar/data/1415404/000113853826000006/0001138538-26-000006.txt
Dodge R Stanton,,2026-07-01,2026-07-07,5000,24.49,122450.0,A,M,26555,False,False,False,0001404430-26-000025,https://www.sec.gov/Archives/edgar/data/1415404/000140443026000025/0001404430-26-000025.txt
Dodge R Stanton,,2026-07-01,2026-07-07,1214,100.88,122468.32,D,F,25341,False,False,False,0001404430-26-000025,https://www.sec.gov/Archives/edgar/data/1415404/000140443026000025/0001404430-26-000025.txt
DEFRANCO JAMES,,2026-07-01,2026-07-07,198,0.0,0.0,A,A,1886,False,False,False,0001090537-26-000001,https://www.sec.gov/Archives/edgar/data/1415404/000109053726000001/0001090537-26-000001.txt
DEFRANCO JAMES,,2026-07-01,2026-07-07,16,100.88,1614.08,D,F,1870,False,False,False,0001090537-26-000001,https://www.sec.gov/Archives/edgar/data/1415404/000109053726000001/0001090537-26-000001.txt
Manson Dean,CHIEF LEGAL OFFICER,2026-06-12,2026-06-16,6000,14.04,84240.0,A,M,11058,True,False,False,0001353333-26-000008,https://www.sec.gov/Archives/edgar/data/1415404/000135333326000008/0001353333-26-000008.txt
Manson Dean,CHIEF LEGAL OFFICER,2026-06-12,2026-06-16,6000,130.39,782340.0,D,S,5058,True,False,False,0001353333-26-000008,https://www.sec.gov/Archives/edgar/data/1415404/000135333326000008/0001353333-26-000008.txt
Manson Dean,CHIEF LEGAL OFFICER,2026-06-12,2026-06-16,4000,14.04,56160.0,A,M,9058,True,False,False,0001353333-26-000008,https://www.sec.gov/Archives/edgar/data/1415404/000135333326000008/0001353333-26-000008.txt
Manson Dean,CHIEF LEGAL OFFICER,2026-06-12,2026-06-16,4000,130.39,521560.0,D,S,5058,True,False,False,0001353333-26-000008,https://www.sec.gov/Archives/edgar/data/1415404/000135333326000008/0001353333-26-000008.txt
Akhavan Hamid,"CEO, EchoStar Capital",2026-06-05,2026-06-09,122500,14.04,1719900.0,A,M,910706,True,False,False,0001295252-26-000009,https://www.sec.gov/Archives/edgar/data/1415404/000129525226000009/0001295252-26-000009.txt
Akhavan Hamid,"CEO, EchoStar Capital",2026-06-05,2026-06-09,45073,121.0,5453833.0,D,S,865633,True,False,False,0001295252-26-000009,https://www.sec.gov/Archives/edgar/data/1415404/000129525226000009/0001295252-26-000009.txt
Akhavan Hamid,"CEO, EchoStar Capital",2026-06-05,2026-06-09,20417,14.04,286654.68,A,M,886050,True,False,False,0001295252-26-000009,https://www.sec.gov/Archives/edgar/data/1415404/000129525226000009/0001295252-26-000009.txt
Akhavan Hamid,"CEO, EchoStar Capital",2026-06-05,2026-06-09,7513,121.0,909073.0,D,S,878537,True,False,False,0001295252-26-000009,https://www.sec.gov/Archives/edgar/data/1415404/000129525226000009/0001295252-26-000009.txt
Manson Dean,CHIEF LEGAL OFFICER,2026-06-04,2026-06-08,10000,14.04,140400.0,A,M,15058,True,False,False,0001353333-26-000006,https://www.sec.gov/Archives/edgar/data/1415404/000135333326000006/0001353333-26-000006.txt
Manson Dean,CHIEF LEGAL OFFICER,2026-06-04,2026-06-08,10000,119.5,1195000.0,D,S,5058,True,False,False,0001353333-26-000006,https://www.sec.gov/Archives/edgar/data/1415404/000135333326000006/0001353333-26-000006.txt
Wade William David,,2026-05-18,2026-05-20,5000,24.49,122450.0,A,M,5324,False,False,False,0001697157-26-000005,https://www.sec.gov/Archives/edgar/data/1415404/000169715726000005/0001697157-26-000005.txt
Akhavan Hamid,"CEO, EchoStar Capital",2026-03-06,2026-03-10,20417,14.04,286654.68,A,M,660380,False,False,False,0001295252-26-000006,https://www.sec.gov/Archives/edgar/data/1415404/000129525226000006/0001295252-26-000006.txt
Akhavan Hamid,"CEO, EchoStar Capital",2026-03-06,2026-03-10,233918,16.57,3876021.26,A,M,894298,False,False,False,0001295252-26-000006,https://www.sec.gov/Archives/edgar/data/1415404/000129525226000006/0001295252-26-000006.txt
Akhavan Hamid,"CEO, EchoStar Capital",2026-03-06,2026-03-10,71005,107.52,7634457.6,D,S,823293,False,False,False,0001295252-26-000006,https://www.sec.gov/Archives/edgar/data/1415404/000129525226000006/0001295252-26-000006.txt
Manson Dean,CHIEF LEGAL OFFICER,2026-03-05,2026-03-09,7631,14.04,107139.24,A,M,10029,False,False,False,0001353333-26-000003,https://www.sec.gov/Archives/edgar/data/1415404/000135333326000003/0001353333-26-000003.txt
Manson Dean,CHIEF LEGAL OFFICER,2026-03-05,2026-03-09,7631,114.51,873825.81,D,S,2398,False,False,False,0001353333-26-000003,https://www.sec.gov/Archives/edgar/data/1415404/000135333326000003/0001353333-26-000003.txt
Manson Dean,CHIEF LEGAL OFFICER,2026-03-05,2026-03-09,14000,14.04,196560.0,A,M,16398,False,False,False,0001353333-26-000003,https://www.sec.gov/Archives/edgar/data/1415404/000135333326000003/0001353333-26-000003.txt
Manson Dean,CHIEF LEGAL OFFICER,2026-03-05,2026-03-09,11400,114.6,1306440.0,D,S,4998,False,False,False,0001353333-26-000003,https://www.sec.gov/Archives/edgar/data/1415404/000135333326000003/0001353333-26-000003.txt
Swieringa John,"PRES, TECH & COO",2026-03-04,2026-03-06,15000,114.04,1710600.0,D,S,253535,False,False,False,0001661534-26-000006,https://www.sec.gov/Archives/edgar/data/1415404/000166153426000006/0001661534-26-000006.txt
Swieringa John,"PRES, TECH & COO",2026-03-04,2026-03-06,35088,16.57,581408.16,A,M,288623,False,False,False,0001661534-26-000006,https://www.sec.gov/Archives/edgar/data/1415404/000166153426000006/0001661534-26-000006.txt
Swieringa John,"PRES, TECH & COO",2026-03-04,2026-03-06,35088,113.39,3978628.32,D,S,253535,False,False,False,0001661534-26-000006,https://www.sec.gov/Archives/edgar/data/1415404/000166153426000006/0001661534-26-000006.txt
Swieringa John,"PRES, TECH & COO",2026-01-02,2026-01-06,7964,112.18,893401.52,D,F,275553,False,False,False,0001661534-26-000003,https://www.sec.gov/Archives/edgar/data/1415404/000166153426000003/0001661534-26-000003.txt
ERGEN CANTEY,,2025-12-31,2026-01-05,1754,92.17,161666.18,A,M,1967,False,False,False,0001138538-26-000003,https://www.sec.gov/Archives/edgar/data/1415404/000113853826000003/0001138538-26-000003.txt
Akhavan Hamid,"CEO, EchoStar Capital",2025-12-31,2026-01-05,263158,0.0,0.0,A,M,604876,False,False,False,0001295252-26-000003,https://www.sec.gov/Archives/edgar/data/1415404/000129525226000003/0001295252-26-000003.txt
Abernathy Kathleen Q,,2025-12-31,2026-01-05,1754,92.17,161666.18,A,M,1754,False,False,False,0001358901-26-000003,https://www.sec.gov/Archives/edgar/data/1415404/000135890126000003/0001358901-26-000003.txt
Abernathy Kathleen Q,,2025-12-31,2026-01-05,1488,108.7,161745.6,D,F,266,False,False,False,0001358901-26-000003,https://www.sec.gov/Archives/edgar/data/1415404/000135890126000003/0001358901-26-000003.txt
ERGEN CHARLES W,"CHAIRMAN, PRES and CEO",2025-12-26,2025-12-29,11821,0.0,0.0,D,G,11140269,False,False,False,0000904548-25-000008,https://www.sec.gov/Archives/edgar/data/1415404/000090454825000008/0000904548-25-000008.txt
Ortolf Tom A,,2025-12-11,2025-12-15,1754,92.17,161666.18,A,M,5452,False,False,False,0001327225-25-000004,https://www.sec.gov/Archives/edgar/data/1415404/000132722525000004/0001327225-25-000004.txt
Ortolf Tom A,,2025-12-11,2025-12-15,1754,104.06,182521.24,D,S,3698,False,False,False,0001327225-25-000004,https://www.sec.gov/Archives/edgar/data/1415404/000132722525000004/0001327225-25-000004.txt
Akhavan Hamid,"CEO, EchoStar Capital",2025-12-11,2025-12-15,285832,14.04,4013081.28,A,M,662637,True,False,False,0001295252-25-000008,https://www.sec.gov/Archives/edgar/data/1415404/000129525225000008/0001295252-25-000008.txt
Akhavan Hamid,"CEO, EchoStar Capital",2025-12-11,2025-12-15,20129,104.1,2095428.9,D,S,642508,True,False,False,0001295252-25-000008,https://www.sec.gov/Archives/edgar/data/1415404/000129525225000008/0001295252-25-000008.txt
Akhavan Hamid,"CEO, EchoStar Capital",2025-12-11,2025-12-15,14940,104.65,1563471.0,D,S,627568,True,False,False,0001295252-25-000008,https://www.sec.gov/Archives/edgar/data/1415404/000129525225000008/0001295252-25-000008.txt
Akhavan Hamid,"CEO, EchoStar Capital",2025-12-11,2025-12-15,3240,105.88,343051.2,D,S,624328,True,False,False,0001295252-25-000008,https://www.sec.gov/Archives/edgar/data/1415404/000129525225000008/0001295252-25-000008.txt
Akhavan Hamid,"CEO, EchoStar Capital",2025-12-11,2025-12-15,3657,106.72,390275.04,D,S,620671,True,False,False,0001295252-25-000008,https://www.sec.gov/Archives/edgar/data/1415404/000129525225000008/0001295252-25-000008.txt
Akhavan Hamid,"CEO, EchoStar Capital",2025-12-11,2025-12-15,5123,108.02,553386.46,D,S,615548,True,False,False,0001295252-25-000008,https://www.sec.gov/Archives/edgar/data/1415404/000129525225000008/0001295252-25-000008.txt
Akhavan Hamid,"CEO, EchoStar Capital",2025-12-11,2025-12-15,2911,108.78,316658.58,D,S,612637,True,False,False,0001295252-25-000008,https://www.sec.gov/Archives/edgar/data/1415404/000129525225000008/0001295252-25-000008.txt
Akhavan Hamid,"CEO, EchoStar Capital",2025-12-11,2025-12-15,29608,104.1,3082192.8,D,S,583029,True,False,False,0001295252-25-000008,https://www.sec.gov/Archives/edgar/data/1415404/000129525225000008/0001295252-25-000008.txt
Akhavan Hamid,"CEO, EchoStar Capital",2025-12-11,2025-12-15,23040,104.66,2411366.4,D,S,559989,True,False,False,0001295252-25-000008,https://www.sec.gov/Archives/edgar/data/1415404/000129525225000008/0001295252-25-000008.txt
Akhavan Hamid,"CEO, EchoStar Capital",2025-12-11,2025-12-15,5595,105.93,592678.35,D,S,554394,True,False,False,0001295252-25-000008,https://www.sec.gov/Archives/edgar/data/1415404/000129525225000008/0001295252-25-000008.txt
Akhavan Hamid,"CEO, EchoStar Capital",2025-12-11,2025-12-15,4670,106.84,498942.8,D,S,549724,True,False,False,0001295252-25-000008,https://www.sec.gov/Archives/edgar/data/1415404/000129525225000008/0001295252-25-000008.txt
Akhavan Hamid,"CEO, EchoStar Capital",2025-12-11,2025-12-15,7831,108.01,845826.31,D,S,541893,True,False,False,0001295252-25-000008,https://www.sec.gov/Archives/edgar/data/1415404/000129525225000008/0001295252-25-000008.txt
Akhavan Hamid,"CEO, EchoStar Capital",2025-12-11,2025-12-15,4256,108.76,462882.56,D,S,537637,True,False,False,0001295252-25-000008,https://www.sec.gov/Archives/edgar/data/1415404/000129525225000008/0001295252-25-000008.txt
Akhavan Hamid,"CEO, EchoStar Capital",2025-12-11,2025-12-15,29607,104.1,3082088.7,D,S,508030,True,False,False,0001295252-25-000008,https://www.sec.gov/Archives/edgar/data/1415404/000129525225000008/0001295252-25-000008.txt
Akhavan Hamid,"CEO, EchoStar Capital",2025-12-11,2025-12-15,23172,104.67,2425413.24,D,S,484858,True,False,False,0001295252-25-000008,https://www.sec.gov/Archives/edgar/data/1415404/000129525225000008/0001295252-25-000008.txt
Akhavan Hamid,"CEO, EchoStar Capital",2025-12-11,2025-12-15,5465,105.95,579016.75,D,S,479393,True,False,False,0001295252-25-000008,https://www.sec.gov/Archives/edgar/data/1415404/000129525225000008/0001295252-25-000008.txt
Akhavan Hamid,"CEO, EchoStar Capital",2025-12-11,2025-12-15,4668,106.84,498729.12,D,S,474725,True,False,False,0001295252-25-000008,https://www.sec.gov/Archives/edgar/data/1415404/000129525225000008/0001295252-25-000008.txt
