insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
ZILLMER JOHN J,,2026-06-30,2026-07-02,130,0.0,0.0,A,A,49365,False,False,False,0001188262-26-000011,https://www.sec.gov/Archives/edgar/data/31462/000118826226000011/0001188262-26-000011.txt
Whalen Julie,,2026-06-30,2026-07-02,130,0.0,0.0,A,A,471,False,False,False,0001274281-26-000008,https://www.sec.gov/Archives/edgar/data/31462/000127428126000008/0001274281-26-000008.txt
Vautrinot Suzanne M,,2026-06-30,2026-07-02,130,0.0,0.0,A,A,11805,False,False,False,0001589791-26-000013,https://www.sec.gov/Archives/edgar/data/31462/000158979126000013/0001589791-26-000013.txt
NOWELL LIONEL L III,,2026-06-30,2026-07-02,130,0.0,0.0,A,A,6773,False,False,False,0001180436-26-000008,https://www.sec.gov/Archives/edgar/data/31462/000118043626000008/0001180436-26-000008.txt
McKibben Tracy B,,2026-06-30,2026-07-02,130,0.0,0.0,A,A,11667,False,False,False,0001584119-26-000024,https://www.sec.gov/Archives/edgar/data/31462/000158411926000024/0001584119-26-000024.txt
MacLennan David,,2026-06-30,2026-07-02,130,0.0,0.0,A,A,25380,False,False,False,0001498535-26-000012,https://www.sec.gov/Archives/edgar/data/31462/000149853526000012/0001498535-26-000012.txt
MacLennan David,,2026-06-30,2026-07-02,46,278.458,12809.07,A,A,25426,False,False,False,0001498535-26-000012,https://www.sec.gov/Archives/edgar/data/31462/000149853526000012/0001498535-26-000012.txt
LARSON MICHAEL,,2026-06-30,2026-07-02,130,0.0,0.0,A,A,19166,False,False,False,0001098825-26-000010,https://www.sec.gov/Archives/edgar/data/31462/000109882526000010/0001098825-26-000010.txt
Gross Marion K.,,2026-06-30,2026-07-02,130,0.0,0.0,A,A,597,False,False,False,0001942810-26-000008,https://www.sec.gov/Archives/edgar/data/31462/000194281026000008/0001942810-26-000008.txt
Green Eric Mark,,2026-06-30,2026-07-02,130,0.0,0.0,A,A,4113,False,False,False,0001336007-26-000008,https://www.sec.gov/Archives/edgar/data/31462/000133600726000008/0001336007-26-000008.txt
Green Eric Mark,,2026-06-30,2026-07-02,143,278.458,39819.49,A,A,4257,False,False,False,0001336007-26-000008,https://www.sec.gov/Archives/edgar/data/31462/000133600726000008/0001336007-26-000008.txt
Doukeris Michel D,,2026-06-30,2026-07-02,130,0.0,0.0,A,A,8457,False,False,False,0002058857-26-000010,https://www.sec.gov/Archives/edgar/data/31462/000205885726000010/0002058857-26-000010.txt
Ballard Shari L,,2026-06-30,2026-07-02,130,0.0,0.0,A,A,9554,False,False,False,0001311220-26-000008,https://www.sec.gov/Archives/edgar/data/31462/000131122026000008/0001311220-26-000008.txt
Ballard Shari L,,2026-06-30,2026-07-02,130,278.458,36199.54,A,A,9685,False,False,False,0001311220-26-000008,https://www.sec.gov/Archives/edgar/data/31462/000131122026000008/0001311220-26-000008.txt
Althoff Judson,,2026-06-30,2026-07-02,130,0.0,0.0,A,A,1272,False,False,False,0001868758-26-000012,https://www.sec.gov/Archives/edgar/data/31462/000186875826000012/0001868758-26-000012.txt
Clark Benjamin M.,EVP - Global Supply Chain,2026-06-11,2026-06-15,1000,263.831,263831.0,A,P,1082,False,False,False,0002082984-26-000002,https://www.sec.gov/Archives/edgar/data/31462/000208298426000002/0002082984-26-000002.txt
Doukeris Michel D,,2026-06-10,2026-06-11,7750,258.0,1999500.0,A,P,8326,False,False,False,0002058857-26-000008,https://www.sec.gov/Archives/edgar/data/31462/000205885726000008/0002058857-26-000008.txt
Brown Darrell R,Co-COO - Global Markets,2026-06-09,2026-06-10,10000,117.73,1177300.0,A,M,42733,False,False,False,0001727287-26-000007,https://www.sec.gov/Archives/edgar/data/31462/000172728726000007/0001727287-26-000007.txt
Brown Darrell R,Co-COO - Global Markets,2026-06-09,2026-06-10,10000,260.887,2608870.0,D,S,32733,False,False,False,0001727287-26-000007,https://www.sec.gov/Archives/edgar/data/31462/000172728726000007/0001727287-26-000007.txt
Vautrinot Suzanne M,,2026-05-27,2026-05-27,1004,264.98,266039.92,D,S,11651,False,False,False,0001589791-26-000011,https://www.sec.gov/Archives/edgar/data/31462/000158979126000011/0001589791-26-000011.txt
Vautrinot Suzanne M,,2026-05-22,2026-05-27,2000,125.665,251330.0,A,M,13651,False,False,False,0001589791-26-000011,https://www.sec.gov/Archives/edgar/data/31462/000158979126000011/0001589791-26-000011.txt
Vautrinot Suzanne M,,2026-05-22,2026-05-27,996,252.267,251257.93,D,F,12655,False,False,False,0001589791-26-000011,https://www.sec.gov/Archives/edgar/data/31462/000158979126000011/0001589791-26-000011.txt
MacLennan David,,2026-05-13,2026-05-14,1000,250.65,250650.0,A,P,25230,False,False,False,0001498535-26-000008,https://www.sec.gov/Archives/edgar/data/31462/000149853526000008/0001498535-26-000008.txt
MacLennan David,,2026-05-04,2026-05-05,800,256.912,205529.6,A,P,24230,False,False,False,0001498535-26-000006,https://www.sec.gov/Archives/edgar/data/31462/000149853526000006/0001498535-26-000006.txt
Cook Gregory B,Co-COO - Global Businesses,2026-05-04,2026-05-06,8396,0.0,0.0,A,M,20069,False,False,False,0001989181-26-000008,https://www.sec.gov/Archives/edgar/data/31462/000198918126000008/0001989181-26-000008.txt
Cook Gregory B,Co-COO - Global Businesses,2026-05-04,2026-05-06,3828,257.925,987336.9,D,F,16240,False,False,False,0001989181-26-000008,https://www.sec.gov/Archives/edgar/data/31462/000198918126000008/0001989181-26-000008.txt
ZILLMER JOHN J,,2026-03-31,2026-04-02,137,0.0,0.0,A,A,49191,False,False,False,0001188262-26-000005,https://www.sec.gov/Archives/edgar/data/31462/000118826226000005/0001188262-26-000005.txt
Whalen Julie,,2026-03-31,2026-04-02,137,0.0,0.0,A,A,341,False,False,False,0001274281-26-000004,https://www.sec.gov/Archives/edgar/data/31462/000127428126000004/0001274281-26-000004.txt
Vautrinot Suzanne M,,2026-03-31,2026-04-02,137,0.0,0.0,A,A,11651,False,False,False,0001589791-26-000005,https://www.sec.gov/Archives/edgar/data/31462/000158979126000005/0001589791-26-000005.txt
REICH VICTORIA,,2026-03-31,2026-04-02,137,0.0,0.0,A,A,25376,False,False,False,0001217635-26-000008,https://www.sec.gov/Archives/edgar/data/31462/000121763526000008/0001217635-26-000008.txt
NOWELL LIONEL L III,,2026-03-31,2026-04-02,137,0.0,0.0,A,A,6625,False,False,False,0001180436-26-000004,https://www.sec.gov/Archives/edgar/data/31462/000118043626000004/0001180436-26-000004.txt
McKibben Tracy B,,2026-03-31,2026-04-02,137,0.0,0.0,A,A,11515,False,False,False,0001584119-26-000013,https://www.sec.gov/Archives/edgar/data/31462/000158411926000013/0001584119-26-000013.txt
MacLennan David,,2026-03-31,2026-04-02,137,0.0,0.0,A,A,23381,False,False,False,0001498535-26-000004,https://www.sec.gov/Archives/edgar/data/31462/000149853526000004/0001498535-26-000004.txt
MacLennan David,,2026-03-31,2026-04-02,48,263.03,12625.44,A,A,23430,False,False,False,0001498535-26-000004,https://www.sec.gov/Archives/edgar/data/31462/000149853526000004/0001498535-26-000004.txt
LARSON MICHAEL,,2026-03-31,2026-04-02,137,0.0,0.0,A,A,19007,False,False,False,0001098825-26-000006,https://www.sec.gov/Archives/edgar/data/31462/000109882526000006/0001098825-26-000006.txt
Gross Marion K.,,2026-03-31,2026-04-02,137,0.0,0.0,A,A,466,False,False,False,0001942810-26-000004,https://www.sec.gov/Archives/edgar/data/31462/000194281026000004/0001942810-26-000004.txt
Green Eric Mark,,2026-03-31,2026-04-02,137,0.0,0.0,A,A,3821,False,False,False,0001336007-26-000004,https://www.sec.gov/Archives/edgar/data/31462/000133600726000004/0001336007-26-000004.txt
Green Eric Mark,,2026-03-31,2026-04-02,152,263.03,39980.56,A,A,3973,False,False,False,0001336007-26-000004,https://www.sec.gov/Archives/edgar/data/31462/000133600726000004/0001336007-26-000004.txt
Doukeris Michel D,,2026-03-31,2026-04-02,137,0.0,0.0,A,A,576,False,False,False,0002058857-26-000004,https://www.sec.gov/Archives/edgar/data/31462/000205885726000004/0002058857-26-000004.txt
Ballard Shari L,,2026-03-31,2026-04-02,137,0.0,0.0,A,A,9262,False,False,False,0001311220-26-000004,https://www.sec.gov/Archives/edgar/data/31462/000131122026000004/0001311220-26-000004.txt
Ballard Shari L,,2026-03-31,2026-04-02,137,263.03,36035.11,A,A,9400,False,False,False,0001311220-26-000004,https://www.sec.gov/Archives/edgar/data/31462/000131122026000004/0001311220-26-000004.txt
Althoff Judson,,2026-03-31,2026-04-02,137,0.0,0.0,A,A,1139,False,False,False,0001868758-26-000004,https://www.sec.gov/Archives/edgar/data/31462/000186875826000004/0001868758-26-000004.txt
LARSON MICHAEL,,2026-03-27,2026-03-30,2300,115.075,264672.5,A,M,19848,False,False,False,0001098825-26-000004,https://www.sec.gov/Archives/edgar/data/31462/000109882526000004/0001098825-26-000004.txt
LARSON MICHAEL,,2026-03-27,2026-03-30,1006,262.885,264462.31,D,F,18842,False,False,False,0001098825-26-000004,https://www.sec.gov/Archives/edgar/data/31462/000109882526000004/0001098825-26-000004.txt
Cook Gregory B,EVP & PRES - INST GROUP,2026-02-26,2026-02-27,3800,137.087,520930.6,A,M,15192,False,False,False,0001989181-26-000006,https://www.sec.gov/Archives/edgar/data/31462/000198918126000006/0001989181-26-000006.txt
Cook Gregory B,EVP & PRES - INST GROUP,2026-02-26,2026-02-27,3519,304.25,1070655.75,D,S,11673,False,False,False,0001989181-26-000006,https://www.sec.gov/Archives/edgar/data/31462/000198918126000006/0001989181-26-000006.txt
McKibben Tracy B,,2026-02-25,2026-02-26,2300,115.075,264672.5,A,M,12622,False,False,False,0001584119-26-000008,https://www.sec.gov/Archives/edgar/data/31462/000158411926000008/0001584119-26-000008.txt
McKibben Tracy B,,2026-02-25,2026-02-26,1265,308.66,390454.9,D,S,11357,False,False,False,0001584119-26-000008,https://www.sec.gov/Archives/edgar/data/31462/000158411926000008/0001584119-26-000008.txt
King Margeaux,EVP - Human Resources,2026-02-25,2026-02-26,1662,0.0,0.0,A,M,1674,False,False,False,0001940649-26-000002,https://www.sec.gov/Archives/edgar/data/31462/000194064926000002/0001940649-26-000002.txt
King Margeaux,EVP - Human Resources,2026-02-25,2026-02-26,527,306.04,161283.08,D,F,1146,False,False,False,0001940649-26-000002,https://www.sec.gov/Archives/edgar/data/31462/000194064926000002/0001940649-26-000002.txt
Kirkland Scott D,CHIEF FINANCIAL OFFICER,2026-02-24,2026-02-25,404,0.0,0.0,D,G,16909,False,False,False,0001779234-26-000004,https://www.sec.gov/Archives/edgar/data/31462/000177923426000004/0001779234-26-000004.txt
Beck Christophe,CHAIRMAN & CEO,2026-02-24,2026-02-25,23833,117.73,2805859.09,A,M,110794,False,False,False,0001471500-26-000006,https://www.sec.gov/Archives/edgar/data/31462/000147150026000006/0001471500-26-000006.txt
Beck Christophe,CHAIRMAN & CEO,2026-02-24,2026-02-25,18120,307.316,5568565.92,D,S,92674,False,False,False,0001471500-26-000006,https://www.sec.gov/Archives/edgar/data/31462/000147150026000006/0001471500-26-000006.txt
Beck Christophe,CHAIRMAN & CEO,2026-02-24,2026-02-25,1880,307.87,578795.6,D,S,90794,False,False,False,0001471500-26-000006,https://www.sec.gov/Archives/edgar/data/31462/000147150026000006/0001471500-26-000006.txt
Kirkland Scott D,CHIEF FINANCIAL OFFICER,2026-02-18,2026-02-20,9740,0.0,0.0,A,A,21269,False,False,False,0001779234-26-000002,https://www.sec.gov/Archives/edgar/data/31462/000177923426000002/0001779234-26-000002.txt
