insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
TILLMAN AUDREY B,,2026-05-07,2026-05-11,1253,175.62,220051.86,A,A,6677,False,True,False,0001225208-26-005097,https://www.sec.gov/Archives/edgar/data/33185/000122520826005097/0001225208-26-005097.txt
Smith Melissa D,,2026-05-07,2026-05-11,1253,175.62,220051.86,A,A,6802,False,True,False,0001225208-26-005096,https://www.sec.gov/Archives/edgar/data/33185/000122520826005096/0001225208-26-005096.txt
McKinley John A,,2026-05-07,2026-05-11,1253,175.62,220051.86,A,A,34717,False,True,False,0001225208-26-005095,https://www.sec.gov/Archives/edgar/data/33185/000122520826005095/0001225208-26-005095.txt
MCGREGOR SCOTT A,,2026-05-07,2026-05-11,1253,175.62,220051.86,A,A,11308,False,True,False,0001225208-26-005094,https://www.sec.gov/Archives/edgar/data/33185/000122520826005094/0001225208-26-005094.txt
MARCUS ROBERT D,,2026-05-07,2026-05-11,1253,175.62,220051.86,A,A,18349,False,True,False,0001225208-26-005093,https://www.sec.gov/Archives/edgar/data/33185/000122520826005093/0001225208-26-005093.txt
Larson Barbara A,,2026-05-07,2026-05-11,1253,175.62,220051.86,A,A,3877,False,True,False,0001225208-26-005092,https://www.sec.gov/Archives/edgar/data/33185/000122520826005092/0001225208-26-005092.txt
HOUGH G. THOMAS,,2026-05-07,2026-05-11,1253,175.62,220051.86,A,A,16309,False,True,False,0001225208-26-005091,https://www.sec.gov/Archives/edgar/data/33185/000122520826005091/0001225208-26-005091.txt
Fichuk Karen L,,2026-05-07,2026-05-11,1253,175.62,220051.86,A,A,4993,False,True,False,0001225208-26-005090,https://www.sec.gov/Archives/edgar/data/33185/000122520826005090/0001225208-26-005090.txt
FEIDLER MARK L,,2026-05-07,2026-05-11,1253,175.62,220051.86,A,A,25077,False,True,False,0001225208-26-005089,https://www.sec.gov/Archives/edgar/data/33185/000122520826005089/0001225208-26-005089.txt
Borton Chad M,"EVP, Pres Workforce Solutions",2026-05-07,2026-05-08,2455,173.89,426899.95,D,S,29518,True,False,True,0001225208-26-005021,https://www.sec.gov/Archives/edgar/data/33185/000122520826005021/0001225208-26-005021.txt
Borton Chad M,"EVP, Pres Workforce Solutions",2026-05-06,2026-05-08,1934,173.2,334968.8,D,F,31973,True,False,True,0001225208-26-005021,https://www.sec.gov/Archives/edgar/data/33185/000122520826005021/0001225208-26-005021.txt
GAMBLE JOHN W JR,"EVP, CFO & COO",2026-05-01,2026-05-05,3500,176.54,617890.0,D,S,73464,True,False,True,0001225208-26-004938,https://www.sec.gov/Archives/edgar/data/33185/000122520826004938/0001225208-26-004938.txt
Begor Mark W,CEO,2026-04-24,2026-04-28,37791,112.46,4249975.86,A,M,309521,True,True,True,0001225208-26-004682,https://www.sec.gov/Archives/edgar/data/33185/000122520826004682/0001225208-26-004682.txt
Begor Mark W,CEO,2026-04-24,2026-04-28,1717,174.3233,299313.11,D,S,307804,True,True,True,0001225208-26-004682,https://www.sec.gov/Archives/edgar/data/33185/000122520826004682/0001225208-26-004682.txt
Begor Mark W,CEO,2026-04-24,2026-04-28,4659,173.3864,807807.24,D,S,303145,True,True,True,0001225208-26-004682,https://www.sec.gov/Archives/edgar/data/33185/000122520826004682/0001225208-26-004682.txt
Begor Mark W,CEO,2026-04-24,2026-04-28,10944,171.5671,1877630.34,D,S,292201,True,True,True,0001225208-26-004682,https://www.sec.gov/Archives/edgar/data/33185/000122520826004682/0001225208-26-004682.txt
