insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Lowe Carol P,,2026-06-17,2026-06-18,950,844.5,802275.0,D,S,17278,False,True,False,0000105634-26-000105,https://www.sec.gov/Archives/edgar/data/105634/000010563426000105/0000105634-26-000105.txt
Walker-Lee Robin A,,2026-06-04,2026-06-05,230,0.0,0.0,A,A,6370,False,True,False,0000105634-26-000101,https://www.sec.gov/Archives/edgar/data/105634/000010563426000101/0000105634-26-000101.txt
Schwarzwaelder Steven,,2026-06-04,2026-06-05,230,0.0,0.0,A,A,16105,False,True,False,0000105634-26-000099,https://www.sec.gov/Archives/edgar/data/105634/000010563426000099/0000105634-26-000099.txt
ROCHE PATRICK J,,2026-06-04,2026-06-05,304,0.0,0.0,A,A,462,False,True,False,0000105634-26-000097,https://www.sec.gov/Archives/edgar/data/105634/000010563426000097/0000105634-26-000097.txt
MCEVOY M KEVIN,,2026-06-04,2026-06-05,230,0.0,0.0,A,A,13559,False,True,False,0000105634-26-000095,https://www.sec.gov/Archives/edgar/data/105634/000010563426000095/0000105634-26-000095.txt
Lowe Carol P,,2026-06-04,2026-06-05,304,0.0,0.0,A,A,18228,False,True,False,0000105634-26-000093,https://www.sec.gov/Archives/edgar/data/105634/000010563426000093/0000105634-26-000093.txt
Johnson Ronald L,,2026-06-04,2026-06-05,230,0.0,0.0,A,A,5424,False,True,False,0000105634-26-000091,https://www.sec.gov/Archives/edgar/data/105634/000010563426000091/0000105634-26-000091.txt
DAHL AMY E,,2026-06-04,2026-06-05,230,0.0,0.0,A,A,908,False,True,False,0000105634-26-000089,https://www.sec.gov/Archives/edgar/data/105634/000010563426000089/0000105634-26-000089.txt
Altmeyer John W,,2026-06-04,2026-06-05,304,0.0,0.0,A,A,33920,False,True,False,0000105634-26-000087,https://www.sec.gov/Archives/edgar/data/105634/000010563426000087/0000105634-26-000087.txt
Reid William P,,2026-05-11,2026-05-13,2000,925.78,1851560.0,D,S,10149,False,True,False,0000105634-26-000082,https://www.sec.gov/Archives/edgar/data/105634/000010563426000082/0000105634-26-000082.txt
Altmeyer John W,,2026-05-01,2026-05-05,2500,895.0,2237500.0,D,S,33616,False,True,False,0000105634-26-000076,https://www.sec.gov/Archives/edgar/data/105634/000010563426000076/0000105634-26-000076.txt
Schwarzwaelder Steven,,2026-04-30,2026-05-04,5602,895.19,5014854.38,D,S,15875,False,True,False,0000105634-26-000067,https://www.sec.gov/Archives/edgar/data/105634/000010563426000067/0000105634-26-000067.txt
Reid William P,,2026-04-30,2026-05-01,1,0.0,0.0,A,A,12149,False,True,False,0000105634-26-000065,https://www.sec.gov/Archives/edgar/data/105634/000010563426000065/0000105634-26-000065.txt
Nalbandian Jason R,"SVP, CFO, Chief Acct. Officer",2026-04-30,2026-05-04,800,856.43,685144.0,D,S,18157,False,False,True,0000105634-26-000071,https://www.sec.gov/Archives/edgar/data/105634/000010563426000071/0000105634-26-000071.txt
Nalbandian Jason R,"SVP, Chief Acct Officer & CFO",2026-04-30,2026-05-01,4,0.0,0.0,A,A,18957,False,False,True,0000105634-26-000061,https://www.sec.gov/Archives/edgar/data/105634/000010563426000061/0000105634-26-000061.txt
Mauricio Maxine Lum,"CAO, EVP & General Counsel",2026-04-30,2026-05-01,4,0.0,0.0,A,A,22480,False,False,True,0000105634-26-000059,https://www.sec.gov/Archives/edgar/data/105634/000010563426000059/0000105634-26-000059.txt
Lind Robert Peter,VP and Controller,2026-04-30,2026-05-04,675,894.27,603632.25,D,S,4216,False,False,True,0000105634-26-000073,https://www.sec.gov/Archives/edgar/data/105634/000010563426000073/0000105634-26-000073.txt
Guzzi Anthony,"Chairman, President and CEO",2026-04-30,2026-05-04,3000,0.0,0.0,D,G,167312,False,True,True,0000105634-26-000069,https://www.sec.gov/Archives/edgar/data/105634/000010563426000069/0000105634-26-000069.txt
Guzzi Anthony,"Chairman, President and CEO",2026-04-30,2026-05-01,13,0.0,0.0,A,A,170312,False,True,True,0000105634-26-000057,https://www.sec.gov/Archives/edgar/data/105634/000010563426000057/0000105634-26-000057.txt
Altmeyer John W,,2026-04-30,2026-05-01,2,0.0,0.0,A,A,36116,False,True,False,0000105634-26-000063,https://www.sec.gov/Archives/edgar/data/105634/000010563426000063/0000105634-26-000063.txt
Mauricio Maxine Lum,"CAO, EVP & General Counsel",2026-03-17,2026-03-18,1377,0.0,0.0,D,G,22476,False,False,True,0000105634-26-000041,https://www.sec.gov/Archives/edgar/data/105634/000010563426000041/0000105634-26-000041.txt
Guzzi Anthony,"Chairman, President and CEO",2026-03-05,2026-03-09,36000,729.48,26261280.0,D,S,170299,True,True,True,0000105634-26-000039,https://www.sec.gov/Archives/edgar/data/105634/000010563426000039/0000105634-26-000039.txt
Mauricio Maxine Lum,"CAO, EVP & General Counsel",2026-03-02,2026-03-03,3357,735.0,2467395.0,D,S,23853,False,False,True,0000105634-26-000037,https://www.sec.gov/Archives/edgar/data/105634/000010563426000037/0000105634-26-000037.txt
Nalbandian Jason R,"SVP, CFO, Chief Acct. Officer",2026-02-27,2026-03-02,734,724.62,531871.08,D,F,18953,False,False,True,0000105634-26-000029,https://www.sec.gov/Archives/edgar/data/105634/000010563426000029/0000105634-26-000029.txt
Mauricio Maxine Lum,"CAO, EVP & General Counsel",2026-02-27,2026-03-02,1709,724.62,1238375.58,D,F,27210,False,False,True,0000105634-26-000033,https://www.sec.gov/Archives/edgar/data/105634/000010563426000033/0000105634-26-000033.txt
Lind Robert Peter,VP and Controller,2026-02-27,2026-03-02,233,724.62,168836.46,D,F,4891,False,False,True,0000105634-26-000035,https://www.sec.gov/Archives/edgar/data/105634/000010563426000035/0000105634-26-000035.txt
Guzzi Anthony,"Chairman, President and CEO",2026-02-27,2026-03-02,8303,724.62,6016519.86,D,F,206299,False,True,True,0000105634-26-000031,https://www.sec.gov/Archives/edgar/data/105634/000010563426000031/0000105634-26-000031.txt
Reid William P,,2026-01-30,2026-02-02,1,0.0,0.0,A,A,12148,False,True,False,0000105634-26-000020,https://www.sec.gov/Archives/edgar/data/105634/000010563426000020/0000105634-26-000020.txt
Nalbandian Jason R,"SVP, Chief Acct Officer & CFO",2026-01-30,2026-02-02,4,0.0,0.0,A,A,19687,False,False,True,0000105634-26-000014,https://www.sec.gov/Archives/edgar/data/105634/000010563426000014/0000105634-26-000014.txt
Mauricio Maxine Lum,"CAO, EVP & General Counsel",2026-01-30,2026-02-02,6,0.0,0.0,A,A,28919,False,False,True,0000105634-26-000012,https://www.sec.gov/Archives/edgar/data/105634/000010563426000012/0000105634-26-000012.txt
Lowe Carol P,,2026-01-30,2026-02-02,1,0.0,0.0,A,A,17924,False,True,False,0000105634-26-000018,https://www.sec.gov/Archives/edgar/data/105634/000010563426000018/0000105634-26-000018.txt
Guzzi Anthony,"Chairman, President and CEO",2026-01-30,2026-02-02,25,0.0,0.0,A,A,214602,False,True,True,0000105634-26-000010,https://www.sec.gov/Archives/edgar/data/105634/000010563426000010/0000105634-26-000010.txt
Altmeyer John W,,2026-01-30,2026-02-02,4,0.0,0.0,A,A,36114,False,True,False,0000105634-26-000016,https://www.sec.gov/Archives/edgar/data/105634/000010563426000016/0000105634-26-000016.txt
Nalbandian Jason R,"SVP, Chief Acct Officer & CFO",2026-01-02,2026-01-05,1507,0.0,0.0,A,A,19683,False,False,True,0000105634-26-000006,https://www.sec.gov/Archives/edgar/data/105634/000010563426000006/0000105634-26-000006.txt
Mauricio Maxine Lum,"EVP, CAO and General Counsel",2026-01-02,2026-01-05,1507,0.0,0.0,A,A,28913,False,False,True,0000105634-26-000004,https://www.sec.gov/Archives/edgar/data/105634/000010563426000004/0000105634-26-000004.txt
Lind Robert Peter,VP and Controller,2026-01-02,2026-01-05,327,0.0,0.0,A,A,5124,False,False,True,0000105634-26-000008,https://www.sec.gov/Archives/edgar/data/105634/000010563426000008/0000105634-26-000008.txt
Guzzi Anthony,"Chairman, President and CEO",2026-01-02,2026-01-05,7261,0.0,0.0,A,A,214577,False,True,True,0000105634-26-000002,https://www.sec.gov/Archives/edgar/data/105634/000010563426000002/0000105634-26-000002.txt
Lind Robert Peter,VP and Controller,2025-12-23,2026-01-05,0,625.09,0.0,D,S,4797,False,False,True,0000105634-26-000008,https://www.sec.gov/Archives/edgar/data/105634/000010563426000008/0000105634-26-000008.txt
Lind Robert Peter,VP and Controller,2025-12-08,2026-01-05,249,629.22,156675.78,D,F,4797,False,False,True,0000105634-26-000008,https://www.sec.gov/Archives/edgar/data/105634/000010563426000008/0000105634-26-000008.txt
Walker-Lee Robin A,,2025-11-03,2025-11-05,1325,677.22,897316.5,D,S,6140,False,True,False,0000105634-25-000095,https://www.sec.gov/Archives/edgar/data/105634/000010563425000095/0000105634-25-000095.txt
Reid William P,,2025-10-30,2025-10-31,1,0.0,0.0,A,A,12147,False,True,False,0000105634-25-000092,https://www.sec.gov/Archives/edgar/data/105634/000010563425000092/0000105634-25-000092.txt
Nalbandian Jason R,"SVP, Chief Acct Officer & CFO",2025-10-30,2025-10-31,1,0.0,0.0,A,A,18176,False,False,True,0000105634-25-000088,https://www.sec.gov/Archives/edgar/data/105634/000010563425000088/0000105634-25-000088.txt
Mauricio Maxine Lum,"CAO, EVP & General Counsel",2025-10-30,2025-10-31,3,0.0,0.0,A,A,27406,False,False,True,0000105634-25-000086,https://www.sec.gov/Archives/edgar/data/105634/000010563425000086/0000105634-25-000086.txt
Guzzi Anthony,"Chairman, President and CEO",2025-10-30,2025-10-31,12,0.0,0.0,A,A,207316,False,True,True,0000105634-25-000084,https://www.sec.gov/Archives/edgar/data/105634/000010563425000084/0000105634-25-000084.txt
Altmeyer John W,,2025-10-30,2025-10-31,2,0.0,0.0,A,A,36110,False,True,False,0000105634-25-000090,https://www.sec.gov/Archives/edgar/data/105634/000010563425000090/0000105634-25-000090.txt
ROCHE PATRICK J,,2025-10-27,2025-10-29,158,0.0,0.0,A,A,158,False,True,False,0000105634-25-000075,https://www.sec.gov/Archives/edgar/data/105634/000010563425000075/0000105634-25-000075.txt
Reid William P,,2025-07-31,2025-08-01,1,0.0,0.0,A,A,12146,False,True,False,0001062993-25-013423,https://www.sec.gov/Archives/edgar/data/105634/000106299325013423/0001062993-25-013423.txt
Nalbandian Jason R,"SVP, Chief Acct Officer & CFO",2025-07-31,2025-08-01,2,0.0,0.0,A,A,18175,False,False,True,0001062993-25-013418,https://www.sec.gov/Archives/edgar/data/105634/000106299325013418/0001062993-25-013418.txt
