insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Trivedi Shanker,,2026-06-12,2026-06-15,1000,53.91,53910.0,A,P,1000,False,True,False,0001337887-26-000004,https://www.sec.gov/Archives/edgar/data/1463101/000133788726000004/0001337887-26-000004.txt
Trivedi Shanker,,2026-06-11,2026-06-15,4551,54.93,249986.43,A,A,4551,False,True,False,0001337887-26-000004,https://www.sec.gov/Archives/edgar/data/1463101/000133788726000004/0001337887-26-000004.txt
MORA RICHARD,,2026-06-01,2026-06-04,700,64.2,44940.0,D,S,13922,False,True,False,0001599770-26-000005,https://www.sec.gov/Archives/edgar/data/1463101/000159977026000005/0001599770-26-000005.txt
Kothandaraman Badrinarayanan,President & CEO,2026-05-26,2026-05-26,4400,67.3749,296449.56,A,P,1645032,False,True,True,0001543777-26-000005,https://www.sec.gov/Archives/edgar/data/1463101/000154377726000005/0001543777-26-000005.txt
Kothandaraman Badrinarayanan,President & CEO,2026-05-26,2026-05-26,600,68.3867,41032.02,A,P,1645632,False,True,True,0001543777-26-000005,https://www.sec.gov/Archives/edgar/data/1463101/000154377726000005/0001543777-26-000005.txt
MORA RICHARD,,2026-05-19,2026-05-21,700,46.39,32473.0,D,S,14622,False,True,False,0001599770-26-000004,https://www.sec.gov/Archives/edgar/data/1463101/000159977026000004/0001599770-26-000004.txt
Rodgers Thurman J,,2026-05-13,2026-05-15,5952,0.0,0.0,A,A,8542,False,True,False,0001183967-26-000002,https://www.sec.gov/Archives/edgar/data/1463101/000118396726000002/0001183967-26-000002.txt
Malchow Joseph Ian,,2026-05-13,2026-05-15,5952,0.0,0.0,A,A,69912,False,True,False,0001807142-26-000001,https://www.sec.gov/Archives/edgar/data/1463101/000180714226000001/0001807142-26-000001.txt
MORA RICHARD,,2026-05-13,2026-05-15,5952,0.0,0.0,A,A,15322,False,True,False,0001599770-26-000003,https://www.sec.gov/Archives/edgar/data/1463101/000159977026000003/0001599770-26-000003.txt
Kortlang Benjamin John,,2026-05-13,2026-05-15,5952,0.0,0.0,A,A,14059,False,True,False,0001543816-26-000001,https://www.sec.gov/Archives/edgar/data/1463101/000154381626000001/0001543816-26-000001.txt
Haenggi Jamie Elizabeth,,2026-05-13,2026-05-15,5952,0.0,0.0,A,A,20898,False,True,False,0001399678-26-000001,https://www.sec.gov/Archives/edgar/data/1463101/000139967826000001/0001399678-26-000001.txt
GOMO STEVEN J,,2026-05-13,2026-05-15,6428,0.0,0.0,A,A,14359,False,True,False,0001224095-26-000002,https://www.sec.gov/Archives/edgar/data/1463101/000122409526000002/0001224095-26-000002.txt
Rodgers Thurman J,,2026-03-13,2026-03-17,137250,43.6133,5985925.43,D,S,1597641,False,True,False,0001183967-26-000001,https://www.sec.gov/Archives/edgar/data/1463101/000118396726000001/0001183967-26-000001.txt
Yang Mandy,"EVP, Chief Financial Officer",2026-03-10,2026-03-12,1322,43.59,57625.98,D,F,90335,False,False,True,0001645551-26-000004,https://www.sec.gov/Archives/edgar/data/1463101/000164555126000004/0001645551-26-000004.txt
Yang Mandy,"EVP, Chief Financial Officer",2026-03-01,2026-03-03,1664,42.27,70337.28,D,F,109563,False,False,True,0001645551-26-000003,https://www.sec.gov/Archives/edgar/data/1463101/000164555126000003/0001645551-26-000003.txt
Yang Mandy,"EVP, Chief Financial Officer",2026-03-01,2026-03-03,3023,42.27,127782.21,D,F,106540,False,False,True,0001645551-26-000003,https://www.sec.gov/Archives/edgar/data/1463101/000164555126000003/0001645551-26-000003.txt
Yang Mandy,"EVP, Chief Financial Officer",2026-03-01,2026-03-03,3721,42.27,157286.67,D,F,102819,False,False,True,0001645551-26-000003,https://www.sec.gov/Archives/edgar/data/1463101/000164555126000003/0001645551-26-000003.txt
Yang Mandy,"EVP, Chief Financial Officer",2026-03-01,2026-03-03,11162,42.27,471817.74,D,F,91657,False,False,True,0001645551-26-000003,https://www.sec.gov/Archives/edgar/data/1463101/000164555126000003/0001645551-26-000003.txt
Kothandaraman Badrinarayanan,President & CEO,2026-03-01,2026-03-03,4883,42.27,206404.41,D,F,138537,False,True,True,0001543777-26-000004,https://www.sec.gov/Archives/edgar/data/1463101/000154377726000004/0001543777-26-000004.txt
Kothandaraman Badrinarayanan,President & CEO,2026-03-01,2026-03-03,5935,42.27,250872.45,D,F,132602,False,True,True,0001543777-26-000004,https://www.sec.gov/Archives/edgar/data/1463101/000154377726000004/0001543777-26-000004.txt
Kothandaraman Badrinarayanan,President & CEO,2026-03-01,2026-03-03,7122,42.27,301046.94,D,F,125480,False,True,True,0001543777-26-000004,https://www.sec.gov/Archives/edgar/data/1463101/000154377726000004/0001543777-26-000004.txt
Kothandaraman Badrinarayanan,President & CEO,2026-03-01,2026-03-03,21365,42.27,903098.55,D,F,104115,False,True,True,0001543777-26-000004,https://www.sec.gov/Archives/edgar/data/1463101/000154377726000004/0001543777-26-000004.txt
Erginsoy Mary,"VP, Chief Accounting Officer",2026-03-01,2026-03-03,464,42.27,19613.28,D,F,38715,False,False,True,0002022111-26-000003,https://www.sec.gov/Archives/edgar/data/1463101/000202211126000003/0002022111-26-000003.txt
Erginsoy Mary,"VP, Chief Accounting Officer",2026-03-01,2026-03-03,989,42.27,41805.03,D,F,37726,False,False,True,0002022111-26-000003,https://www.sec.gov/Archives/edgar/data/1463101/000202211126000003/0002022111-26-000003.txt
Erginsoy Mary,"VP, Chief Accounting Officer",2026-03-01,2026-03-03,1791,42.27,75705.57,D,F,35935,False,False,True,0002022111-26-000003,https://www.sec.gov/Archives/edgar/data/1463101/000202211126000003/0002022111-26-000003.txt
Erginsoy Mary,"VP, Chief Accounting Officer",2026-03-01,2026-03-03,5398,42.27,228173.46,D,F,30537,False,False,True,0002022111-26-000003,https://www.sec.gov/Archives/edgar/data/1463101/000202211126000003/0002022111-26-000003.txt
MORA RICHARD,,2026-02-10,2026-02-12,1100,52.0488,57253.68,D,S,9370,False,True,False,0001599770-26-000002,https://www.sec.gov/Archives/edgar/data/1463101/000159977026000002/0001599770-26-000002.txt
Kothandaraman Badrinarayanan,President & CEO,2026-02-05,2026-02-05,750,51.064,38298.0,A,P,1636382,False,True,True,0001543777-26-000003,https://www.sec.gov/Archives/edgar/data/1463101/000154377726000003/0001543777-26-000003.txt
Kothandaraman Badrinarayanan,President & CEO,2026-02-05,2026-02-05,4250,52.1378,221585.65,A,P,1640632,False,True,True,0001543777-26-000003,https://www.sec.gov/Archives/edgar/data/1463101/000154377726000003/0001543777-26-000003.txt
Yang Mandy,"EVP, Chief Financial Officer",2026-01-29,2026-01-30,21120,0.0,0.0,A,A,111227,False,False,True,0001645551-26-000002,https://www.sec.gov/Archives/edgar/data/1463101/000164555126000002/0001645551-26-000002.txt
Kothandaraman Badrinarayanan,President & CEO,2026-01-29,2026-01-30,33000,0.0,0.0,A,A,143420,False,True,True,0001543777-26-000002,https://www.sec.gov/Archives/edgar/data/1463101/000154377726000002/0001543777-26-000002.txt
Erginsoy Mary,"VP, Chief Accounting Officer",2026-01-29,2026-01-30,10560,0.0,0.0,A,A,39179,False,False,True,0002022111-26-000002,https://www.sec.gov/Archives/edgar/data/1463101/000202211126000002/0002022111-26-000002.txt
Yang Mandy,"EVP, Chief Financial Officer",2026-01-22,2026-01-23,21120,0.0,0.0,A,A,90107,False,False,True,0001645551-26-000001,https://www.sec.gov/Archives/edgar/data/1463101/000164555126000001/0001645551-26-000001.txt
Kothandaraman Badrinarayanan,President & CEO,2026-01-22,2026-01-23,39600,0.0,0.0,A,A,110420,False,True,True,0001543777-26-000001,https://www.sec.gov/Archives/edgar/data/1463101/000154377726000001/0001543777-26-000001.txt
Erginsoy Mary,"VP, Chief Accounting Officer",2026-01-22,2026-01-23,10560,0.0,0.0,A,A,28619,False,False,True,0002022111-26-000001,https://www.sec.gov/Archives/edgar/data/1463101/000202211126000001/0002022111-26-000001.txt
Yang Mandy,"EVP, Chief Financial Officer",2025-12-12,2025-12-12,6000,33.01,198060.0,D,S,68987,True,False,True,0001645551-25-000003,https://www.sec.gov/Archives/edgar/data/1463101/000164555125000003/0001645551-25-000003.txt
Yang Mandy,"EVP, Chief Financial Officer",2025-12-10,2025-12-12,1319,32.79,43250.01,D,F,74987,True,False,True,0001645551-25-000003,https://www.sec.gov/Archives/edgar/data/1463101/000164555125000003/0001645551-25-000003.txt
Rodgers Thurman J,,2025-12-02,2025-12-04,150000,29.1276,4369140.0,D,S,1733596,False,True,False,0001183967-25-000015,https://www.sec.gov/Archives/edgar/data/1463101/000118396725000015/0001183967-25-000015.txt
Kothandaraman Badrinarayanan,President & CEO,2025-11-10,2025-11-10,5000,30.6877,153438.5,A,P,1635632,False,True,True,0001543777-25-000005,https://www.sec.gov/Archives/edgar/data/1463101/000154377725000005/0001543777-25-000005.txt
Kothandaraman Badrinarayanan,President & CEO,2025-10-31,2025-11-03,10000,30.9317,309317.0,A,P,1630632,False,True,True,0001543777-25-000004,https://www.sec.gov/Archives/edgar/data/1463101/000154377725000004/0001543777-25-000004.txt
Yang Mandy,"EVP, Chief Financial Officer",2025-09-10,2025-09-11,1319,37.12,48961.28,D,F,76306,False,False,True,0001645551-25-000002,https://www.sec.gov/Archives/edgar/data/1463101/000164555125000002/0001645551-25-000002.txt
Kothandaraman Badrinarayanan,President & CEO,2025-08-06,2025-08-06,5000,30.824,154120.0,A,P,1620632,False,True,True,0001543777-25-000003,https://www.sec.gov/Archives/edgar/data/1463101/000154377725000003/0001543777-25-000003.txt
