insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
COOK-NELSON KIMBERLY,EVP & Chief Operating Officer,2026-06-25,2026-06-26,5000,115.0,575000.0,D,S,30770,True,False,True,0000065984-26-000273,https://www.sec.gov/Archives/edgar/data/65984/000006598426000273/0000065984-26-000273.txt
FISACKERLY HALEY,,2026-06-03,2026-06-05,7128,54.24,386622.72,A,M,21310,True,False,False,0000065984-26-000259,https://www.sec.gov/Archives/edgar/data/65984/000006598426000259/0000065984-26-000259.txt
FISACKERLY HALEY,,2026-06-03,2026-06-05,3510,49.54,173885.4,A,M,24820,True,False,False,0000065984-26-000259,https://www.sec.gov/Archives/edgar/data/65984/000006598426000259/0000065984-26-000259.txt
FISACKERLY HALEY,,2026-06-03,2026-06-05,10638,110.0,1170180.0,D,S,14182,True,False,False,0000065984-26-000259,https://www.sec.gov/Archives/edgar/data/65984/000006598426000259/0000065984-26-000259.txt
Ropp Ralph Lewis,,2026-06-01,2026-06-02,684,0.0,0.0,A,A,2202,False,True,False,0000065984-26-000254,https://www.sec.gov/Archives/edgar/data/65984/000006598426000254/0000065984-26-000254.txt
Ropp Ralph Lewis,,2026-06-01,2026-06-02,221,0.0,0.0,A,A,2423,False,True,False,0000065984-26-000254,https://www.sec.gov/Archives/edgar/data/65984/000006598426000254/0000065984-26-000254.txt
PUCKETT KAREN A,,2026-06-01,2026-06-02,858,0.0,0.0,A,A,34002,False,True,False,0000065984-26-000252,https://www.sec.gov/Archives/edgar/data/65984/000006598426000252/0000065984-26-000252.txt
PUCKETT KAREN A,,2026-06-01,2026-06-02,221,0.0,0.0,A,A,34223,False,True,False,0000065984-26-000252,https://www.sec.gov/Archives/edgar/data/65984/000006598426000252/0000065984-26-000252.txt
LEVENICK STUART L,,2026-06-01,2026-06-02,858,0.0,0.0,A,A,46988,False,True,False,0000065984-26-000250,https://www.sec.gov/Archives/edgar/data/65984/000006598426000250/0000065984-26-000250.txt
LEVENICK STUART L,,2026-06-01,2026-06-02,221,0.0,0.0,A,A,47209,False,True,False,0000065984-26-000250,https://www.sec.gov/Archives/edgar/data/65984/000006598426000250/0000065984-26-000250.txt
Hyland M Elise,,2026-06-01,2026-06-02,221,0.0,0.0,A,A,18568,False,True,False,0000065984-26-000248,https://www.sec.gov/Archives/edgar/data/65984/000006598426000248/0000065984-26-000248.txt
Hyland M Elise,,2026-06-01,2026-06-02,858,0.0,0.0,A,A,19426,False,True,False,0000065984-26-000248,https://www.sec.gov/Archives/edgar/data/65984/000006598426000248/0000065984-26-000248.txt
FREDERICKSON PHILIP L,,2026-06-01,2026-06-02,858,0.0,0.0,A,A,33418,False,True,False,0000065984-26-000246,https://www.sec.gov/Archives/edgar/data/65984/000006598426000246/0000065984-26-000246.txt
FREDERICKSON PHILIP L,,2026-06-01,2026-06-02,221,0.0,0.0,A,A,33639,False,True,False,0000065984-26-000246,https://www.sec.gov/Archives/edgar/data/65984/000006598426000246/0000065984-26-000246.txt
Ellis Brian W,,2026-06-01,2026-06-02,858,0.0,0.0,A,A,14232,False,True,False,0000065984-26-000244,https://www.sec.gov/Archives/edgar/data/65984/000006598426000244/0000065984-26-000244.txt
Ellis Brian W,,2026-06-01,2026-06-02,221,0.0,0.0,A,A,14453,False,True,False,0000065984-26-000244,https://www.sec.gov/Archives/edgar/data/65984/000006598426000244/0000065984-26-000244.txt
DONALD KIRKLAND H,,2026-06-01,2026-06-02,858,0.0,0.0,A,A,24505,False,True,False,0000065984-26-000242,https://www.sec.gov/Archives/edgar/data/65984/000006598426000242/0000065984-26-000242.txt
CALDWELL JAMES FRANK JR,,2026-06-01,2026-06-02,221,0.0,0.0,A,A,523,False,True,False,0000065984-26-000240,https://www.sec.gov/Archives/edgar/data/65984/000006598426000240/0000065984-26-000240.txt
CALDWELL JAMES FRANK JR,,2026-06-01,2026-06-02,501,0.0,0.0,A,A,1024,False,True,False,0000065984-26-000240,https://www.sec.gov/Archives/edgar/data/65984/000006598426000240/0000065984-26-000240.txt
Burbank John R,,2026-06-01,2026-06-02,858,0.0,0.0,A,A,17777,False,True,False,0000065984-26-000238,https://www.sec.gov/Archives/edgar/data/65984/000006598426000238/0000065984-26-000238.txt
BLACK JOHN H.,,2026-06-01,2026-06-02,221,0.0,0.0,A,A,7425,False,True,False,0000065984-26-000236,https://www.sec.gov/Archives/edgar/data/65984/000006598426000236/0000065984-26-000236.txt
BLACK JOHN H.,,2026-06-01,2026-06-02,858,0.0,0.0,A,A,8283,False,True,False,0000065984-26-000236,https://www.sec.gov/Archives/edgar/data/65984/000006598426000236/0000065984-26-000236.txt
ADAMS GINA F.,,2026-06-01,2026-06-02,858,0.0,0.0,A,A,7830,False,True,False,0000065984-26-000234,https://www.sec.gov/Archives/edgar/data/65984/000006598426000234/0000065984-26-000234.txt
VIAMONTES ELIECER,,2026-03-02,2026-03-04,80,0.0,0.0,D,G,10337,False,False,False,0000065984-26-000204,https://www.sec.gov/Archives/edgar/data/65984/000006598426000204/0000065984-26-000204.txt
Ropp Ralph Lewis,,2026-03-02,2026-03-04,217,0.0,0.0,A,A,1515,False,True,False,0000065984-26-000202,https://www.sec.gov/Archives/edgar/data/65984/000006598426000202/0000065984-26-000202.txt
PUCKETT KAREN A,,2026-03-02,2026-03-04,217,0.0,0.0,A,A,33144,False,True,False,0000065984-26-000200,https://www.sec.gov/Archives/edgar/data/65984/000006598426000200/0000065984-26-000200.txt
LEVENICK STUART L,,2026-03-02,2026-03-04,217,0.0,0.0,A,A,46130,False,True,False,0000065984-26-000198,https://www.sec.gov/Archives/edgar/data/65984/000006598426000198/0000065984-26-000198.txt
