insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Caisley Charles A.,EVP & CHIEF CUST OFFCR,2026-06-15,2026-06-16,10787,83.4556,900235.56,D,S,37789,False,False,True,0001711269-26-000088,https://www.sec.gov/Archives/edgar/data/1711269/000171126926000088/0001711269-26-000088.txt
Lawrence Sandra AJ,,2026-06-03,2026-06-04,200,82.6269,16525.38,D,S,480,False,True,False,0001711269-26-000083,https://www.sec.gov/Archives/edgar/data/1711269/000171126926000083/0001711269-26-000083.txt
Lawrence Sandra AJ,,2026-06-02,2026-06-04,600,81.4138,48848.28,D,S,680,False,True,False,0001711269-26-000083,https://www.sec.gov/Archives/edgar/data/1711269/000171126926000083/0001711269-26-000083.txt
Lawrence Sandra AJ,,2026-05-29,2026-06-01,400,82.0402,32816.08,D,S,1280,False,True,False,0001711269-26-000081,https://www.sec.gov/Archives/edgar/data/1711269/000171126926000081/0001711269-26-000081.txt
Lawrence Sandra AJ,,2026-05-28,2026-06-01,761,83.3108,63399.52,D,S,1680,False,True,False,0001711269-26-000081,https://www.sec.gov/Archives/edgar/data/1711269/000171126926000081/0001711269-26-000081.txt
Sharma Neal A,,2026-05-06,2026-05-08,1961,0.0,0.0,A,A,7361,False,True,False,0001711269-26-000077,https://www.sec.gov/Archives/edgar/data/1711269/000171126926000077/0001711269-26-000077.txt
Scarola James,,2026-05-06,2026-05-08,1961,0.0,0.0,A,A,11794,False,True,False,0001711269-26-000075,https://www.sec.gov/Archives/edgar/data/1711269/000171126926000075/0001711269-26-000075.txt
Newton Dean A,,2026-05-06,2026-05-08,1961,0.0,0.0,A,A,4292,False,True,False,0001711269-26-000069,https://www.sec.gov/Archives/edgar/data/1711269/000171126926000069/0001711269-26-000069.txt
Murtlow Ann D.,,2026-05-06,2026-05-08,1961,0.0,0.0,A,A,4272,False,True,False,0001711269-26-000067,https://www.sec.gov/Archives/edgar/data/1711269/000171126926000067/0001711269-26-000067.txt
Lawrence Sandra AJ,,2026-05-06,2026-05-08,1961,0.0,0.0,A,A,2441,False,True,False,0001711269-26-000065,https://www.sec.gov/Archives/edgar/data/1711269/000171126926000065/0001711269-26-000065.txt
ISAAC B ANTHONY,,2026-05-06,2026-05-08,981,0.0,0.0,A,A,57228,False,True,False,0001711269-26-000059,https://www.sec.gov/Archives/edgar/data/1711269/000171126926000059/0001711269-26-000059.txt
