insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Witt Marshall,EVP - Chief Financial Officer,2026-06-29,2026-07-01,1670,0.0,0.0,A,A,2656,False,False,True,0001628280-26-046570,https://www.sec.gov/Archives/edgar/data/2082247/000162828026046570/0001628280-26-046570.txt
Witt Marshall,EVP - Chief Financial Officer,2026-06-29,2026-07-01,1954,0.0,0.0,A,A,4610,False,False,True,0001628280-26-046570,https://www.sec.gov/Archives/edgar/data/2082247/000162828026046570/0001628280-26-046570.txt
Smith Samantha M,,2026-06-29,2026-07-01,367,0.0,0.0,A,A,84158,False,True,False,0001628280-26-046552,https://www.sec.gov/Archives/edgar/data/2082247/000162828026046552/0001628280-26-046552.txt
Smith Samantha M,,2026-06-29,2026-07-01,1169,0.0,0.0,A,A,85327,False,True,False,0001628280-26-046552,https://www.sec.gov/Archives/edgar/data/2082247/000162828026046552/0001628280-26-046552.txt
Smith John Alan,"President, CEO and Director",2026-06-29,2026-07-01,6680,0.0,0.0,A,A,21516,False,True,True,0001628280-26-046562,https://www.sec.gov/Archives/edgar/data/2082247/000162828026046562/0001628280-26-046562.txt
Smith John Alan,"President, CEO and Director",2026-06-29,2026-07-01,7515,0.0,0.0,A,A,29031,False,True,True,0001628280-26-046562,https://www.sec.gov/Archives/edgar/data/2082247/000162828026046562/0001628280-26-046562.txt
Sauerland John P,,2026-06-29,2026-07-01,734,0.0,0.0,A,A,734,False,True,False,0001628280-26-046572,https://www.sec.gov/Archives/edgar/data/2082247/000162828026046572/0001628280-26-046572.txt
Sauerland John P,,2026-06-29,2026-07-01,1169,0.0,0.0,A,A,1903,False,True,False,0001628280-26-046572,https://www.sec.gov/Archives/edgar/data/2082247/000162828026046572/0001628280-26-046572.txt
Salcido Amy J,,2026-06-29,2026-07-01,367,0.0,0.0,A,A,367,False,True,False,0001628280-26-046553,https://www.sec.gov/Archives/edgar/data/2082247/000162828026046553/0001628280-26-046553.txt
Salcido Amy J,,2026-06-29,2026-07-01,1169,0.0,0.0,A,A,1536,False,True,False,0001628280-26-046553,https://www.sec.gov/Archives/edgar/data/2082247/000162828026046553/0001628280-26-046553.txt
Rodgers Michael,EVP - Chief Technology Officer,2026-06-29,2026-07-01,3340,0.0,0.0,A,A,3837,False,False,True,0001628280-26-046560,https://www.sec.gov/Archives/edgar/data/2082247/000162828026046560/0001628280-26-046560.txt
