insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Buse Elizabeth,,2026-06-10,2026-06-12,214,398.5275,85284.88,D,S,5733,False,True,False,0001428425-26-000004,https://www.sec.gov/Archives/edgar/data/1048695/000142842526000004/0001428425-26-000004.txt
Buse Elizabeth,,2026-06-10,2026-06-12,626,399.2851,249952.47,D,S,5107,False,True,False,0001428425-26-000004,https://www.sec.gov/Archives/edgar/data/1048695/000142842526000004/0001428425-26-000004.txt
Buse Elizabeth,,2026-06-10,2026-06-12,120,400.5783,48069.4,D,S,4987,False,True,False,0001428425-26-000004,https://www.sec.gov/Archives/edgar/data/1048695/000142842526000004/0001428425-26-000004.txt
Buse Elizabeth,,2026-06-10,2026-06-12,40,401.05,16042.0,D,S,4947,False,True,False,0001428425-26-000004,https://www.sec.gov/Archives/edgar/data/1048695/000142842526000004/0001428425-26-000004.txt
Werner Edward Cooper,Chief Financial Officer,2026-06-02,2026-06-03,2500,400.0,1000000.0,D,S,406,True,False,True,0002042647-26-000012,https://www.sec.gov/Archives/edgar/data/1048695/000204264726000012/0002042647-26-000012.txt
Werner Edward Cooper,Chief Financial Officer,2026-05-08,2026-05-12,1500,350.0,525000.0,D,S,2906,True,False,True,0002042647-26-000010,https://www.sec.gov/Archives/edgar/data/1048695/000204264726000010/0002042647-26-000010.txt
WHALEN CHAD MICHAEL,"EVP, Worldwide Sales",2026-05-08,2026-05-12,6200,350.1914,2171186.68,D,S,20832,True,False,True,0001746640-26-000006,https://www.sec.gov/Archives/edgar/data/1048695/000174664026000006/0001746640-26-000006.txt
Locoh-Donou Francois,"President, CEO & Director",2026-05-05,2026-05-07,40,331.05,13242.0,D,S,150732,True,True,True,0001526624-26-000010,https://www.sec.gov/Archives/edgar/data/1048695/000152662426000010/0001526624-26-000010.txt
Locoh-Donou Francois,"President, CEO & Director",2026-05-05,2026-05-07,200,332.522,66504.4,D,S,150532,True,True,True,0001526624-26-000010,https://www.sec.gov/Archives/edgar/data/1048695/000152662426000010/0001526624-26-000010.txt
Locoh-Donou Francois,"President, CEO & Director",2026-05-05,2026-05-07,80,335.275,26822.0,D,S,150452,True,True,True,0001526624-26-000010,https://www.sec.gov/Archives/edgar/data/1048695/000152662426000010/0001526624-26-000010.txt
Locoh-Donou Francois,"President, CEO & Director",2026-05-05,2026-05-07,1332,336.9244,448783.3,D,S,149120,True,True,True,0001526624-26-000010,https://www.sec.gov/Archives/edgar/data/1048695/000152662426000010/0001526624-26-000010.txt
Locoh-Donou Francois,"President, CEO & Director",2026-05-05,2026-05-07,1268,337.7807,428305.93,D,S,147852,True,True,True,0001526624-26-000010,https://www.sec.gov/Archives/edgar/data/1048695/000152662426000010/0001526624-26-000010.txt
