insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Behl Nikhil,"President, Software",2026-07-05,2026-07-07,242,0.0,0.0,A,M,18466,False,False,False,0001214659-26-008306,https://www.sec.gov/Archives/edgar/data/814547/000121465926008306/0001214659-26-008306.txt
Behl Nikhil,"President, Software",2026-07-05,2026-07-07,124,1270.83,157582.92,D,F,18342,False,False,False,0001214659-26-008306,https://www.sec.gov/Archives/edgar/data/814547/000121465926008306/0001214659-26-008306.txt
LANSING WILLIAM J,President and CEO,2026-06-05,2026-06-08,784,0.0,0.0,A,M,42922,False,False,False,0001214659-26-007242,https://www.sec.gov/Archives/edgar/data/814547/000121465926007242/0001214659-26-007242.txt
LANSING WILLIAM J,President and CEO,2026-06-05,2026-06-08,236,1137.33,268409.88,D,F,42686,False,False,False,0001214659-26-007242,https://www.sec.gov/Archives/edgar/data/814547/000121465926007242/0001214659-26-007242.txt
Behl Nikhil,"President, Software",2026-05-23,2026-05-27,2194,0.0,0.0,A,M,19222,False,False,False,0001214659-26-006801,https://www.sec.gov/Archives/edgar/data/814547/000121465926006801/0001214659-26-006801.txt
Behl Nikhil,"President, Software",2026-05-23,2026-05-27,998,1239.91,1237430.18,D,F,18224,False,False,False,0001214659-26-006801,https://www.sec.gov/Archives/edgar/data/814547/000121465926006801/0001214659-26-006801.txt
Weber Steven P.,Executive Vice President & CFO,2026-05-15,2026-05-19,706,0.0,0.0,A,M,3227,False,False,False,0001214659-26-006582,https://www.sec.gov/Archives/edgar/data/814547/000121465926006582/0001214659-26-006582.txt
Weber Steven P.,Executive Vice President & CFO,2026-05-15,2026-05-19,310,1098.59,340562.9,D,F,2917,False,False,False,0001214659-26-006582,https://www.sec.gov/Archives/edgar/data/814547/000121465926006582/0001214659-26-006582.txt
Stansbury Henry Tayloe,,2026-03-04,2026-03-06,77,0.0,0.0,A,M,260,False,False,False,0001214659-26-002950,https://www.sec.gov/Archives/edgar/data/814547/000121465926002950/0001214659-26-002950.txt
Rey David A,,2026-03-04,2026-03-06,94,0.0,0.0,A,M,5061,False,False,False,0001214659-26-002951,https://www.sec.gov/Archives/edgar/data/814547/000121465926002951/0001214659-26-002951.txt
Manolis Eva,,2026-03-04,2026-03-06,154,0.0,0.0,A,M,498,False,False,False,0001214659-26-002954,https://www.sec.gov/Archives/edgar/data/814547/000121465926002954/0001214659-26-002954.txt
MCMORRIS MARC F,,2026-03-04,2026-03-06,77,0.0,0.0,A,M,319,False,False,False,0001214659-26-002953,https://www.sec.gov/Archives/edgar/data/814547/000121465926002953/0001214659-26-002953.txt
KELLY BRADEN R,,2026-03-04,2026-03-06,171,0.0,0.0,A,M,10872,False,False,False,0001214659-26-002955,https://www.sec.gov/Archives/edgar/data/814547/000121465926002955/0001214659-26-002955.txt
ARREDONDO FABIOLA R,,2026-03-04,2026-03-06,154,0.0,0.0,A,M,2082,False,False,False,0001214659-26-002956,https://www.sec.gov/Archives/edgar/data/814547/000121465926002956/0001214659-26-002956.txt
Manolis Eva,,2026-02-25,2026-02-27,520,247.82,128866.4,A,M,864,True,False,False,0001214659-26-002622,https://www.sec.gov/Archives/edgar/data/814547/000121465926002622/0001214659-26-002622.txt
Manolis Eva,,2026-02-25,2026-02-27,520,1227.63,638367.6,D,S,344,True,False,False,0001214659-26-002622,https://www.sec.gov/Archives/edgar/data/814547/000121465926002622/0001214659-26-002622.txt
Rey David A,,2026-02-24,2026-02-26,3192,247.82,791041.44,A,M,4967,False,False,False,0001214659-26-002581,https://www.sec.gov/Archives/edgar/data/814547/000121465926002581/0001214659-26-002581.txt
Rees Joanna,,2026-02-13,2026-02-18,358,391.57,140182.06,A,M,11562,False,False,False,0001214659-26-002130,https://www.sec.gov/Archives/edgar/data/814547/000121465926002130/0001214659-26-002130.txt
Rees Joanna,,2026-02-13,2026-02-18,358,1360.0,486880.0,D,S,11204,False,False,False,0001214659-26-002130,https://www.sec.gov/Archives/edgar/data/814547/000121465926002130/0001214659-26-002130.txt
Weber Steven P.,Executive Vice President & CFO,2026-01-09,2026-01-13,421,0.0,0.0,A,M,2662,False,False,False,0001214659-26-000450,https://www.sec.gov/Archives/edgar/data/814547/000121465926000450/0001214659-26-000450.txt
Weber Steven P.,Executive Vice President & CFO,2026-01-09,2026-01-13,141,1665.53,234839.73,D,F,2521,False,False,False,0001214659-26-000450,https://www.sec.gov/Archives/edgar/data/814547/000121465926000450/0001214659-26-000450.txt
Weber Steven P.,Executive Vice President & CFO,2025-12-18,2025-12-19,562,0.0,0.0,D,G,2241,False,False,False,0001214659-25-018300,https://www.sec.gov/Archives/edgar/data/814547/000121465925018300/0001214659-25-018300.txt
Weber Steven P.,Executive Vice President & CFO,2025-12-17,2025-12-19,1426,1810.0,2581060.0,D,S,2803,False,False,False,0001214659-25-018300,https://www.sec.gov/Archives/edgar/data/814547/000121465925018300/0001214659-25-018300.txt
Manolis Eva,,2025-12-12,2025-12-16,521,247.82,129114.22,A,M,865,True,False,False,0001214659-25-018099,https://www.sec.gov/Archives/edgar/data/814547/000121465925018099/0001214659-25-018099.txt
Manolis Eva,,2025-12-12,2025-12-16,521,1825.83,951257.43,D,S,344,True,False,False,0001214659-25-018099,https://www.sec.gov/Archives/edgar/data/814547/000121465925018099/0001214659-25-018099.txt
Weber Steven P.,Executive Vice President & CFO,2025-12-10,2025-12-11,200,0.0,0.0,A,M,4323,False,False,False,0001214659-25-017958,https://www.sec.gov/Archives/edgar/data/814547/000121465925017958/0001214659-25-017958.txt
