insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Tannenbaum Michael Benjamin,Chief Executive Officer,2026-07-23,2026-07-24,15355,29.24,448980.2,D,F,3045425,False,True,True,0001493152-26-034583,https://www.sec.gov/Archives/edgar/data/2064124/000149315226034583/0001493152-26-034583.txt
Tannenbaum Michael Benjamin,Chief Executive Officer,2026-07-22,2026-07-24,132861,30.04,3991144.44,D,F,3060780,False,True,True,0001493152-26-034583,https://www.sec.gov/Archives/edgar/data/2064124/000149315226034583/0001493152-26-034583.txt
Kgil Minchung,Chief Financial Officer,2026-06-30,2026-07-02,4000,30.0326,120130.4,D,S,499651,True,False,True,0001493152-26-031910,https://www.sec.gov/Archives/edgar/data/2064124/000149315226031910/0001493152-26-031910.txt
Kgil Minchung,Chief Financial Officer,2026-06-24,2026-06-26,3232,27.3981,88550.66,D,S,504419,True,False,True,0001493152-26-030295,https://www.sec.gov/Archives/edgar/data/2064124/000149315226030295/0001493152-26-030295.txt
Kgil Minchung,Chief Financial Officer,2026-06-24,2026-06-26,704,28.644,20165.38,D,S,503715,True,False,True,0001493152-26-030295,https://www.sec.gov/Archives/edgar/data/2064124/000149315226030295/0001493152-26-030295.txt
Kgil Minchung,Chief Financial Officer,2026-06-24,2026-06-26,64,29.0125,1856.8,D,S,503651,True,False,True,0001493152-26-030295,https://www.sec.gov/Archives/edgar/data/2064124/000149315226030295/0001493152-26-030295.txt
Kgil Minchung,Chief Financial Officer,2026-06-15,2026-06-17,9117,30.0562,274022.38,D,S,507651,False,False,True,0001493152-26-029099,https://www.sec.gov/Archives/edgar/data/2064124/000149315226029099/0001493152-26-029099.txt
Ou June,,2026-06-04,2026-06-22,3192,0.0,0.0,A,A,6132185,False,True,False,0001493152-26-029581,https://www.sec.gov/Archives/edgar/data/2064124/000149315226029581/0001493152-26-029581.txt
Goldwasser Lesley,,2026-06-04,2026-06-22,3192,0.0,0.0,A,A,12706,False,True,False,0001493152-26-029579,https://www.sec.gov/Archives/edgar/data/2064124/000149315226029579/0001493152-26-029579.txt
Cagney Michael Scott,,2026-06-04,2026-06-22,3192,0.0,0.0,A,A,6132185,False,True,False,0001493152-26-029580,https://www.sec.gov/Archives/edgar/data/2064124/000149315226029580/0001493152-26-029580.txt
Kgil Minchung,Chief Financial Officer,2026-06-02,2026-06-04,23330,32.09,748659.7,D,F,516768,True,False,True,0001493152-26-027276,https://www.sec.gov/Archives/edgar/data/2064124/000149315226027276/0001493152-26-027276.txt
Kgil Minchung,Chief Financial Officer,2026-05-26,2026-06-01,2377,34.9187,83001.75,D,S,545721,True,False,True,0001493152-26-026635,https://www.sec.gov/Archives/edgar/data/2064124/000149315226026635/0001493152-26-026635.txt
Kgil Minchung,Chief Financial Officer,2026-05-26,2026-06-01,4237,35.8498,151895.6,D,S,541484,True,False,True,0001493152-26-026635,https://www.sec.gov/Archives/edgar/data/2064124/000149315226026635/0001493152-26-026635.txt
Kgil Minchung,Chief Financial Officer,2026-05-26,2026-06-01,1386,36.5866,50709.03,D,S,540098,True,False,True,0001493152-26-026635,https://www.sec.gov/Archives/edgar/data/2064124/000149315226026635/0001493152-26-026635.txt
Tannenbaum Michael Benjamin,Chief Executive Officer,2026-05-20,2026-05-21,2031,4.82,9789.42,A,M,3195672,True,True,True,0001493152-26-024853,https://www.sec.gov/Archives/edgar/data/2064124/000149315226024853/0001493152-26-024853.txt
Tannenbaum Michael Benjamin,Chief Executive Officer,2026-05-20,2026-05-21,2031,36.027,73170.84,D,S,3193641,True,True,True,0001493152-26-024853,https://www.sec.gov/Archives/edgar/data/2064124/000149315226024853/0001493152-26-024853.txt
Tannenbaum Michael Benjamin,Chief Executive Officer,2026-05-19,2026-05-21,14871,4.82,71678.22,A,M,3208512,True,True,True,0001493152-26-024853,https://www.sec.gov/Archives/edgar/data/2064124/000149315226024853/0001493152-26-024853.txt
Tannenbaum Michael Benjamin,Chief Executive Officer,2026-05-19,2026-05-21,14562,37.2485,542412.66,D,S,3193950,True,True,True,0001493152-26-024853,https://www.sec.gov/Archives/edgar/data/2064124/000149315226024853/0001493152-26-024853.txt
Tannenbaum Michael Benjamin,Chief Executive Officer,2026-05-19,2026-05-21,309,38.145,11786.81,D,S,3193641,True,True,True,0001493152-26-024853,https://www.sec.gov/Archives/edgar/data/2064124/000149315226024853/0001493152-26-024853.txt
