insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
WATKINS WILLIAM D,,2026-07-15,2026-07-17,316,0.0,0.0,A,A,98908,False,True,False,0001233433-26-000004,https://www.sec.gov/Archives/edgar/data/866374/000123343326000004/0001233433-26-000004.txt
Tan Lay Koon,,2026-07-15,2026-07-17,101,0.0,0.0,A,A,208906,False,True,False,0001543262-26-000006,https://www.sec.gov/Archives/edgar/data/866374/000154326226000006/0001543262-26-000006.txt
HURLSTON MICHAEL E.,,2026-07-15,2026-07-17,174,0.0,0.0,A,A,59358,False,True,False,0001573338-26-000011,https://www.sec.gov/Archives/edgar/data/866374/000157333826000011/0001573338-26-000011.txt
WENDLER DANIEL,Chief Accounting Officer,2026-06-18,2026-06-22,806,144.9779,116852.19,D,S,38437,False,False,True,0001916194-26-000008,https://www.sec.gov/Archives/edgar/data/866374/000191619426000008/0001916194-26-000008.txt
WENDLER DANIEL,Chief Accounting Officer,2026-06-18,2026-06-22,488,145.5292,71018.25,D,S,37949,False,False,True,0001916194-26-000008,https://www.sec.gov/Archives/edgar/data/866374/000191619426000008/0001916194-26-000008.txt
WENDLER DANIEL,Chief Accounting Officer,2026-06-18,2026-06-22,17,146.305,2487.18,D,S,37932,False,False,True,0001916194-26-000008,https://www.sec.gov/Archives/edgar/data/866374/000191619426000008/0001916194-26-000008.txt
Tan Kwang Hooi,Chief Operating Officer,2026-06-18,2026-06-22,2947,144.8475,426865.58,D,S,254580,False,False,True,0001929609-26-000012,https://www.sec.gov/Archives/edgar/data/866374/000192960926000012/0001929609-26-000012.txt
Tan Kwang Hooi,Chief Operating Officer,2026-06-18,2026-06-22,5934,145.3349,862417.3,D,S,248646,False,False,True,0001929609-26-000012,https://www.sec.gov/Archives/edgar/data/866374/000192960926000012/0001929609-26-000012.txt
Tan Kwang Hooi,Chief Operating Officer,2026-06-18,2026-06-22,100,146.41,14641.0,D,S,248546,False,False,True,0001929609-26-000012,https://www.sec.gov/Archives/edgar/data/866374/000192960926000012/0001929609-26-000012.txt
OFFER DAVID SCOTT,"EVP, General Counsel",2026-06-18,2026-06-22,2249,144.8809,325837.14,D,S,95530,False,False,True,0001504430-26-000010,https://www.sec.gov/Archives/edgar/data/866374/000150443026000010/0001504430-26-000010.txt
OFFER DAVID SCOTT,"EVP, General Counsel",2026-06-18,2026-06-22,4200,145.3645,610530.9,D,S,91330,False,False,True,0001504430-26-000010,https://www.sec.gov/Archives/edgar/data/866374/000150443026000010/0001504430-26-000010.txt
OFFER DAVID SCOTT,"EVP, General Counsel",2026-06-18,2026-06-22,208,146.3862,30448.33,D,S,91122,False,False,True,0001504430-26-000010,https://www.sec.gov/Archives/edgar/data/866374/000150443026000010/0001504430-26-000010.txt
Hartung Michael P,Chief Commercial Officer,2026-06-18,2026-06-22,2368,144.8894,343098.1,D,S,250831,False,False,True,0001820263-26-000008,https://www.sec.gov/Archives/edgar/data/866374/000182026326000008/0001820263-26-000008.txt
Hartung Michael P,Chief Commercial Officer,2026-06-18,2026-06-22,4801,145.3579,697863.28,D,S,246030,False,False,True,0001820263-26-000008,https://www.sec.gov/Archives/edgar/data/866374/000182026326000008/0001820263-26-000008.txt
Hartung Michael P,Chief Commercial Officer,2026-06-18,2026-06-22,100,146.26,14626.0,D,S,245930,False,False,True,0001820263-26-000008,https://www.sec.gov/Archives/edgar/data/866374/000182026326000008/0001820263-26-000008.txt
Advaithi Revathi,Chief Executive Officer,2026-06-18,2026-06-22,16282,144.8839,2358999.66,D,S,607184,True,True,True,0001649101-26-000009,https://www.sec.gov/Archives/edgar/data/866374/000164910126000009/0001649101-26-000009.txt
Advaithi Revathi,Chief Executive Officer,2026-06-18,2026-06-22,21985,145.3487,3195491.17,D,S,585199,True,True,True,0001649101-26-000009,https://www.sec.gov/Archives/edgar/data/866374/000164910126000009/0001649101-26-000009.txt
Advaithi Revathi,Chief Executive Officer,2026-06-18,2026-06-22,921,146.3092,134750.77,D,S,584278,True,True,True,0001649101-26-000009,https://www.sec.gov/Archives/edgar/data/866374/000164910126000009/0001649101-26-000009.txt
WENDLER DANIEL,Chief Accounting Officer,2026-06-17,2026-06-22,120,142.2777,17073.32,D,S,43013,False,False,True,0001916194-26-000008,https://www.sec.gov/Archives/edgar/data/866374/000191619426000008/0001916194-26-000008.txt
WENDLER DANIEL,Chief Accounting Officer,2026-06-17,2026-06-22,928,143.2616,132946.76,D,S,42085,False,False,True,0001916194-26-000008,https://www.sec.gov/Archives/edgar/data/866374/000191619426000008/0001916194-26-000008.txt
WENDLER DANIEL,Chief Accounting Officer,2026-06-17,2026-06-22,918,144.3499,132513.21,D,S,41167,False,False,True,0001916194-26-000008,https://www.sec.gov/Archives/edgar/data/866374/000191619426000008/0001916194-26-000008.txt
WENDLER DANIEL,Chief Accounting Officer,2026-06-17,2026-06-22,1861,145.2299,270272.84,D,S,39306,False,False,True,0001916194-26-000008,https://www.sec.gov/Archives/edgar/data/866374/000191619426000008/0001916194-26-000008.txt
WENDLER DANIEL,Chief Accounting Officer,2026-06-17,2026-06-22,63,145.9322,9193.73,D,S,39243,False,False,True,0001916194-26-000008,https://www.sec.gov/Archives/edgar/data/866374/000191619426000008/0001916194-26-000008.txt
Tan Kwang Hooi,Chief Operating Officer,2026-06-17,2026-06-22,500,141.654,70827.0,D,S,283684,False,False,True,0001929609-26-000012,https://www.sec.gov/Archives/edgar/data/866374/000192960926000012/0001929609-26-000012.txt
Tan Kwang Hooi,Chief Operating Officer,2026-06-17,2026-06-22,4830,143.0868,691109.24,D,S,278854,False,False,True,0001929609-26-000012,https://www.sec.gov/Archives/edgar/data/866374/000192960926000012/0001929609-26-000012.txt
Tan Kwang Hooi,Chief Operating Officer,2026-06-17,2026-06-22,5753,143.9791,828311.76,D,S,273101,False,False,True,0001929609-26-000012,https://www.sec.gov/Archives/edgar/data/866374/000192960926000012/0001929609-26-000012.txt
Tan Kwang Hooi,Chief Operating Officer,2026-06-17,2026-06-22,13196,145.1008,1914750.16,D,S,259905,False,False,True,0001929609-26-000012,https://www.sec.gov/Archives/edgar/data/866374/000192960926000012/0001929609-26-000012.txt
Tan Kwang Hooi,Chief Operating Officer,2026-06-17,2026-06-22,2378,145.6756,346416.58,D,S,257527,False,False,True,0001929609-26-000012,https://www.sec.gov/Archives/edgar/data/866374/000192960926000012/0001929609-26-000012.txt
OFFER DAVID SCOTT,"EVP, General Counsel",2026-06-17,2026-06-22,529,141.7206,74970.2,D,S,118062,False,False,True,0001504430-26-000010,https://www.sec.gov/Archives/edgar/data/866374/000150443026000010/0001504430-26-000010.txt
OFFER DAVID SCOTT,"EVP, General Counsel",2026-06-17,2026-06-22,4560,143.18,652900.8,D,S,113502,False,False,True,0001504430-26-000010,https://www.sec.gov/Archives/edgar/data/866374/000150443026000010/0001504430-26-000010.txt
OFFER DAVID SCOTT,"EVP, General Counsel",2026-06-17,2026-06-22,4575,144.205,659737.88,D,S,108927,False,False,True,0001504430-26-000010,https://www.sec.gov/Archives/edgar/data/866374/000150443026000010/0001504430-26-000010.txt
OFFER DAVID SCOTT,"EVP, General Counsel",2026-06-17,2026-06-22,10252,145.1936,1488524.79,D,S,98675,False,False,True,0001504430-26-000010,https://www.sec.gov/Archives/edgar/data/866374/000150443026000010/0001504430-26-000010.txt
OFFER DAVID SCOTT,"EVP, General Counsel",2026-06-17,2026-06-22,896,145.8334,130666.73,D,S,97779,False,False,True,0001504430-26-000010,https://www.sec.gov/Archives/edgar/data/866374/000150443026000010/0001504430-26-000010.txt
Hartung Michael P,Chief Commercial Officer,2026-06-17,2026-06-22,553,141.776,78402.13,D,S,275273,False,False,True,0001820263-26-000008,https://www.sec.gov/Archives/edgar/data/866374/000182026326000008/0001820263-26-000008.txt
Hartung Michael P,Chief Commercial Officer,2026-06-17,2026-06-22,4900,143.181,701586.9,D,S,270373,False,False,True,0001820263-26-000008,https://www.sec.gov/Archives/edgar/data/866374/000182026326000008/0001820263-26-000008.txt
Hartung Michael P,Chief Commercial Officer,2026-06-17,2026-06-22,5118,144.1936,737982.84,D,S,265255,False,False,True,0001820263-26-000008,https://www.sec.gov/Archives/edgar/data/866374/000182026326000008/0001820263-26-000008.txt
Hartung Michael P,Chief Commercial Officer,2026-06-17,2026-06-22,10949,145.1949,1589738.96,D,S,254306,False,False,True,0001820263-26-000008,https://www.sec.gov/Archives/edgar/data/866374/000182026326000008/0001820263-26-000008.txt
Hartung Michael P,Chief Commercial Officer,2026-06-17,2026-06-22,1107,145.7725,161370.16,D,S,253199,False,False,True,0001820263-26-000008,https://www.sec.gov/Archives/edgar/data/866374/000182026326000008/0001820263-26-000008.txt
