insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Skarjune Dolores L,EVP and Chief Admin. Officer,2026-06-30,2026-06-30,1850,103.23,190975.5,A,M,15546,False,False,True,0000320335-26-000201,https://www.sec.gov/Archives/edgar/data/320335/000032033526000201/0000320335-26-000201.txt
Skarjune Dolores L,EVP and Chief Admin. Officer,2026-06-30,2026-06-30,1850,179.18,331483.0,D,S,13696,False,False,True,0000320335-26-000201,https://www.sec.gov/Archives/edgar/data/320335/000032033526000201/0000320335-26-000201.txt
Alston Cheryl,,2026-06-25,2026-06-26,14017,105.56,1479634.52,A,M,24879,False,True,False,0000320335-26-000192,https://www.sec.gov/Archives/edgar/data/320335/000032033526000192/0000320335-26-000192.txt
Alston Cheryl,,2026-06-25,2026-06-26,2750,177.5608,488292.2,D,S,22129,False,True,False,0000320335-26-000192,https://www.sec.gov/Archives/edgar/data/320335/000032033526000192/0000320335-26-000192.txt
Alston Cheryl,,2026-06-25,2026-06-26,1010,178.7097,180496.8,D,S,21119,False,True,False,0000320335-26-000192,https://www.sec.gov/Archives/edgar/data/320335/000032033526000192/0000320335-26-000192.txt
Alston Cheryl,,2026-06-25,2026-06-26,1934,180.126,348363.68,D,S,19185,False,True,False,0000320335-26-000192,https://www.sec.gov/Archives/edgar/data/320335/000032033526000192/0000320335-26-000192.txt
Alston Cheryl,,2026-06-25,2026-06-26,2564,180.57,462981.48,D,S,16621,False,True,False,0000320335-26-000192,https://www.sec.gov/Archives/edgar/data/320335/000032033526000192/0000320335-26-000192.txt
Zorn Rebecca E,EVP & Chief Talent Officer,2026-06-18,2026-06-22,2000,98.32,196640.0,A,M,19797,False,False,True,0000320335-26-000190,https://www.sec.gov/Archives/edgar/data/320335/000032033526000190/0000320335-26-000190.txt
Zorn Rebecca E,EVP & Chief Talent Officer,2026-06-18,2026-06-22,2000,170.0967,340193.4,D,S,17797,False,False,True,0000320335-26-000190,https://www.sec.gov/Archives/edgar/data/320335/000032033526000190/0000320335-26-000190.txt
Skarjune Dolores L,EVP and Chief Admin. Officer,2026-06-12,2026-06-16,2475,98.32,243342.0,A,M,16171,False,False,True,0000320335-26-000188,https://www.sec.gov/Archives/edgar/data/320335/000032033526000188/0000320335-26-000188.txt
Skarjune Dolores L,EVP and Chief Admin. Officer,2026-06-12,2026-06-16,1700,103.23,175491.0,A,M,17871,False,False,True,0000320335-26-000188,https://www.sec.gov/Archives/edgar/data/320335/000032033526000188/0000320335-26-000188.txt
