insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
NINIVAGGI DANIEL A,,2026-07-01,2026-07-06,1042,0.0,0.0,A,A,130432,False,True,False,0000950142-26-001984,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001984/0000950142-26-001984.txt
Drees Joachim,,2026-07-01,2026-07-06,1023,0.0,0.0,A,A,42238,False,True,False,0000950142-26-001983,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001983/0000950142-26-001983.txt
Camuti Paul A,,2026-07-01,2026-07-06,512,0.0,0.0,A,A,46407,False,True,False,0000950142-26-001982,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001982/0000950142-26-001982.txt
Rodrigues Mark Albert,"SVP, GM GBEs Turbo Tech",2026-06-24,2026-06-26,6140,33.3029,204479.81,D,S,77038,True,False,True,0000950142-26-001887,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001887/0000950142-26-001887.txt
Rodrigues Mark Albert,"SVP, GM GBEs Turbo Tech",2026-06-12,2026-06-16,10516,33.818,355630.09,D,S,83178,True,False,True,0000950142-26-001808,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001808/0000950142-26-001808.txt
Deason Sean,SVP & Chief Financial Officer,2026-06-05,2026-06-08,110000,31.9327,3512597.0,D,S,261909,True,False,True,0000950142-26-001665,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001665/0000950142-26-001665.txt
Mabru Thierry,"SVP, Integrated Supply Chain",2026-05-29,2026-06-01,70000,32.9973,2309811.0,D,S,147956,True,False,True,0000950142-26-001585,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001585/0000950142-26-001585.txt
Vanneste Jeffrey H.,,2026-05-28,2026-06-09,4505,0.0,0.0,A,A,4505,False,True,False,0000950142-26-001719,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001719/0000950142-26-001719.txt
Steyn Julia,,2026-05-28,2026-06-01,4505,0.0,0.0,A,A,54738,False,True,False,0000950142-26-001584,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001584/0000950142-26-001584.txt
Norman Daun,,2026-05-28,2026-06-01,4505,0.0,0.0,A,A,91691,False,True,False,0000950142-26-001583,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001583/0000950142-26-001583.txt
NINIVAGGI DANIEL A,,2026-05-28,2026-06-01,4505,0.0,0.0,A,A,129390,False,True,False,0000950142-26-001582,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001582/0000950142-26-001582.txt
Drees Joachim,,2026-05-28,2026-06-01,4505,0.0,0.0,A,A,41215,False,True,False,0000950142-26-001581,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001581/0000950142-26-001581.txt
Camuti Paul A,,2026-05-28,2026-06-01,4505,0.0,0.0,A,A,45895,False,True,False,0000950142-26-001580,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001580/0000950142-26-001580.txt
Drees Joachim,,2026-05-22,2026-05-26,4026,33.29,134025.54,D,F,36710,False,True,False,0000950142-26-001482,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001482/0000950142-26-001482.txt
NINIVAGGI DANIEL A,,2026-05-15,2026-05-15,17178,31.2198,536293.72,D,S,124885,True,True,False,0000950142-26-001427,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001427/0000950142-26-001427.txt
Spenninck Fabrice,SVP & Chief Human Res. Officer,2026-04-30,2026-05-04,5378,25.61,137730.58,D,F,154360,False,False,True,0000950142-26-001275,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001275/0000950142-26-001275.txt
Rabiller Olivier,President & CEO,2026-04-30,2026-05-04,40907,25.61,1047628.27,D,F,918835,False,True,True,0000950142-26-001274,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001274/0000950142-26-001274.txt
Mabru Thierry,"SVP, Integrated Supply Chain",2026-04-30,2026-05-04,7396,25.61,189411.56,D,F,217956,False,False,True,0000950142-26-001273,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001273/0000950142-26-001273.txt
Deiro Daniel,"SVP, CM & GM Japan/Korea",2026-04-30,2026-05-04,5641,25.61,144466.01,D,F,163783,False,False,True,0000950142-26-001272,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001272/0000950142-26-001272.txt
Deason Sean,SVP & Chief Financial Officer,2026-04-30,2026-05-04,14951,25.61,382895.11,D,F,371909,False,False,True,0000950142-26-001271,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001271/0000950142-26-001271.txt
Balis Craig,SVP & Chief Technology Officer,2026-04-30,2026-05-04,9129,25.61,233793.69,D,F,274808,False,False,True,0000950142-26-001270,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001270/0000950142-26-001270.txt
NINIVAGGI DANIEL A,,2026-04-01,2026-04-02,1882,0.0,0.0,A,A,142063,False,True,False,0000950142-26-001056,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001056/0000950142-26-001056.txt
Drees Joachim,,2026-04-01,2026-04-02,1848,0.0,0.0,A,A,40736,False,True,False,0000950142-26-001055,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001055/0000950142-26-001055.txt
Camuti Paul A,,2026-04-01,2026-04-02,924,0.0,0.0,A,A,41390,False,True,False,0000950142-26-001054,https://www.sec.gov/Archives/edgar/data/1735707/000095014226001054/0000950142-26-001054.txt
Spenninck Fabrice,SVP & Chief Human Res. Officer,2026-03-05,2026-03-09,9214,18.87,173868.18,D,F,142025,False,False,True,0000950142-26-000674,https://www.sec.gov/Archives/edgar/data/1735707/000095014226000674/0000950142-26-000674.txt
Spenninck Fabrice,SVP & Chief Human Res. Officer,2026-03-05,2026-03-09,17713,0.0,0.0,A,A,159738,False,False,True,0000950142-26-000674,https://www.sec.gov/Archives/edgar/data/1735707/000095014226000674/0000950142-26-000674.txt
Rollinger Mark D.,"SVP, GC & Corp. Secretary",2026-03-05,2026-03-09,23198,0.0,0.0,A,A,40908,False,False,True,0000950142-26-000673,https://www.sec.gov/Archives/edgar/data/1735707/000095014226000673/0000950142-26-000673.txt
Rodrigues Mark Albert,"SVP, GM GBEs Turbo Tech",2026-03-05,2026-03-09,4307,18.87,81273.09,D,F,79025,False,False,True,0000950142-26-000672,https://www.sec.gov/Archives/edgar/data/1735707/000095014226000672/0000950142-26-000672.txt
Rodrigues Mark Albert,"SVP, GM GBEs Turbo Tech",2026-03-05,2026-03-09,14669,0.0,0.0,A,A,93694,False,False,True,0000950142-26-000672,https://www.sec.gov/Archives/edgar/data/1735707/000095014226000672/0000950142-26-000672.txt
Rabiller Olivier,President & CEO,2026-03-05,2026-03-09,58752,18.87,1108650.24,D,F,846794,False,True,True,0000950142-26-000671,https://www.sec.gov/Archives/edgar/data/1735707/000095014226000671/0000950142-26-000671.txt
Rabiller Olivier,President & CEO,2026-03-05,2026-03-09,112948,0.0,0.0,A,A,959742,False,True,True,0000950142-26-000671,https://www.sec.gov/Archives/edgar/data/1735707/000095014226000671/0000950142-26-000671.txt
