insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Carre Eric,EVP & Chief Financial Officer,2026-06-18,2026-06-22,24778,35.89,889282.42,D,S,148520,True,False,True,0001673421-26-000012,https://www.sec.gov/Archives/edgar/data/45012/000167342126000012/0001673421-26-000012.txt
Beckwith Van H.,"EVP, Secretary and CLO",2026-05-15,2026-05-18,198349,41.29,8189830.21,D,S,146186,True,False,True,0001832674-26-000016,https://www.sec.gov/Archives/edgar/data/45012/000183267426000016/0001832674-26-000016.txt
Maxwell Michael Casey,President - Western Hemisphere,2026-05-05,2026-05-06,13566,41.84,567601.44,D,S,100544,True,False,True,0002107660-26-000005,https://www.sec.gov/Archives/edgar/data/45012/000210766026000005/0002107660-26-000005.txt
Maxwell Michael Casey,President - Western Hemisphere,2026-05-05,2026-05-06,6782,42.0,284844.0,D,S,93762,True,False,True,0002107660-26-000005,https://www.sec.gov/Archives/edgar/data/45012/000210766026000005/0002107660-26-000005.txt
Young Tobi M.,,2026-04-30,2026-05-01,5625,41.72,234675.0,D,S,15750,False,True,False,0001914276-26-000003,https://www.sec.gov/Archives/edgar/data/45012/000191427626000003/0001914276-26-000003.txt
Young Tobi M.,,2026-04-30,2026-05-01,500,41.725,20862.5,D,S,15250,False,True,False,0001914276-26-000003,https://www.sec.gov/Archives/edgar/data/45012/000191427626000003/0001914276-26-000003.txt
McKeon Timothy,Senior VP and Treasurer,2026-04-30,2026-05-01,8655,42.0,363510.0,D,S,72976,True,False,True,0001595098-26-000013,https://www.sec.gov/Archives/edgar/data/45012/000159509826000013/0001595098-26-000013.txt
Miller Jeffrey Allen,"Director, President & CEO",2026-03-27,2026-03-30,158455,40.0,6338200.0,D,S,1013027,True,True,True,0001558667-26-000012,https://www.sec.gov/Archives/edgar/data/45012/000155866726000012/0001558667-26-000012.txt
Slocum Jeffrey Shannon,"Director, EVP and COO",2026-03-16,2026-03-17,5441,33.82,184014.62,D,S,187422,True,True,True,0001970357-26-000010,https://www.sec.gov/Archives/edgar/data/45012/000197035726000010/0001970357-26-000010.txt
Beckwith Van H.,"EVP, Secretary and CLO",2026-03-16,2026-03-17,19618,33.82,663480.76,D,S,344535,True,False,True,0001832674-26-000013,https://www.sec.gov/Archives/edgar/data/45012/000183267426000013/0001832674-26-000013.txt
McKeon Timothy,Senior VP and Treasurer,2026-03-06,2026-03-09,3846,34.37,132187.02,D,S,81631,True,False,True,0001595098-26-000010,https://www.sec.gov/Archives/edgar/data/45012/000159509826000010/0001595098-26-000010.txt
Yassine Rami,President - Eastern Hemisphere,2026-03-05,2026-03-06,1407,36.0,50652.0,D,F,162061,False,False,True,0002102911-26-000017,https://www.sec.gov/Archives/edgar/data/45012/000210291126000017/0002102911-26-000017.txt
Slocum Jeffrey Shannon,"Director, EVP and COO",2026-03-05,2026-03-06,3404,36.0,122544.0,D,F,192863,False,True,True,0001970357-26-000008,https://www.sec.gov/Archives/edgar/data/45012/000197035726000008/0001970357-26-000008.txt
Sharp Jill D.,SVP Internal Assurance Svcs.,2026-03-05,2026-03-06,1239,36.0,44604.0,D,F,52795,False,False,True,0001901659-26-000008,https://www.sec.gov/Archives/edgar/data/45012/000190165926000008/0001901659-26-000008.txt
Pope Lawrence J,EVP and Chief Admin Officer,2026-03-05,2026-03-06,12729,36.0,458244.0,D,F,433254,False,False,True,0001350647-26-000008,https://www.sec.gov/Archives/edgar/data/45012/000135064726000008/0001350647-26-000008.txt
Miller Jeffrey Allen,"Director, President & CEO",2026-03-05,2026-03-06,45572,36.0,1640592.0,D,F,1171482,False,True,True,0001558667-26-000010,https://www.sec.gov/Archives/edgar/data/45012/000155866726000010/0001558667-26-000010.txt
McKeon Timothy,Senior VP and Treasurer,2026-03-05,2026-03-06,1239,36.0,44604.0,D,F,85477,False,False,True,0001595098-26-000008,https://www.sec.gov/Archives/edgar/data/45012/000159509826000008/0001595098-26-000008.txt
Carre Eric,EVP & Chief Financial Officer,2026-03-05,2026-03-06,12729,36.0,458244.0,D,F,173054,False,False,True,0001673421-26-000008,https://www.sec.gov/Archives/edgar/data/45012/000167342126000008/0001673421-26-000008.txt
Beckwith Van H.,"EVP, Secretary and CLO",2026-03-05,2026-03-06,12729,36.0,458244.0,D,F,364153,False,False,True,0001832674-26-000011,https://www.sec.gov/Archives/edgar/data/45012/000183267426000011/0001832674-26-000011.txt
Yassine Rami,President - Eastern Hemisphere,2026-02-27,2026-03-03,5897,36.0,212292.0,A,A,163468,False,False,True,0002102911-26-000015,https://www.sec.gov/Archives/edgar/data/45012/000210291126000015/0002102911-26-000015.txt
Slocum Jeffrey Shannon,"Director, EVP and COO",2026-02-27,2026-03-03,8845,36.0,318420.0,A,A,196267,False,True,True,0001970357-26-000006,https://www.sec.gov/Archives/edgar/data/45012/000197035726000006/0001970357-26-000006.txt
Sharp Jill D.,SVP Internal Assurance Svcs.,2026-02-27,2026-03-03,5085,36.0,183060.0,A,A,54034,False,False,True,0001901659-26-000006,https://www.sec.gov/Archives/edgar/data/45012/000190165926000006/0001901659-26-000006.txt
Pope Lawrence J,EVP and Chief Admin Officer,2026-02-27,2026-03-03,32347,36.0,1164492.0,A,A,445983,False,False,True,0001350647-26-000006,https://www.sec.gov/Archives/edgar/data/45012/000135064726000006/0001350647-26-000006.txt
Miller Jeffrey Allen,"Director, President & CEO",2026-02-27,2026-03-03,115811,36.0,4169196.0,A,A,1217054,False,True,True,0001558667-26-000008,https://www.sec.gov/Archives/edgar/data/45012/000155866726000008/0001558667-26-000008.txt
McKeon Timothy,Senior VP and Treasurer,2026-02-27,2026-03-03,5085,36.0,183060.0,A,A,86716,False,False,True,0001595098-26-000006,https://www.sec.gov/Archives/edgar/data/45012/000159509826000006/0001595098-26-000006.txt
Carre Eric,EVP & Chief Financial Officer,2026-02-27,2026-03-03,32347,36.0,1164492.0,A,A,185783,False,False,True,0001673421-26-000006,https://www.sec.gov/Archives/edgar/data/45012/000167342126000006/0001673421-26-000006.txt
Beckwith Van H.,"EVP, Secretary and CLO",2026-02-27,2026-03-03,32347,36.0,1164492.0,A,A,376882,False,False,True,0001832674-26-000009,https://www.sec.gov/Archives/edgar/data/45012/000183267426000009/0001832674-26-000009.txt
Banks Margaret Katherine,,2026-01-26,2026-01-27,2600,34.175,88855.0,D,S,14043,False,True,False,0001768654-26-000002,https://www.sec.gov/Archives/edgar/data/45012/000176865426000002/0001768654-26-000002.txt
Miller Jeffrey Allen,"Director, President & CEO",2026-01-23,2026-01-26,171200,31.44,5382528.0,A,M,1272443,True,True,True,0001558667-26-000006,https://www.sec.gov/Archives/edgar/data/45012/000155866726000006/0001558667-26-000006.txt
