insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Vernon Carla,,2026-06-11,2026-06-15,2224,0.0,0.0,A,A,2974,False,True,False,0001961856-26-000007,https://www.sec.gov/Archives/edgar/data/46080/000196185626000007/0001961856-26-000007.txt
Stoddart Richard S,,2026-06-11,2026-06-15,2224,0.0,0.0,A,A,44340,False,True,False,0001604514-26-000006,https://www.sec.gov/Archives/edgar/data/46080/000160451426000006/0001604514-26-000006.txt
Richie Laurel,,2026-06-11,2026-06-15,2224,0.0,0.0,A,A,15311,False,True,False,0001658732-26-000009,https://www.sec.gov/Archives/edgar/data/46080/000165873226000009/0001658732-26-000009.txt
Mahoney Owen,,2026-06-11,2026-06-15,2224,0.0,0.0,A,A,8245,False,True,False,0002016236-26-000002,https://www.sec.gov/Archives/edgar/data/46080/000201623626000002/0002016236-26-000002.txt
Hamren Elizabeth,,2026-06-11,2026-06-15,2224,0.0,0.0,A,A,12860,False,True,False,0000046080-26-000036,https://www.sec.gov/Archives/edgar/data/46080/000004608026000036/0000046080-26-000036.txt
HARRIS DARIN S,,2026-06-11,2026-06-15,2224,0.0,0.0,A,A,8245,False,True,False,0001812935-26-000002,https://www.sec.gov/Archives/edgar/data/46080/000181293526000002/0001812935-26-000002.txt
Gersh Lisa,,2026-06-11,2026-06-15,2224,0.0,0.0,A,A,37528,False,True,False,0001329958-26-000015,https://www.sec.gov/Archives/edgar/data/46080/000132995826000015/0001329958-26-000015.txt
GIBEAU FRANK D,,2026-06-11,2026-06-15,2224,0.0,0.0,A,A,8245,False,True,False,0001337679-26-000002,https://www.sec.gov/Archives/edgar/data/46080/000133767926000002/0001337679-26-000002.txt
Cochran Hope F,,2026-06-11,2026-06-15,2224,0.0,0.0,A,A,19326,False,True,False,0001392352-26-000002,https://www.sec.gov/Archives/edgar/data/46080/000139235226000002/0001392352-26-000002.txt
Bowser Douglas S,,2026-06-11,2026-06-15,2224,0.0,0.0,A,A,2974,False,True,False,0002106209-26-000009,https://www.sec.gov/Archives/edgar/data/46080/000210620926000009/0002106209-26-000009.txt
KILPIN TIMOTHY J.,"President, Toy, Lic & Ent",2026-05-17,2026-05-19,5939,95.13,564977.07,D,F,33452,False,False,True,0001512785-26-000011,https://www.sec.gov/Archives/edgar/data/46080/000151278526000011/0001512785-26-000011.txt
GOETTER GINA M,EVP & CFO,2026-05-17,2026-05-19,9796,95.13,931893.48,D,F,69968,False,False,True,0001828057-26-000011,https://www.sec.gov/Archives/edgar/data/46080/000182805726000011/0001828057-26-000011.txt
Bunge Jason M,Chief Marketing Officer,2026-05-17,2026-05-19,1469,95.13,139745.97,D,F,41282,False,False,True,0002071125-26-000012,https://www.sec.gov/Archives/edgar/data/46080/000207112526000012/0002071125-26-000012.txt
Bunge Jason M,Chief Marketing Officer,2026-05-15,2026-05-19,1037,95.13,98649.81,D,F,42533,False,False,True,0002071125-26-000012,https://www.sec.gov/Archives/edgar/data/46080/000207112526000012/0002071125-26-000012.txt
Sibley Tarrant L.,"EVP, CLO and Corp Secretary",2026-03-16,2026-03-18,8422,0.0,0.0,A,A,64284,False,False,True,0001741644-26-000013,https://www.sec.gov/Archives/edgar/data/46080/000174164426000013/0001741644-26-000013.txt
