insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Brown J Frank,,2026-05-21,2026-05-26,796,0.0,0.0,A,A,796,False,True,False,0000354950-26-000117,https://www.sec.gov/Archives/edgar/data/354950/000035495026000117/0000354950-26-000117.txt
BELL FRANZISKA,EVP-Chief Technology Officer,2026-05-20,2026-05-21,51516,0.0,0.0,A,A,51516,False,False,True,0000354950-26-000103,https://www.sec.gov/Archives/edgar/data/354950/000035495026000103/0000354950-26-000103.txt
Bastek William D,"EVP, Merchandising",2026-04-03,2026-04-06,2972,321.63,955884.36,D,F,25223,False,False,True,0000354950-26-000086,https://www.sec.gov/Archives/edgar/data/354950/000035495026000086/0000354950-26-000086.txt
Scardino Kimberly R,"SVP-Finance, CAO & Controller",2026-03-25,2026-03-26,902,0.0,0.0,A,A,8864,False,False,True,0000354950-26-000073,https://www.sec.gov/Archives/edgar/data/354950/000035495026000073/0000354950-26-000073.txt
SMITH STEPHANIE,EVP - Human Resources,2026-03-25,2026-03-26,2345,0.0,0.0,A,A,7911,False,False,True,0000354950-26-000072,https://www.sec.gov/Archives/edgar/data/354950/000035495026000072/0000354950-26-000072.txt
Rowe Michael F.,"EVP, Pro",2026-03-25,2026-03-26,2255,0.0,0.0,A,A,7431,False,False,True,0000354950-26-000071,https://www.sec.gov/Archives/edgar/data/354950/000035495026000071/0000354950-26-000071.txt
Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",2026-03-25,2026-03-26,2440,0.0,0.0,A,A,16431,False,False,True,0000354950-26-000080,https://www.sec.gov/Archives/edgar/data/354950/000035495026000080/0000354950-26-000080.txt
McPhail Richard V,EVP & CFO,2026-03-25,2026-03-26,3969,0.0,0.0,A,A,48021,False,False,True,0000354950-26-000074,https://www.sec.gov/Archives/edgar/data/354950/000035495026000074/0000354950-26-000074.txt
Decker Edward P.,"Chair, President and CEO",2026-03-25,2026-03-26,11548,0.0,0.0,A,A,137793,False,True,True,0000354950-26-000081,https://www.sec.gov/Archives/edgar/data/354950/000035495026000081/0000354950-26-000081.txt
Deaton John A.,EVP - Supply Chain & Prod. Dev,2026-03-25,2026-03-26,2467,0.0,0.0,A,A,16441,False,False,True,0000354950-26-000075,https://www.sec.gov/Archives/edgar/data/354950/000035495026000075/0000354950-26-000075.txt
