insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Bhojwani Gary C.,,2026-07-08,2026-07-10,20200,24.5128,495158.56,D,S,32002,False,True,False,0001614708-26-000016,https://www.sec.gov/Archives/edgar/data/48465/000161470826000016/0001614708-26-000016.txt
Borrelli Domenic,"EVP, Retail",2026-06-09,2026-06-11,8341,0.0,0.0,A,A,8341,False,False,True,0002117379-26-000004,https://www.sec.gov/Archives/edgar/data/48465/000211737926000004/0002117379-26-000004.txt
Bonifant William W.,"GVP, Chief Supply Chain Ofc.",2026-06-09,2026-06-11,5734,0.0,0.0,A,A,17953,False,False,True,0002123047-26-000006,https://www.sec.gov/Archives/edgar/data/48465/000212304726000006/0002123047-26-000006.txt
Aakre D Scott,,2026-04-27,2026-04-29,1722,21.47,36971.34,D,F,47944,False,True,False,0001341185-26-000007,https://www.sec.gov/Archives/edgar/data/48465/000134118526000007/0001341185-26-000007.txt
Bonifant William W.,"GVP, Chief Supply Chain Ofc.",2026-04-14,2026-04-16,12043,0.0,0.0,A,A,12043,False,False,True,0002123047-26-000004,https://www.sec.gov/Archives/edgar/data/48465/000212304726000004/0002123047-26-000004.txt
White Steven Andrew,,2026-03-31,2026-04-02,2665,22.65,60362.25,A,A,42604,False,True,False,0001614711-26-000008,https://www.sec.gov/Archives/edgar/data/48465/000161471126000008/0001614711-26-000008.txt
Schoneman Debbra L.,,2026-03-31,2026-04-02,1332,22.65,30169.8,A,A,15819,False,True,False,0001435654-26-000010,https://www.sec.gov/Archives/edgar/data/48465/000143565426000010/0001435654-26-000010.txt
Policinski Christopher J.,,2026-03-31,2026-04-02,2491,22.65,56421.15,A,A,124912,False,True,False,0001476403-26-000004,https://www.sec.gov/Archives/edgar/data/48465/000147640326000004/0001476403-26-000004.txt
Newlands William A,,2026-03-31,2026-04-02,6721,22.65,152230.65,A,A,58133,False,True,False,0001531376-26-000007,https://www.sec.gov/Archives/edgar/data/48465/000153137626000007/0001531376-26-000007.txt
Bhojwani Gary C.,,2026-03-31,2026-04-02,2665,22.65,60362.25,A,A,77425,False,True,False,0001614708-26-000012,https://www.sec.gov/Archives/edgar/data/48465/000161470826000012/0001614708-26-000012.txt
White Steven Andrew,,2026-03-18,2026-03-20,5405,0.0,0.0,D,G,39527,False,True,False,0001614711-26-000006,https://www.sec.gov/Archives/edgar/data/48465/000161471126000006/0001614711-26-000006.txt
White Steven Andrew,,2026-03-18,2026-03-20,5405,0.0,0.0,A,G,52532,False,True,False,0001614711-26-000006,https://www.sec.gov/Archives/edgar/data/48465/000161471126000006/0001614711-26-000006.txt
Zechmeister Michael Paul,,2026-02-02,2026-02-04,6541,0.0,0.0,A,A,21237,False,True,False,0001653006-26-000002,https://www.sec.gov/Archives/edgar/data/48465/000165300626000002/0001653006-26-000002.txt
White Steven Andrew,,2026-02-02,2026-02-04,6541,0.0,0.0,A,A,44926,False,True,False,0001614711-26-000002,https://www.sec.gov/Archives/edgar/data/48465/000161471126000002/0001614711-26-000002.txt
Schoneman Debbra L.,,2026-02-02,2026-02-04,6541,0.0,0.0,A,A,14487,False,True,False,0001435654-26-000002,https://www.sec.gov/Archives/edgar/data/48465/000143565426000002/0001435654-26-000002.txt
SMITH SALLY J,,2026-02-02,2026-02-04,6541,0.0,0.0,A,A,86630,False,True,False,0001265911-26-000002,https://www.sec.gov/Archives/edgar/data/48465/000126591126000002/0001265911-26-000002.txt
Policinski Christopher J.,,2026-02-02,2026-02-04,6541,0.0,0.0,A,A,121880,False,True,False,0001476403-26-000002,https://www.sec.gov/Archives/edgar/data/48465/000147640326000002/0001476403-26-000002.txt
Newlands William A,,2026-02-02,2026-02-04,6541,0.0,0.0,A,A,51216,False,True,False,0001531376-26-000002,https://www.sec.gov/Archives/edgar/data/48465/000153137626000002/0001531376-26-000002.txt
Murano Elsa A,,2026-02-02,2026-02-04,6541,0.0,0.0,A,A,88629,False,True,False,0001374185-26-000002,https://www.sec.gov/Archives/edgar/data/48465/000137418526000002/0001374185-26-000002.txt
LACY STEPHEN M,,2026-02-02,2026-02-04,6541,0.0,0.0,A,A,94011,False,True,False,0001196024-26-000002,https://www.sec.gov/Archives/edgar/data/48465/000119602426000002/0001196024-26-000002.txt
Ghingo John F,President,2026-02-02,2026-02-04,32707,0.0,0.0,A,A,64000,False,True,True,0002042018-26-000002,https://www.sec.gov/Archives/edgar/data/48465/000204201826000002/0002042018-26-000002.txt
Bhojwani Gary C.,,2026-02-02,2026-02-04,6541,0.0,0.0,A,A,74505,False,True,False,0001614708-26-000004,https://www.sec.gov/Archives/edgar/data/48465/000161470826000004/0001614708-26-000004.txt
Aakre D Scott,,2026-02-02,2026-02-04,6541,0.0,0.0,A,A,49598,False,True,False,0001341185-26-000004,https://www.sec.gov/Archives/edgar/data/48465/000134118526000004/0001341185-26-000004.txt
Aakre D Scott,,2026-01-02,2026-01-06,5558,0.0,0.0,A,A,43057,False,True,False,0001341185-26-000002,https://www.sec.gov/Archives/edgar/data/48465/000134118526000002/0001341185-26-000002.txt
