insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
CANTIE JOSEPH S,,2026-07-02,2026-07-06,134,270.41,36234.94,A,A,44082,False,True,False,0001104659-26-080808,https://www.sec.gov/Archives/edgar/data/4281/000110465926080808/0001104659-26-080808.txt
Smith Gunner,,2026-05-21,2026-05-26,731,0.0,0.0,A,A,5844,False,True,False,0001104659-26-066472,https://www.sec.gov/Archives/edgar/data/4281/000110465926066472/0001104659-26-066472.txt
SCHMIDT ULRICH,,2026-05-21,2026-05-26,731,0.0,0.0,A,A,53228,False,True,False,0001104659-26-066471,https://www.sec.gov/Archives/edgar/data/4281/000110465926066471/0001104659-26-066471.txt
Miller Jody,,2026-05-21,2026-05-26,731,0.0,0.0,A,A,30605,False,True,False,0001104659-26-066470,https://www.sec.gov/Archives/edgar/data/4281/000110465926066470/0001104659-26-066470.txt
LEDUC ROBERT F,,2026-05-21,2026-05-26,731,0.0,0.0,A,A,35824,False,True,False,0001104659-26-066469,https://www.sec.gov/Archives/edgar/data/4281/000110465926066469/0001104659-26-066469.txt
CANTIE JOSEPH S,,2026-05-21,2026-05-26,731,0.0,0.0,A,A,43948,False,True,False,0001104659-26-066468,https://www.sec.gov/Archives/edgar/data/4281/000110465926066468/0001104659-26-066468.txt
Barner Sharon R,,2026-05-21,2026-05-26,731,0.0,0.0,A,A,16582,False,True,False,0001104659-26-066467,https://www.sec.gov/Archives/edgar/data/4281/000110465926066467/0001104659-26-066467.txt
Alving Amy E,,2026-05-21,2026-05-26,731,0.0,0.0,A,A,57820,False,True,False,0001104659-26-066466,https://www.sec.gov/Archives/edgar/data/4281/000110465926066466/0001104659-26-066466.txt
ALBAUGH JAMES F,,2026-05-21,2026-05-26,731,0.0,0.0,A,A,59442,False,True,False,0001104659-26-066465,https://www.sec.gov/Archives/edgar/data/4281/000110465926066465/0001104659-26-066465.txt
Marchuk Neil Edward,"EVP, CAO",2026-05-11,2026-05-12,41932,269.4967,11300535.62,D,S,65105,False,False,True,0001104659-26-059642,https://www.sec.gov/Archives/edgar/data/4281/000110465926059642/0001104659-26-059642.txt
Arena Jonathan A,"EVP, CL&CO and Secretary",2026-04-15,2026-04-17,3544,0.0,0.0,A,A,3544,False,False,True,0001104659-26-044915,https://www.sec.gov/Archives/edgar/data/4281/000110465926044915/0001104659-26-044915.txt
