insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
FENNELL GEORGE,Executive Vice President,2026-06-01,2026-06-02,639,0.0,0.0,A,M,10717,False,False,True,0000874716-26-000114,https://www.sec.gov/Archives/edgar/data/874716/000087471626000114/0000874716-26-000114.txt
FENNELL GEORGE,Executive Vice President,2026-06-01,2026-06-02,284,566.79,160968.36,D,F,10433,False,False,True,0000874716-26-000114,https://www.sec.gov/Archives/edgar/data/874716/000087471626000114/0000874716-26-000114.txt
Vandebroek Sophie V.,,2026-05-07,2026-05-11,257,0.0,0.0,A,M,905,False,True,False,0000874716-26-000088,https://www.sec.gov/Archives/edgar/data/874716/000087471626000088/0000874716-26-000088.txt
SZOSTAK M ANNE,,2026-05-07,2026-05-11,257,0.0,0.0,A,M,519,False,True,False,0000874716-26-000087,https://www.sec.gov/Archives/edgar/data/874716/000087471626000087/0000874716-26-000087.txt
Peacock Karen,,2026-05-07,2026-05-11,101,0.0,0.0,A,M,102,False,True,False,0000874716-26-000086,https://www.sec.gov/Archives/edgar/data/874716/000087471626000086/0000874716-26-000086.txt
Kingsley Lawrence D,,2026-05-07,2026-05-11,257,0.0,0.0,A,M,9486,False,True,False,0000874716-26-000085,https://www.sec.gov/Archives/edgar/data/874716/000087471626000085/0000874716-26-000085.txt
Kingsley Lawrence D,,2026-05-07,2026-05-11,82,0.0,0.0,A,M,9568,False,True,False,0000874716-26-000085,https://www.sec.gov/Archives/edgar/data/874716/000087471626000085/0000874716-26-000085.txt
JUNIUS DANIEL M,,2026-05-07,2026-05-11,257,0.0,0.0,A,M,3561,False,True,False,0000874716-26-000084,https://www.sec.gov/Archives/edgar/data/874716/000087471626000084/0000874716-26-000084.txt
HOOLEY JOSEPH L,,2026-05-07,2026-05-11,158,0.0,0.0,A,M,276,False,True,False,0000874716-26-000083,https://www.sec.gov/Archives/edgar/data/874716/000087471626000083/0000874716-26-000083.txt
HOOLEY JOSEPH L,,2026-04-30,2026-05-04,43,560.8,24114.4,A,A,118,False,True,False,0000874716-26-000069,https://www.sec.gov/Archives/edgar/data/874716/000087471626000069/0000874716-26-000069.txt
Underberg Sharon E.,"EVP, GC & Corporate Secretary",2026-03-03,2026-03-05,197,505.53,99589.41,A,M,7137,False,False,True,0000874716-26-000050,https://www.sec.gov/Archives/edgar/data/874716/000087471626000050/0000874716-26-000050.txt
Hunt Nimrata,Executive Vice President,2026-03-03,2026-03-05,1758,634.5718,1115577.22,D,S,18140,False,False,True,0000874716-26-000049,https://www.sec.gov/Archives/edgar/data/874716/000087471626000049/0000874716-26-000049.txt
MAZELSKY JONATHAN JAY,President and CEO,2026-02-27,2026-03-02,197,505.53,99589.41,A,M,83803,False,True,True,0000874716-26-000043,https://www.sec.gov/Archives/edgar/data/874716/000087471626000043/0000874716-26-000043.txt
