insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
PAGLIUCA STEPHEN G,,2026-07-01,2026-07-06,187,0.0,0.0,A,J,112602,False,True,False,0000749251-26-000236,https://www.sec.gov/Archives/edgar/data/749251/000074925126000236/0000749251-26-000236.txt
GUTIERREZ JOSE M,,2026-07-01,2026-07-06,112,0.0,0.0,A,J,2951,False,True,False,0000749251-26-000235,https://www.sec.gov/Archives/edgar/data/749251/000074925126000235/0000749251-26-000235.txt
GRABE WILLIAM O,,2026-07-01,2026-07-06,182,0.0,0.0,A,J,1224,False,True,False,0000749251-26-000234,https://www.sec.gov/Archives/edgar/data/749251/000074925126000234/0000749251-26-000234.txt
FUCHS ANNE SUTHERLAND,,2026-07-01,2026-07-06,100,0.0,0.0,A,J,8957,False,True,False,0000749251-26-000233,https://www.sec.gov/Archives/edgar/data/749251/000074925126000233/0000749251-26-000233.txt
FERGUSON DIANA SUE,,2026-07-01,2026-07-06,201,0.0,0.0,A,J,2807,False,True,False,0000749251-26-000232,https://www.sec.gov/Archives/edgar/data/749251/000074925126000232/0000749251-26-000232.txt
CESAN RAUL E,,2026-07-01,2026-07-06,187,0.0,0.0,A,J,54083,False,True,False,0000749251-26-000230,https://www.sec.gov/Archives/edgar/data/749251/000074925126000230/0000749251-26-000230.txt
Rinello John J,"EVP, Global Business Sales",2026-06-30,2026-07-01,71,0.0,0.0,A,M,3746,False,False,True,0000749251-26-000214,https://www.sec.gov/Archives/edgar/data/749251/000074925126000214/0000749251-26-000214.txt
Rinello John J,"EVP, Global Business Sales",2026-06-30,2026-07-01,22,129.62,2851.64,D,F,3724,False,False,True,0000749251-26-000214,https://www.sec.gov/Archives/edgar/data/749251/000074925126000214/0000749251-26-000214.txt
Serra Eileen,,2026-06-08,2026-06-10,1744,0.0,0.0,A,M,4076,False,True,False,0000749251-26-000212,https://www.sec.gov/Archives/edgar/data/749251/000074925126000212/0000749251-26-000212.txt
Serra Eileen,,2026-06-01,2026-06-03,705,0.0,0.0,A,M,2332,False,True,False,0000749251-26-000210,https://www.sec.gov/Archives/edgar/data/749251/000074925126000210/0000749251-26-000210.txt
van Ham Dick,"EVP, Global Technology Sales",2026-05-29,2026-06-02,38,154.09,5855.42,A,J,902,False,False,True,0000749251-26-000204,https://www.sec.gov/Archives/edgar/data/749251/000074925126000204/0000749251-26-000204.txt
Safian Craig,EVP & CFO,2026-05-29,2026-06-02,22,154.09,3389.98,A,J,83072,False,False,True,0000749251-26-000203,https://www.sec.gov/Archives/edgar/data/749251/000074925126000203/0000749251-26-000203.txt
Rus Daniela L,,2026-05-29,2026-06-01,507,0.0,0.0,A,M,507,False,True,False,0000749251-26-000189,https://www.sec.gov/Archives/edgar/data/749251/000074925126000189/0000749251-26-000189.txt
Rupani Altaf,"EVP, Chief Information Officer",2026-05-29,2026-06-02,23,154.09,3544.07,A,J,1180,False,False,True,0000749251-26-000206,https://www.sec.gov/Archives/edgar/data/749251/000074925126000206/0000749251-26-000206.txt
PAGLIUCA STEPHEN G,,2026-05-29,2026-06-01,551,0.0,0.0,A,M,112415,False,True,False,0000749251-26-000192,https://www.sec.gov/Archives/edgar/data/749251/000074925126000192/0000749251-26-000192.txt
Kranich Robin B,EVP & CHRO,2026-05-29,2026-06-02,38,154.09,5855.42,A,J,23636,False,False,True,0000749251-26-000208,https://www.sec.gov/Archives/edgar/data/749251/000074925126000208/0000749251-26-000208.txt
HALL EUGENE A,Chairman and CEO,2026-05-29,2026-06-02,38,154.09,5855.42,A,J,1188197,False,True,True,0000749251-26-000202,https://www.sec.gov/Archives/edgar/data/749251/000074925126000202/0000749251-26-000202.txt
GUTIERREZ JOSE M,,2026-05-29,2026-06-01,551,0.0,0.0,A,M,2839,False,True,False,0000749251-26-000188,https://www.sec.gov/Archives/edgar/data/749251/000074925126000188/0000749251-26-000188.txt
GRABE WILLIAM O,,2026-05-29,2026-06-01,551,0.0,0.0,A,M,1042,False,True,False,0000749251-26-000191,https://www.sec.gov/Archives/edgar/data/749251/000074925126000191/0000749251-26-000191.txt
FUCHS ANNE SUTHERLAND,,2026-05-29,2026-06-01,551,0.0,0.0,A,M,8857,False,True,False,0000749251-26-000184,https://www.sec.gov/Archives/edgar/data/749251/000074925126000184/0000749251-26-000184.txt
DYKSTRA KAREN E,,2026-05-29,2026-06-01,551,0.0,0.0,A,M,17551,False,True,False,0000749251-26-000187,https://www.sec.gov/Archives/edgar/data/749251/000074925126000187/0000749251-26-000187.txt
