insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Schlossberg Andrew,President and CEO,2026-07-02,2026-07-07,156007,27.01,4213749.07,D,F,742708,False,True,True,0001661103-26-000004,https://www.sec.gov/Archives/edgar/data/914208/000166110326000004/0001661103-26-000004.txt
Lo Andrew Tak Shing,Senior Managing Director,2026-07-02,2026-07-07,116754,0.0,0.0,A,M,955847,False,False,True,0001407922-26-000005,https://www.sec.gov/Archives/edgar/data/914208/000140792226000005/0001407922-26-000005.txt
Kupor Jeffrey H,Senior Managing Director,2026-07-02,2026-07-07,26002,27.01,702314.02,D,F,125818,False,False,True,0001736431-26-000004,https://www.sec.gov/Archives/edgar/data/914208/000173643126000004/0001736431-26-000004.txt
DUKES LAURA ALLISON,Chief Financial Officer,2026-07-02,2026-07-07,52003,27.01,1404601.03,D,F,290258,False,False,True,0001674244-26-000004,https://www.sec.gov/Archives/edgar/data/914208/000167424426000004/0001674244-26-000004.txt
"Invesco Advisers, Inc.",,2026-07-01,2026-07-01,13811,28.3329,391305.68,A,A,171317,False,True,False,0000020430-26-000031,https://www.sec.gov/Archives/edgar/data/914208/000002043026000031/0000020430-26-000031.txt
"Invesco Advisers, Inc.",,2026-06-29,2026-07-01,5778,28.3329,163707.5,D,D,157505,False,True,False,0000020430-26-000031,https://www.sec.gov/Archives/edgar/data/914208/000002043026000031/0000020430-26-000031.txt
"Invesco Advisers, Inc.",,2026-06-01,2026-06-01,13216,28.2395,373213.23,A,A,163284,False,True,False,0000020430-26-000029,https://www.sec.gov/Archives/edgar/data/914208/000002043026000029/0000020430-26-000029.txt
"Invesco Advisers, Inc.",,2026-05-29,2026-06-01,5778,28.2395,163167.83,D,D,150067,False,True,False,0000020430-26-000029,https://www.sec.gov/Archives/edgar/data/914208/000002043026000029/0000020430-26-000029.txt
"Invesco Advisers, Inc.",,2026-05-29,2026-06-01,41490,25.8768,1073628.43,D,D,468176,False,True,False,0000020430-26-000027,https://www.sec.gov/Archives/edgar/data/914208/000002043026000027/0000020430-26-000027.txt
WOOD PHOEBE A,,2026-05-15,2026-05-19,8112,0.0,0.0,A,A,110111,False,True,False,0001197233-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000119723326000002/0001197233-26-000002.txt
WOMACK CHRISTOPHER C,,2026-05-15,2026-05-19,8112,0.0,0.0,A,A,59917,False,True,False,0001195423-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000119542326000002/0001195423-26-000002.txt
WAGONER G RICHARD JR,,2026-05-15,2026-05-19,8112,0.0,0.0,A,A,107870,False,True,False,0001181664-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000118166426000002/0001181664-26-000002.txt
Tolliver Paula,,2026-05-15,2026-05-19,8112,0.0,0.0,A,A,66272,False,True,False,0001756360-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000175636026000002/0001756360-26-000002.txt
Sheinwald Nigel,,2026-05-15,2026-05-19,8112,0.0,0.0,A,A,101968,False,True,False,0001642391-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000164239126000002/0001642391-26-000002.txt
Johnson Elizabeth S.,,2026-05-15,2026-05-19,8112,0.0,0.0,A,A,48770,False,True,False,0001800698-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000180069826000002/0001800698-26-000002.txt
Glavin William Francis Jr,,2026-05-15,2026-05-19,8112,0.0,0.0,A,A,81084,False,True,False,0001298173-26-000004,https://www.sec.gov/Archives/edgar/data/914208/000129817326000004/0001298173-26-000004.txt
GIBBONS THOMAS P,,2026-05-15,2026-05-19,8112,0.0,0.0,A,A,47202,False,True,False,0001209479-26-000006,https://www.sec.gov/Archives/edgar/data/914208/000120947926000006/0001209479-26-000006.txt
Finke Thomas M,,2026-05-15,2026-05-19,8112,0.0,0.0,A,A,64238,False,True,False,0001363651-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000136365126000002/0001363651-26-000002.txt
Beshar Sarah,,2026-05-15,2026-05-19,8112,0.0,0.0,A,A,115165,False,True,False,0001706784-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000170678426000002/0001706784-26-000002.txt
"Invesco Realty, Inc.",,2026-05-01,2026-05-05,290330,25.8327,7500007.79,A,A,1479586,False,True,False,0001992686-26-000006,https://www.sec.gov/Archives/edgar/data/914208/000199268626000006/0001992686-26-000006.txt
"Invesco Realty, Inc.",,2026-05-01,2026-05-05,300692,24.9424,7499980.14,A,A,1495126,False,True,False,0001992686-26-000006,https://www.sec.gov/Archives/edgar/data/914208/000199268626000006/0001992686-26-000006.txt
"Invesco Realty, Inc.",,2026-05-01,2026-05-05,301859,24.846,7499988.71,A,A,1499487,False,True,False,0001992686-26-000006,https://www.sec.gov/Archives/edgar/data/914208/000199268626000006/0001992686-26-000006.txt
"Invesco Realty, Inc.",,2026-05-01,2026-05-05,301574,24.8694,7499964.44,A,A,1498497,False,True,False,0001992686-26-000006,https://www.sec.gov/Archives/edgar/data/914208/000199268626000006/0001992686-26-000006.txt
"Invesco Advisers, Inc.",,2026-05-01,2026-05-05,85860,25.8327,2217995.62,A,A,509667,False,True,False,0000020430-26-000020,https://www.sec.gov/Archives/edgar/data/914208/000002043026000020/0000020430-26-000020.txt
"Invesco Advisers, Inc.",,2026-05-01,2026-05-04,13478,28.2659,380967.8,A,A,155846,False,True,False,0000020430-26-000016,https://www.sec.gov/Archives/edgar/data/914208/000002043026000016/0000020430-26-000016.txt
"Invesco Advisers, Inc.",,2026-04-30,2026-05-04,5778,28.2659,163320.37,D,D,142368,False,True,False,0000020430-26-000016,https://www.sec.gov/Archives/edgar/data/914208/000002043026000016/0000020430-26-000016.txt
"Invesco Advisers, Inc.",,2026-04-01,2026-04-02,11257,28.164,317042.15,A,A,148146,False,True,False,0000020430-26-000014,https://www.sec.gov/Archives/edgar/data/914208/000002043026000014/0000020430-26-000014.txt
"Invesco Advisers, Inc.",,2026-03-31,2026-04-02,5778,28.164,162731.59,D,D,136889,False,True,False,0000020430-26-000014,https://www.sec.gov/Archives/edgar/data/914208/000002043026000014/0000020430-26-000014.txt
Smith Alan Leonard,SMD  and  CHRO,2026-03-13,2026-03-17,8641,0.0,0.0,A,A,18338,False,False,True,0001923426-26-000005,https://www.sec.gov/Archives/edgar/data/914208/000192342626000005/0001923426-26-000005.txt
Smith Alan Leonard,SMD  and  CHRO,2026-03-13,2026-03-17,3849,23.0,88527.0,D,F,14489,False,False,True,0001923426-26-000005,https://www.sec.gov/Archives/edgar/data/914208/000192342626000005/0001923426-26-000005.txt
"Invesco Advisers, Inc.",,2026-03-01,2026-03-03,11924,28.0915,334963.05,A,A,142668,False,True,False,0000020430-26-000010,https://www.sec.gov/Archives/edgar/data/914208/000002043026000010/0000020430-26-000010.txt
Wong Tony,Senior Managing Director,2026-02-28,2026-03-03,15343,0.0,0.0,A,A,128213,False,False,True,0001965402-26-000004,https://www.sec.gov/Archives/edgar/data/914208/000196540226000004/0001965402-26-000004.txt
Wong Tony,Senior Managing Director,2026-02-28,2026-03-03,16612,0.0,0.0,A,A,144825,False,False,True,0001965402-26-000004,https://www.sec.gov/Archives/edgar/data/914208/000196540226000004/0001965402-26-000004.txt
Wong Tony,Senior Managing Director,2026-02-28,2026-03-03,17854,26.26,468846.04,D,F,126971,False,False,True,0001965402-26-000004,https://www.sec.gov/Archives/edgar/data/914208/000196540226000004/0001965402-26-000004.txt
Vacheron Terry,Chief Accounting Officer,2026-02-28,2026-03-03,2534,0.0,0.0,A,A,20157,False,False,True,0001918146-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000191814626000002/0001918146-26-000002.txt
Vacheron Terry,Chief Accounting Officer,2026-02-28,2026-03-03,2264,0.0,0.0,A,A,22421,False,False,True,0001918146-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000191814626000002/0001918146-26-000002.txt
Vacheron Terry,Chief Accounting Officer,2026-02-28,2026-03-03,2852,26.26,74893.52,D,F,19569,False,False,True,0001918146-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000191814626000002/0001918146-26-000002.txt
Smith Alan Leonard,SMD  and  CHRO,2026-02-28,2026-03-03,8936,0.0,0.0,A,A,13711,False,False,True,0001923426-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000192342626000002/0001923426-26-000002.txt
Smith Alan Leonard,SMD  and  CHRO,2026-02-28,2026-03-03,4014,26.26,105407.64,D,F,9697,False,False,True,0001923426-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000192342626000002/0001923426-26-000002.txt
Sharp Douglas J,Senior Managing Director,2026-02-28,2026-03-03,46138,0.0,0.0,A,A,61800,False,False,True,0001764168-26-000004,https://www.sec.gov/Archives/edgar/data/914208/000176416826000004/0001764168-26-000004.txt
Sharp Douglas J,Senior Managing Director,2026-02-28,2026-03-03,21685,26.26,569448.1,D,F,40115,False,False,True,0001764168-26-000004,https://www.sec.gov/Archives/edgar/data/914208/000176416826000004/0001764168-26-000004.txt
Schlossberg Andrew,President and CEO,2026-02-28,2026-03-03,80970,0.0,0.0,A,A,895053,False,True,True,0001661103-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000166110326000002/0001661103-26-000002.txt
Schlossberg Andrew,President and CEO,2026-02-28,2026-03-03,42749,0.0,0.0,A,A,937802,False,True,True,0001661103-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000166110326000002/0001661103-26-000002.txt
Schlossberg Andrew,President and CEO,2026-02-28,2026-03-03,54915,0.0,0.0,A,A,992717,False,True,True,0001661103-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000166110326000002/0001661103-26-000002.txt
Schlossberg Andrew,President and CEO,2026-02-28,2026-03-03,94002,26.26,2468492.52,D,F,898715,False,True,True,0001661103-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000166110326000002/0001661103-26-000002.txt
Lo Andrew Tak Shing,Senior Managing Director,2026-02-28,2026-03-03,16479,0.0,0.0,A,A,705305,False,False,True,0001407922-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000140792226000002/0001407922-26-000002.txt
Lo Andrew Tak Shing,Senior Managing Director,2026-02-28,2026-03-03,83419,0.0,0.0,A,A,788724,False,False,True,0001407922-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000140792226000002/0001407922-26-000002.txt
Lo Andrew Tak Shing,Senior Managing Director,2026-02-28,2026-03-03,14333,0.0,0.0,A,A,803057,False,False,True,0001407922-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000140792226000002/0001407922-26-000002.txt
Lo Andrew Tak Shing,Senior Managing Director,2026-02-28,2026-03-03,17923,0.0,0.0,A,A,820980,False,False,True,0001407922-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000140792226000002/0001407922-26-000002.txt
Lo Andrew Tak Shing,Senior Managing Director,2026-02-28,2026-03-03,18113,0.0,0.0,A,A,839093,False,False,True,0001407922-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000140792226000002/0001407922-26-000002.txt
Kupor Jeffrey H,Senior Managing Director,2026-02-28,2026-03-03,5003,0.0,0.0,A,A,152810,False,False,True,0001736431-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000173643126000002/0001736431-26-000002.txt
Kupor Jeffrey H,Senior Managing Director,2026-02-28,2026-03-03,6140,0.0,0.0,A,A,158950,False,False,True,0001736431-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000173643126000002/0001736431-26-000002.txt
Kupor Jeffrey H,Senior Managing Director,2026-02-28,2026-03-03,7130,26.26,187233.8,D,F,151820,False,False,True,0001736431-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000173643126000002/0001736431-26-000002.txt
JOHNSTON SHANNON A,SMD and CIOO,2026-02-28,2026-03-03,8913,0.0,0.0,A,A,28816,False,False,True,0002007897-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000200789726000002/0002007897-26-000002.txt
JOHNSTON SHANNON A,SMD and CIOO,2026-02-28,2026-03-03,3970,26.26,104252.2,D,F,24846,False,False,True,0002007897-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000200789726000002/0002007897-26-000002.txt
DUKES LAURA ALLISON,Chief Financial Officer,2026-02-28,2026-03-03,63131,0.0,0.0,A,A,356304,False,False,True,0001674244-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000167424426000002/0001674244-26-000002.txt
DUKES LAURA ALLISON,Chief Financial Officer,2026-02-28,2026-03-03,17659,0.0,0.0,A,A,373963,False,False,True,0001674244-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000167424426000002/0001674244-26-000002.txt
DUKES LAURA ALLISON,Chief Financial Officer,2026-02-28,2026-03-03,26362,0.0,0.0,A,A,400325,False,False,True,0001674244-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000167424426000002/0001674244-26-000002.txt
DUKES LAURA ALLISON,Chief Financial Officer,2026-02-28,2026-03-03,58064,26.26,1524760.64,D,F,342261,False,False,True,0001674244-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000167424426000002/0001674244-26-000002.txt
Butcher Stephanie,Senior Managing Director,2026-02-28,2026-03-03,9237,26.26,242563.62,D,F,20618,False,False,True,0001965994-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000196599426000002/0001965994-26-000002.txt
"Invesco Advisers, Inc.",,2026-02-27,2026-03-03,110485,25.7799,2848292.25,D,D,423806,False,True,False,0000020430-26-000012,https://www.sec.gov/Archives/edgar/data/914208/000002043026000012/0000020430-26-000012.txt
"Invesco Advisers, Inc.",,2026-02-27,2026-03-03,5778,28.0915,162312.69,D,D,130743,False,True,False,0000020430-26-000010,https://www.sec.gov/Archives/edgar/data/914208/000002043026000010/0000020430-26-000010.txt
Wong Tony,Senior Managing Director,2026-02-06,2026-02-10,40113,26.82,1075830.66,D,F,112870,False,False,True,0001965402-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000196540226000002/0001965402-26-000002.txt
"Invesco Advisers, Inc.",,2026-02-02,2026-02-04,264024,25.7712,6804215.31,A,A,534291,False,True,False,0000020430-26-000008,https://www.sec.gov/Archives/edgar/data/914208/000002043026000008/0000020430-26-000008.txt
"Invesco Advisers, Inc.",,2026-02-01,2026-02-03,11508,28.1231,323640.63,A,A,136522,False,True,False,0000020430-26-000006,https://www.sec.gov/Archives/edgar/data/914208/000002043026000006/0000020430-26-000006.txt
"Invesco Advisers, Inc.",,2026-01-30,2026-02-03,5778,28.1231,162495.27,D,D,125013,False,True,False,0000020430-26-000006,https://www.sec.gov/Archives/edgar/data/914208/000002043026000006/0000020430-26-000006.txt
Sharp Douglas J,Senior Managing Director,2026-01-15,2026-01-20,29189,0.0,0.0,A,A,29381,False,False,True,0001764168-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000176416826000002/0001764168-26-000002.txt
Sharp Douglas J,Senior Managing Director,2026-01-15,2026-01-20,13719,29.39,403201.41,D,F,15662,False,False,True,0001764168-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000176416826000002/0001764168-26-000002.txt
"Invesco Advisers, Inc.",,2026-01-02,2026-01-05,10761,28.0658,302016.07,A,A,130792,False,True,False,0000020430-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000002043026000002/0000020430-26-000002.txt
"Invesco Advisers, Inc.",,2025-12-31,2026-01-05,5778,28.0658,162164.19,D,D,120031,False,True,False,0000020430-26-000002,https://www.sec.gov/Archives/edgar/data/914208/000002043026000002/0000020430-26-000002.txt
Schlossberg Andrew,President and CEO,2025-12-11,2025-12-12,18800,0.0,0.0,D,G,814083,False,True,True,0001661103-25-000005,https://www.sec.gov/Archives/edgar/data/914208/000166110325000005/0001661103-25-000005.txt
"Invesco Advisers, Inc.",,2025-12-01,2025-12-02,10863,27.9458,303575.23,A,A,125809,False,True,False,0000020430-25-000051,https://www.sec.gov/Archives/edgar/data/914208/000002043025000051/0000020430-25-000051.txt
"Invesco Advisers, Inc.",,2025-11-28,2025-12-02,5778,27.9458,161470.83,D,D,114946,False,True,False,0000020430-25-000051,https://www.sec.gov/Archives/edgar/data/914208/000002043025000051/0000020430-25-000051.txt
"Invesco Advisers, Inc.",,2025-11-28,2025-12-02,18002,25.7236,463076.25,D,D,270267,False,True,False,0000020430-25-000049,https://www.sec.gov/Archives/edgar/data/914208/000002043025000049/0000020430-25-000049.txt
"Invesco Advisers, Inc.",,2025-11-03,2025-11-05,65555,25.66,1682141.3,A,A,288170,False,True,False,0000020430-25-000045,https://www.sec.gov/Archives/edgar/data/914208/000002043025000045/0000020430-25-000045.txt
