insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Foss David B,,2026-07-14,2026-07-14,1220,0.0,0.0,A,M,129353,False,True,False,0001610501-26-000002,https://www.sec.gov/Archives/edgar/data/779152/000161050126000002/0001610501-26-000002.txt
Carsley Mimi,CFO and Treasurer,2026-05-14,2026-05-14,375,134.12,50295.0,A,P,6007,False,False,True,0000779152-26-000030,https://www.sec.gov/Archives/edgar/data/779152/000077915226000030/0000779152-26-000030.txt
Adelson Gregory R.,President & CEO,2026-05-14,2026-05-14,2000,133.42,266840.0,A,P,21036,False,True,True,0000779152-26-000031,https://www.sec.gov/Archives/edgar/data/779152/000077915226000031/0000779152-26-000031.txt
FLANIGAN MATTHEW C,,2026-02-12,2026-02-13,440,0.0,0.0,D,G,44454,False,True,False,0000779152-26-000011,https://www.sec.gov/Archives/edgar/data/779152/000077915226000011/0000779152-26-000011.txt
McLachlan Shanon G.,COO,2026-01-01,2026-01-05,183,0.0,0.0,A,M,1603,False,False,True,0000779152-26-000002,https://www.sec.gov/Archives/edgar/data/779152/000077915226000002/0000779152-26-000002.txt
McLachlan Shanon G.,COO,2026-01-01,2026-01-05,67,182.48,12226.16,D,F,1536,False,False,True,0000779152-26-000002,https://www.sec.gov/Archives/edgar/data/779152/000077915226000002/0000779152-26-000002.txt
Swearingen Renee Ann,Sr VP & Chief Accounting Offic,2025-12-15,2025-12-17,200,0.0,0.0,D,G,13133,False,False,True,0000779152-25-000142,https://www.sec.gov/Archives/edgar/data/779152/000077915225000142/0000779152-25-000142.txt
Foss David B,,2025-12-01,2025-12-03,20000,174.92,3498400.0,D,S,128133,False,True,False,0001610501-25-000005,https://www.sec.gov/Archives/edgar/data/779152/000161050125000005/0001610501-25-000005.txt
Wilson Thomas Hampton Jr.,,2025-11-11,2025-11-13,1159,0.0,0.0,A,M,16652,False,True,False,0000779152-25-000118,https://www.sec.gov/Archives/edgar/data/779152/000077915225000118/0000779152-25-000118.txt
WIMSETT THOMAS A,,2025-11-11,2025-11-13,1159,0.0,0.0,A,M,39875,False,True,False,0000779152-25-000113,https://www.sec.gov/Archives/edgar/data/779152/000077915225000113/0000779152-25-000113.txt
