insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
ALLOUCHE ARNAUD,SVP,2026-07-06,2026-07-08,1474,0.0,0.0,A,A,1474,False,False,True,0002140283-26-000004,https://www.sec.gov/Archives/edgar/data/1601046/000214028326000004/0002140283-26-000004.txt
Estrada Ingrid A,SVP,2026-06-30,2026-07-02,2000,340.87,681740.0,D,S,105861,True,False,True,0001621346-26-000004,https://www.sec.gov/Archives/edgar/data/1601046/000162134626000004/0001621346-26-000004.txt
Dhanasekaran Satish,President and CEO,2026-06-25,2026-06-29,507,361.32,183189.24,D,S,121390,True,True,True,0001712648-26-000007,https://www.sec.gov/Archives/edgar/data/1601046/000171264826000007/0001712648-26-000007.txt
CULLEN JAMES,,2026-06-02,2026-06-04,3000,346.5803,1039740.9,D,S,21821,False,True,False,0001142630-26-000004,https://www.sec.gov/Archives/edgar/data/1601046/000114263026000004/0001142630-26-000004.txt
JUSKIE JO ANN,SVP,2026-05-26,2026-05-28,136,355.74,48380.64,D,F,12485,False,False,True,0002069480-26-000004,https://www.sec.gov/Archives/edgar/data/1601046/000206948026000004/0002069480-26-000004.txt
Dhanasekaran Satish,President and CEO,2026-05-18,2026-05-20,500,340.48,170240.0,D,F,121897,False,True,True,0001712648-26-000005,https://www.sec.gov/Archives/edgar/data/1601046/000171264826000005/0001712648-26-000005.txt
HAMADA RICHARD P,,2026-03-30,2026-04-01,870,275.781,239929.47,D,S,42160,False,True,False,0001220015-26-000004,https://www.sec.gov/Archives/edgar/data/1601046/000122001526000004/0001220015-26-000004.txt
Li Jeffrey K,SVP and Secretary,2026-03-24,2026-03-26,2000,297.19,594380.0,D,S,34499,False,False,True,0001781319-26-000002,https://www.sec.gov/Archives/edgar/data/1601046/000178131926000002/0001781319-26-000002.txt
Dougherty Neil,EVP and CFO,2026-03-24,2026-03-26,2000,298.37,596740.0,D,S,125272,False,False,True,0001621383-26-000004,https://www.sec.gov/Archives/edgar/data/1601046/000162138326000004/0001621383-26-000004.txt
Dhanasekaran Satish,President and CEO,2026-03-24,2026-03-26,1667,300.0,500100.0,D,S,122397,False,True,True,0001712648-26-000004,https://www.sec.gov/Archives/edgar/data/1601046/000171264826000004/0001712648-26-000004.txt
Stephens Kevin A,,2026-03-20,2026-03-24,870,0.0,0.0,A,A,10420,False,True,False,0001834017-26-000005,https://www.sec.gov/Archives/edgar/data/1601046/000183401726000005/0001834017-26-000005.txt
Olsen Joanne Beth,,2026-03-20,2026-03-24,870,0.0,0.0,A,A,13092,False,True,False,0001742169-26-000002,https://www.sec.gov/Archives/edgar/data/1601046/000174216926000002/0001742169-26-000002.txt
Nersesian Ronald S.,,2026-03-20,2026-03-24,870,0.0,0.0,A,A,164246,False,True,False,0001418953-26-000007,https://www.sec.gov/Archives/edgar/data/1601046/000141895326000007/0001418953-26-000007.txt
NYE JEAN MCCLUNG,,2026-03-20,2026-03-24,870,0.0,0.0,A,A,38751,False,True,False,0001142618-26-000002,https://www.sec.gov/Archives/edgar/data/1601046/000114261826000002/0001142618-26-000002.txt
Jensen Keith,,2026-03-20,2026-03-24,870,0.0,0.0,A,A,1277,False,True,False,0001418649-26-000002,https://www.sec.gov/Archives/edgar/data/1601046/000141864926000002/0001418649-26-000002.txt
Holthaus Michelle Johnston,,2026-03-20,2026-03-24,870,0.0,0.0,A,A,8483,False,True,False,0001860540-26-000007,https://www.sec.gov/Archives/edgar/data/1601046/000186054026000007/0001860540-26-000007.txt
HAMADA RICHARD P,,2026-03-20,2026-03-24,870,0.0,0.0,A,A,43030,False,True,False,0001220015-26-000002,https://www.sec.gov/Archives/edgar/data/1601046/000122001526000002/0001220015-26-000002.txt
Dockendorff Charles J,,2026-03-20,2026-03-24,870,0.0,0.0,A,A,55213,False,True,False,0001400563-26-000002,https://www.sec.gov/Archives/edgar/data/1601046/000140056326000002/0001400563-26-000002.txt
CULLEN JAMES,,2026-03-20,2026-03-24,870,0.0,0.0,A,A,24821,False,True,False,0001142630-26-000002,https://www.sec.gov/Archives/edgar/data/1601046/000114263026000002/0001142630-26-000002.txt
Dhanasekaran Satish,President and CEO,2026-03-19,2026-03-23,1667,290.0,483430.0,D,S,124064,False,True,True,0001712648-26-000002,https://www.sec.gov/Archives/edgar/data/1601046/000171264826000002/0001712648-26-000002.txt
Nersesian Ronald S.,,2026-03-17,2026-03-19,30000,285.964,8578920.0,D,S,163376,True,True,False,0001418953-26-000005,https://www.sec.gov/Archives/edgar/data/1601046/000141895326000005/0001418953-26-000005.txt
JUSKIE JO ANN,SVP,2026-02-27,2026-03-03,1000,304.423,304423.0,D,S,12551,False,False,True,0002069480-26-000002,https://www.sec.gov/Archives/edgar/data/1601046/000206948026000002/0002069480-26-000002.txt
Estrada Ingrid A,SVP,2026-02-20,2026-02-24,2000,237.68,475360.0,D,S,107861,True,False,True,0001621346-26-000002,https://www.sec.gov/Archives/edgar/data/1601046/000162134626000002/0001621346-26-000002.txt
Nersesian Ronald S.,,2026-01-12,2026-01-14,5012,206.35,1034226.2,D,F,193376,False,True,False,0001418953-26-000003,https://www.sec.gov/Archives/edgar/data/1601046/000141895326000003/0001418953-26-000003.txt
YOON SUNG,SVP,2025-12-30,2026-01-02,888,206.66,183514.08,D,S,16953,False,False,True,0002042355-26-000002,https://www.sec.gov/Archives/edgar/data/1601046/000204235526000002/0002042355-26-000002.txt
YOON SUNG,SVP,2025-12-30,2026-01-02,500,0.0,0.0,D,G,16453,False,False,True,0002042355-26-000002,https://www.sec.gov/Archives/edgar/data/1601046/000204235526000002/0002042355-26-000002.txt
Dougherty Neil,EVP and CFO,2025-12-30,2026-01-02,560,0.0,0.0,D,G,127272,False,False,True,0001621383-26-000002,https://www.sec.gov/Archives/edgar/data/1601046/000162138326000002/0001621383-26-000002.txt
Dougherty Neil,EVP and CFO,2025-12-22,2025-12-29,1000,203.719,203719.0,D,S,127833,False,False,True,0001621383-25-000010,https://www.sec.gov/Archives/edgar/data/1601046/000162138325000010/0001621383-25-000010.txt
YOON SUNG,SVP,2025-12-11,2025-12-15,152,201.4,30612.8,D,F,17841,False,False,True,0002042355-25-000008,https://www.sec.gov/Archives/edgar/data/1601046/000204235525000008/0002042355-25-000008.txt
PAGE JOHN,SVP,2025-12-11,2025-12-15,70,201.4,14098.0,D,F,21172,False,False,True,0001657513-25-000012,https://www.sec.gov/Archives/edgar/data/1601046/000165751325000012/0001657513-25-000012.txt
KARY JASON ANDREW,SVP,2025-12-11,2025-12-15,112,201.4,22556.8,D,F,18660,False,False,True,0002041962-25-000009,https://www.sec.gov/Archives/edgar/data/1601046/000204196225000009/0002041962-25-000009.txt
JUSKIE JO ANN,SVP,2025-12-11,2025-12-15,203,201.4,40884.2,D,F,13551,False,False,True,0002069480-25-000011,https://www.sec.gov/Archives/edgar/data/1601046/000206948025000011/0002069480-25-000011.txt
Estrada Ingrid A,SVP,2025-12-11,2025-12-15,218,201.4,43905.2,D,F,109861,False,False,True,0001621346-25-000012,https://www.sec.gov/Archives/edgar/data/1601046/000162134625000012/0001621346-25-000012.txt
Dougherty Neil,EVP and CFO,2025-12-11,2025-12-15,358,201.4,72101.2,D,F,128833,False,False,True,0001621383-25-000008,https://www.sec.gov/Archives/edgar/data/1601046/000162138325000008/0001621383-25-000008.txt
Dhanasekaran Satish,President and CEO,2025-12-11,2025-12-11,2399,0.0,0.0,D,G,125731,False,True,True,0001712648-25-000011,https://www.sec.gov/Archives/edgar/data/1601046/000171264825000011/0001712648-25-000011.txt
PAGE JOHN,SVP,2025-12-10,2025-12-12,15000,213.479,3202185.0,D,S,21392,False,False,True,0001657513-25-000010,https://www.sec.gov/Archives/edgar/data/1601046/000165751325000010/0001657513-25-000010.txt
PAGE JOHN,SVP,2025-12-10,2025-12-12,150,0.0,0.0,D,G,21242,False,False,True,0001657513-25-000010,https://www.sec.gov/Archives/edgar/data/1601046/000165751325000010/0001657513-25-000010.txt
NYE JEAN MCCLUNG,,2025-12-10,2025-12-12,485,0.0,0.0,D,G,90,False,True,False,0001142618-25-000005,https://www.sec.gov/Archives/edgar/data/1601046/000114261825000005/0001142618-25-000005.txt
Dhanasekaran Satish,President and CEO,2025-12-09,2025-12-11,4230,211.43,894348.9,D,S,128131,False,True,True,0001712648-25-000011,https://www.sec.gov/Archives/edgar/data/1601046/000171264825000011/0001712648-25-000011.txt
NYE JEAN MCCLUNG,,2025-12-04,2025-12-08,2500,0.0,0.0,D,G,37881,False,True,False,0001142618-25-000003,https://www.sec.gov/Archives/edgar/data/1601046/000114261825000003/0001142618-25-000003.txt
Li Jeffrey K,SVP and Secretary,2025-12-03,2025-12-05,3934,200.84,790104.56,D,S,36699,True,False,True,0001781319-25-000010,https://www.sec.gov/Archives/edgar/data/1601046/000178131925000010/0001781319-25-000010.txt
Li Jeffrey K,SVP and Secretary,2025-12-03,2025-12-05,200,0.0,0.0,D,G,36499,True,False,True,0001781319-25-000010,https://www.sec.gov/Archives/edgar/data/1601046/000178131925000010/0001781319-25-000010.txt
PAGE JOHN,SVP,2025-12-01,2025-12-03,3175,196.42,623633.5,D,S,36392,True,False,True,0001657513-25-000008,https://www.sec.gov/Archives/edgar/data/1601046/000165751325000008/0001657513-25-000008.txt
NARAYANAN KAILASH,SVP,2025-12-01,2025-12-03,3201,196.42,628740.42,D,S,43917,True,False,True,0001891656-25-000008,https://www.sec.gov/Archives/edgar/data/1601046/000189165625000008/0001891656-25-000008.txt
