insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
KRAEMER HARRY M JANSEN JR,,2026-07-06,2026-07-07,310,0.0,0.0,A,A,131347,False,True,False,0001336920-26-000242,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000242/0001336920-26-000242.txt
Stevens Roy E,Sector President,2026-06-30,2026-07-02,7,0.0,0.0,A,A,1805,False,False,True,0001336920-26-000237,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000237/0001336920-26-000237.txt
SHAPARD ROBERT S,,2026-06-30,2026-07-02,6,0.0,0.0,A,A,1631,False,True,False,0001336920-26-000239,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000239/0001336920-26-000239.txt
KRAEMER HARRY M JANSEN JR,,2026-06-30,2026-07-02,565,0.0,0.0,A,A,131037,False,True,False,0001336920-26-000238,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000238/0001336920-26-000238.txt
Cage Christopher R,Chief Financial Officer,2026-06-30,2026-07-02,113,0.0,0.0,A,A,31840,False,False,True,0001336920-26-000236,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000236/0001336920-26-000236.txt
Antal Daniel J.,"EVP, General Counsel",2026-06-30,2026-07-02,5,0.0,0.0,A,A,10742,False,False,True,0001336920-26-000235,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000235/0001336920-26-000235.txt
Shanahan Patrick M,,2026-05-08,2026-05-12,1067,0.0,0.0,A,A,5762,False,True,False,0001336920-26-000207,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000207/0001336920-26-000207.txt
SHAPARD ROBERT S,,2026-05-08,2026-05-12,1067,0.0,0.0,A,A,60027,False,True,False,0001336920-26-000206,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000206/0001336920-26-000206.txt
Norton Nancy A,,2026-05-08,2026-05-12,1067,0.0,0.0,A,A,3144,False,True,False,0001336920-26-000208,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000208/0001336920-26-000208.txt
May Gary Stephen,,2026-05-08,2026-05-12,1067,0.0,0.0,A,A,11204,False,True,False,0001336920-26-000209,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000209/0001336920-26-000209.txt
KRAEMER HARRY M JANSEN JR,,2026-05-08,2026-05-12,1067,0.0,0.0,A,A,130472,False,True,False,0001336920-26-000210,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000210/0001336920-26-000210.txt
Jonas Tina W,,2026-05-08,2026-05-12,1067,0.0,0.0,A,A,2446,False,True,False,0001336920-26-000211,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000211/0001336920-26-000211.txt
Geer Noel B,,2026-05-08,2026-05-12,1067,0.0,0.0,A,A,44273,False,True,False,0001336920-26-000212,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000212/0001336920-26-000212.txt
Fubini David G,,2026-05-08,2026-05-12,1067,0.0,0.0,A,A,17547,False,True,False,0001336920-26-000213,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000213/0001336920-26-000213.txt
Dahlberg Gregory R,,2026-05-08,2026-05-12,1067,0.0,0.0,A,A,24036,False,True,False,0001336920-26-000214,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000214/0001336920-26-000214.txt
May Gary Stephen,,2026-05-07,2026-05-08,3345,75.02,250941.9,A,M,13482,False,True,False,0001336920-26-000186,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000186/0001336920-26-000186.txt
May Gary Stephen,,2026-05-07,2026-05-08,1861,134.9,251048.9,D,F,11621,False,True,False,0001336920-26-000186,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000186/0001336920-26-000186.txt
May Gary Stephen,,2026-05-07,2026-05-08,1484,132.7528,197005.16,D,S,10137,False,True,False,0001336920-26-000186,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000186/0001336920-26-000186.txt
Bell Thomas Arthur,CEO,2026-05-05,2026-05-06,2530,148.81,376489.3,D,F,108696,False,True,True,0001336920-26-000183,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000183/0001336920-26-000183.txt
Antal Daniel J.,"EVP, General Counsel",2026-05-03,2026-05-06,188,149.23,28055.24,D,F,14241,False,False,True,0001336920-26-000180,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000180/0001336920-26-000180.txt
Antal Daniel J.,"EVP, General Counsel",2026-05-03,2026-05-06,18,149.23,2686.14,D,F,10727,False,False,True,0001336920-26-000180,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000180/0001336920-26-000180.txt
Antal Daniel J.,"EVP, General Counsel",2026-05-03,2026-05-06,8,0.0,0.0,A,A,10736,False,False,True,0001336920-26-000180,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000180/0001336920-26-000180.txt
KRAEMER HARRY M JANSEN JR,,2026-05-01,2026-05-05,9,0.0,0.0,A,A,129405,False,True,False,0001336920-26-000172,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000172/0001336920-26-000172.txt
KRAEMER HARRY M JANSEN JR,,2026-04-10,2026-04-14,220,0.0,0.0,A,A,129395,False,True,False,0001336920-26-000161,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000161/0001336920-26-000161.txt
Porter Elizabeth A,Sector President,2026-04-07,2026-04-08,1915,158.7534,304012.76,D,S,49561,True,False,True,0001336920-26-000158,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000158/0001336920-26-000158.txt
Porter Elizabeth A,Sector President,2026-04-07,2026-04-08,85,159.325,13542.62,D,S,49476,True,False,True,0001336920-26-000158,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000158/0001336920-26-000158.txt
Stevens Roy E,Sector President,2026-03-31,2026-04-02,5,0.0,0.0,A,A,1797,False,False,True,0001336920-26-000149,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000149/0001336920-26-000149.txt
SHAPARD ROBERT S,,2026-03-31,2026-04-02,4,0.0,0.0,A,A,1624,False,True,False,0001336920-26-000155,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000155/0001336920-26-000155.txt
KRAEMER HARRY M JANSEN JR,,2026-03-31,2026-04-02,363,0.0,0.0,A,A,129174,False,True,False,0001336920-26-000152,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000152/0001336920-26-000152.txt
Cage Christopher R,Chief Financial Officer,2026-03-31,2026-04-02,73,0.0,0.0,A,A,31727,False,False,True,0001336920-26-000146,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000146/0001336920-26-000146.txt
Antal Daniel J.,"EVP, General Counsel",2026-03-31,2026-04-02,2,0.0,0.0,A,A,10745,False,False,True,0001336920-26-000143,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000143/0001336920-26-000143.txt
Dahlberg Gregory R,,2026-03-16,2026-03-18,3345,75.02,250941.9,A,M,24413,False,True,False,0001336920-26-000134,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000134/0001336920-26-000134.txt
Dahlberg Gregory R,,2026-03-16,2026-03-18,1444,173.86,251053.84,D,F,22969,False,True,False,0001336920-26-000134,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000134/0001336920-26-000134.txt
Stevens Roy E,Sector President,2026-03-08,2026-03-10,499,177.89,88767.11,D,F,62221,False,False,True,0001336920-26-000101,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000101/0001336920-26-000101.txt
Porter Elizabeth A,Sector President,2026-03-08,2026-03-10,588,177.89,104599.32,D,F,51476,False,False,True,0001336920-26-000104,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000104/0001336920-26-000104.txt
O'Connor Jason M.,Sector President,2026-03-08,2026-03-10,57,177.89,10139.73,D,F,14924,False,False,True,0001336920-26-000107,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000107/0001336920-26-000107.txt
Hull Stephen Edward,Sector President,2026-03-08,2026-03-10,499,177.89,88767.11,D,F,36309,False,False,True,0001336920-26-000110,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000110/0001336920-26-000110.txt
Gruensfelder Cindy,Sector President,2026-03-08,2026-03-10,412,177.89,73290.68,D,F,26499,False,False,True,0001336920-26-000113,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000113/0001336920-26-000113.txt
Fautsch Leslie K.,Chief Human Resources Officer,2026-03-08,2026-03-10,74,177.89,13163.86,D,F,22314,False,False,True,0001336920-26-000116,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000116/0001336920-26-000116.txt
Cage Christopher R,Chief Financial Officer,2026-03-08,2026-03-10,676,177.89,120253.64,D,F,64829,False,False,True,0001336920-26-000119,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000119/0001336920-26-000119.txt
Bell Thomas Arthur,CEO,2026-03-08,2026-03-10,2306,177.89,410214.34,D,F,111226,False,True,True,0001336920-26-000122,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000122/0001336920-26-000122.txt
Atkinson Daniel A.,"SVP,  Controller",2026-03-08,2026-03-10,63,177.89,11207.07,D,F,3303,False,False,True,0001336920-26-000125,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000125/0001336920-26-000125.txt
Stevens Roy E,Sector President,2026-03-07,2026-03-10,518,177.89,92147.02,D,F,62720,False,False,True,0001336920-26-000101,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000101/0001336920-26-000101.txt
Porter Elizabeth A,Sector President,2026-03-07,2026-03-10,593,177.89,105488.77,D,F,52064,False,False,True,0001336920-26-000104,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000104/0001336920-26-000104.txt
O'Connor Jason M.,Sector President,2026-03-07,2026-03-10,61,177.89,10851.29,D,F,14981,False,False,True,0001336920-26-000107,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000107/0001336920-26-000107.txt
Hull Stephen Edward,Sector President,2026-03-07,2026-03-10,518,177.89,92147.02,D,F,36808,False,False,True,0001336920-26-000110,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000110/0001336920-26-000110.txt
Gruensfelder Cindy,Sector President,2026-03-07,2026-03-10,534,177.89,94993.26,D,F,26911,False,False,True,0001336920-26-000113,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000113/0001336920-26-000113.txt
Fautsch Leslie K.,Chief Human Resources Officer,2026-03-07,2026-03-10,474,177.89,84319.86,D,F,22388,False,False,True,0001336920-26-000116,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000116/0001336920-26-000116.txt
Cage Christopher R,Chief Financial Officer,2026-03-07,2026-03-10,343,177.89,61016.27,D,F,65505,False,False,True,0001336920-26-000119,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000119/0001336920-26-000119.txt
Cage Christopher R,Chief Financial Officer,2026-03-07,2026-03-10,33,177.89,5870.37,D,F,31646,False,False,True,0001336920-26-000119,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000119/0001336920-26-000119.txt
Cage Christopher R,Chief Financial Officer,2026-03-07,2026-03-10,6,0.0,0.0,A,A,31653,False,False,True,0001336920-26-000119,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000119/0001336920-26-000119.txt
Bell Thomas Arthur,CEO,2026-03-07,2026-03-10,3245,177.89,577253.05,D,F,113532,False,True,True,0001336920-26-000122,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000122/0001336920-26-000122.txt
Atkinson Daniel A.,"SVP,  Controller",2026-03-07,2026-03-10,78,177.89,13875.42,D,F,3366,False,False,True,0001336920-26-000125,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000125/0001336920-26-000125.txt
Antal Daniel J.,"EVP, General Counsel",2026-03-07,2026-03-10,203,177.89,36111.67,D,F,14429,False,False,True,0001336920-26-000128,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000128/0001336920-26-000128.txt
Antal Daniel J.,"EVP, General Counsel",2026-03-07,2026-03-10,20,177.89,3557.8,D,F,10738,False,False,True,0001336920-26-000128,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000128/0001336920-26-000128.txt
Antal Daniel J.,"EVP, General Counsel",2026-03-07,2026-03-10,4,0.0,0.0,A,A,10743,False,False,True,0001336920-26-000128,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000128/0001336920-26-000128.txt
Stevens Roy E,Sector President,2026-03-06,2026-03-10,4555,0.0,0.0,A,A,63238,False,False,True,0001336920-26-000101,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000101/0001336920-26-000101.txt
Porter Elizabeth A,Sector President,2026-03-06,2026-03-10,4626,0.0,0.0,A,A,52657,False,False,True,0001336920-26-000104,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000104/0001336920-26-000104.txt
O'Connor Jason M.,Sector President,2026-03-06,2026-03-10,3914,0.0,0.0,A,A,15042,False,False,True,0001336920-26-000107,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000107/0001336920-26-000107.txt
Hull Stephen Edward,Sector President,2026-03-06,2026-03-10,4555,0.0,0.0,A,A,37326,False,False,True,0001336920-26-000110,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000110/0001336920-26-000110.txt
Gruensfelder Cindy,Sector President,2026-03-06,2026-03-10,4626,0.0,0.0,A,A,27445,False,False,True,0001336920-26-000113,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000113/0001336920-26-000113.txt
Fautsch Leslie K.,Chief Human Resources Officer,2026-03-06,2026-03-10,4099,0.0,0.0,A,A,22862,False,False,True,0001336920-26-000116,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000116/0001336920-26-000116.txt
Cage Christopher R,Chief Financial Officer,2026-03-06,2026-03-10,8369,0.0,0.0,A,A,65848,False,False,True,0001336920-26-000119,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000119/0001336920-26-000119.txt
Bell Thomas Arthur,CEO,2026-03-06,2026-03-10,37288,0.0,0.0,A,A,116777,False,True,True,0001336920-26-000122,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000122/0001336920-26-000122.txt
Atkinson Daniel A.,"SVP,  Controller",2026-03-06,2026-03-10,1076,0.0,0.0,A,A,3444,False,False,True,0001336920-26-000125,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000125/0001336920-26-000125.txt
Antal Daniel J.,"EVP, General Counsel",2026-03-06,2026-03-10,4163,0.0,0.0,A,A,10758,False,False,True,0001336920-26-000128,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000128/0001336920-26-000128.txt
Stevens Roy E,Sector President,2026-03-04,2026-03-05,339,180.65,61240.35,D,F,58683,False,False,True,0001336920-26-000092,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000092/0001336920-26-000092.txt
Porter Elizabeth A,Sector President,2026-03-04,2026-03-05,376,180.65,67924.4,D,F,48031,False,False,True,0001336920-26-000089,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000089/0001336920-26-000089.txt
O'Connor Jason M.,Sector President,2026-03-04,2026-03-05,48,180.65,8671.2,D,F,11128,False,False,True,0001336920-26-000086,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000086/0001336920-26-000086.txt
Hull Stephen Edward,Sector President,2026-03-04,2026-03-05,188,180.65,33962.2,D,F,32771,False,False,True,0001336920-26-000083,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000083/0001336920-26-000083.txt
Geer Noel B,,2026-03-04,2026-03-05,2123,103.9,220579.7,A,M,39141,False,True,False,0001336920-26-000098,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000098/0001336920-26-000098.txt
Geer Noel B,,2026-03-04,2026-03-05,1769,104.06,184082.14,A,M,40910,False,True,False,0001336920-26-000098,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000098/0001336920-26-000098.txt
Geer Noel B,,2026-03-04,2026-03-05,2296,79.45,182417.2,A,M,43206,False,True,False,0001336920-26-000098,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000098/0001336920-26-000098.txt
Fautsch Leslie K.,Chief Human Resources Officer,2026-03-04,2026-03-05,41,180.65,7406.65,D,F,18763,False,False,True,0001336920-26-000080,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000080/0001336920-26-000080.txt
Cage Christopher R,Chief Financial Officer,2026-03-04,2026-03-05,218,180.65,39381.7,D,F,57479,False,False,True,0001336920-26-000095,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000095/0001336920-26-000095.txt
Cage Christopher R,Chief Financial Officer,2026-03-04,2026-03-05,21,180.65,3793.65,D,F,31663,False,False,True,0001336920-26-000095,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000095/0001336920-26-000095.txt
Cage Christopher R,Chief Financial Officer,2026-03-04,2026-03-05,16,0.0,0.0,A,A,31679,False,False,True,0001336920-26-000095,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000095/0001336920-26-000095.txt
Atkinson Daniel A.,"SVP,  Controller",2026-03-04,2026-03-05,34,180.65,6142.1,D,F,2368,False,False,True,0001336920-26-000077,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000077/0001336920-26-000077.txt
Stevens Roy E,Sector President,2026-03-03,2026-03-05,566,179.4,101540.4,D,F,59022,False,False,True,0001336920-26-000092,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000092/0001336920-26-000092.txt
Porter Elizabeth A,Sector President,2026-03-03,2026-03-05,651,179.4,116789.4,D,F,48407,False,False,True,0001336920-26-000089,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000089/0001336920-26-000089.txt
O'Connor Jason M.,Sector President,2026-03-03,2026-03-05,68,179.4,12199.2,D,F,11176,False,False,True,0001336920-26-000086,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000086/0001336920-26-000086.txt
