insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Zamarro Christina L,,2026-07-01,2026-07-02,128,292.93,37495.04,A,A,6267,False,True,False,0001934429-26-000010,https://www.sec.gov/Archives/edgar/data/202058/000193442926000010/0001934429-26-000010.txt
Regnery David S,,2026-07-01,2026-07-02,128,292.93,37495.04,A,A,2815,False,True,False,0000202058-26-000045,https://www.sec.gov/Archives/edgar/data/202058/000020205826000045/0000202058-26-000045.txt
Geraghty Joanna,,2026-07-01,2026-07-02,149,292.93,43646.57,A,A,5708,False,True,False,0001742111-26-000014,https://www.sec.gov/Archives/edgar/data/202058/000174211126000014/0001742111-26-000014.txt
Zamarro Christina L,,2026-05-11,2026-05-12,661,0.0,0.0,A,A,6114,False,True,False,0001934429-26-000008,https://www.sec.gov/Archives/edgar/data/202058/000193442926000008/0001934429-26-000008.txt
Rice Edward A Jr,,2026-05-11,2026-05-12,661,0.0,0.0,A,A,3516,False,True,False,0001966384-26-000002,https://www.sec.gov/Archives/edgar/data/202058/000196638426000002/0001966384-26-000002.txt
Regnery David S,,2026-05-11,2026-05-12,661,0.0,0.0,A,A,2672,False,True,False,0001715932-26-000006,https://www.sec.gov/Archives/edgar/data/202058/000171593226000006/0001715932-26-000006.txt
Harris Harry B. Jr,,2026-05-11,2026-05-12,661,0.0,0.0,A,A,4411,False,True,False,0001897706-26-000002,https://www.sec.gov/Archives/edgar/data/202058/000189770626000002/0001897706-26-000002.txt
HAY LEWIS III,,2026-05-11,2026-05-12,661,0.0,0.0,A,A,7419,False,True,False,0001182705-26-000002,https://www.sec.gov/Archives/edgar/data/202058/000118270526000002/0001182705-26-000002.txt
HACHIGIAN KIRK S,,2026-05-11,2026-05-12,661,302.35,199853.35,A,A,4805,False,True,False,0001210484-26-000004,https://www.sec.gov/Archives/edgar/data/202058/000121048426000004/0001210484-26-000004.txt
Geraghty Joanna,,2026-05-11,2026-05-12,661,0.0,0.0,A,A,5541,False,True,False,0001742111-26-000011,https://www.sec.gov/Archives/edgar/data/202058/000174211126000011/0001742111-26-000011.txt
FRADIN ROGER,,2026-05-11,2026-05-12,661,0.0,0.0,A,A,6889,False,True,False,0001246989-26-000002,https://www.sec.gov/Archives/edgar/data/202058/000124698926000002/0001246989-26-000002.txt
DATTILO THOMAS A,,2026-05-11,2026-05-12,661,0.0,0.0,A,A,9264,False,True,False,0001221547-26-000002,https://www.sec.gov/Archives/edgar/data/202058/000122154726000002/0001221547-26-000002.txt
BAILEY SALLIE B,,2026-05-11,2026-05-12,661,0.0,0.0,A,A,7356,False,True,False,0001234014-26-000002,https://www.sec.gov/Archives/edgar/data/202058/000123401426000002/0001234014-26-000002.txt
Rakita Melanie,Vice President & CHRO,2026-05-05,2026-05-05,2180,310.45,676781.0,D,S,4192,True,False,True,0001971617-26-000008,https://www.sec.gov/Archives/edgar/data/202058/000197161726000008/0001971617-26-000008.txt
Rakita Melanie,Vice President & CHRO,2026-05-01,2026-05-05,3596,0.0,0.0,A,M,7788,True,False,True,0001971617-26-000008,https://www.sec.gov/Archives/edgar/data/202058/000197161726000008/0001971617-26-000008.txt
Rakita Melanie,Vice President & CHRO,2026-05-01,2026-05-05,1416,313.37,443731.92,D,F,6372,True,False,True,0001971617-26-000008,https://www.sec.gov/Archives/edgar/data/202058/000197161726000008/0001971617-26-000008.txt
Zamarro Christina L,,2026-04-01,2026-04-03,105,353.91,37160.55,A,A,5453,False,True,False,0001934429-26-000006,https://www.sec.gov/Archives/edgar/data/202058/000193442926000006/0001934429-26-000006.txt
Regnery David S,,2026-04-01,2026-04-03,105,353.91,37160.55,A,A,2011,False,True,False,0001715932-26-000004,https://www.sec.gov/Archives/edgar/data/202058/000171593226000004/0001715932-26-000004.txt
Geraghty Joanna,,2026-04-01,2026-04-03,123,353.91,43530.93,A,A,4880,False,True,False,0001742111-26-000006,https://www.sec.gov/Archives/edgar/data/202058/000174211126000006/0001742111-26-000006.txt
Rakita Melanie,Vice President & CHRO,2026-03-02,2026-03-02,751,370.32,278110.32,D,S,4131,True,False,True,0001971617-26-000006,https://www.sec.gov/Archives/edgar/data/202058/000197161726000006/0001971617-26-000006.txt
RAMBEAU JON,"Pres., Coms. & Spec. Dom.",2026-03-02,2026-03-02,5528,370.32,2047128.96,D,S,7660,True,False,True,0001949419-26-000004,https://www.sec.gov/Archives/edgar/data/202058/000194941926000004/0001949419-26-000004.txt
MEHTA SAMIR,"Pres., Space & Mission Sys.",2026-03-02,2026-03-02,5528,370.32,2047128.96,D,S,7756,True,False,True,0001961104-26-000008,https://www.sec.gov/Archives/edgar/data/202058/000196110426000008/0001961104-26-000008.txt
Rakita Melanie,Vice President & CHRO,2026-02-26,2026-03-02,1020,0.0,0.0,A,M,7529,True,False,True,0001971617-26-000006,https://www.sec.gov/Archives/edgar/data/202058/000197161726000006/0001971617-26-000006.txt
Rakita Melanie,Vice President & CHRO,2026-02-26,2026-03-02,269,355.16,95538.04,D,F,7260,True,False,True,0001971617-26-000006,https://www.sec.gov/Archives/edgar/data/202058/000197161726000006/0001971617-26-000006.txt
Rakita Melanie,Vice President & CHRO,2026-02-26,2026-03-02,2378,341.45,811968.1,D,S,4882,True,False,True,0001971617-26-000006,https://www.sec.gov/Archives/edgar/data/202058/000197161726000006/0001971617-26-000006.txt
RAMBEAU JON,"Pres., Coms. & Spec. Dom.",2026-02-26,2026-03-02,9115,0.0,0.0,A,M,16775,True,False,True,0001949419-26-000004,https://www.sec.gov/Archives/edgar/data/202058/000194941926000004/0001949419-26-000004.txt
RAMBEAU JON,"Pres., Coms. & Spec. Dom.",2026-02-26,2026-03-02,3587,355.16,1273958.92,D,F,13188,True,False,True,0001949419-26-000004,https://www.sec.gov/Archives/edgar/data/202058/000194941926000004/0001949419-26-000004.txt
MEHTA SAMIR,"Pres., Space & Mission Sys.",2026-02-26,2026-03-02,9115,0.0,0.0,A,M,16871,True,False,True,0001961104-26-000008,https://www.sec.gov/Archives/edgar/data/202058/000196110426000008/0001961104-26-000008.txt
MEHTA SAMIR,"Pres., Space & Mission Sys.",2026-02-26,2026-03-02,3587,355.16,1273958.92,D,F,13284,True,False,True,0001961104-26-000008,https://www.sec.gov/Archives/edgar/data/202058/000196110426000008/0001961104-26-000008.txt
KUBASIK CHRISTOPHER E,Chairman and CEO,2026-02-26,2026-03-02,48245,0.0,0.0,A,M,210822,False,True,True,0001194001-26-000003,https://www.sec.gov/Archives/edgar/data/202058/000119400126000003/0001194001-26-000003.txt
KUBASIK CHRISTOPHER E,Chairman and CEO,2026-02-26,2026-03-02,18985,355.16,6742712.6,D,F,191837,False,True,True,0001194001-26-000003,https://www.sec.gov/Archives/edgar/data/202058/000119400126000003/0001194001-26-000003.txt
Rakita Melanie,Vice President & CHRO,2026-02-24,2026-02-26,340,0.0,0.0,A,M,6592,False,False,True,0001971617-26-000004,https://www.sec.gov/Archives/edgar/data/202058/000197161726000004/0001971617-26-000004.txt
Rakita Melanie,Vice President & CHRO,2026-02-24,2026-02-26,83,354.27,29404.41,D,F,6509,False,False,True,0001971617-26-000004,https://www.sec.gov/Archives/edgar/data/202058/000197161726000004/0001971617-26-000004.txt
RAMBEAU JON,"Pres., Coms. & Spec. Dom.",2026-02-24,2026-02-26,3034,0.0,0.0,A,M,8450,False,False,True,0001949419-26-000002,https://www.sec.gov/Archives/edgar/data/202058/000194941926000002/0001949419-26-000002.txt
RAMBEAU JON,"Pres., Coms. & Spec. Dom.",2026-02-24,2026-02-26,790,354.27,279873.3,D,F,7660,False,False,True,0001949419-26-000002,https://www.sec.gov/Archives/edgar/data/202058/000194941926000002/0001949419-26-000002.txt
MEHTA SAMIR,"Pres., Space & Mission Sys.",2026-02-24,2026-02-26,3034,0.0,0.0,A,M,8950,False,False,True,0001961104-26-000006,https://www.sec.gov/Archives/edgar/data/202058/000196110426000006/0001961104-26-000006.txt
MEHTA SAMIR,"Pres., Space & Mission Sys.",2026-02-24,2026-02-26,1194,354.27,422998.38,D,F,7756,False,False,True,0001961104-26-000006,https://www.sec.gov/Archives/edgar/data/202058/000196110426000006/0001961104-26-000006.txt
KUBASIK CHRISTOPHER E,Chairman and CEO,2026-02-24,2026-02-26,16060,0.0,0.0,A,M,168570,False,True,True,0000202058-26-000016,https://www.sec.gov/Archives/edgar/data/202058/000020205826000016/0000202058-26-000016.txt
KUBASIK CHRISTOPHER E,Chairman and CEO,2026-02-24,2026-02-26,5993,354.27,2123140.11,D,F,162577,False,True,True,0000202058-26-000016,https://www.sec.gov/Archives/edgar/data/202058/000020205826000016/0000202058-26-000016.txt
MILLARD ROBERT B,,2026-02-06,2026-02-06,5770,0.0,0.0,D,G,181972,False,True,False,0001188791-26-000004,https://www.sec.gov/Archives/edgar/data/202058/000118879126000004/0001188791-26-000004.txt
