insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Thad Trent,,2026-07-15,2026-07-16,108,0.0,0.0,A,A,1313,False,False,False,0001607990-26-000001,https://www.sec.gov/Archives/edgar/data/1633978/000160799026000001/0001607990-26-000001.txt
Small Ian,,2026-07-15,2026-07-16,108,0.0,0.0,A,A,21116,False,False,False,0001714910-26-000003,https://www.sec.gov/Archives/edgar/data/1633978/000171491026000003/0001714910-26-000003.txt
Lillie Brian,,2026-07-15,2026-07-16,108,0.0,0.0,A,A,14018,False,False,False,0001648231-26-000004,https://www.sec.gov/Archives/edgar/data/1633978/000164823126000004/0001648231-26-000004.txt
Johnson Julia Suzanne,,2026-07-15,2026-07-16,108,0.0,0.0,A,A,13428,False,False,False,0001722289-26-000001,https://www.sec.gov/Archives/edgar/data/1633978/000172228926000001/0001722289-26-000001.txt
HERSCHER PENNY,,2026-07-15,2026-07-16,108,0.0,0.0,A,A,2165,False,False,False,0001232019-26-000005,https://www.sec.gov/Archives/edgar/data/1633978/000123201926000005/0001232019-26-000005.txt
Fletcher Pamela,,2026-07-15,2026-07-16,108,0.0,0.0,A,A,7514,False,False,False,0001711035-26-000002,https://www.sec.gov/Archives/edgar/data/1633978/000171103526000002/0001711035-26-000002.txt
Harris Isaac Hosojiro,,2026-06-02,2026-06-04,1416,1000.081,1416114.7,D,S,6984,True,False,False,0001866503-26-000005,https://www.sec.gov/Archives/edgar/data/1633978/000186650326000005/0001866503-26-000005.txt
Harris Isaac Hosojiro,,2026-05-29,2026-07-07,258,0.0,0.0,A,A,13082,False,False,False,0001866503-26-000006,https://www.sec.gov/Archives/edgar/data/1633978/000186650326000006/0001866503-26-000006.txt
Harris Isaac Hosojiro,,2026-05-29,2026-07-07,125,854.96,106870.0,D,F,12957,False,False,False,0001866503-26-000006,https://www.sec.gov/Archives/edgar/data/1633978/000186650326000006/0001866503-26-000006.txt
Harris Isaac Hosojiro,,2026-05-29,2026-06-01,4000,860.0,3440000.0,D,S,8400,True,False,False,0001866503-26-000004,https://www.sec.gov/Archives/edgar/data/1633978/000186650326000004/0001866503-26-000004.txt
Small Ian,,2026-05-21,2026-05-22,4954,868.07,4300418.78,D,S,21008,False,False,False,0001714910-26-000002,https://www.sec.gov/Archives/edgar/data/1633978/000171491026000002/0001714910-26-000002.txt
Wupen Yuen,"PRESIDENT, GLOBAL BUS. UNITS",2026-05-18,2026-05-19,3210,953.95,3062179.5,D,S,81488,True,False,False,0001489550-26-000002,https://www.sec.gov/Archives/edgar/data/1633978/000148955026000002/0001489550-26-000002.txt
Retort Vincent,SEE REMARKS,2026-05-18,2026-05-19,3183,953.95,3036422.85,D,S,89563,True,False,False,0001648256-26-000004,https://www.sec.gov/Archives/edgar/data/1633978/000164825626000004/0001648256-26-000004.txt
Kim Jae,"SVP, GENERAL COUNSEL",2026-05-18,2026-05-19,1422,953.95,1356516.9,D,S,32333,True,False,False,0001570465-26-000003,https://www.sec.gov/Archives/edgar/data/1633978/000157046526000003/0001570465-26-000003.txt
Ali Wajid,EVP & CHIEF FINANCIAL OFFICER,2026-05-18,2026-05-19,2487,953.95,2372473.65,D,S,60951,True,False,False,0001561100-26-000003,https://www.sec.gov/Archives/edgar/data/1633978/000156110026000003/0001561100-26-000003.txt
Wupen Yuen,"PRESIDENT, GLOBAL BUS. UNITS",2026-05-15,2026-05-19,3741,970.7,3631388.7,D,F,84698,True,False,False,0001489550-26-000002,https://www.sec.gov/Archives/edgar/data/1633978/000148955026000002/0001489550-26-000002.txt
Retort Vincent,SEE REMARKS,2026-05-15,2026-05-19,3299,970.7,3202339.3,D,F,92746,True,False,False,0001648256-26-000004,https://www.sec.gov/Archives/edgar/data/1633978/000164825626000004/0001648256-26-000004.txt
Kim Jae,"SVP, GENERAL COUNSEL",2026-05-15,2026-05-19,1416,970.7,1374511.2,D,F,33755,True,False,False,0001570465-26-000003,https://www.sec.gov/Archives/edgar/data/1633978/000157046526000003/0001570465-26-000003.txt
HURLSTON MICHAEL E.,President and CEO,2026-05-15,2026-05-19,5438,970.7,5278666.6,D,F,124417,False,False,False,0001573338-26-000006,https://www.sec.gov/Archives/edgar/data/1633978/000157333826000006/0001573338-26-000006.txt
Fletcher Pamela,,2026-05-15,2026-05-15,1578,940.82,1484613.96,D,S,7406,True,False,False,0001711035-26-000001,https://www.sec.gov/Archives/edgar/data/1633978/000171103526000001/0001711035-26-000001.txt
Ali Wajid,EVP & CHIEF FINANCIAL OFFICER,2026-05-15,2026-05-19,2914,970.7,2828619.8,D,F,63438,True,False,False,0001561100-26-000003,https://www.sec.gov/Archives/edgar/data/1633978/000156110026000003/0001561100-26-000003.txt
Fletcher Pamela,,2026-05-14,2026-05-15,1577,1003.375,1582322.38,D,S,8984,True,False,False,0001711035-26-000001,https://www.sec.gov/Archives/edgar/data/1633978/000171103526000001/0001711035-26-000001.txt
Lillie Brian,,2026-05-11,2026-05-12,49,1004.335,49212.42,D,S,13910,True,False,False,0001648231-26-000003,https://www.sec.gov/Archives/edgar/data/1633978/000164823126000003/0001648231-26-000003.txt
Lillie Brian,,2026-05-11,2026-05-12,1469,950.99,1397004.31,D,S,24441,True,False,False,0001648231-26-000002,https://www.sec.gov/Archives/edgar/data/1633978/000164823126000002/0001648231-26-000002.txt
Lillie Brian,,2026-05-11,2026-05-12,80,953.54,76283.2,D,S,24361,True,False,False,0001648231-26-000002,https://www.sec.gov/Archives/edgar/data/1633978/000164823126000002/0001648231-26-000002.txt
Lillie Brian,,2026-05-11,2026-05-12,1000,955.0138,955013.8,D,S,23361,True,False,False,0001648231-26-000002,https://www.sec.gov/Archives/edgar/data/1633978/000164823126000002/0001648231-26-000002.txt
Lillie Brian,,2026-05-11,2026-05-12,120,957.84,114940.8,D,S,23241,True,False,False,0001648231-26-000002,https://www.sec.gov/Archives/edgar/data/1633978/000164823126000002/0001648231-26-000002.txt
Lillie Brian,,2026-05-11,2026-05-12,40,962.88,38515.2,D,S,23201,True,False,False,0001648231-26-000002,https://www.sec.gov/Archives/edgar/data/1633978/000164823126000002/0001648231-26-000002.txt
Lillie Brian,,2026-05-11,2026-05-12,239,964.3005,230467.82,D,S,22962,True,False,False,0001648231-26-000002,https://www.sec.gov/Archives/edgar/data/1633978/000164823126000002/0001648231-26-000002.txt
