insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
TALWALKAR ABHIJIT Y,,2026-07-13,2026-07-14,18282,335.0,6124470.0,D,S,87142,True,True,False,0001316065-26-000012,https://www.sec.gov/Archives/edgar/data/707549/000131606526000012/0001316065-26-000012.txt
ARCHER TIMOTHY,President and CEO,2026-07-02,2026-07-06,30000,30.033,900990.0,A,M,1105966,True,False,True,0001343600-26-000009,https://www.sec.gov/Archives/edgar/data/707549/000134360026000009/0001343600-26-000009.txt
ARCHER TIMOTHY,President and CEO,2026-07-02,2026-07-06,30000,390.01,11700300.0,D,S,1075966,True,False,True,0001343600-26-000009,https://www.sec.gov/Archives/edgar/data/707549/000134360026000009/0001343600-26-000009.txt
BRANDT ERIC,,2026-06-12,2026-06-15,300,355.71,106713.0,D,S,198905,True,True,False,0001190639-26-000006,https://www.sec.gov/Archives/edgar/data/707549/000119063926000006/0001190639-26-000006.txt
BRANDT ERIC,,2026-06-12,2026-06-15,1393,357.24,497635.32,D,S,197512,True,True,False,0001190639-26-000006,https://www.sec.gov/Archives/edgar/data/707549/000119063926000006/0001190639-26-000006.txt
BRANDT ERIC,,2026-06-12,2026-06-15,1100,357.98,393778.0,D,S,196412,True,True,False,0001190639-26-000006,https://www.sec.gov/Archives/edgar/data/707549/000119063926000006/0001190639-26-000006.txt
BRANDT ERIC,,2026-06-12,2026-06-15,3828,359.08,1374558.24,D,S,192584,True,True,False,0001190639-26-000006,https://www.sec.gov/Archives/edgar/data/707549/000119063926000006/0001190639-26-000006.txt
BRANDT ERIC,,2026-06-12,2026-06-15,1906,360.15,686445.9,D,S,190678,True,True,False,0001190639-26-000006,https://www.sec.gov/Archives/edgar/data/707549/000119063926000006/0001190639-26-000006.txt
BRANDT ERIC,,2026-06-12,2026-06-15,819,361.21,295830.99,D,S,189859,True,True,False,0001190639-26-000006,https://www.sec.gov/Archives/edgar/data/707549/000119063926000006/0001190639-26-000006.txt
BRANDT ERIC,,2026-06-12,2026-06-15,2708,362.4,981379.2,D,S,187151,True,True,False,0001190639-26-000006,https://www.sec.gov/Archives/edgar/data/707549/000119063926000006/0001190639-26-000006.txt
BRANDT ERIC,,2026-06-12,2026-06-15,2345,363.33,852008.85,D,S,184806,True,True,False,0001190639-26-000006,https://www.sec.gov/Archives/edgar/data/707549/000119063926000006/0001190639-26-000006.txt
BRANDT ERIC,,2026-06-12,2026-06-15,2300,364.41,838143.0,D,S,182506,True,True,False,0001190639-26-000006,https://www.sec.gov/Archives/edgar/data/707549/000119063926000006/0001190639-26-000006.txt
BRANDT ERIC,,2026-06-12,2026-06-15,1200,365.16,438192.0,D,S,181306,True,True,False,0001190639-26-000006,https://www.sec.gov/Archives/edgar/data/707549/000119063926000006/0001190639-26-000006.txt
BRANDT ERIC,,2026-06-12,2026-06-15,5803,367.01,2129759.03,D,S,175503,True,True,False,0001190639-26-000006,https://www.sec.gov/Archives/edgar/data/707549/000119063926000006/0001190639-26-000006.txt
BRANDT ERIC,,2026-06-12,2026-06-15,4030,368.03,1483160.9,D,S,171473,True,True,False,0001190639-26-000006,https://www.sec.gov/Archives/edgar/data/707549/000119063926000006/0001190639-26-000006.txt
BRANDT ERIC,,2026-06-12,2026-06-15,4198,369.16,1549733.68,D,S,167275,True,True,False,0001190639-26-000006,https://www.sec.gov/Archives/edgar/data/707549/000119063926000006/0001190639-26-000006.txt
