insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
VanBelle Jennifer,,2026-06-30,2026-07-01,223,0.0,0.0,A,A,848,False,True,False,0002076120-26-000006,https://www.sec.gov/Archives/edgar/data/60086/000207612026000006/0002076120-26-000006.txt
TISCH JAMES S,,2026-06-30,2026-07-01,223,0.0,0.0,A,A,1873521,False,True,False,0001010178-26-000009,https://www.sec.gov/Archives/edgar/data/60086/000101017826000009/0001010178-26-000009.txt
Robusto Dino,,2026-06-30,2026-07-01,223,0.0,0.0,A,A,10458,False,True,False,0001348889-26-000010,https://www.sec.gov/Archives/edgar/data/60086/000134888926000010/0001348889-26-000010.txt
Peters Susan,,2026-06-30,2026-07-01,223,0.0,0.0,A,A,3051,False,True,False,0001582683-26-000006,https://www.sec.gov/Archives/edgar/data/60086/000158268326000006/0001582683-26-000006.txt
Locker Jonathan C,,2026-06-30,2026-07-01,223,0.0,0.0,A,A,25448,False,True,False,0001993776-26-000006,https://www.sec.gov/Archives/edgar/data/60086/000199377626000006/0001993776-26-000006.txt
HARRIS WALTER L,,2026-06-30,2026-07-01,223,0.0,0.0,A,A,25286,False,True,False,0001209366-26-000006,https://www.sec.gov/Archives/edgar/data/60086/000120936626000006/0001209366-26-000006.txt
FRIBOURG PAUL J,,2026-06-30,2026-07-01,223,0.0,0.0,A,A,1092,False,True,False,0001070938-26-000014,https://www.sec.gov/Archives/edgar/data/60086/000107093826000014/0001070938-26-000014.txt
DIKER CHARLES M,,2026-06-30,2026-07-01,102,0.0,0.0,A,A,22165,False,False,False,0000905400-26-000007,https://www.sec.gov/Archives/edgar/data/60086/000090540026000007/0000905400-26-000007.txt
DAVIDSON CHARLES D,,2026-06-30,2026-07-01,223,0.0,0.0,A,A,29285,False,True,False,0001188192-26-000006,https://www.sec.gov/Archives/edgar/data/60086/000118819226000006/0001188192-26-000006.txt
Robusto Dino,,2026-05-29,2026-06-01,5000,104.74,523700.0,A,P,10235,False,True,False,0001348889-26-000008,https://www.sec.gov/Archives/edgar/data/60086/000134888926000008/0001348889-26-000008.txt
Tisch Benjamin J,PRES. & CHIEF EXEC. OFFICER,2026-05-07,2026-05-11,21121,0.0,0.0,D,J,688225,False,True,True,0001738903-26-000004,https://www.sec.gov/Archives/edgar/data/60086/000173890326000004/0001738903-26-000004.txt
Tisch Benjamin J,PRES. & CHIEF EXEC. OFFICER,2026-05-07,2026-05-11,21121,0.0,0.0,D,J,667104,False,True,True,0001738903-26-000004,https://www.sec.gov/Archives/edgar/data/60086/000173890326000004/0001738903-26-000004.txt
TISCH JAMES S,,2026-05-07,2026-05-11,21121,0.0,0.0,A,J,9838071,False,True,False,0001010178-26-000007,https://www.sec.gov/Archives/edgar/data/60086/000101017826000007/0001010178-26-000007.txt
TISCH JAMES S,,2026-05-07,2026-05-11,21121,0.0,0.0,A,J,9859192,False,True,False,0001010178-26-000007,https://www.sec.gov/Archives/edgar/data/60086/000101017826000007/0001010178-26-000007.txt
Robusto Dino,,2026-05-05,2026-05-05,5000,105.44,527200.0,A,P,5235,False,True,False,0001348889-26-000006,https://www.sec.gov/Archives/edgar/data/60086/000134888926000006/0001348889-26-000006.txt
VanBelle Jennifer,,2026-03-31,2026-03-31,235,0.0,0.0,A,A,625,False,True,False,0002076120-26-000004,https://www.sec.gov/Archives/edgar/data/60086/000207612026000004/0002076120-26-000004.txt
TISCH JAMES S,,2026-03-31,2026-03-31,235,0.0,0.0,A,A,2873298,False,True,False,0001010178-26-000005,https://www.sec.gov/Archives/edgar/data/60086/000101017826000005/0001010178-26-000005.txt
