insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
FISCHER TAMARA D,,2026-05-21,2026-05-21,500,128.0,64000.0,A,P,500,False,True,False,0000912595-26-000087,https://www.sec.gov/Archives/edgar/data/912595/000091259526000087/0000912595-26-000087.txt
FISCHER TAMARA D,,2026-05-21,2026-05-21,600,129.0,77400.0,A,P,1100,False,True,False,0000912595-26-000087,https://www.sec.gov/Archives/edgar/data/912595/000091259526000087/0000912595-26-000087.txt
GRAF ALAN B JR,,2026-05-19,2026-05-20,1401,0.0,0.0,A,A,14961,False,True,False,0000912595-26-000085,https://www.sec.gov/Archives/edgar/data/912595/000091259526000085/0000912595-26-000085.txt
Caplan Deborah H,,2026-05-19,2026-05-20,1401,0.0,0.0,A,A,5371,False,True,False,0000912595-26-000081,https://www.sec.gov/Archives/edgar/data/912595/000091259526000081/0000912595-26-000081.txt
French James Barton,EVP Investments,2026-05-08,2026-05-08,350,130.9782,45842.37,D,S,8158,False,False,True,0000912595-26-000064,https://www.sec.gov/Archives/edgar/data/912595/000091259526000064/0000912595-26-000064.txt
Holder Aubrey Clay,"EVP, CFO",2026-04-06,2026-04-06,145,124.73,18085.85,D,S,13679,True,False,True,0000912595-26-000046,https://www.sec.gov/Archives/edgar/data/912595/000091259526000046/0000912595-26-000046.txt
Fairbanks Amber,"EVP, Property Management",2026-04-06,2026-04-06,711,124.73,88683.03,D,S,4471,True,False,True,0000912595-26-000052,https://www.sec.gov/Archives/edgar/data/912595/000091259526000052/0000912595-26-000052.txt
Carpenter Melanie,EVP & CHRO,2026-04-06,2026-04-06,731,124.78,91214.18,D,S,21243,True,False,True,0000912595-26-000056,https://www.sec.gov/Archives/edgar/data/912595/000091259526000056/0000912595-26-000056.txt
Argo Timothy,"EVP, Chief Strategy & Analysis",2026-04-06,2026-04-06,183,124.73,22825.59,D,S,21382,True,False,True,0000912595-26-000060,https://www.sec.gov/Archives/edgar/data/912595/000091259526000060/0000912595-26-000060.txt
Holder Aubrey Clay,"EVP, CFO",2026-04-01,2026-04-06,3643,0.0,0.0,A,A,14061,True,False,True,0000912595-26-000046,https://www.sec.gov/Archives/edgar/data/912595/000091259526000046/0000912595-26-000046.txt
Holder Aubrey Clay,"EVP, CFO",2026-04-01,2026-04-06,237,122.55,29044.35,D,F,13824,True,False,True,0000912595-26-000046,https://www.sec.gov/Archives/edgar/data/912595/000091259526000046/0000912595-26-000046.txt
Hill Adrian,"EVP, Chief Investment Officer",2026-04-01,2026-04-06,10907,0.0,0.0,A,A,66044,False,True,True,0000912595-26-000048,https://www.sec.gov/Archives/edgar/data/912595/000091259526000048/0000912595-26-000048.txt
