insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Stevens Charles K. III,,2026-05-08,2026-05-12,2650,0.0,0.0,A,A,18090,False,True,False,0001225208-26-005162,https://www.sec.gov/Archives/edgar/data/62996/000122520826005162/0001225208-26-005162.txt
Sandeep Reddy,,2026-05-08,2026-05-12,2650,0.0,0.0,A,A,10460,False,True,False,0001225208-26-005160,https://www.sec.gov/Archives/edgar/data/62996/000122520826005160/0001225208-26-005160.txt
PLANT JOHN C,,2026-05-08,2026-05-12,2650,0.0,0.0,A,A,50574,False,True,False,0001225208-26-005156,https://www.sec.gov/Archives/edgar/data/62996/000122520826005156/0001225208-26-005156.txt
PAYNE LISA A,,2026-05-08,2026-05-12,2650,0.0,0.0,A,A,16487,False,True,False,0001225208-26-005155,https://www.sec.gov/Archives/edgar/data/62996/000122520826005155/0001225208-26-005155.txt
O'HERLIHY CHRISTOPHER A,,2026-05-08,2026-05-12,2650,0.0,0.0,A,A,51766,False,True,False,0001225208-26-005154,https://www.sec.gov/Archives/edgar/data/62996/000122520826005154/0001225208-26-005154.txt
Ffolkes Marie A,,2026-05-08,2026-05-12,2650,0.0,0.0,A,A,24517,False,True,False,0001225208-26-005153,https://www.sec.gov/Archives/edgar/data/62996/000122520826005153/0001225208-26-005153.txt
Denari Aine,,2026-05-08,2026-05-12,2650,0.0,0.0,A,A,13970,False,True,False,0001225208-26-005152,https://www.sec.gov/Archives/edgar/data/62996/000122520826005152/0001225208-26-005152.txt
Coombe Gary A,,2026-05-08,2026-05-12,2650,0.0,0.0,A,A,3630,False,True,False,0001225208-26-005151,https://www.sec.gov/Archives/edgar/data/62996/000122520826005151/0001225208-26-005151.txt
Alexander Mark R.,,2026-05-08,2026-05-12,2650,0.0,0.0,A,A,23469,False,True,False,0001225208-26-005150,https://www.sec.gov/Archives/edgar/data/62996/000122520826005150/0001225208-26-005150.txt
PAYNE LISA A,,2026-03-07,2026-03-10,14729,63.66,937648.14,D,S,13837,False,True,False,0001225208-26-003477,https://www.sec.gov/Archives/edgar/data/62996/000122520826003477/0001225208-26-003477.txt
PAYNE LISA A,,2026-03-07,2026-03-10,2006,63.66,127701.96,D,S,1929,False,True,False,0001225208-26-003477,https://www.sec.gov/Archives/edgar/data/62996/000122520826003477/0001225208-26-003477.txt
Shah Jai,Group President,2026-03-06,2026-03-10,4410,63.66,280740.6,D,F,45966,False,False,True,0001225208-26-003476,https://www.sec.gov/Archives/edgar/data/62996/000122520826003476/0001225208-26-003476.txt
Eisman Heath M,"VP, Controller and CAO",2026-02-26,2026-02-27,747,71.915,53720.51,D,S,12510,False,False,True,0001225208-26-002737,https://www.sec.gov/Archives/edgar/data/62996/000122520826002737/0001225208-26-002737.txt
Westenberg Richard J.,"VP, CFO & Treasurer",2026-02-25,2026-02-27,6565,71.86,471760.9,D,F,40576,False,False,True,0001225208-26-002743,https://www.sec.gov/Archives/edgar/data/62996/000122520826002743/0001225208-26-002743.txt
Stone Jennifer A,"VP, Chief HR Officer",2026-02-25,2026-02-27,4767,71.86,342556.62,D,F,25433,False,False,True,0001225208-26-002742,https://www.sec.gov/Archives/edgar/data/62996/000122520826002742/0001225208-26-002742.txt
Shah Jai,Group President,2026-02-25,2026-02-27,1954,71.86,140414.44,D,F,50376,False,False,True,0001225208-26-002741,https://www.sec.gov/Archives/edgar/data/62996/000122520826002741/0001225208-26-002741.txt
Nudi Jonathon,President and CEO,2026-02-25,2026-02-27,2501,71.86,179721.86,D,F,42809,False,True,True,0001225208-26-002740,https://www.sec.gov/Archives/edgar/data/62996/000122520826002740/0001225208-26-002740.txt
Marshall Richard Allan,VP - Masco Operating Sys.,2026-02-25,2026-02-27,515,71.86,37007.9,D,F,17496,False,False,True,0001225208-26-002739,https://www.sec.gov/Archives/edgar/data/62996/000122520826002739/0001225208-26-002739.txt
Eisman Heath M,"VP, Controller and CAO",2026-02-25,2026-02-27,379,71.86,27234.94,D,F,13257,False,False,True,0001225208-26-002737,https://www.sec.gov/Archives/edgar/data/62996/000122520826002737/0001225208-26-002737.txt
Cole Kenneth G.,"VP, General Counsel and Sec.",2026-02-25,2026-02-27,1671,71.86,120078.06,D,F,39700,False,False,True,0001225208-26-002738,https://www.sec.gov/Archives/edgar/data/62996/000122520826002738/0001225208-26-002738.txt
Westenberg Richard J.,"VP, CFO & Treasurer",2026-02-12,2026-02-17,6890,0.0,0.0,A,A,47141,False,False,True,0001225208-26-001957,https://www.sec.gov/Archives/edgar/data/62996/000122520826001957/0001225208-26-001957.txt
Stone Jennifer A,"VP, Chief HR Officer",2026-02-12,2026-02-17,4060,0.0,0.0,A,A,30200,False,False,True,0001225208-26-001955,https://www.sec.gov/Archives/edgar/data/62996/000122520826001955/0001225208-26-001955.txt
Shah Jai,Group President,2026-02-12,2026-02-17,11110,0.0,0.0,A,A,50748,False,False,True,0001225208-26-001954,https://www.sec.gov/Archives/edgar/data/62996/000122520826001954/0001225208-26-001954.txt
Shah Jai,Group President,2026-02-12,2026-02-17,4830,0.0,0.0,A,A,55578,False,False,True,0001225208-26-001954,https://www.sec.gov/Archives/edgar/data/62996/000122520826001954/0001225208-26-001954.txt
Shah Jai,Group President,2026-02-12,2026-02-17,3248,77.54,251849.92,D,F,52330,False,False,True,0001225208-26-001954,https://www.sec.gov/Archives/edgar/data/62996/000122520826001954/0001225208-26-001954.txt
Nudi Jonathon,President and CEO,2026-02-12,2026-02-17,22560,0.0,0.0,A,A,45310,False,True,True,0001225208-26-001953,https://www.sec.gov/Archives/edgar/data/62996/000122520826001953/0001225208-26-001953.txt
Marshall Richard Allan,VP - Masco Operating Sys.,2026-02-12,2026-02-17,4675,0.0,0.0,A,A,16629,False,False,True,0001225208-26-001948,https://www.sec.gov/Archives/edgar/data/62996/000122520826001948/0001225208-26-001948.txt
Marshall Richard Allan,VP - Masco Operating Sys.,2026-02-12,2026-02-17,2800,0.0,0.0,A,A,19429,False,False,True,0001225208-26-001948,https://www.sec.gov/Archives/edgar/data/62996/000122520826001948/0001225208-26-001948.txt
Marshall Richard Allan,VP - Masco Operating Sys.,2026-02-12,2026-02-17,1418,77.54,109951.72,D,F,18011,False,False,True,0001225208-26-001948,https://www.sec.gov/Archives/edgar/data/62996/000122520826001948/0001225208-26-001948.txt
