insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
McLaughlin Edward Grunde,"President & CTO, MA Tech",2026-07-15,2026-07-15,19800,227.25,4499550.0,A,M,58539,True,False,True,0001141391-26-000077,https://www.sec.gov/Archives/edgar/data/1141391/000114139126000077/0001141391-26-000077.txt
McLaughlin Edward Grunde,"President & CTO, MA Tech",2026-07-15,2026-07-15,1903,529.4485,1007540.5,D,S,56636,True,False,True,0001141391-26-000077,https://www.sec.gov/Archives/edgar/data/1141391/000114139126000077/0001141391-26-000077.txt
McLaughlin Edward Grunde,"President & CTO, MA Tech",2026-07-15,2026-07-15,1108,530.6735,587986.24,D,S,55528,True,False,True,0001141391-26-000077,https://www.sec.gov/Archives/edgar/data/1141391/000114139126000077/0001141391-26-000077.txt
McLaughlin Edward Grunde,"President & CTO, MA Tech",2026-07-15,2026-07-15,160,531.6279,85060.46,D,S,55368,True,False,True,0001141391-26-000077,https://www.sec.gov/Archives/edgar/data/1141391/000114139126000077/0001141391-26-000077.txt
McLaughlin Edward Grunde,"President & CTO, MA Tech",2026-07-15,2026-07-15,3440,533.7474,1836091.06,D,S,51928,True,False,True,0001141391-26-000077,https://www.sec.gov/Archives/edgar/data/1141391/000114139126000077/0001141391-26-000077.txt
McLaughlin Edward Grunde,"President & CTO, MA Tech",2026-07-15,2026-07-15,6159,534.6598,3292969.71,D,S,45769,True,False,True,0001141391-26-000077,https://www.sec.gov/Archives/edgar/data/1141391/000114139126000077/0001141391-26-000077.txt
McLaughlin Edward Grunde,"President & CTO, MA Tech",2026-07-15,2026-07-15,2510,536.9466,1347735.97,D,S,43259,True,False,True,0001141391-26-000077,https://www.sec.gov/Archives/edgar/data/1141391/000114139126000077/0001141391-26-000077.txt
McLaughlin Edward Grunde,"President & CTO, MA Tech",2026-07-15,2026-07-15,3431,538.0914,1846191.59,D,S,39828,True,False,True,0001141391-26-000077,https://www.sec.gov/Archives/edgar/data/1141391/000114139126000077/0001141391-26-000077.txt
McLaughlin Edward Grunde,"President & CTO, MA Tech",2026-07-15,2026-07-15,1089,538.817,586771.71,D,S,38739,True,False,True,0001141391-26-000077,https://www.sec.gov/Archives/edgar/data/1141391/000114139126000077/0001141391-26-000077.txt
Arkell Sandra A,Controller,2026-07-15,2026-07-15,144,540.0,77760.0,D,S,2777,True,False,True,0001141391-26-000076,https://www.sec.gov/Archives/edgar/data/1141391/000114139126000076/0001141391-26-000076.txt
Arkell Sandra A,Controller,2026-07-14,2026-07-15,200,540.0,108000.0,D,S,2921,True,False,True,0001141391-26-000076,https://www.sec.gov/Archives/edgar/data/1141391/000114139126000076/0001141391-26-000076.txt
Arkell Sandra A,Controller,2026-07-07,2026-07-08,200,540.0,108000.0,D,S,3121,True,False,True,0001141391-26-000072,https://www.sec.gov/Archives/edgar/data/1141391/000114139126000072/0001141391-26-000072.txt
Arkell Sandra A,Controller,2026-07-06,2026-07-08,200,540.0,108000.0,D,S,3321,True,False,True,0001141391-26-000072,https://www.sec.gov/Archives/edgar/data/1141391/000114139126000072/0001141391-26-000072.txt
Seshadri Raj,Chief Commercial Pmts Officer,2026-07-02,2026-07-02,1977,290.25,573824.25,A,M,18406,True,False,True,0001141391-26-000070,https://www.sec.gov/Archives/edgar/data/1141391/000114139126000070/0001141391-26-000070.txt
Seshadri Raj,Chief Commercial Pmts Officer,2026-07-02,2026-07-02,1977,529.73,1047276.21,D,S,16429,True,False,True,0001141391-26-000070,https://www.sec.gov/Archives/edgar/data/1141391/000114139126000070/0001141391-26-000070.txt
Seshadri Raj,Chief Commercial Pmts Officer,2026-07-01,2026-07-02,2000,290.25,580500.0,A,M,21257,True,False,True,0001141391-26-000070,https://www.sec.gov/Archives/edgar/data/1141391/000114139126000070/0001141391-26-000070.txt
