insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Erlinger Joseph M.,"President, McDonald's USA",2026-06-10,2026-06-10,5252,157.79,828713.08,A,M,12985,False,False,False,0001685800-26-000015,https://www.sec.gov/Archives/edgar/data/63908/000168580026000015/0001685800-26-000015.txt
Erlinger Joseph M.,"President, McDonald's USA",2026-06-10,2026-06-10,5252,284.32,1493248.64,D,S,7733,False,False,False,0001685800-26-000015,https://www.sec.gov/Archives/edgar/data/63908/000168580026000015/0001685800-26-000015.txt
Ralls-Morrison Desiree,"EVP, Chief Legal Officer",2026-05-28,2026-06-01,2763,278.36,769108.68,D,S,6268,False,False,False,0001723937-26-000005,https://www.sec.gov/Archives/edgar/data/63908/000172393726000005/0001723937-26-000005.txt
Erlinger Joseph M.,"President, McDonald's USA",2026-05-26,2026-05-27,333,280.11,93276.63,D,S,7733,False,False,False,0001685800-26-000013,https://www.sec.gov/Archives/edgar/data/63908/000168580026000013/0001685800-26-000013.txt
Erlinger Joseph M.,"President, McDonald's USA",2026-04-23,2026-04-23,333,302.72,100805.76,D,S,8066,False,False,False,0001685800-26-000011,https://www.sec.gov/Archives/edgar/data/63908/000168580026000011/0001685800-26-000011.txt
Erlinger Joseph M.,"President, McDonald's USA",2026-04-10,2026-04-13,2626,157.79,414356.54,A,M,11025,False,False,False,0001685800-26-000009,https://www.sec.gov/Archives/edgar/data/63908/000168580026000009/0001685800-26-000009.txt
Erlinger Joseph M.,"President, McDonald's USA",2026-04-10,2026-04-13,2626,307.0,806182.0,D,S,8399,False,False,False,0001685800-26-000009,https://www.sec.gov/Archives/edgar/data/63908/000168580026000009/0001685800-26-000009.txt
Erlinger Joseph M.,"President, McDonald's USA",2026-03-23,2026-03-24,333,313.47,104385.51,D,S,8399,False,False,False,0001685800-26-000007,https://www.sec.gov/Archives/edgar/data/63908/000168580026000007/0001685800-26-000007.txt
Baroni Dario,"President, IDL",2026-03-18,2026-03-19,600,323.77,194262.0,D,S,1063,False,False,False,0002076998-26-000003,https://www.sec.gov/Archives/edgar/data/63908/000207699826000003/0002076998-26-000003.txt
Erlinger Joseph M.,"President, McDonald's USA",2026-03-10,2026-03-11,2626,157.79,414356.54,A,M,11358,False,False,False,0001685800-26-000005,https://www.sec.gov/Archives/edgar/data/63908/000168580026000005/0001685800-26-000005.txt
Erlinger Joseph M.,"President, McDonald's USA",2026-03-10,2026-03-11,2626,328.34,862220.84,D,S,8732,False,False,False,0001685800-26-000005,https://www.sec.gov/Archives/edgar/data/63908/000168580026000005/0001685800-26-000005.txt
Erlinger Joseph M.,"President, McDonald's USA",2026-02-23,2026-02-25,333,330.43,110033.19,D,S,8732,False,False,False,0001685800-26-000003,https://www.sec.gov/Archives/edgar/data/63908/000168580026000003/0001685800-26-000003.txt
Banner Jonathan,EVP - Chief Impact Officer,2026-02-23,2026-02-25,1600,333.42,533472.0,D,S,2291,False,False,False,0001943551-26-000003,https://www.sec.gov/Archives/edgar/data/63908/000194355126000003/0001943551-26-000003.txt
Banner Jonathan,EVP - Chief Impact Officer,2026-02-23,2026-02-25,4600,266.2,1224520.0,A,M,6891,False,False,False,0001943551-26-000003,https://www.sec.gov/Archives/edgar/data/63908/000194355126000003/0001943551-26-000003.txt
Banner Jonathan,EVP - Chief Impact Officer,2026-02-23,2026-02-25,4600,333.24,1532904.0,D,S,2291,False,False,False,0001943551-26-000003,https://www.sec.gov/Archives/edgar/data/63908/000194355126000003/0001943551-26-000003.txt
Steijaert Manuel JM,"EVP - President, IOM",2026-02-13,2026-02-17,3272,0.0,0.0,A,M,7878,False,False,False,0001876859-26-000001,https://www.sec.gov/Archives/edgar/data/63908/000187685926000001/0001876859-26-000001.txt
Steijaert Manuel JM,"EVP - President, IOM",2026-02-13,2026-02-17,237,0.0,0.0,A,M,8115,False,False,False,0001876859-26-000001,https://www.sec.gov/Archives/edgar/data/63908/000187685926000001/0001876859-26-000001.txt
Steijaert Manuel JM,"EVP - President, IOM",2026-02-13,2026-02-17,1639,327.58,536903.62,D,F,6475,False,False,False,0001876859-26-000001,https://www.sec.gov/Archives/edgar/data/63908/000187685926000001/0001876859-26-000001.txt
Rice Brian S,EVP-Global Chief Info. Officer,2026-02-13,2026-02-17,2602,0.0,0.0,A,M,2602,False,False,False,0001767478-26-000001,https://www.sec.gov/Archives/edgar/data/63908/000176747826000001/0001767478-26-000001.txt
Rice Brian S,EVP-Global Chief Info. Officer,2026-02-13,2026-02-17,188,0.0,0.0,A,M,2790,False,False,False,0001767478-26-000001,https://www.sec.gov/Archives/edgar/data/63908/000176747826000001/0001767478-26-000001.txt
Rice Brian S,EVP-Global Chief Info. Officer,2026-02-13,2026-02-17,807,327.58,264357.06,D,F,1982,False,False,False,0001767478-26-000001,https://www.sec.gov/Archives/edgar/data/63908/000176747826000001/0001767478-26-000001.txt
Ralls-Morrison Desiree,"EVP, Chief Legal Officer",2026-02-13,2026-02-17,3867,0.0,0.0,A,M,10135,False,False,False,0001723937-26-000001,https://www.sec.gov/Archives/edgar/data/63908/000172393726000001/0001723937-26-000001.txt
Ralls-Morrison Desiree,"EVP, Chief Legal Officer",2026-02-13,2026-02-17,279,0.0,0.0,A,M,10414,False,False,False,0001723937-26-000001,https://www.sec.gov/Archives/edgar/data/63908/000172393726000001/0001723937-26-000001.txt
Ralls-Morrison Desiree,"EVP, Chief Legal Officer",2026-02-13,2026-02-17,1382,327.58,452715.56,D,F,9031,False,False,False,0001723937-26-000001,https://www.sec.gov/Archives/edgar/data/63908/000172393726000001/0001723937-26-000001.txt
McDonald Gillian,"EVP, Global Rest. Exp. Ofc.",2026-02-13,2026-02-17,4090,0.0,0.0,A,M,8211,False,False,False,0001943494-26-000001,https://www.sec.gov/Archives/edgar/data/63908/000194349426000001/0001943494-26-000001.txt
McDonald Gillian,"EVP, Global Rest. Exp. Ofc.",2026-02-13,2026-02-17,296,0.0,0.0,A,M,8507,False,False,False,0001943494-26-000001,https://www.sec.gov/Archives/edgar/data/63908/000194349426000001/0001943494-26-000001.txt
McDonald Gillian,"EVP, Global Rest. Exp. Ofc.",2026-02-13,2026-02-17,2021,327.58,662039.18,D,F,6485,False,False,False,0001943494-26-000001,https://www.sec.gov/Archives/edgar/data/63908/000194349426000001/0001943494-26-000001.txt
McDonald Gillian,"EVP, Global Rest. Exp. Ofc.",2026-02-13,2026-02-17,2231,0.0,0.0,A,M,8716,False,False,False,0001943494-26-000001,https://www.sec.gov/Archives/edgar/data/63908/000194349426000001/0001943494-26-000001.txt
McDonald Gillian,"EVP, Global Rest. Exp. Ofc.",2026-02-13,2026-02-17,161,0.0,0.0,A,M,8877,False,False,False,0001943494-26-000001,https://www.sec.gov/Archives/edgar/data/63908/000194349426000001/0001943494-26-000001.txt
McDonald Gillian,"EVP, Global Rest. Exp. Ofc.",2026-02-13,2026-02-17,1102,327.58,360993.16,D,F,7775,False,False,False,0001943494-26-000001,https://www.sec.gov/Archives/edgar/data/63908/000194349426000001/0001943494-26-000001.txt
Kempczinski Christopher J,Chairman and CEO,2026-02-13,2026-02-17,26276,128.09,3365692.84,A,M,49176,False,False,False,0001598115-26-000001,https://www.sec.gov/Archives/edgar/data/63908/000159811526000001/0001598115-26-000001.txt
Kempczinski Christopher J,Chairman and CEO,2026-02-13,2026-02-17,26276,333.54,8764097.04,D,S,22900,False,False,False,0001598115-26-000001,https://www.sec.gov/Archives/edgar/data/63908/000159811526000001/0001598115-26-000001.txt
Kempczinski Christopher J,Chairman and CEO,2026-02-13,2026-02-17,19333,0.0,0.0,A,M,42233,False,False,False,0001598115-26-000001,https://www.sec.gov/Archives/edgar/data/63908/000159811526000001/0001598115-26-000001.txt
