insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Downer Edward Michael,,2026-06-15,2026-06-17,2,15.13,30.26,D,S,1121268,False,True,False,0002104239-26-000008,https://www.sec.gov/Archives/edgar/data/1518715/000210423926000008/0002104239-26-000008.txt
Wilcox Jon R,,2026-05-27,2026-05-29,3301,0.0,0.0,A,M,13204,False,True,False,0002105535-26-000006,https://www.sec.gov/Archives/edgar/data/1518715/000210553526000006/0002105535-26-000006.txt
Downer Edward Michael,,2026-05-27,2026-05-29,3301,0.0,0.0,A,M,1511898,False,True,False,0002104239-26-000006,https://www.sec.gov/Archives/edgar/data/1518715/000210423926000006/0002104239-26-000006.txt
Downer Douglas E,,2026-05-27,2026-05-29,3301,0.0,0.0,A,M,2317764,False,True,False,0002104981-26-000005,https://www.sec.gov/Archives/edgar/data/1518715/000210498126000005/0002104981-26-000005.txt
Crowe Adrienne Y,,2026-05-27,2026-05-29,3301,0.0,0.0,A,M,13204,False,True,False,0002103504-26-000005,https://www.sec.gov/Archives/edgar/data/1518715/000210350426000005/0002103504-26-000005.txt
Cochran Patricia,,2026-05-27,2026-05-29,3301,0.0,0.0,A,M,13204,False,True,False,0002104575-26-000005,https://www.sec.gov/Archives/edgar/data/1518715/000210457526000005/0002104575-26-000005.txt
Shrader Glenn C,EVP & General Counsel,2026-03-01,2026-03-03,3366,0.0,0.0,A,A,18193,False,False,True,0002102635-26-000006,https://www.sec.gov/Archives/edgar/data/1518715/000210263526000006/0002102635-26-000006.txt
Shields Kristie S,EVP & Chief Compliance Counsel,2026-03-01,2026-03-03,4207,0.0,0.0,A,A,22316,False,False,True,0002103004-26-000006,https://www.sec.gov/Archives/edgar/data/1518715/000210300426000006/0002103004-26-000006.txt
Pierce Christopher D,EVP & Chief Operating Officer,2026-03-01,2026-03-03,7626,0.0,0.0,A,A,38496,False,False,True,0002103476-26-000006,https://www.sec.gov/Archives/edgar/data/1518715/000210347626000006/0002103476-26-000006.txt
Pelayo Fernando,EVP & Chief Accounting Officer,2026-03-01,2026-03-03,4470,0.0,0.0,A,A,17532,False,False,True,0002102020-26-000008,https://www.sec.gov/Archives/edgar/data/1518715/000210202026000008/0002102020-26-000008.txt
Kallingal Tony P,EVP & Chief Banking Officer,2026-03-01,2026-03-03,6048,0.0,0.0,A,A,34590,False,False,True,0002102022-26-000008,https://www.sec.gov/Archives/edgar/data/1518715/000210202226000008/0002102022-26-000008.txt
Givans Scott A.,EVP & Chief Credit Officer,2026-03-01,2026-03-03,6574,0.0,0.0,A,A,38137,False,False,True,0001509989-26-000006,https://www.sec.gov/Archives/edgar/data/1518715/000150998926000006/0001509989-26-000006.txt
Duda Nathan,EVP & CFO,2026-03-01,2026-03-03,7626,0.0,0.0,A,A,39993,False,False,True,0001602088-26-000006,https://www.sec.gov/Archives/edgar/data/1518715/000160208826000006/0001602088-26-000006.txt
Shrader Glenn C,EVP & General Counsel,2026-02-15,2026-02-18,2980,0.0,0.0,A,M,13575,False,False,True,0002102635-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000210263526000004/0002102635-26-000004.txt
Shrader Glenn C,EVP & General Counsel,2026-02-15,2026-02-18,1228,15.37,18874.36,D,F,12347,False,False,True,0002102635-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000210263526000004/0002102635-26-000004.txt
Shrader Glenn C,EVP & General Counsel,2026-02-15,2026-02-18,1719,0.0,0.0,A,M,14066,False,False,True,0002102635-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000210263526000004/0002102635-26-000004.txt
Shrader Glenn C,EVP & General Counsel,2026-02-15,2026-02-18,708,15.37,10881.96,D,F,13358,False,False,True,0002102635-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000210263526000004/0002102635-26-000004.txt
Shrader Glenn C,EVP & General Counsel,2026-02-15,2026-02-18,2498,0.0,0.0,A,M,15856,False,False,True,0002102635-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000210263526000004/0002102635-26-000004.txt
Shrader Glenn C,EVP & General Counsel,2026-02-15,2026-02-18,1029,15.37,15815.73,D,F,14827,False,False,True,0002102635-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000210263526000004/0002102635-26-000004.txt
Shields Kristie S,EVP & Chief Compliance Counsel,2026-02-15,2026-02-18,3398,0.0,0.0,A,M,16642,False,False,True,0002103004-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000210300426000004/0002103004-26-000004.txt
Shields Kristie S,EVP & Chief Compliance Counsel,2026-02-15,2026-02-18,1400,15.37,21518.0,D,F,15242,False,False,True,0002103004-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000210300426000004/0002103004-26-000004.txt
Shields Kristie S,EVP & Chief Compliance Counsel,2026-02-15,2026-02-18,1961,0.0,0.0,A,M,17203,False,False,True,0002103004-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000210300426000004/0002103004-26-000004.txt
Shields Kristie S,EVP & Chief Compliance Counsel,2026-02-15,2026-02-18,808,15.37,12418.96,D,F,16395,False,False,True,0002103004-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000210300426000004/0002103004-26-000004.txt
Shields Kristie S,EVP & Chief Compliance Counsel,2026-02-15,2026-02-18,2915,0.0,0.0,A,M,19310,False,False,True,0002103004-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000210300426000004/0002103004-26-000004.txt
Shields Kristie S,EVP & Chief Compliance Counsel,2026-02-15,2026-02-18,1201,15.37,18459.37,D,F,18109,False,False,True,0002103004-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000210300426000004/0002103004-26-000004.txt
Pierce Christopher D,EVP & Chief Operating Officer,2026-02-15,2026-02-18,4580,0.0,0.0,A,M,32757,False,False,True,0002103476-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000210347626000004/0002103476-26-000004.txt
Pierce Christopher D,EVP & Chief Operating Officer,2026-02-15,2026-02-18,1887,15.37,29003.19,D,F,30870,False,False,True,0002103476-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000210347626000004/0002103476-26-000004.txt
Pelayo Fernando,EVP & Chief Accounting Officer,2026-02-15,2026-02-18,2506,0.0,0.0,A,M,14094,False,False,True,0002102020-26-000006,https://www.sec.gov/Archives/edgar/data/1518715/000210202026000006/0002102020-26-000006.txt
Pelayo Fernando,EVP & Chief Accounting Officer,2026-02-15,2026-02-18,1032,15.37,15861.84,D,F,13062,False,False,True,0002102020-26-000006,https://www.sec.gov/Archives/edgar/data/1518715/000210202026000006/0002102020-26-000006.txt
Kallingal Tony P,EVP & Chief Banking Officer,2026-02-15,2026-02-18,4580,0.0,0.0,A,M,30429,False,False,True,0002102022-26-000006,https://www.sec.gov/Archives/edgar/data/1518715/000210202226000006/0002102022-26-000006.txt
Kallingal Tony P,EVP & Chief Banking Officer,2026-02-15,2026-02-18,1887,15.37,29003.19,D,F,28542,False,False,True,0002102022-26-000006,https://www.sec.gov/Archives/edgar/data/1518715/000210202226000006/0002102022-26-000006.txt
Givans Scott A.,EVP & Chief Credit Officer,2026-02-15,2026-02-18,4164,0.0,0.0,A,M,33278,False,False,True,0001509989-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000150998926000004/0001509989-26-000004.txt
Givans Scott A.,EVP & Chief Credit Officer,2026-02-15,2026-02-18,1715,15.37,26359.55,D,F,31563,False,False,True,0001509989-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000150998926000004/0001509989-26-000004.txt
Duda Nathan,EVP & CFO,2026-02-15,2026-02-18,2571,0.0,0.0,A,M,34168,False,False,True,0001602088-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000160208826000004/0001602088-26-000004.txt
Duda Nathan,EVP & CFO,2026-02-15,2026-02-18,1801,15.37,27681.37,D,F,32367,False,False,True,0001602088-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000160208826000004/0001602088-26-000004.txt
Shrader Glenn C,EVP & General Counsel,2025-12-31,2026-01-05,1041,14.63,15229.83,D,F,10595,False,False,True,0002102635-26-000002,https://www.sec.gov/Archives/edgar/data/1518715/000210263526000002/0002102635-26-000002.txt
Shields Kristie S,EVP & Chief Compliance Counsel,2025-12-31,2026-01-05,1301,14.63,19033.63,D,F,13244,False,False,True,0002103004-26-000002,https://www.sec.gov/Archives/edgar/data/1518715/000210300426000002/0002103004-26-000002.txt
Pierce Christopher D,EVP & Chief Operating Officer,2025-12-31,2026-01-05,4903,14.63,71730.89,D,F,28177,False,False,True,0002103476-26-000002,https://www.sec.gov/Archives/edgar/data/1518715/000210347626000002/0002103476-26-000002.txt
Pelayo Fernando,EVP & Chief Accounting Officer,2025-12-31,2026-01-05,1139,14.63,16663.57,D,F,11588,False,False,True,0002102020-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000210202026000004/0002102020-26-000004.txt
Kallingal Tony P,EVP & Chief Banking Officer,2025-12-31,2026-01-05,4367,14.63,63889.21,D,F,25849,False,False,True,0002102022-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000210202226000004/0002102022-26-000004.txt
Givans Scott A.,EVP & Chief Credit Officer,2025-12-31,2026-01-05,4659,14.63,68161.17,D,F,29114,False,False,True,0001509989-26-000002,https://www.sec.gov/Archives/edgar/data/1518715/000150998926000002/0001509989-26-000002.txt
Duda Nathan,EVP & CFO,2025-12-31,2026-01-05,4903,14.63,71730.89,D,F,31597,False,False,True,0001602088-26-000002,https://www.sec.gov/Archives/edgar/data/1518715/000160208826000002/0001602088-26-000002.txt
Downer Douglas E,,2025-10-07,2026-03-23,75000,0.0,0.0,D,G,2392764,False,True,False,0001518715-26-000028,https://www.sec.gov/Archives/edgar/data/1518715/000151871526000028/0001518715-26-000028.txt
Downer Douglas E,,2025-10-07,2026-03-23,75000,0.0,0.0,D,G,2317764,False,True,False,0001518715-26-000028,https://www.sec.gov/Archives/edgar/data/1518715/000151871526000028/0001518715-26-000028.txt
Shrader Glenn C,EVP & General Counsel,2025-09-26,2026-01-05,11636,0.0,0.0,A,A,11636,False,False,True,0002102635-26-000002,https://www.sec.gov/Archives/edgar/data/1518715/000210263526000002/0002102635-26-000002.txt
Shields Kristie S,EVP & Chief Compliance Counsel,2025-09-26,2026-01-05,14545,0.0,0.0,A,A,14545,False,False,True,0002103004-26-000002,https://www.sec.gov/Archives/edgar/data/1518715/000210300426000002/0002103004-26-000002.txt
Pierce Christopher D,EVP & Chief Operating Officer,2025-09-26,2026-01-05,21818,0.0,0.0,A,A,33080,False,False,True,0002103476-26-000002,https://www.sec.gov/Archives/edgar/data/1518715/000210347626000002/0002103476-26-000002.txt
Pelayo Fernando,EVP & Chief Accounting Officer,2025-09-26,2026-01-05,12727,0.0,0.0,A,A,12727,False,False,True,0002102020-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000210202026000004/0002102020-26-000004.txt
Kallingal Tony P,EVP & Chief Banking Officer,2025-09-26,2026-01-05,20000,0.0,0.0,A,A,30216,False,False,True,0002102022-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000210202226000004/0002102022-26-000004.txt
Givans Scott A.,EVP & Chief Credit Officer,2025-09-26,2026-01-05,19091,0.0,0.0,A,A,33773,False,False,True,0001509989-26-000002,https://www.sec.gov/Archives/edgar/data/1518715/000150998926000002/0001509989-26-000002.txt
Duda Nathan,EVP & CFO,2025-09-26,2026-01-05,21818,0.0,0.0,A,A,36500,False,False,True,0001602088-26-000002,https://www.sec.gov/Archives/edgar/data/1518715/000160208826000002/0001602088-26-000002.txt
Wilcox Jon R,,2025-09-02,2026-02-03,13204,0.0,0.0,A,A,13204,False,True,False,0002105535-26-000004,https://www.sec.gov/Archives/edgar/data/1518715/000210553526000004/0002105535-26-000004.txt
WEBB CARL B,,2025-09-02,2025-09-08,81134239,0.0,0.0,A,A,81134239,False,True,False,0001104659-25-088372,https://www.sec.gov/Archives/edgar/data/1518715/000110465925088372/0001104659-25-088372.txt
WEBB CARL B,,2025-09-02,2025-09-08,90631480,0.0,0.0,A,A,90631480,False,True,False,0001104659-25-088372,https://www.sec.gov/Archives/edgar/data/1518715/000110465925088372/0001104659-25-088372.txt
VAN AMEN DARRELL,"EVP, Chief Investment Officer",2025-09-02,2025-09-04,3130,0.0,0.0,A,A,83021,False,False,True,0001518715-25-000149,https://www.sec.gov/Archives/edgar/data/1518715/000151871525000149/0001518715-25-000149.txt
VAN AMEN DARRELL,"EVP, Chief Investment Officer",2025-09-02,2025-09-04,9849,0.0,0.0,A,A,92870,False,False,True,0001518715-25-000149,https://www.sec.gov/Archives/edgar/data/1518715/000151871525000149/0001518715-25-000149.txt
Price Marlene L,"EVP, Chief Operations Officer",2025-09-02,2025-09-04,1196,0.0,0.0,A,A,6785,False,False,True,0001518715-25-000166,https://www.sec.gov/Archives/edgar/data/1518715/000151871525000166/0001518715-25-000166.txt
Price Marlene L,"EVP, Chief Operations Officer",2025-09-02,2025-09-04,324,13.87,4493.88,D,F,6461,False,False,True,0001518715-25-000166,https://www.sec.gov/Archives/edgar/data/1518715/000151871525000166/0001518715-25-000166.txt
Price Marlene L,"EVP, Chief Operations Officer",2025-09-02,2025-09-04,3765,0.0,0.0,A,A,10226,False,False,True,0001518715-25-000166,https://www.sec.gov/Archives/edgar/data/1518715/000151871525000166/0001518715-25-000166.txt
Price Marlene L,"EVP, Chief Operations Officer",2025-09-02,2025-09-04,1018,13.87,14119.66,D,F,9208,False,False,True,0001518715-25-000166,https://www.sec.gov/Archives/edgar/data/1518715/000151871525000166/0001518715-25-000166.txt
Pierce Christopher D,EVP & Chief Operating Officer,2025-09-02,2026-01-05,11262,0.0,0.0,A,A,11262,False,False,True,0002103476-26-000002,https://www.sec.gov/Archives/edgar/data/1518715/000210347626000002/0002103476-26-000002.txt
Parr David L,"EVP, DIR. OF COMM'L BANKING",2025-09-02,2025-09-04,2303,0.0,0.0,A,A,4920,False,False,True,0001518715-25-000169,https://www.sec.gov/Archives/edgar/data/1518715/000151871525000169/0001518715-25-000169.txt
Parr David L,"EVP, DIR. OF COMM'L BANKING",2025-09-02,2025-09-04,920,13.87,12760.4,D,F,4000,False,False,True,0001518715-25-000169,https://www.sec.gov/Archives/edgar/data/1518715/000151871525000169/0001518715-25-000169.txt
Parr David L,"EVP, DIR. OF COMM'L BANKING",2025-09-02,2025-09-04,7946,0.0,0.0,A,A,11946,False,False,True,0001518715-25-000169,https://www.sec.gov/Archives/edgar/data/1518715/000151871525000169/0001518715-25-000169.txt
Parr David L,"EVP, DIR. OF COMM'L BANKING",2025-09-02,2025-09-04,3173,13.87,44009.51,D,F,8773,False,False,True,0001518715-25-000169,https://www.sec.gov/Archives/edgar/data/1518715/000151871525000169/0001518715-25-000169.txt
Novak Diane P,"EVP,  CHIEF RISK  OFFICER",2025-09-02,2025-09-04,1595,0.0,0.0,A,A,8228,False,False,True,0001518715-25-000155,https://www.sec.gov/Archives/edgar/data/1518715/000151871525000155/0001518715-25-000155.txt
Novak Diane P,"EVP,  CHIEF RISK  OFFICER",2025-09-02,2025-09-04,432,13.87,5991.84,D,F,7796,False,False,True,0001518715-25-000155,https://www.sec.gov/Archives/edgar/data/1518715/000151871525000155/0001518715-25-000155.txt
Novak Diane P,"EVP,  CHIEF RISK  OFFICER",2025-09-02,2025-09-04,6456,0.0,0.0,A,A,14252,False,False,True,0001518715-25-000155,https://www.sec.gov/Archives/edgar/data/1518715/000151871525000155/0001518715-25-000155.txt
