insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
MERRIMAN DWIGHT A,,2026-07-16,2026-07-16,835,324.12,270640.2,D,S,464061,True,True,False,0001628280-26-048478,https://www.sec.gov/Archives/edgar/data/1441816/000162828026048478/0001628280-26-048478.txt
MERRIMAN DWIGHT A,,2026-07-16,2026-07-16,867,325.48,282191.16,D,S,463194,True,True,False,0001628280-26-048478,https://www.sec.gov/Archives/edgar/data/1441816/000162828026048478/0001628280-26-048478.txt
MERRIMAN DWIGHT A,,2026-07-16,2026-07-16,1363,327.7,446655.1,D,S,461831,True,True,False,0001628280-26-048478,https://www.sec.gov/Archives/edgar/data/1441816/000162828026048478/0001628280-26-048478.txt
MERRIMAN DWIGHT A,,2026-07-16,2026-07-16,81,328.3,26592.3,D,S,461750,True,True,False,0001628280-26-048478,https://www.sec.gov/Archives/edgar/data/1441816/000162828026048478/0001628280-26-048478.txt
MERRIMAN DWIGHT A,,2026-07-16,2026-07-16,80,329.54,26363.2,D,S,461670,True,True,False,0001628280-26-048478,https://www.sec.gov/Archives/edgar/data/1441816/000162828026048478/0001628280-26-048478.txt
MERRIMAN DWIGHT A,,2026-07-16,2026-07-16,2774,333.42,924907.08,D,S,458896,True,True,False,0001628280-26-048478,https://www.sec.gov/Archives/edgar/data/1441816/000162828026048478/0001628280-26-048478.txt
MERRIMAN DWIGHT A,,2026-07-14,2026-07-16,2480,316.52,784969.6,D,S,980473,True,True,False,0001628280-26-048478,https://www.sec.gov/Archives/edgar/data/1441816/000162828026048478/0001628280-26-048478.txt
MERRIMAN DWIGHT A,,2026-07-14,2026-07-16,120,317.82,38138.4,D,S,980353,True,True,False,0001628280-26-048478,https://www.sec.gov/Archives/edgar/data/1441816/000162828026048478/0001628280-26-048478.txt
MERRIMAN DWIGHT A,,2026-07-14,2026-07-16,2480,319.73,792930.4,D,S,977873,True,True,False,0001628280-26-048478,https://www.sec.gov/Archives/edgar/data/1441816/000162828026048478/0001628280-26-048478.txt
MERRIMAN DWIGHT A,,2026-07-14,2026-07-16,680,320.65,218042.0,D,S,977193,True,True,False,0001628280-26-048478,https://www.sec.gov/Archives/edgar/data/1441816/000162828026048478/0001628280-26-048478.txt
MERRIMAN DWIGHT A,,2026-07-14,2026-07-16,2120,321.78,682173.6,D,S,975073,True,True,False,0001628280-26-048478,https://www.sec.gov/Archives/edgar/data/1441816/000162828026048478/0001628280-26-048478.txt
MERRIMAN DWIGHT A,,2026-07-14,2026-07-16,120,323.03,38763.6,D,S,974953,True,True,False,0001628280-26-048478,https://www.sec.gov/Archives/edgar/data/1441816/000162828026048478/0001628280-26-048478.txt
MERRIMAN DWIGHT A,,2026-07-14,2026-07-16,2000,324.05,648100.0,D,S,972953,True,True,False,0001628280-26-048478,https://www.sec.gov/Archives/edgar/data/1441816/000162828026048478/0001628280-26-048478.txt
