insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Fritz Gary M,"President, Interactive",2026-07-01,2026-07-02,2259,0.0,0.0,A,M,132907,False,False,True,0000789570-26-000067,https://www.sec.gov/Archives/edgar/data/789570/000078957026000067/0000789570-26-000067.txt
Fritz Gary M,"President, Interactive",2026-07-01,2026-07-02,903,47.52,42910.56,D,F,132004,False,False,True,0000789570-26-000067,https://www.sec.gov/Archives/edgar/data/789570/000078957026000067/0000789570-26-000067.txt
TAYLOR DANIEL J,,2026-05-22,2026-05-26,6675,38.44,256587.0,D,S,0,False,True,False,0000789570-26-000059,https://www.sec.gov/Archives/edgar/data/789570/000078957026000059/0000789570-26-000059.txt
Winston Ben,,2026-05-06,2026-05-08,3338,0.0,0.0,A,M,12877,False,True,False,0000789570-26-000054,https://www.sec.gov/Archives/edgar/data/789570/000078957026000054/0000789570-26-000054.txt
TAYLOR DANIEL J,,2026-05-06,2026-05-08,6675,0.0,0.0,A,M,6675,False,True,False,0000789570-26-000053,https://www.sec.gov/Archives/edgar/data/789570/000078957026000053/0000789570-26-000053.txt
Swartz Janet,,2026-05-06,2026-05-08,6675,0.0,0.0,A,M,11936,False,True,False,0000789570-26-000057,https://www.sec.gov/Archives/edgar/data/789570/000078957026000057/0000789570-26-000057.txt
Mckinney-James Rose,,2026-05-06,2026-05-08,3338,0.0,0.0,A,M,5098,False,True,False,0000789570-26-000048,https://www.sec.gov/Archives/edgar/data/789570/000078957026000048/0000789570-26-000048.txt
LEVIN JOSEPH,,2026-05-06,2026-05-08,6675,0.0,0.0,A,M,6675,False,True,False,0000789570-26-000046,https://www.sec.gov/Archives/edgar/data/789570/000078957026000046/0000789570-26-000046.txt
IAC Inc.,,2026-03-24,2026-03-25,450000,37.13,16708500.0,A,P,66822350,False,False,False,0001104659-26-034710,https://www.sec.gov/Archives/edgar/data/789570/000110465926034710/0001104659-26-034710.txt
IAC Inc.,,2026-03-23,2026-03-25,550000,37.3,20515000.0,A,P,66372350,False,False,False,0001104659-26-034710,https://www.sec.gov/Archives/edgar/data/789570/000110465926034710/0001104659-26-034710.txt
Meister Keith A.,,2026-03-09,2026-03-09,37500,34.27,1285125.0,D,S,5347978,False,False,False,0001193125-26-098505,https://www.sec.gov/Archives/edgar/data/789570/000119312526098505/0001193125-26-098505.txt
Molino Ayesha Khanna,CHIEF OPERATING OFFICER,2026-03-01,2026-03-03,299,0.0,0.0,A,M,21658,False,False,True,0000789570-26-000023,https://www.sec.gov/Archives/edgar/data/789570/000078957026000023/0000789570-26-000023.txt
Molino Ayesha Khanna,CHIEF OPERATING OFFICER,2026-03-01,2026-03-03,73,36.86,2690.78,D,F,21585,False,False,True,0000789570-26-000023,https://www.sec.gov/Archives/edgar/data/789570/000078957026000023/0000789570-26-000023.txt
Halkyard Jonathan S,CHIEF FINANCIAL OFFICER,2026-02-24,2026-02-25,2909,0.0,0.0,A,M,119874,False,False,True,0000789570-26-000022,https://www.sec.gov/Archives/edgar/data/789570/000078957026000022/0000789570-26-000022.txt
Halkyard Jonathan S,CHIEF FINANCIAL OFFICER,2026-02-24,2026-02-25,1077,35.05,37748.85,D,F,118797,False,False,True,0000789570-26-000022,https://www.sec.gov/Archives/edgar/data/789570/000078957026000022/0000789570-26-000022.txt
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2026-02-24,2026-02-25,5657,0.0,0.0,A,M,607167,False,True,True,0000789570-26-000021,https://www.sec.gov/Archives/edgar/data/789570/000078957026000021/0000789570-26-000021.txt
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2026-02-24,2026-02-25,2094,35.05,73394.7,D,F,605073,False,True,True,0000789570-26-000021,https://www.sec.gov/Archives/edgar/data/789570/000078957026000021/0000789570-26-000021.txt
Halkyard Jonathan S,CHIEF FINANCIAL OFFICER,2026-02-23,2026-02-25,3174,0.0,0.0,A,M,117664,False,False,True,0000789570-26-000022,https://www.sec.gov/Archives/edgar/data/789570/000078957026000022/0000789570-26-000022.txt
Halkyard Jonathan S,CHIEF FINANCIAL OFFICER,2026-02-23,2026-02-25,699,34.25,23940.75,D,F,116965,False,False,True,0000789570-26-000022,https://www.sec.gov/Archives/edgar/data/789570/000078957026000022/0000789570-26-000022.txt
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2026-02-23,2026-02-25,6683,0.0,0.0,A,M,602981,False,True,True,0000789570-26-000021,https://www.sec.gov/Archives/edgar/data/789570/000078957026000021/0000789570-26-000021.txt
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2026-02-23,2026-02-25,1471,34.25,50381.75,D,F,601510,False,True,True,0000789570-26-000021,https://www.sec.gov/Archives/edgar/data/789570/000078957026000021/0000789570-26-000021.txt
IAC Inc.,,2025-12-05,2025-12-09,1098748,36.3,39884552.4,A,P,65822350,False,False,False,0001104659-25-119711,https://www.sec.gov/Archives/edgar/data/789570/000110465925119711/0001104659-25-119711.txt
Fritz Gary M,"President, Interactive",2025-12-01,2025-12-03,15005,0.0,0.0,A,M,136640,False,False,True,0000789570-25-000075,https://www.sec.gov/Archives/edgar/data/789570/000078957025000075/0000789570-25-000075.txt
Fritz Gary M,"President, Interactive",2025-12-01,2025-12-03,5992,35.44,212356.48,D,F,130648,False,False,True,0000789570-25-000075,https://www.sec.gov/Archives/edgar/data/789570/000078957025000075/0000789570-25-000075.txt
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2025-10-07,2025-10-08,12165,0.0,0.0,A,M,63185,False,False,True,0000789570-25-000068,https://www.sec.gov/Archives/edgar/data/789570/000078957025000068/0000789570-25-000068.txt
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2025-10-07,2025-10-08,4787,33.12,158545.44,D,F,58398,False,False,True,0000789570-25-000068,https://www.sec.gov/Archives/edgar/data/789570/000078957025000068/0000789570-25-000068.txt
Meinert Todd,SVP & Chief Accounting Officer,2025-10-07,2025-10-08,1379,0.0,0.0,A,M,25705,False,False,True,0000789570-25-000067,https://www.sec.gov/Archives/edgar/data/789570/000078957025000067/0000789570-25-000067.txt
Meinert Todd,SVP & Chief Accounting Officer,2025-10-07,2025-10-08,336,33.12,11128.32,D,F,25369,False,False,True,0000789570-25-000067,https://www.sec.gov/Archives/edgar/data/789570/000078957025000067/0000789570-25-000067.txt
McManus John,CHIEF LEGAL ADMIN OFC AND SECY,2025-10-07,2025-10-08,7299,0.0,0.0,A,M,68558,False,False,True,0000789570-25-000066,https://www.sec.gov/Archives/edgar/data/789570/000078957025000066/0000789570-25-000066.txt
McManus John,CHIEF LEGAL ADMIN OFC AND SECY,2025-10-07,2025-10-08,2873,33.12,95153.76,D,F,65685,False,False,True,0000789570-25-000066,https://www.sec.gov/Archives/edgar/data/789570/000078957025000066/0000789570-25-000066.txt
Halkyard Jonathan S,CHIEF FINANCIAL OFFICER,2025-10-07,2025-10-08,8921,0.0,0.0,A,M,118001,False,False,True,0000789570-25-000064,https://www.sec.gov/Archives/edgar/data/789570/000078957025000064/0000789570-25-000064.txt
Halkyard Jonathan S,CHIEF FINANCIAL OFFICER,2025-10-07,2025-10-08,3511,33.12,116284.32,D,F,114490,False,False,True,0000789570-25-000064,https://www.sec.gov/Archives/edgar/data/789570/000078957025000064/0000789570-25-000064.txt
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2025-10-07,2025-10-08,32441,0.0,0.0,A,M,609064,False,True,True,0000789570-25-000065,https://www.sec.gov/Archives/edgar/data/789570/000078957025000065/0000789570-25-000065.txt
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2025-10-07,2025-10-08,12766,33.12,422809.92,D,F,596298,False,True,True,0000789570-25-000065,https://www.sec.gov/Archives/edgar/data/789570/000078957025000065/0000789570-25-000065.txt
Fritz Gary M,"President, Interactive",2025-10-07,2025-10-08,12165,0.0,0.0,A,M,126493,False,False,True,0000789570-25-000063,https://www.sec.gov/Archives/edgar/data/789570/000078957025000063/0000789570-25-000063.txt
Fritz Gary M,"President, Interactive",2025-10-07,2025-10-08,4858,33.12,160896.96,D,F,121635,False,False,True,0000789570-25-000063,https://www.sec.gov/Archives/edgar/data/789570/000078957025000063/0000789570-25-000063.txt
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2025-10-04,2025-10-07,8843,0.0,0.0,A,M,54500,False,False,True,0000789570-25-000062,https://www.sec.gov/Archives/edgar/data/789570/000078957025000062/0000789570-25-000062.txt
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2025-10-04,2025-10-07,3480,33.93,118076.4,D,F,51020,False,False,True,0000789570-25-000062,https://www.sec.gov/Archives/edgar/data/789570/000078957025000062/0000789570-25-000062.txt
Meinert Todd,SVP & Chief Accounting Officer,2025-10-04,2025-10-07,843,0.0,0.0,A,M,24532,False,False,True,0000789570-25-000061,https://www.sec.gov/Archives/edgar/data/789570/000078957025000061/0000789570-25-000061.txt
Meinert Todd,SVP & Chief Accounting Officer,2025-10-04,2025-10-07,206,33.93,6989.58,D,F,24326,False,False,True,0000789570-25-000061,https://www.sec.gov/Archives/edgar/data/789570/000078957025000061/0000789570-25-000061.txt
McManus John,CHIEF LEGAL ADMIN OFC AND SECY,2025-10-04,2025-10-07,3933,0.0,0.0,A,M,62808,False,False,True,0000789570-25-000060,https://www.sec.gov/Archives/edgar/data/789570/000078957025000060/0000789570-25-000060.txt
McManus John,CHIEF LEGAL ADMIN OFC AND SECY,2025-10-04,2025-10-07,1549,33.93,52557.57,D,F,61259,False,False,True,0000789570-25-000060,https://www.sec.gov/Archives/edgar/data/789570/000078957025000060/0000789570-25-000060.txt
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2025-10-04,2025-10-07,17980,0.0,0.0,A,M,583699,False,True,True,0000789570-25-000059,https://www.sec.gov/Archives/edgar/data/789570/000078957025000059/0000789570-25-000059.txt
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2025-10-04,2025-10-07,7076,33.93,240088.68,D,F,576623,False,True,True,0000789570-25-000059,https://www.sec.gov/Archives/edgar/data/789570/000078957025000059/0000789570-25-000059.txt
