insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
PEARSON KEVIN J,Vice Chairman,2026-07-15,2026-07-16,2000,242.0,484000.0,D,S,44107,True,False,True,0001628280-26-048433,https://www.sec.gov/Archives/edgar/data/36270/000162828026048433/0001628280-26-048433.txt
Woodrow Tracy S.,Sr. Executive Vice President,2026-07-01,2026-07-06,376,190.78,71733.28,A,M,9984,True,False,True,0001816056-26-000008,https://www.sec.gov/Archives/edgar/data/36270/000181605626000008/0001816056-26-000008.txt
Woodrow Tracy S.,Sr. Executive Vice President,2026-07-01,2026-07-06,505,164.54,83092.7,A,M,10489,True,False,True,0001816056-26-000008,https://www.sec.gov/Archives/edgar/data/36270/000181605626000008/0001816056-26-000008.txt
Woodrow Tracy S.,Sr. Executive Vice President,2026-07-01,2026-07-06,881,242.0,213202.0,D,S,9608,True,False,True,0001816056-26-000008,https://www.sec.gov/Archives/edgar/data/36270/000181605626000008/0001816056-26-000008.txt
Taylor John R.,EVP and Controller,2026-06-15,2026-06-17,269,190.78,51319.82,A,M,5377,False,False,True,0001984138-26-000006,https://www.sec.gov/Archives/edgar/data/36270/000198413826000006/0001984138-26-000006.txt
Taylor John R.,EVP and Controller,2026-06-15,2026-06-17,1098,233.23,256086.54,D,S,4279,False,False,True,0001984138-26-000006,https://www.sec.gov/Archives/edgar/data/36270/000198413826000006/0001984138-26-000006.txt
PEARSON KEVIN J,Vice Chairman,2026-06-09,2026-06-11,10062,190.78,1919628.36,A,M,56169,True,False,True,0001245781-26-000008,https://www.sec.gov/Archives/edgar/data/36270/000124578126000008/0001245781-26-000008.txt
PEARSON KEVIN J,Vice Chairman,2026-06-09,2026-06-11,13296,164.54,2187723.84,A,M,69465,True,False,True,0001245781-26-000008,https://www.sec.gov/Archives/edgar/data/36270/000124578126000008/0001245781-26-000008.txt
PEARSON KEVIN J,Vice Chairman,2026-06-09,2026-06-11,18722,225.2047,4216282.39,D,S,50743,True,False,True,0001245781-26-000008,https://www.sec.gov/Archives/edgar/data/36270/000124578126000008/0001245781-26-000008.txt
PEARSON KEVIN J,Vice Chairman,2026-06-09,2026-06-11,4636,226.7029,1050994.64,D,S,46107,True,False,True,0001245781-26-000008,https://www.sec.gov/Archives/edgar/data/36270/000124578126000008/0001245781-26-000008.txt
PEARSON KEVIN J,Vice Chairman,2026-06-04,2026-06-08,2000,220.0,440000.0,D,S,46107,True,False,True,0001245781-26-000006,https://www.sec.gov/Archives/edgar/data/36270/000124578126000006/0001245781-26-000006.txt
Kay Christopher E.,Sr. Executive Vice President,2026-05-07,2026-05-11,3105,216.5,672232.5,D,S,6753,False,False,True,0001628280-26-033671,https://www.sec.gov/Archives/edgar/data/36270/000162828026033671/0001628280-26-033671.txt
WASHINGTON HERBERT L,,2026-04-30,2026-05-04,664,0.0,0.0,A,A,18299,False,True,False,0001628280-26-029982,https://www.sec.gov/Archives/edgar/data/36270/000162828026029982/0001628280-26-029982.txt
WALTERS KIRK W,,2026-04-30,2026-05-04,664,0.0,0.0,A,A,6640,False,True,False,0001250515-26-000009,https://www.sec.gov/Archives/edgar/data/36270/000125051526000009/0001250515-26-000009.txt
Seseri Rudina,,2026-04-30,2026-05-04,664,0.0,0.0,A,A,4190,False,True,False,0001744006-26-000002,https://www.sec.gov/Archives/edgar/data/36270/000174400626000002/0001744006-26-000002.txt
SALAMONE DENIS J,,2026-04-30,2026-05-04,664,0.0,0.0,A,A,45189,False,True,False,0001628280-26-029984,https://www.sec.gov/Archives/edgar/data/36270/000162828026029984/0001628280-26-029984.txt
RICH MELINDA R,,2026-04-30,2026-05-04,664,0.0,0.0,A,A,24108,False,True,False,0001163228-26-000002,https://www.sec.gov/Archives/edgar/data/36270/000116322826000002/0001163228-26-000002.txt
Ledgett Richard H. Jr.,,2026-04-30,2026-05-04,664,0.0,0.0,A,A,5545,False,True,False,0001714871-26-000002,https://www.sec.gov/Archives/edgar/data/36270/000171487126000002/0001714871-26-000002.txt
GODRIDGE LESLIE V,,2026-04-30,2026-05-04,664,0.0,0.0,A,A,5121,False,True,False,0001209480-26-000002,https://www.sec.gov/Archives/edgar/data/36270/000120948026000002/0001209480-26-000002.txt
Cruger William Frank Jr.,,2026-04-30,2026-05-04,687,0.0,0.0,A,A,9878,False,True,False,0001591033-26-000002,https://www.sec.gov/Archives/edgar/data/36270/000159103326000002/0001591033-26-000002.txt
Chwick Jane,,2026-04-30,2026-05-04,664,0.0,0.0,A,A,6994,False,True,False,0001589706-26-000002,https://www.sec.gov/Archives/edgar/data/36270/000158970626000002/0001589706-26-000002.txt
Charles Carlton J.,,2026-04-30,2026-05-04,664,0.0,0.0,A,A,3408,False,True,False,0001962428-26-000002,https://www.sec.gov/Archives/edgar/data/36270/000196242826000002/0001962428-26-000002.txt
BARNES JOHN P,,2026-04-30,2026-05-04,664,0.0,0.0,A,A,15806,False,True,False,0001250506-26-000006,https://www.sec.gov/Archives/edgar/data/36270/000125050626000006/0001250506-26-000006.txt
Wisler Michael A.,Sr. Executive Vice President,2026-02-26,2026-03-02,2588,156.0,403728.0,A,M,10717,False,False,True,0002038152-26-000006,https://www.sec.gov/Archives/edgar/data/36270/000203815226000006/0002038152-26-000006.txt
Wisler Michael A.,Sr. Executive Vice President,2026-02-26,2026-03-02,2163,138.1,298710.3,A,M,12880,False,False,True,0002038152-26-000006,https://www.sec.gov/Archives/edgar/data/36270/000203815226000006/0002038152-26-000006.txt
Wisler Michael A.,Sr. Executive Vice President,2026-02-26,2026-03-02,8236,223.4812,1840591.16,D,S,4643,False,False,True,0002038152-26-000006,https://www.sec.gov/Archives/edgar/data/36270/000203815226000006/0002038152-26-000006.txt
Woodrow Tracy S.,Sr. Executive Vice President,2026-02-13,2026-02-18,2295,0.0,0.0,A,A,10529,False,False,True,0001816056-26-000006,https://www.sec.gov/Archives/edgar/data/36270/000181605626000006/0001816056-26-000006.txt
Woodrow Tracy S.,Sr. Executive Vice President,2026-02-13,2026-02-18,921,228.71,210641.91,D,F,9608,False,False,True,0001816056-26-000006,https://www.sec.gov/Archives/edgar/data/36270/000181605626000006/0001816056-26-000006.txt
Wisler Michael A.,Sr. Executive Vice President,2026-02-13,2026-02-18,2497,0.0,0.0,A,A,9123,False,False,True,0002038152-26-000004,https://www.sec.gov/Archives/edgar/data/36270/000203815226000004/0002038152-26-000004.txt
Wisler Michael A.,Sr. Executive Vice President,2026-02-13,2026-02-18,994,228.71,227337.74,D,F,8129,False,False,True,0002038152-26-000004,https://www.sec.gov/Archives/edgar/data/36270/000203815226000004/0002038152-26-000004.txt
Urban Julianne,Sr. EVP & Chief Auditor,2026-02-13,2026-02-18,945,0.0,0.0,A,A,8799,False,False,True,0001703070-26-000005,https://www.sec.gov/Archives/edgar/data/36270/000170307026000005/0001703070-26-000005.txt
Urban Julianne,Sr. EVP & Chief Auditor,2026-02-13,2026-02-18,341,228.71,77990.11,D,F,8458,False,False,True,0001703070-26-000005,https://www.sec.gov/Archives/edgar/data/36270/000170307026000005/0001703070-26-000005.txt
Taylor John R.,EVP and Controller,2026-02-13,2026-02-18,233,0.0,0.0,A,A,5205,False,False,True,0001984138-26-000004,https://www.sec.gov/Archives/edgar/data/36270/000198413826000004/0001984138-26-000004.txt
Taylor John R.,EVP and Controller,2026-02-13,2026-02-18,97,228.71,22184.87,D,F,5108,False,False,True,0001984138-26-000004,https://www.sec.gov/Archives/edgar/data/36270/000198413826000004/0001984138-26-000004.txt
PEARSON KEVIN J,Vice Chairman,2026-02-13,2026-02-18,6750,0.0,0.0,A,A,51471,False,False,True,0001245781-26-000004,https://www.sec.gov/Archives/edgar/data/36270/000124578126000004/0001245781-26-000004.txt
PEARSON KEVIN J,Vice Chairman,2026-02-13,2026-02-18,3364,228.71,769380.44,D,F,48107,False,False,True,0001245781-26-000004,https://www.sec.gov/Archives/edgar/data/36270/000124578126000004/0001245781-26-000004.txt
O'Hara Laura P.,Sr. EVP & Chief Legal Officer,2026-02-13,2026-02-18,1889,0.0,0.0,A,A,10242,False,False,True,0001715422-26-000004,https://www.sec.gov/Archives/edgar/data/36270/000171542226000004/0001715422-26-000004.txt
O'Hara Laura P.,Sr. EVP & Chief Legal Officer,2026-02-13,2026-02-18,683,228.71,156208.93,D,F,9559,False,False,True,0001715422-26-000004,https://www.sec.gov/Archives/edgar/data/36270/000171542226000004/0001715422-26-000004.txt
Kay Christopher E.,Sr. Executive Vice President,2026-02-13,2026-02-18,3983,0.0,0.0,A,A,11703,False,False,True,0001602570-26-000004,https://www.sec.gov/Archives/edgar/data/36270/000160257026000004/0001602570-26-000004.txt
Kay Christopher E.,Sr. Executive Vice President,2026-02-13,2026-02-18,1845,228.71,421969.95,D,F,9858,False,False,True,0001602570-26-000004,https://www.sec.gov/Archives/edgar/data/36270/000160257026000004/0001602570-26-000004.txt
JONES RENE F,Chairman of the Board and CEO,2026-02-13,2026-02-18,16199,0.0,0.0,A,A,129827,False,True,True,0001245773-26-000008,https://www.sec.gov/Archives/edgar/data/36270/000124577326000008/0001245773-26-000008.txt
JONES RENE F,Chairman of the Board and CEO,2026-02-13,2026-02-18,8270,228.71,1891431.7,D,F,121557,False,True,True,0001245773-26-000008,https://www.sec.gov/Archives/edgar/data/36270/000124577326000008/0001245773-26-000008.txt
D'Arcy Peter,Sr. Executive Vice President,2026-02-13,2026-02-18,3105,0.0,0.0,A,A,14107,False,False,True,0001931253-26-000004,https://www.sec.gov/Archives/edgar/data/36270/000193125326000004/0001931253-26-000004.txt
D'Arcy Peter,Sr. Executive Vice President,2026-02-13,2026-02-18,1370,228.71,313332.7,D,F,12737,False,False,True,0001931253-26-000004,https://www.sec.gov/Archives/edgar/data/36270/000193125326000004/0001931253-26-000004.txt
Woodrow Tracy S.,Sr. Executive Vice President,2026-02-11,2026-02-12,1053,138.1,145419.3,A,M,9287,False,False,True,0001816056-26-000004,https://www.sec.gov/Archives/edgar/data/36270/000181605626000004/0001816056-26-000004.txt
Woodrow Tracy S.,Sr. Executive Vice President,2026-02-11,2026-02-12,1053,234.21,246623.13,D,S,8234,False,False,True,0001816056-26-000004,https://www.sec.gov/Archives/edgar/data/36270/000181605626000004/0001816056-26-000004.txt
