insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Wong Ann Ping Richard,Head of Asia & Pacific,2026-05-12,2026-05-14,103,0.0,0.0,A,A,645,False,False,True,0001037646-26-000038,https://www.sec.gov/Archives/edgar/data/1037646/000103764626000038/0001037646-26-000038.txt
Wittorf Oliver,"Head of PI, Retail, and GSC",2026-05-12,2026-05-14,87,0.0,0.0,A,A,495,False,False,True,0001037646-26-000036,https://www.sec.gov/Archives/edgar/data/1037646/000103764626000036/0001037646-26-000036.txt
Vadala Shawn,Chief Financial Officer,2026-05-12,2026-05-14,291,0.0,0.0,A,A,5579,False,False,True,0001037646-26-000034,https://www.sec.gov/Archives/edgar/data/1037646/000103764626000034/0001037646-26-000034.txt
Keller Gerry,Head of Process Analytics,2026-05-12,2026-05-14,100,0.0,0.0,A,A,259,False,False,True,0001037646-26-000032,https://www.sec.gov/Archives/edgar/data/1037646/000103764626000032/0001037646-26-000032.txt
Kaltenbach Patrick,President and CEO,2026-05-12,2026-05-14,810,0.0,0.0,A,A,4480,False,False,True,0001037646-26-000030,https://www.sec.gov/Archives/edgar/data/1037646/000103764626000030/0001037646-26-000030.txt
Graham-Bryce Susan,Chief Human Resources Officer,2026-05-12,2026-05-14,71,0.0,0.0,A,A,517,False,False,True,0001037646-26-000028,https://www.sec.gov/Archives/edgar/data/1037646/000103764626000028/0001037646-26-000028.txt
TOKICH MICHAEL J,,2026-02-17,2026-02-19,50,0.0,0.0,A,A,50,False,True,False,0001037646-26-000015,https://www.sec.gov/Archives/edgar/data/1037646/000103764626000015/0001037646-26-000015.txt
Vadala Shawn,Chief Financial Officer,2026-02-10,2026-02-11,800,595.31,476248.0,A,M,6088,False,False,True,0001037646-26-000013,https://www.sec.gov/Archives/edgar/data/1037646/000103764626000013/0001037646-26-000013.txt
Vadala Shawn,Chief Financial Officer,2026-02-10,2026-02-11,800,1410.12,1128096.0,D,S,5288,False,False,True,0001037646-26-000013,https://www.sec.gov/Archives/edgar/data/1037646/000103764626000013/0001037646-26-000013.txt
de la Guerroniere Marc,Head of Eur & NA Market Orgs,2025-11-25,2025-11-26,3580,720.81,2580499.8,A,M,3767,False,False,True,0001037646-25-000104,https://www.sec.gov/Archives/edgar/data/1037646/000103764625000104/0001037646-25-000104.txt
de la Guerroniere Marc,Head of Eur & NA Market Orgs,2025-11-25,2025-11-26,2475,1103.74,2731756.5,A,M,6242,False,False,True,0001037646-25-000104,https://www.sec.gov/Archives/edgar/data/1037646/000103764625000104/0001037646-25-000104.txt
de la Guerroniere Marc,Head of Eur & NA Market Orgs,2025-11-25,2025-11-26,3580,1480.0,5298400.0,D,S,2662,False,False,True,0001037646-25-000104,https://www.sec.gov/Archives/edgar/data/1037646/000103764625000104/0001037646-25-000104.txt
de la Guerroniere Marc,Head of Eur & NA Market Orgs,2025-11-25,2025-11-26,2475,1500.0,3712500.0,D,S,187,False,False,True,0001037646-25-000104,https://www.sec.gov/Archives/edgar/data/1037646/000103764625000104/0001037646-25-000104.txt
Vadala Shawn,Chief Financial Officer,2025-11-25,2025-11-26,1000,595.31,595310.0,A,M,6288,False,False,True,0001037646-25-000103,https://www.sec.gov/Archives/edgar/data/1037646/000103764625000103/0001037646-25-000103.txt
Vadala Shawn,Chief Financial Officer,2025-11-25,2025-11-26,1000,1511.0,1511000.0,D,S,5288,False,False,True,0001037646-25-000103,https://www.sec.gov/Archives/edgar/data/1037646/000103764625000103/0001037646-25-000103.txt
Vadala Shawn,Chief Financial Officer,2025-11-24,2025-11-26,1025,671.6,688390.0,A,M,6313,False,False,True,0001037646-25-000103,https://www.sec.gov/Archives/edgar/data/1037646/000103764625000103/0001037646-25-000103.txt
Vadala Shawn,Chief Financial Officer,2025-11-24,2025-11-26,1025,1452.0,1488300.0,D,S,5288,False,False,True,0001037646-25-000103,https://www.sec.gov/Archives/edgar/data/1037646/000103764625000103/0001037646-25-000103.txt
