insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Hopgood Daniel Roy,"EVP, CFO",2026-06-01,2026-06-02,148,281.31,41633.88,D,F,4758,False,False,True,0001454513-26-000002,https://www.sec.gov/Archives/edgar/data/72331/000145451326000002/0001454513-26-000002.txt
CLAYTON ANNETTE K,,2026-05-01,2026-05-08,270,283.2,76464.0,A,A,2098,False,True,False,0001628280-26-032692,https://www.sec.gov/Archives/edgar/data/72331/000162828026032692/0001628280-26-032692.txt
MAPES CHRISTOPHER L,,2026-04-30,2026-05-04,43,288.45,12403.35,A,A,2975,False,True,False,0001219555-26-000003,https://www.sec.gov/Archives/edgar/data/72331/000121955526000003/0001219555-26-000003.txt
DeFord John A,,2026-04-30,2026-05-04,87,288.45,25095.15,A,A,5802,False,True,False,0001403373-26-000004,https://www.sec.gov/Archives/edgar/data/72331/000140337326000004/0001403373-26-000004.txt
Subramanian Srinivas,Executive Vice President,2026-04-17,2026-04-20,1900,107.65,204535.0,A,M,9507,True,False,True,0001940653-26-000003,https://www.sec.gov/Archives/edgar/data/72331/000194065326000003/0001940653-26-000003.txt
Subramanian Srinivas,Executive Vice President,2026-04-17,2026-04-20,1900,280.0,532000.0,D,S,7607,True,False,True,0001940653-26-000003,https://www.sec.gov/Archives/edgar/data/72331/000194065326000003/0001940653-26-000003.txt
Subramanian Srinivas,Executive Vice President,2026-04-17,2026-04-20,1200,280.0,336000.0,D,S,6407,True,False,True,0001940653-26-000003,https://www.sec.gov/Archives/edgar/data/72331/000194065326000003/0001940653-26-000003.txt
DeVries James E,Executive Vice President,2026-04-16,2026-04-20,71,275.28,19544.88,D,F,50033,False,False,True,0001536454-26-000003,https://www.sec.gov/Archives/edgar/data/72331/000153645426000003/0001536454-26-000003.txt
DeVries James E,Executive Vice President,2026-04-16,2026-04-20,127,275.28,34960.56,D,F,49906,False,False,True,0001536454-26-000003,https://www.sec.gov/Archives/edgar/data/72331/000153645426000003/0001536454-26-000003.txt
Morris Milton Mayo,,2026-04-15,2026-04-16,245,273.87,67098.15,D,S,2656,False,True,False,0001454309-26-000002,https://www.sec.gov/Archives/edgar/data/72331/000145430926000002/0001454309-26-000002.txt
Hall Justin E,EVP,2026-04-08,2026-04-09,716,275.82,197487.12,D,S,1515,False,False,True,0002070402-26-000003,https://www.sec.gov/Archives/edgar/data/72331/000207040226000003/0002070402-26-000003.txt
Siddiqui Sarah,"EVP, CHRO",2026-02-27,2026-03-02,30,293.44,8803.2,D,F,5058,False,False,True,0001966801-26-000003,https://www.sec.gov/Archives/edgar/data/72331/000196680126000003/0001966801-26-000003.txt
NAGARAJAN SUNDARAM,President and CEO,2026-02-24,2026-02-25,41800,165.21,6905778.0,A,M,106624,False,True,True,0001498509-26-000003,https://www.sec.gov/Archives/edgar/data/72331/000149850926000003/0001498509-26-000003.txt
NAGARAJAN SUNDARAM,President and CEO,2026-02-24,2026-02-25,41800,293.26,12258268.0,D,S,64824,False,True,True,0001498509-26-000003,https://www.sec.gov/Archives/edgar/data/72331/000149850926000003/0001498509-26-000003.txt
Kelley Joseph P,Executive Vice President,2026-02-24,2026-02-25,1,291.49,291.49,D,S,7558,False,False,True,0001629963-26-000005,https://www.sec.gov/Archives/edgar/data/72331/000162996326000005/0001629963-26-000005.txt
Kelley Joseph P,Executive Vice President,2026-02-24,2026-02-25,59,291.81,17216.79,D,S,7499,False,False,True,0001629963-26-000005,https://www.sec.gov/Archives/edgar/data/72331/000162996326000005/0001629963-26-000005.txt
Kelley Joseph P,Executive Vice President,2026-02-24,2026-02-25,1,292.53,292.53,D,S,7498,False,False,True,0001629963-26-000005,https://www.sec.gov/Archives/edgar/data/72331/000162996326000005/0001629963-26-000005.txt
Kelley Joseph P,Executive Vice President,2026-02-24,2026-02-25,16,292.56,4680.96,D,S,7482,False,False,True,0001629963-26-000005,https://www.sec.gov/Archives/edgar/data/72331/000162996326000005/0001629963-26-000005.txt
Kelley Joseph P,Executive Vice President,2026-02-24,2026-02-25,9,292.57,2633.13,D,S,7473,False,False,True,0001629963-26-000005,https://www.sec.gov/Archives/edgar/data/72331/000162996326000005/0001629963-26-000005.txt
