insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Bolster Brian W,Pres. and CEO of Sub,2026-05-07,2026-05-08,1251,95.39,119332.89,D,F,44769,False,False,True,0002022591-26-000010,https://www.sec.gov/Archives/edgar/data/753308/000202259126000010/0002022591-26-000010.txt
May James Michael,Treasurer and Asst. Secretary,2026-03-17,2026-03-18,316,92.53,29239.48,D,F,26403,False,False,True,0001769378-26-000007,https://www.sec.gov/Archives/edgar/data/753308/000176937826000007/0001769378-26-000007.txt
Gough William John,"VP, Controller & CAO",2026-03-17,2026-03-18,93,92.53,8605.29,D,F,10864,False,False,True,0002070993-26-000004,https://www.sec.gov/Archives/edgar/data/753308/000207099326000004/0002070993-26-000004.txt
Bolster Brian W,Pres. and CEO of Sub,2026-03-17,2026-03-18,428,92.53,39602.84,D,F,46020,False,False,True,0002022591-26-000008,https://www.sec.gov/Archives/edgar/data/753308/000202259126000008/0002022591-26-000008.txt
Daggs Nicole J,"EVP, Human Res & Corp Svcs",2026-03-13,2026-03-16,4189,93.0,389577.0,D,S,17650,True,False,True,0002006041-26-000004,https://www.sec.gov/Archives/edgar/data/753308/000200604126000004/0002006041-26-000004.txt
Daggs Nicole J,"EVP, Human Res & Corp Svcs",2026-03-13,2026-03-16,745,93.0,69285.0,D,S,16905,True,False,True,0002006041-26-000004,https://www.sec.gov/Archives/edgar/data/753308/000200604126000004/0002006041-26-000004.txt
May James Michael,Treasurer and Asst. Secretary,2026-03-09,2026-03-10,4672,90.27,421741.44,D,S,29208,True,False,True,0001769378-26-000005,https://www.sec.gov/Archives/edgar/data/753308/000176937826000005/0001769378-26-000005.txt
May James Michael,Treasurer and Asst. Secretary,2026-03-09,2026-03-10,2489,90.27,224682.03,D,S,26719,True,False,True,0001769378-26-000005,https://www.sec.gov/Archives/edgar/data/753308/000176937826000005/0001769378-26-000005.txt
Lemasney Mark,EVP Power Generation Division,2026-03-09,2026-03-10,3845,90.27,347088.15,D,S,8995,True,False,True,0001959910-26-000006,https://www.sec.gov/Archives/edgar/data/753308/000195991026000006/0001959910-26-000006.txt
Crews Terrell Kirk II,"EVP, Chief Risk Officer",2026-03-09,2026-03-10,5612,31.715,177984.58,A,M,79469,True,False,True,0001684719-26-000005,https://www.sec.gov/Archives/edgar/data/753308/000168471926000005/0001684719-26-000005.txt
Crews Terrell Kirk II,"EVP, Chief Risk Officer",2026-03-09,2026-03-10,5612,90.27,506595.24,D,S,73857,True,False,True,0001684719-26-000005,https://www.sec.gov/Archives/edgar/data/753308/000168471926000005/0001684719-26-000005.txt
Crews Terrell Kirk II,"EVP, Chief Risk Officer",2026-03-09,2026-03-10,4720,38.608,182229.76,A,M,78577,True,False,True,0001684719-26-000005,https://www.sec.gov/Archives/edgar/data/753308/000168471926000005/0001684719-26-000005.txt
Crews Terrell Kirk II,"EVP, Chief Risk Officer",2026-03-09,2026-03-10,4720,90.27,426074.4,D,S,73857,True,False,True,0001684719-26-000005,https://www.sec.gov/Archives/edgar/data/753308/000168471926000005/0001684719-26-000005.txt
