insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
O'Callahan Elizabeth M,"EVP, Chief Admin. Officer",2026-07-10,2026-07-14,1000,170.92,170920.0,D,S,31297,False,False,False,0001193125-26-303245,https://www.sec.gov/Archives/edgar/data/1002047/000119312526303245/0001193125-26-303245.txt
CERNUDA CESAR,President,2026-06-23,2026-06-25,5630,153.0,861390.0,D,S,90640,False,False,False,0001193125-26-282862,https://www.sec.gov/Archives/edgar/data/1002047/000119312526282862/0001193125-26-282862.txt
CERNUDA CESAR,President,2026-06-23,2026-06-25,14947,154.01,2301987.47,D,S,75693,False,False,False,0001193125-26-282862,https://www.sec.gov/Archives/edgar/data/1002047/000119312526282862/0001193125-26-282862.txt
CERNUDA CESAR,President,2026-06-23,2026-06-25,15593,155.29,2421436.97,D,S,60100,False,False,False,0001193125-26-282862,https://www.sec.gov/Archives/edgar/data/1002047/000119312526282862/0001193125-26-282862.txt
CERNUDA CESAR,President,2026-06-23,2026-06-25,13294,155.94,2073066.36,D,S,46806,False,False,False,0001193125-26-282862,https://www.sec.gov/Archives/edgar/data/1002047/000119312526282862/0001193125-26-282862.txt
O'Callahan Elizabeth M,"EVP, Chief Admin. Officer",2026-06-10,2026-06-12,1000,163.48,163480.0,D,S,32297,False,False,False,0001193125-26-269548,https://www.sec.gov/Archives/edgar/data/1002047/000119312526269548/0001193125-26-269548.txt
HELD GERALD,,2026-06-03,2026-06-05,7132,180.0,1283760.0,D,S,13775,False,False,False,0001193125-26-259871,https://www.sec.gov/Archives/edgar/data/1002047/000119312526259871/0001193125-26-259871.txt
De Lorenzo Daniel,"VP, Controller & CAO",2026-06-01,2026-06-03,225,171.09,38495.25,D,S,1090,False,False,False,0001193125-26-255553,https://www.sec.gov/Archives/edgar/data/1002047/000119312526255553/0001193125-26-255553.txt
De Lorenzo Daniel,"VP, Controller & CAO",2026-05-18,2026-05-20,275,120.0,33000.0,D,S,1090,False,False,False,0001193125-26-232688,https://www.sec.gov/Archives/edgar/data/1002047/000119312526232688/0001193125-26-232688.txt
O'Callahan Elizabeth M,"EVP, Chief Admin. Officer",2026-05-15,2026-05-19,7573,0.0,0.0,A,M,36907,False,False,False,0001193125-26-231024,https://www.sec.gov/Archives/edgar/data/1002047/000119312526231024/0001193125-26-231024.txt
O'Callahan Elizabeth M,"EVP, Chief Admin. Officer",2026-05-15,2026-05-19,3822,119.93,458372.46,D,F,33085,False,False,False,0001193125-26-231024,https://www.sec.gov/Archives/edgar/data/1002047/000119312526231024/0001193125-26-231024.txt
Kurian George,CEO,2026-05-15,2026-05-19,18489,0.0,0.0,A,M,364115,False,False,False,0001193125-26-231013,https://www.sec.gov/Archives/edgar/data/1002047/000119312526231013/0001193125-26-231013.txt
Kurian George,CEO,2026-05-15,2026-05-19,9326,119.93,1118467.18,D,F,354789,False,False,False,0001193125-26-231013,https://www.sec.gov/Archives/edgar/data/1002047/000119312526231013/0001193125-26-231013.txt
