insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Tribbett Charles A,,2026-07-01,2026-07-02,69,175.6,12116.4,A,A,35868,False,True,False,0001323371-26-000008,https://www.sec.gov/Archives/edgar/data/73124/000132337126000008/0001323371-26-000008.txt
Thompson Donald,,2026-07-01,2026-07-02,125,175.6,21950.0,A,A,31678,False,True,False,0001374074-26-000010,https://www.sec.gov/Archives/edgar/data/73124/000137407426000010/0001374074-26-000010.txt
SLARK MARTIN P,,2026-07-01,2026-07-02,61,175.6,10711.6,A,A,22397,False,True,False,0001012930-26-000008,https://www.sec.gov/Archives/edgar/data/73124/000101293026000008/0001012930-26-000008.txt
Petrino Richard,,2026-07-01,2026-07-02,5,175.6,878.0,A,A,4343,False,True,False,0001736600-26-000010,https://www.sec.gov/Archives/edgar/data/73124/000173660026000010/0001736600-26-000010.txt
Mehta Siddharth N,,2026-07-01,2026-07-02,26,175.6,4565.6,A,A,12487,False,True,False,0001321443-26-000008,https://www.sec.gov/Archives/edgar/data/73124/000132144326000008/0001321443-26-000008.txt
Klevorn Marcy S,,2026-07-01,2026-07-02,57,175.6,10009.2,A,A,13559,False,True,False,0001692367-26-000011,https://www.sec.gov/Archives/edgar/data/73124/000169236726000011/0001692367-26-000011.txt
Harrison Dean M,,2026-07-01,2026-07-02,130,175.6,22828.0,A,A,34904,False,True,False,0001629460-26-000008,https://www.sec.gov/Archives/edgar/data/73124/000162946026000008/0001629460-26-000008.txt
Dhandapani Chandra,,2026-07-01,2026-07-02,25,175.6,4390.0,A,A,6909,False,True,False,0001750288-26-000008,https://www.sec.gov/Archives/edgar/data/73124/000175028826000008/0001750288-26-000008.txt
CROWN SUSAN,,2026-07-01,2026-07-02,75,175.6,13170.0,A,A,38759,False,True,False,0001124194-26-000013,https://www.sec.gov/Archives/edgar/data/73124/000112419426000013/0001124194-26-000013.txt
Thompson Donald,,2026-06-30,2026-07-02,215,173.84,37375.6,A,A,31552,False,True,False,0001374074-26-000010,https://www.sec.gov/Archives/edgar/data/73124/000137407426000010/0001374074-26-000010.txt
