insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Schlosser Mario,,2026-07-01,2026-07-06,47500,0.0,0.0,A,C,47500,True,True,False,0001844320-26-000013,https://www.sec.gov/Archives/edgar/data/1568651/000184432026000013/0001844320-26-000013.txt
Schlosser Mario,,2026-07-01,2026-07-06,3600,29.5,106200.0,D,S,43900,True,True,False,0001844320-26-000013,https://www.sec.gov/Archives/edgar/data/1568651/000184432026000013/0001844320-26-000013.txt
Schlosser Mario,,2026-07-01,2026-07-06,13672,30.8,421097.6,D,S,30228,True,True,False,0001844320-26-000013,https://www.sec.gov/Archives/edgar/data/1568651/000184432026000013/0001844320-26-000013.txt
Schlosser Mario,,2026-07-01,2026-07-06,30228,31.65,956716.2,D,S,0,True,True,False,0001844320-26-000013,https://www.sec.gov/Archives/edgar/data/1568651/000184432026000013/0001844320-26-000013.txt
Bertolini Mark T,Chief Executive Officer,2026-06-30,2026-07-01,488654,28.35,13853340.9,D,S,7887160,True,True,True,0001568651-26-000060,https://www.sec.gov/Archives/edgar/data/1568651/000156865126000060/0001568651-26-000060.txt
Bertolini Mark T,Chief Executive Officer,2026-06-30,2026-07-01,135590,28.97,3928042.3,D,S,7751570,True,True,True,0001568651-26-000060,https://www.sec.gov/Archives/edgar/data/1568651/000156865126000060/0001568651-26-000060.txt
Bertolini Mark T,Chief Executive Officer,2026-06-29,2026-07-01,555826,29.17,16213444.42,D,S,8434740,True,True,True,0001568651-26-000060,https://www.sec.gov/Archives/edgar/data/1568651/000156865126000060/0001568651-26-000060.txt
Bertolini Mark T,Chief Executive Officer,2026-06-29,2026-07-01,58926,30.08,1772494.08,D,S,8375814,True,True,True,0001568651-26-000060,https://www.sec.gov/Archives/edgar/data/1568651/000156865126000060/0001568651-26-000060.txt
Bertolini Mark T,Chief Executive Officer,2026-06-26,2026-06-29,441373,29.11,12848368.03,D,S,9140361,True,True,True,0001352552-26-000010,https://www.sec.gov/Archives/edgar/data/1568651/000135255226000010/0001352552-26-000010.txt
Bertolini Mark T,Chief Executive Officer,2026-06-26,2026-06-29,149795,29.79,4462393.05,D,S,8990566,True,True,True,0001352552-26-000010,https://www.sec.gov/Archives/edgar/data/1568651/000135255226000010/0001352552-26-000010.txt
Bertolini Mark T,Chief Executive Officer,2026-06-25,2026-06-29,597942,28.6,17101141.2,D,S,9598934,True,True,True,0001352552-26-000010,https://www.sec.gov/Archives/edgar/data/1568651/000135255226000010/0001352552-26-000010.txt
