insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Jackson Richard A.,President and CEO,2026-06-23,2026-06-24,4770,52.38,249852.6,A,P,444098,False,True,True,0001628280-26-045313,https://www.sec.gov/Archives/edgar/data/797468/000162828026045313/0001628280-26-045313.txt
Jackson Richard A.,President and CEO,2026-06-01,2026-06-03,101833,0.0,0.0,A,A,439328,False,True,True,0001628280-26-040570,https://www.sec.gov/Archives/edgar/data/797468/000162828026040570/0001628280-26-040570.txt
Hollub Vicki A.,,2026-06-01,2026-06-03,3183,0.0,0.0,A,A,1112004,False,True,False,0001628280-26-040569,https://www.sec.gov/Archives/edgar/data/797468/000162828026040569/0001628280-26-040569.txt
Hollub Vicki A.,,2026-06-01,2026-06-03,701,58.92,41302.92,D,F,1111303,False,True,False,0001628280-26-040569,https://www.sec.gov/Archives/edgar/data/797468/000162828026040569/0001628280-26-040569.txt
Hollub Vicki A.,,2026-06-01,2026-06-03,73477,58.92,4329264.84,D,F,1037826,False,True,False,0001628280-26-040569,https://www.sec.gov/Archives/edgar/data/797468/000162828026040569/0001628280-26-040569.txt
Shearer Bob,,2026-05-04,2026-05-06,3734,0.0,0.0,A,A,66463,False,True,False,0001628280-26-031552,https://www.sec.gov/Archives/edgar/data/797468/000162828026031552/0001628280-26-031552.txt
Robinson Kenneth B.,,2026-05-04,2026-05-06,4149,0.0,0.0,A,A,16272,False,True,False,0001628280-26-031566,https://www.sec.gov/Archives/edgar/data/797468/000162828026031566/0001628280-26-031566.txt
Robinson Kenneth B.,,2026-05-04,2026-05-06,913,60.27,55026.51,D,F,15359,False,True,False,0001628280-26-031566,https://www.sec.gov/Archives/edgar/data/797468/000162828026031566/0001628280-26-031566.txt
POLADIAN AVEDICK BARUYR,,2026-05-04,2026-05-06,4149,0.0,0.0,A,A,79575,False,True,False,0001628280-26-031555,https://www.sec.gov/Archives/edgar/data/797468/000162828026031555/0001628280-26-031555.txt
ONeill Claire,,2026-05-04,2026-05-06,3734,0.0,0.0,A,A,16265,False,True,False,0001628280-26-031550,https://www.sec.gov/Archives/edgar/data/797468/000162828026031550/0001628280-26-031550.txt
MOORE JACK B,,2026-05-04,2026-05-06,6720,0.0,0.0,A,A,77910,False,True,False,0001628280-26-031570,https://www.sec.gov/Archives/edgar/data/797468/000162828026031570/0001628280-26-031570.txt
