insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
WITALEC DANIEL J,Chief Strategy Officer,2026-07-24,2026-07-28,2422,0.0,0.0,A,A,4872,False,False,True,0000080661-26-000296,https://www.sec.gov/Archives/edgar/data/80661/000008066126000296/0000080661-26-000296.txt
WITALEC DANIEL J,Chief Strategy Officer,2026-07-24,2026-07-28,706,211.9,149601.4,D,F,4166,False,False,True,0000080661-26-000296,https://www.sec.gov/Archives/edgar/data/80661/000008066126000296/0000080661-26-000296.txt
Stringer David M,"Vice Pres, Secretary and CLO",2026-07-24,2026-07-28,529,0.0,0.0,A,A,5268,False,False,True,0000080661-26-000294,https://www.sec.gov/Archives/edgar/data/80661/000008066126000294/0000080661-26-000294.txt
Stringer David M,"Vice Pres, Secretary and CLO",2026-07-24,2026-07-28,235,211.9,49796.5,D,F,5033,False,False,True,0000080661-26-000294,https://www.sec.gov/Archives/edgar/data/80661/000008066126000294/0000080661-26-000294.txt
Quigg Andrew J,VP and Chief Financial Officer,2026-07-24,2026-07-28,12524,0.0,0.0,A,A,51619,False,False,True,0000080661-26-000292,https://www.sec.gov/Archives/edgar/data/80661/000008066126000292/0000080661-26-000292.txt
Quigg Andrew J,VP and Chief Financial Officer,2026-07-24,2026-07-28,5526,211.9,1170959.4,D,F,46093,False,False,True,0000080661-26-000292,https://www.sec.gov/Archives/edgar/data/80661/000008066126000292/0000080661-26-000292.txt
Niederst Lori A,Chief Personal Lines Officer,2026-07-24,2026-07-28,13151,0.0,0.0,A,A,55717,False,False,True,0000080661-26-000290,https://www.sec.gov/Archives/edgar/data/80661/000008066126000290/0000080661-26-000290.txt
Niederst Lori A,Chief Personal Lines Officer,2026-07-24,2026-07-28,5812,211.9,1231562.8,D,F,49905,False,False,True,0000080661-26-000290,https://www.sec.gov/Archives/edgar/data/80661/000008066126000290/0000080661-26-000290.txt
Murphy John Jo,Claims President,2026-07-24,2026-07-28,14528,0.0,0.0,A,A,55818,False,False,True,0000080661-26-000288,https://www.sec.gov/Archives/edgar/data/80661/000008066126000288/0000080661-26-000288.txt
Murphy John Jo,Claims President,2026-07-24,2026-07-28,6404,211.9,1357007.6,D,F,49414,False,False,True,0000080661-26-000288,https://www.sec.gov/Archives/edgar/data/80661/000008066126000288/0000080661-26-000288.txt
Griffith Susan Patricia,President and CEO,2026-07-24,2026-07-28,133595,0.0,0.0,A,A,619032,False,True,True,0000080661-26-000286,https://www.sec.gov/Archives/edgar/data/80661/000008066126000286/0000080661-26-000286.txt
Griffith Susan Patricia,President and CEO,2026-07-24,2026-07-28,58919,211.9,12484936.1,D,F,560113,False,True,True,0000080661-26-000286,https://www.sec.gov/Archives/edgar/data/80661/000008066126000286/0000080661-26-000286.txt
DAY HEATHER E,CRM President,2026-07-24,2026-07-28,2087,0.0,0.0,A,A,19507,False,False,True,0000080661-26-000284,https://www.sec.gov/Archives/edgar/data/80661/000008066126000284/0000080661-26-000284.txt
DAY HEATHER E,CRM President,2026-07-24,2026-07-28,613,211.9,129894.7,D,F,18894,False,False,True,0000080661-26-000284,https://www.sec.gov/Archives/edgar/data/80661/000008066126000284/0000080661-26-000284.txt
Clawson William L. II,Chief Human Resources Officer,2026-07-24,2026-07-28,9603,0.0,0.0,A,A,25486,False,False,True,0000080661-26-000282,https://www.sec.gov/Archives/edgar/data/80661/000008066126000282/0000080661-26-000282.txt
Clawson William L. II,Chief Human Resources Officer,2026-07-24,2026-07-28,4136,211.9,876418.4,D,F,21350,False,False,True,0000080661-26-000282,https://www.sec.gov/Archives/edgar/data/80661/000008066126000282/0000080661-26-000282.txt
Callahan Patrick K,Personal Lines President,2026-07-24,2026-07-28,29851,0.0,0.0,A,A,49285,False,False,True,0000080661-26-000280,https://www.sec.gov/Archives/edgar/data/80661/000008066126000280/0000080661-26-000280.txt
Callahan Patrick K,Personal Lines President,2026-07-24,2026-07-28,12578,211.9,2665278.2,D,F,36707,False,False,True,0000080661-26-000280,https://www.sec.gov/Archives/edgar/data/80661/000008066126000280/0000080661-26-000280.txt
Broz Steven,Chief Information Officer,2026-07-24,2026-07-28,10959,0.0,0.0,A,A,37313,False,False,True,0000080661-26-000278,https://www.sec.gov/Archives/edgar/data/80661/000008066126000278/0000080661-26-000278.txt
Broz Steven,Chief Information Officer,2026-07-24,2026-07-28,4832,211.9,1023900.8,D,F,32481,False,False,True,0000080661-26-000278,https://www.sec.gov/Archives/edgar/data/80661/000008066126000278/0000080661-26-000278.txt
Bauer Jonathan S.,Chief Investment Officer,2026-07-24,2026-07-28,4175,0.0,0.0,A,A,30425,False,False,True,0000080661-26-000276,https://www.sec.gov/Archives/edgar/data/80661/000008066126000276/0000080661-26-000276.txt
Bauer Jonathan S.,Chief Investment Officer,2026-07-24,2026-07-28,1933,211.9,409602.7,D,F,28492,False,False,True,0000080661-26-000276,https://www.sec.gov/Archives/edgar/data/80661/000008066126000276/0000080661-26-000276.txt
Bailo Karen,Commercial Lines President,2026-07-24,2026-07-28,15030,0.0,0.0,A,A,47378,False,False,True,0000080661-26-000274,https://www.sec.gov/Archives/edgar/data/80661/000008066126000274/0000080661-26-000274.txt
Bailo Karen,Commercial Lines President,2026-07-24,2026-07-28,6578,211.9,1393878.2,D,F,40800,False,False,True,0000080661-26-000274,https://www.sec.gov/Archives/edgar/data/80661/000008066126000274/0000080661-26-000274.txt
Broz Steven,Chief Information Officer,2026-07-23,2026-07-27,1156,205.17,237176.52,D,S,26354,True,False,True,0000080661-26-000272,https://www.sec.gov/Archives/edgar/data/80661/000008066126000272/0000080661-26-000272.txt
Griffith Susan Patricia,President and CEO,2026-07-13,2026-07-15,6043,0.0,0.0,D,G,485437,True,True,True,0000080661-26-000264,https://www.sec.gov/Archives/edgar/data/80661/000008066126000264/0000080661-26-000264.txt
Quigg Andrew J,VP and Chief Financial Officer,2026-07-06,2026-07-07,531,0.0,0.0,D,G,39095,True,False,True,0000080661-26-000218,https://www.sec.gov/Archives/edgar/data/80661/000008066126000218/0000080661-26-000218.txt
Snyder Barbara R,,2026-07-01,2026-07-06,824,0.0,0.0,A,M,13300,False,True,False,0000080661-26-000216,https://www.sec.gov/Archives/edgar/data/80661/000008066126000216/0000080661-26-000216.txt
Snyder Barbara R,,2026-07-01,2026-07-06,106,219.88,23307.28,D,D,13193,False,True,False,0000080661-26-000216,https://www.sec.gov/Archives/edgar/data/80661/000008066126000216/0000080661-26-000216.txt
KELLY JEFFREY D,,2026-06-24,2026-06-25,7000,216.3316,1514321.2,D,S,22546,False,True,False,0000080661-26-000214,https://www.sec.gov/Archives/edgar/data/80661/000008066126000214/0000080661-26-000214.txt
Broz Steven,Chief Information Officer,2026-06-22,2026-06-23,1157,204.76,236907.32,D,S,27510,True,False,True,0000080661-26-000212,https://www.sec.gov/Archives/edgar/data/80661/000008066126000212/0000080661-26-000212.txt
Murphy John Jo,Claims President,2026-06-05,2026-06-08,5916,200.0,1183200.0,D,S,41289,True,False,True,0000080661-26-000208,https://www.sec.gov/Archives/edgar/data/80661/000008066126000208/0000080661-26-000208.txt
Broz Steven,Chief Information Officer,2026-06-05,2026-06-08,1157,200.0,231400.0,D,S,28667,True,False,True,0000080661-26-000206,https://www.sec.gov/Archives/edgar/data/80661/000008066126000206/0000080661-26-000206.txt
Van Dyke Kahina,,2026-05-08,2026-05-12,1856,0.0,0.0,A,A,14285,False,True,False,0000080661-26-000197,https://www.sec.gov/Archives/edgar/data/80661/000008066126000197/0000080661-26-000197.txt
Snyder Barbara R,,2026-05-08,2026-05-12,1779,0.0,0.0,A,A,12475,False,True,False,0000080661-26-000195,https://www.sec.gov/Archives/edgar/data/80661/000008066126000195/0000080661-26-000195.txt
KELLY JEFFREY D,,2026-05-08,2026-05-12,1098,0.0,0.0,A,A,29546,False,True,False,0000080661-26-000199,https://www.sec.gov/Archives/edgar/data/80661/000008066126000199/0000080661-26-000199.txt
Johnson Devin C,,2026-05-08,2026-05-12,1908,0.0,0.0,A,A,10529,False,True,False,0000080661-26-000193,https://www.sec.gov/Archives/edgar/data/80661/000008066126000193/0000080661-26-000193.txt
FITT LAWTON W,,2026-05-08,2026-05-12,3093,0.0,0.0,A,A,12482,False,True,False,0000080661-26-000191,https://www.sec.gov/Archives/edgar/data/80661/000008066126000191/0000080661-26-000191.txt
FARAH ROGER N,,2026-05-08,2026-05-12,2011,0.0,0.0,A,A,2011,False,True,False,0000080661-26-000189,https://www.sec.gov/Archives/edgar/data/80661/000008066126000189/0000080661-26-000189.txt
DAVIS CHARLES A,,2026-05-08,2026-05-12,1959,0.0,0.0,A,A,250933,False,True,False,0000080661-26-000187,https://www.sec.gov/Archives/edgar/data/80661/000008066126000187/0000080661-26-000187.txt
Craig Pamela J.,,2026-05-08,2026-05-12,1207,0.0,0.0,A,A,8956,False,True,False,0000080661-26-000185,https://www.sec.gov/Archives/edgar/data/80661/000008066126000185/0000080661-26-000185.txt
Burgdoerfer Stuart B,,2026-05-08,2026-05-12,1238,0.0,0.0,A,A,13455,False,True,False,0000080661-26-000183,https://www.sec.gov/Archives/edgar/data/80661/000008066126000183/0000080661-26-000183.txt
Bleser Philip,,2026-05-08,2026-05-12,1145,0.0,0.0,A,A,1145,False,True,False,0000080661-26-000181,https://www.sec.gov/Archives/edgar/data/80661/000008066126000181/0000080661-26-000181.txt
Johnson Devin C,,2026-04-16,2026-04-17,980,203.1,199038.0,D,S,8621,False,True,False,0000080661-26-000175,https://www.sec.gov/Archives/edgar/data/80661/000008066126000175/0000080661-26-000175.txt
FITT LAWTON W,,2026-04-10,2026-04-14,1986,0.0,0.0,D,D,9389,False,True,False,0000080661-26-000167,https://www.sec.gov/Archives/edgar/data/80661/000008066126000167/0000080661-26-000167.txt
FARAH ROGER N,,2026-04-10,2026-04-14,1301,0.0,0.0,D,D,0,False,True,False,0000080661-26-000165,https://www.sec.gov/Archives/edgar/data/80661/000008066126000165/0000080661-26-000165.txt
DAVIS CHARLES A,,2026-04-10,2026-04-14,1248,0.0,0.0,D,D,248974,False,True,False,0000080661-26-000163,https://www.sec.gov/Archives/edgar/data/80661/000008066126000163/0000080661-26-000163.txt
Craig Pamela J.,,2026-04-10,2026-04-14,781,0.0,0.0,D,D,7749,False,True,False,0000080661-26-000161,https://www.sec.gov/Archives/edgar/data/80661/000008066126000161/0000080661-26-000161.txt
Bleser Philip,,2026-04-10,2026-04-14,739,0.0,0.0,D,D,0,False,True,False,0000080661-26-000159,https://www.sec.gov/Archives/edgar/data/80661/000008066126000159/0000080661-26-000159.txt
Joyce Carl G,Chief Accounting Officer,2026-03-20,2026-03-23,270,206.495,55753.65,D,S,558,False,False,True,0000080661-26-000102,https://www.sec.gov/Archives/edgar/data/80661/000008066126000102/0000080661-26-000102.txt
Joyce Carl G,Chief Accounting Officer,2026-03-05,2026-03-09,141,212.0,29892.0,D,S,828,True,False,True,0000080661-26-000093,https://www.sec.gov/Archives/edgar/data/80661/000008066126000093/0000080661-26-000093.txt
Bailo Karen,Commercial Lines President,2026-03-05,2026-03-09,3517,212.0,745604.0,D,S,32347,True,False,True,0000080661-26-000091,https://www.sec.gov/Archives/edgar/data/80661/000008066126000091/0000080661-26-000091.txt
Pumarejo Maribel,Chief Marketing Oficer,2026-02-24,2026-02-25,738,203.25,149998.5,D,S,0,False,False,True,0000080661-26-000083,https://www.sec.gov/Archives/edgar/data/80661/000008066126000083/0000080661-26-000083.txt
Bauer Jonathan S.,Chief Investment Officer,2026-02-23,2026-02-24,2266,203.05,460111.3,D,S,26249,True,False,True,0000080661-26-000077,https://www.sec.gov/Archives/edgar/data/80661/000008066126000077/0000080661-26-000077.txt
Sauerland John P,VP and Chief Financial Officer,2026-02-20,2026-02-24,3546,0.0,0.0,A,A,231008,False,False,True,0000080661-26-000081,https://www.sec.gov/Archives/edgar/data/80661/000008066126000081/0000080661-26-000081.txt
Sauerland John P,VP and Chief Financial Officer,2026-02-20,2026-02-24,1568,202.27,317159.36,D,F,229440,False,False,True,0000080661-26-000081,https://www.sec.gov/Archives/edgar/data/80661/000008066126000081/0000080661-26-000081.txt
Griffith Susan Patricia,President and CEO,2026-02-20,2026-02-24,11254,0.0,0.0,A,A,496444,False,True,True,0000080661-26-000079,https://www.sec.gov/Archives/edgar/data/80661/000008066126000079/0000080661-26-000079.txt
Griffith Susan Patricia,President and CEO,2026-02-20,2026-02-24,4964,202.7,1006202.8,D,F,491480,False,True,True,0000080661-26-000079,https://www.sec.gov/Archives/edgar/data/80661/000008066126000079/0000080661-26-000079.txt
Bauer Jonathan S.,Chief Investment Officer,2026-02-20,2026-02-24,4220,0.0,0.0,A,A,30469,True,False,True,0000080661-26-000077,https://www.sec.gov/Archives/edgar/data/80661/000008066126000077/0000080661-26-000077.txt
Bauer Jonathan S.,Chief Investment Officer,2026-02-20,2026-02-24,1954,202.27,395235.58,D,F,28515,True,False,True,0000080661-26-000077,https://www.sec.gov/Archives/edgar/data/80661/000008066126000077/0000080661-26-000077.txt
Quigg Andrew J,Chief Strategy Officer,2026-01-21,2026-01-22,1649,204.35,336973.15,D,S,39626,True,False,True,0000080661-26-000068,https://www.sec.gov/Archives/edgar/data/80661/000008066126000068/0000080661-26-000068.txt
Bauer Jonathan S.,Chief Investment Officer,2026-01-21,2026-01-22,3105,204.35,634506.75,D,S,26248,True,False,True,0000080661-26-000066,https://www.sec.gov/Archives/edgar/data/80661/000008066126000066/0000080661-26-000066.txt
Stringer David M,"Vice Pres, Secretary and CLO",2026-01-20,2026-01-22,1435,0.0,0.0,A,M,5208,False,False,True,0000080661-26-000064,https://www.sec.gov/Archives/edgar/data/80661/000008066126000064/0000080661-26-000064.txt
Stringer David M,"Vice Pres, Secretary and CLO",2026-01-20,2026-01-22,469,201.32,94419.08,D,F,4739,False,False,True,0000080661-26-000064,https://www.sec.gov/Archives/edgar/data/80661/000008066126000064/0000080661-26-000064.txt
Sauerland John P,VP and Chief Financial Officer,2026-01-20,2026-01-22,6776,0.0,0.0,A,M,229800,False,False,True,0000080661-26-000062,https://www.sec.gov/Archives/edgar/data/80661/000008066126000062/0000080661-26-000062.txt
Sauerland John P,VP and Chief Financial Officer,2026-01-20,2026-01-22,2339,201.32,470887.48,D,F,227461,False,False,True,0000080661-26-000062,https://www.sec.gov/Archives/edgar/data/80661/000008066126000062/0000080661-26-000062.txt
Quigg Andrew J,Chief Strategy Officer,2026-01-20,2026-01-22,4756,0.0,0.0,A,M,42734,False,False,True,0000080661-26-000060,https://www.sec.gov/Archives/edgar/data/80661/000008066126000060/0000080661-26-000060.txt
Quigg Andrew J,Chief Strategy Officer,2026-01-20,2026-01-22,1459,201.32,293725.88,D,F,41275,False,False,True,0000080661-26-000060,https://www.sec.gov/Archives/edgar/data/80661/000008066126000060/0000080661-26-000060.txt
Pumarejo Maribel,Chief Marketing Oficer,2026-01-20,2026-01-22,1111,0.0,0.0,A,M,1111,False,False,True,0000080661-26-000058,https://www.sec.gov/Archives/edgar/data/80661/000008066126000058/0000080661-26-000058.txt
Pumarejo Maribel,Chief Marketing Oficer,2026-01-20,2026-01-22,373,201.32,75092.36,D,F,738,False,False,True,0000080661-26-000058,https://www.sec.gov/Archives/edgar/data/80661/000008066126000058/0000080661-26-000058.txt
