insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
HENRY KEVIN A,EVP and Chief People Officer,2026-06-22,2026-06-23,2093,126.015,263749.4,D,F,12580,False,False,True,0001222739-26-000008,https://www.sec.gov/Archives/edgar/data/822416/000122273926000008/0001222739-26-000008.txt
Koart Matthew William,Exec. VP & COO,2026-05-27,2026-05-27,7457,120.0,894840.0,D,S,28100,False,False,True,0001978932-26-000006,https://www.sec.gov/Archives/edgar/data/822416/000197893226000006/0001978932-26-000006.txt
Koart Matthew William,Exec. VP & COO,2026-05-18,2026-05-19,6861,111.77,766853.97,D,F,35557,False,False,True,0001978932-26-000004,https://www.sec.gov/Archives/edgar/data/822416/000197893226000004/0001978932-26-000004.txt
Snyder Lila,,2026-05-08,2026-05-08,3339,117.18,391264.02,D,S,3540,False,True,False,0001660756-26-000004,https://www.sec.gov/Archives/edgar/data/822416/000166075626000004/0001660756-26-000004.txt
Snyder Lila,,2026-04-29,2026-05-01,1507,0.0,0.0,A,A,6879,False,True,False,0001660756-26-000002,https://www.sec.gov/Archives/edgar/data/822416/000166075626000002/0001660756-26-000002.txt
Schall Benjamin,,2026-04-29,2026-05-01,1507,0.0,0.0,A,A,1507,False,True,False,0001544531-26-000005,https://www.sec.gov/Archives/edgar/data/822416/000154453126000005/0001544531-26-000005.txt
Hawaux Andre J,,2026-04-29,2026-05-01,1507,0.0,0.0,A,A,75326,False,True,False,0001327043-26-000002,https://www.sec.gov/Archives/edgar/data/822416/000132704326000002/0001327043-26-000002.txt
GRISE CHERYL W,,2026-04-29,2026-05-01,1507,0.0,0.0,A,A,12410,False,True,False,0001192342-26-000002,https://www.sec.gov/Archives/edgar/data/822416/000119234226000002/0001192342-26-000002.txt
GANNON KRISTIN F.,,2026-04-29,2026-05-01,1507,0.0,0.0,A,A,1799,False,True,False,0001613621-26-000008,https://www.sec.gov/Archives/edgar/data/822416/000161362126000008/0001613621-26-000008.txt
BLAIR BRYCE,,2026-04-29,2026-05-01,1507,0.0,0.0,A,A,134371,False,True,False,0001219691-26-000002,https://www.sec.gov/Archives/edgar/data/822416/000121969126000002/0001219691-26-000002.txt
Actis-Grande Kristen,,2026-04-29,2026-05-01,1507,0.0,0.0,A,A,4867,False,True,False,0001821740-26-000004,https://www.sec.gov/Archives/edgar/data/822416/000182174026000004/0001821740-26-000004.txt
HENRY KEVIN A,EVP and Chief People Officer,2026-02-24,2026-02-24,5173,141.035,729574.05,D,S,14673,False,False,True,0001222739-26-000005,https://www.sec.gov/Archives/edgar/data/822416/000122273926000005/0001222739-26-000005.txt
GANNON KRISTIN F.,,2026-02-10,2026-02-12,292,0.0,0.0,A,A,292,False,True,False,0001613621-26-000006,https://www.sec.gov/Archives/edgar/data/822416/000161362126000006/0001613621-26-000006.txt
Sheldon Todd N,"EVP, Gen Counsel, Corp Sec'y",2026-02-06,2026-02-06,14220,135.006,1919785.32,D,S,69753,False,False,True,0001573233-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000157323326000003/0001573233-26-000003.txt
O'Meara Brien P.,Vice President & Controller,2026-02-06,2026-02-06,4000,135.51,542040.0,D,S,8601,False,False,True,0001803124-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000180312426000003/0001803124-26-000003.txt
Koart Matthew William,Exec. VP & COO,2026-02-06,2026-02-06,15309,135.793,2078855.04,D,S,42418,False,False,True,0000822416-26-000009,https://www.sec.gov/Archives/edgar/data/822416/000082241626000009/0000822416-26-000009.txt
MARSHALL RYAN,"Chief Exec Officer, President",2026-02-05,2026-02-06,111250,133.861,14892036.25,D,S,659392,False,True,True,0001550667-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000155066726000003/0001550667-26-000003.txt
MARSHALL RYAN,"Chief Exec Officer, President",2026-02-05,2026-02-06,3750,0.0,0.0,D,G,655642,False,True,True,0001550667-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000155066726000003/0001550667-26-000003.txt
FOLLIARD THOMAS J,,2026-02-05,2026-02-06,37000,134.038,4959406.0,D,S,8230,False,True,False,0001223841-26-000002,https://www.sec.gov/Archives/edgar/data/822416/000122384126000002/0001223841-26-000002.txt
Sheldon Todd N,"EVP, Gen Counsel, Corp Sec'y",2026-02-04,2026-02-06,15535,0.0,0.0,A,A,86405,False,False,True,0001573233-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000157323326000003/0001573233-26-000003.txt
Sheldon Todd N,"EVP, Gen Counsel, Corp Sec'y",2026-02-04,2026-02-06,6920,130.865,905585.8,D,F,79485,False,False,True,0001573233-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000157323326000003/0001573233-26-000003.txt
Sheldon Todd N,"EVP, Gen Counsel, Corp Sec'y",2026-02-04,2026-02-06,4488,0.0,0.0,A,A,83973,False,False,True,0001573233-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000157323326000003/0001573233-26-000003.txt
OShaughnessy Robert,Exec. VP,2026-02-04,2026-02-06,32795,0.0,0.0,A,A,89849,False,False,True,0001355763-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000135576326000003/0001355763-26-000003.txt
OShaughnessy Robert,Exec. VP,2026-02-04,2026-02-06,14644,130.865,1916387.06,D,F,75205,False,False,True,0001355763-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000135576326000003/0001355763-26-000003.txt
OShaughnessy Robert,Exec. VP,2026-02-04,2026-02-06,4114,0.0,0.0,A,A,79319,False,False,True,0001355763-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000135576326000003/0001355763-26-000003.txt
OSSOWSKI JAMES L,Exec VP and CFO,2026-02-04,2026-02-06,8112,0.0,0.0,A,A,20055,False,False,True,0001568260-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000156826026000003/0001568260-26-000003.txt
OSSOWSKI JAMES L,Exec VP and CFO,2026-02-04,2026-02-06,3657,130.865,478573.31,D,F,16398,False,False,True,0001568260-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000156826026000003/0001568260-26-000003.txt
OSSOWSKI JAMES L,Exec VP and CFO,2026-02-04,2026-02-06,6283,0.0,0.0,A,A,22681,False,False,True,0001568260-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000156826026000003/0001568260-26-000003.txt
O'Meara Brien P.,Vice President & Controller,2026-02-04,2026-02-06,4489,0.0,0.0,A,A,13557,False,False,True,0001803124-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000180312426000003/0001803124-26-000003.txt
O'Meara Brien P.,Vice President & Controller,2026-02-04,2026-02-06,1966,130.865,257280.59,D,F,11591,False,False,True,0001803124-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000180312426000003/0001803124-26-000003.txt
O'Meara Brien P.,Vice President & Controller,2026-02-04,2026-02-06,1010,0.0,0.0,A,A,12601,False,False,True,0001803124-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000180312426000003/0001803124-26-000003.txt
MARSHALL RYAN,"Chief Exec Officer, President",2026-02-04,2026-02-06,120818,0.0,0.0,A,A,795285,False,True,True,0001550667-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000155066726000003/0001550667-26-000003.txt
MARSHALL RYAN,"Chief Exec Officer, President",2026-02-04,2026-02-06,53813,130.865,7042238.25,D,F,741472,False,True,True,0001550667-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000155066726000003/0001550667-26-000003.txt
MARSHALL RYAN,"Chief Exec Officer, President",2026-02-04,2026-02-06,29170,0.0,0.0,A,A,770642,False,True,True,0001550667-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000155066726000003/0001550667-26-000003.txt
Koart Matthew William,Exec. VP & COO,2026-02-04,2026-02-06,28350,0.0,0.0,A,A,62371,False,False,True,0000822416-26-000009,https://www.sec.gov/Archives/edgar/data/822416/000082241626000009/0000822416-26-000009.txt
Koart Matthew William,Exec. VP & COO,2026-02-04,2026-02-06,13246,130.865,1733437.79,D,F,49125,False,False,True,0000822416-26-000009,https://www.sec.gov/Archives/edgar/data/822416/000082241626000009/0000822416-26-000009.txt
Koart Matthew William,Exec. VP & COO,2026-02-04,2026-02-06,8602,0.0,0.0,A,A,57727,False,False,True,0000822416-26-000009,https://www.sec.gov/Archives/edgar/data/822416/000082241626000009/0000822416-26-000009.txt
HENRY KEVIN A,EVP and Chief People Officer,2026-02-04,2026-02-06,9304,0.0,0.0,A,A,21041,False,False,True,0001222739-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000122273926000003/0001222739-26-000003.txt
HENRY KEVIN A,EVP and Chief People Officer,2026-02-04,2026-02-06,4187,130.865,547931.76,D,F,16854,False,False,True,0001222739-26-000003,https://www.sec.gov/Archives/edgar/data/822416/000122273926000003/0001222739-26-000003.txt
