insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Moghadam Hamid,,2026-07-16,2026-07-20,50000,149.91,7495500.0,D,S,969089,False,False,False,0001193125-26-309058,https://www.sec.gov/Archives/edgar/data/1045609/000119312526309058/0001193125-26-309058.txt
Arndt Timothy D,Chief Financial Officer,2026-06-15,2026-06-17,3597,150.0,539550.0,D,S,0,False,False,False,0001193125-26-274470,https://www.sec.gov/Archives/edgar/data/1045609/000119312526274470/0001193125-26-274470.txt
Piani Olivier,,2026-04-28,2026-04-30,1984,0.0,0.0,A,A,12324,False,False,False,0001193125-26-198297,https://www.sec.gov/Archives/edgar/data/1045609/000119312526198297/0001193125-26-198297.txt
Piani Olivier,,2026-04-28,2026-04-30,595,141.53,84210.35,D,F,11729,False,False,False,0001193125-26-198297,https://www.sec.gov/Archives/edgar/data/1045609/000119312526198297/0001193125-26-198297.txt
Modjtabai Avid,,2026-04-28,2026-04-30,1984,0.0,0.0,A,M,22645,False,False,False,0001193125-26-198300,https://www.sec.gov/Archives/edgar/data/1045609/000119312526198300/0001193125-26-198300.txt
LYONS IRVING F III,,2026-04-28,2026-04-30,43825,141.53,6202552.25,A,C,43825,False,False,False,0001193125-26-198303,https://www.sec.gov/Archives/edgar/data/1045609/000119312526198303/0001193125-26-198303.txt
KENNARD LYDIA H,,2026-04-28,2026-04-30,1984,0.0,0.0,A,M,34413,False,False,False,0001193125-26-198295,https://www.sec.gov/Archives/edgar/data/1045609/000119312526198295/0001193125-26-198295.txt
Connor James B.,,2026-04-28,2026-04-30,1984,0.0,0.0,A,M,1984,False,False,False,0001193125-26-198298,https://www.sec.gov/Archives/edgar/data/1045609/000119312526198298/0001193125-26-198298.txt
Moghadam Hamid,,2026-03-26,2026-04-02,1019089,0.0,0.0,D,G,0,False,False,False,0001193125-26-140727,https://www.sec.gov/Archives/edgar/data/1045609/000119312526140727/0001193125-26-140727.txt
Moghadam Hamid,,2026-03-26,2026-04-02,1019089,0.0,0.0,A,G,1019089,False,False,False,0001193125-26-140727,https://www.sec.gov/Archives/edgar/data/1045609/000119312526140727/0001193125-26-140727.txt
Slusser Sarah A,,2026-01-28,2026-03-18,10,127.57,1275.7,D,S,11,False,False,False,0001193125-26-114480,https://www.sec.gov/Archives/edgar/data/1045609/000119312526114480/0001193125-26-114480.txt
FOTIADES GEORGE L,,2025-12-09,2025-12-09,1824,0.0,0.0,D,G,0,False,False,False,0001193125-25-313070,https://www.sec.gov/Archives/edgar/data/1045609/000119312525313070/0001193125-25-313070.txt
BITA CRISTINA GABRIELA,,2025-12-01,2025-12-02,621,127.6,79239.6,D,S,8208,False,False,False,0001193125-25-305482,https://www.sec.gov/Archives/edgar/data/1045609/000119312525305482/0001193125-25-305482.txt
BITA CRISTINA GABRIELA,,2025-11-03,2025-11-03,500,123.14,61570.0,D,S,8829,False,False,False,0001193125-25-262787,https://www.sec.gov/Archives/edgar/data/1045609/000119312525262787/0001193125-25-262787.txt
Connor James B.,,2025-10-24,2026-01-05,80000,126.5818,10126544.0,D,S,0,False,False,False,0001193125-26-002789,https://www.sec.gov/Archives/edgar/data/1045609/000119312526002789/0001193125-26-002789.txt
Connor James B.,,2025-10-23,2025-10-24,80000,0.0,0.0,A,J,80000,False,False,False,0001193125-25-249871,https://www.sec.gov/Archives/edgar/data/1045609/000119312525249871/0001193125-25-249871.txt
Slusser Sarah A,,2025-10-09,2026-03-18,42,114.69,4816.98,D,S,21,False,False,False,0001193125-26-114480,https://www.sec.gov/Archives/edgar/data/1045609/000119312526114480/0001193125-26-114480.txt
Slusser Sarah A,,2025-10-08,2026-03-18,18,115.87,2085.66,D,S,63,False,False,False,0001193125-26-114480,https://www.sec.gov/Archives/edgar/data/1045609/000119312526114480/0001193125-26-114480.txt
BITA CRISTINA GABRIELA,,2025-10-01,2025-10-02,500,115.69,57845.0,D,S,9329,False,False,False,0001193125-25-228598,https://www.sec.gov/Archives/edgar/data/1045609/000119312525228598/0001193125-25-228598.txt
BITA CRISTINA GABRIELA,,2025-09-03,2025-09-04,1000,111.0,111000.0,D,S,9829,False,False,False,0001734804-25-000004,https://www.sec.gov/Archives/edgar/data/1045609/000173480425000004/0001734804-25-000004.txt
Palazzolo Lori A,Chief Accounting Officer/MD,2025-08-26,2025-08-27,25000,111.3286,2783215.0,D,S,414,False,False,False,0001509314-25-000004,https://www.sec.gov/Archives/edgar/data/1045609/000150931425000004/0001509314-25-000004.txt
Palazzolo Lori A,Chief Accounting Officer/MD,2025-08-19,2025-08-21,25000,0.0,0.0,A,A,25414,False,False,False,0000950170-25-110732,https://www.sec.gov/Archives/edgar/data/1045609/000095017025110732/0000950170-25-110732.txt
Slusser Sarah A,,2025-07-14,2026-03-18,22,108.63,2389.86,D,S,81,False,False,False,0001193125-26-114480,https://www.sec.gov/Archives/edgar/data/1045609/000119312526114480/0001193125-26-114480.txt
Slusser Sarah A,,2025-07-10,2026-03-18,19,108.58,2063.02,D,S,103,False,False,False,0001193125-26-114480,https://www.sec.gov/Archives/edgar/data/1045609/000119312526114480/0001193125-26-114480.txt
Slusser Sarah A,,2025-05-14,2026-03-18,13,107.34,1395.42,A,P,122,False,False,False,0001193125-26-114480,https://www.sec.gov/Archives/edgar/data/1045609/000119312526114480/0001193125-26-114480.txt
