insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
WILLIAMS PAUL S,,2026-06-30,2026-07-02,46,318.31,14642.26,A,A,1478,False,True,False,0001236458-26-000010,https://www.sec.gov/Archives/edgar/data/1393311/000123645826000010/0001236458-26-000010.txt
SPOGLI RONALD P,,2026-06-30,2026-07-02,5,318.31,1591.55,A,A,12833,False,True,False,0000916867-26-000010,https://www.sec.gov/Archives/edgar/data/1393311/000091686726000010/0000916867-26-000010.txt
Mitra Shankh,,2026-06-30,2026-07-02,305,318.31,97084.55,A,A,9329,False,True,False,0001698445-26-000011,https://www.sec.gov/Archives/edgar/data/1393311/000169844526000011/0001698445-26-000011.txt
HAVNER RONALD L JR,,2026-06-30,2026-07-02,3,318.31,954.93,A,A,6730,False,True,False,0001227384-26-000015,https://www.sec.gov/Archives/edgar/data/1393311/000122738426000015/0001227384-26-000015.txt
Vitan Nathaniel A.,Chief Legal Officer,2026-06-12,2026-06-16,950,324.8101,308569.59,D,S,1414,False,False,True,0001774586-26-000004,https://www.sec.gov/Archives/edgar/data/1393311/000177458626000004/0001774586-26-000004.txt
HAVNER RONALD L JR,,2026-04-14,2026-04-15,734,0.0,0.0,D,G,6726,False,True,False,0001227384-26-000011,https://www.sec.gov/Archives/edgar/data/1393311/000122738426000011/0001227384-26-000011.txt
POLADIAN AVEDICK BARUYR,,2026-04-10,2026-04-13,2000,0.0,0.0,D,G,28163,False,True,False,0001305254-26-000002,https://www.sec.gov/Archives/edgar/data/1393311/000130525426000002/0001305254-26-000002.txt
POLADIAN AVEDICK BARUYR,,2026-04-10,2026-04-13,2000,0.0,0.0,A,G,2000,False,True,False,0001305254-26-000002,https://www.sec.gov/Archives/edgar/data/1393311/000130525426000002/0001305254-26-000002.txt
POLADIAN AVEDICK BARUYR,,2026-04-10,2026-04-13,2000,0.0,0.0,D,G,26163,False,True,False,0001305254-26-000002,https://www.sec.gov/Archives/edgar/data/1393311/000130525426000002/0001305254-26-000002.txt
POLADIAN AVEDICK BARUYR,,2026-04-10,2026-04-13,2000,0.0,0.0,A,G,2000,False,True,False,0001305254-26-000002,https://www.sec.gov/Archives/edgar/data/1393311/000130525426000002/0001305254-26-000002.txt
POLADIAN AVEDICK BARUYR,,2026-04-10,2026-04-13,2000,0.0,0.0,D,G,24163,False,True,False,0001305254-26-000002,https://www.sec.gov/Archives/edgar/data/1393311/000130525426000002/0001305254-26-000002.txt
POLADIAN AVEDICK BARUYR,,2026-04-10,2026-04-13,2000,0.0,0.0,A,G,2000,False,True,False,0001305254-26-000002,https://www.sec.gov/Archives/edgar/data/1393311/000130525426000002/0001305254-26-000002.txt
HAVNER RONALD L JR,,2026-04-01,2026-04-03,266,276.24,73479.84,D,F,7460,False,True,False,0001227384-26-000009,https://www.sec.gov/Archives/edgar/data/1393311/000122738426000009/0001227384-26-000009.txt
WILLIAMS PAUL S,,2026-03-31,2026-04-02,54,270.88,14627.52,A,A,1432,False,True,False,0001236458-26-000006,https://www.sec.gov/Archives/edgar/data/1393311/000123645826000006/0001236458-26-000006.txt
SPOGLI RONALD P,,2026-03-31,2026-04-02,6,270.88,1625.28,A,A,12827,False,True,False,0000916867-26-000004,https://www.sec.gov/Archives/edgar/data/1393311/000091686726000004/0000916867-26-000004.txt
REYES JOHN,,2026-03-31,2026-04-02,123,270.88,33318.24,A,A,3314,False,True,False,0001227389-26-000010,https://www.sec.gov/Archives/edgar/data/1393311/000122738926000010/0001227389-26-000010.txt
Mitra Shankh,,2026-03-31,2026-04-02,128,270.88,34672.64,A,A,9024,False,True,False,0001698445-26-000007,https://www.sec.gov/Archives/edgar/data/1393311/000169844526000007/0001698445-26-000007.txt
HAVNER RONALD L JR,,2026-03-31,2026-04-02,4,270.88,1083.52,A,A,7726,False,True,False,0001227384-26-000006,https://www.sec.gov/Archives/edgar/data/1393311/000122738426000006/0001227384-26-000006.txt
WILLIAMS PAUL S,,2025-12-31,2026-01-02,77,259.5,19981.5,A,A,1378,False,True,False,0001236458-26-000002,https://www.sec.gov/Archives/edgar/data/1393311/000123645826000002/0001236458-26-000002.txt
REYES JOHN,,2025-12-31,2026-01-02,128,259.5,33216.0,A,A,3191,False,True,False,0001227389-26-000002,https://www.sec.gov/Archives/edgar/data/1393311/000122738926000002/0001227389-26-000002.txt
Mitra Shankh,,2025-12-31,2026-01-02,128,259.5,33216.0,A,A,8896,False,True,False,0001698445-26-000002,https://www.sec.gov/Archives/edgar/data/1393311/000169844526000002/0001698445-26-000002.txt
SPOGLI RONALD P,,2025-12-30,2026-01-02,6,261.13,1566.78,A,A,12821,False,True,False,0000916867-26-000002,https://www.sec.gov/Archives/edgar/data/1393311/000091686726000002/0000916867-26-000002.txt
HAVNER RONALD L JR,,2025-12-30,2026-01-02,4,261.13,1044.52,A,A,7721,False,True,False,0001227384-26-000002,https://www.sec.gov/Archives/edgar/data/1393311/000122738426000002/0001227384-26-000002.txt
WILLIAMS PAUL S,,2025-09-30,2025-10-02,70,288.85,20219.5,A,A,1301,False,True,False,0001236458-25-000003,https://www.sec.gov/Archives/edgar/data/1393311/000123645825000003/0001236458-25-000003.txt
SPOGLI RONALD P,,2025-09-30,2025-10-02,5,288.85,1444.25,A,A,12814,False,True,False,0000916867-25-000003,https://www.sec.gov/Archives/edgar/data/1393311/000091686725000003/0000916867-25-000003.txt
REYES JOHN,,2025-09-30,2025-10-02,115,288.85,33217.75,A,A,3063,False,True,False,0001227389-25-000003,https://www.sec.gov/Archives/edgar/data/1393311/000122738925000003/0001227389-25-000003.txt
Mitra Shankh,,2025-09-30,2025-10-02,115,288.85,33217.75,A,A,8768,False,True,False,0001698445-25-000003,https://www.sec.gov/Archives/edgar/data/1393311/000169844525000003/0001698445-25-000003.txt
HAVNER RONALD L JR,,2025-09-30,2025-10-02,4,288.85,1155.4,A,A,7717,False,True,False,0001227384-25-000004,https://www.sec.gov/Archives/edgar/data/1393311/000122738425000004/0001227384-25-000004.txt
