insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
THORNTON JOHN L,,2026-07-21,2026-07-23,25000,0.0,0.0,A,M,25000,False,True,False,0001225208-26-006727,https://www.sec.gov/Archives/edgar/data/2041610/000122520826006727/0001225208-26-006727.txt
Marinelli Paul T,,2026-07-21,2026-07-23,25000,0.0,0.0,A,M,25000,False,True,False,0001225208-26-006726,https://www.sec.gov/Archives/edgar/data/2041610/000122520826006726/0001225208-26-006726.txt
Lansing Sherry,,2026-07-21,2026-07-23,25000,0.0,0.0,A,M,25000,False,True,False,0001225208-26-006725,https://www.sec.gov/Archives/edgar/data/2041610/000122520826006725/0001225208-26-006725.txt
Hamill Justin,,2026-07-21,2026-07-23,25000,0.0,0.0,A,M,25000,False,True,False,0001225208-26-006724,https://www.sec.gov/Archives/edgar/data/2041610/000122520826006724/0001225208-26-006724.txt
Cardinale Gerald J.,,2026-07-21,2026-07-23,25000,0.0,0.0,A,M,25000,False,True,False,0001225208-26-006728,https://www.sec.gov/Archives/edgar/data/2041610/000122520826006728/0001225208-26-006728.txt
Campion Andrew,,2026-07-21,2026-07-23,17433,0.0,0.0,A,M,17433,False,True,False,0001225208-26-006722,https://www.sec.gov/Archives/edgar/data/2041610/000122520826006722/0001225208-26-006722.txt
CATZ SAFRA,,2026-07-21,2026-07-23,25000,0.0,0.0,A,M,25000,False,True,False,0001225208-26-006723,https://www.sec.gov/Archives/edgar/data/2041610/000122520826006723/0001225208-26-006723.txt
Byrne Barbara M,,2026-07-21,2026-07-23,25000,0.0,0.0,A,M,86389,False,True,False,0001225208-26-006721,https://www.sec.gov/Archives/edgar/data/2041610/000122520826006721/0001225208-26-006721.txt
Cinelli Dennis,Chief Financial Officer,2026-07-15,2026-07-17,187500,0.0,0.0,A,M,292633,False,False,True,0001225208-26-006651,https://www.sec.gov/Archives/edgar/data/2041610/000122520826006651/0001225208-26-006651.txt
Cinelli Dennis,Chief Financial Officer,2026-07-15,2026-07-17,95401,9.25,882459.25,D,F,197232,False,False,True,0001225208-26-006651,https://www.sec.gov/Archives/edgar/data/2041610/000122520826006651/0001225208-26-006651.txt
Delrahim Makan,Chief Legal Officer,2026-07-06,2026-07-07,150000,0.0,0.0,A,M,387093,False,False,True,0001225208-26-006533,https://www.sec.gov/Archives/edgar/data/2041610/000122520826006533/0001225208-26-006533.txt
Byrne Barbara M,,2026-07-02,2026-07-07,16340,0.0,0.0,A,M,61041,False,True,False,0001225208-26-006532,https://www.sec.gov/Archives/edgar/data/2041610/000122520826006532/0001225208-26-006532.txt
Byrne Barbara M,,2026-07-02,2026-07-07,315,0.0,0.0,A,A,61356,False,True,False,0001225208-26-006532,https://www.sec.gov/Archives/edgar/data/2041610/000122520826006532/0001225208-26-006532.txt
Byrne Barbara M,,2026-06-04,2026-06-08,309,0.0,0.0,A,A,44701,False,True,False,0001225208-26-005882,https://www.sec.gov/Archives/edgar/data/2041610/000122520826005882/0001225208-26-005882.txt
Gill Charest Katherine,"EVP, Controller & CAO",2026-06-02,2026-06-04,7969,0.0,0.0,A,M,76919,False,False,True,0001225208-26-005797,https://www.sec.gov/Archives/edgar/data/2041610/000122520826005797/0001225208-26-005797.txt
Gill Charest Katherine,"EVP, Controller & CAO",2026-06-02,2026-06-04,4069,10.78,43863.82,D,F,72850,False,False,True,0001225208-26-005797,https://www.sec.gov/Archives/edgar/data/2041610/000122520826005797/0001225208-26-005797.txt
Byrne Barbara M,,2026-05-08,2026-05-11,173,0.0,0.0,A,A,44392,False,True,False,0001225208-26-005119,https://www.sec.gov/Archives/edgar/data/2041610/000122520826005119/0001225208-26-005119.txt
Ellison David Ferris,Chief Executive Officer,2026-05-07,2026-05-11,250000,0.0,0.0,A,M,511473,False,True,True,0001225208-26-005117,https://www.sec.gov/Archives/edgar/data/2041610/000122520826005117/0001225208-26-005117.txt
Ellison David Ferris,Chief Executive Officer,2026-05-07,2026-05-11,127200,10.76,1368672.0,D,F,384273,False,True,True,0001225208-26-005117,https://www.sec.gov/Archives/edgar/data/2041610/000122520826005117/0001225208-26-005117.txt
Brandon-Gordon Andrew Mark,Chief Strategy Officer and COO,2026-05-07,2026-05-11,200000,0.0,0.0,A,M,420817,False,True,True,0001225208-26-005118,https://www.sec.gov/Archives/edgar/data/2041610/000122520826005118/0001225208-26-005118.txt
Brandon-Gordon Andrew Mark,Chief Strategy Officer and COO,2026-05-07,2026-05-11,101760,10.76,1094937.6,D,F,319057,False,True,True,0001225208-26-005118,https://www.sec.gov/Archives/edgar/data/2041610/000122520826005118/0001225208-26-005118.txt
Cinelli Dennis,Chief Financial Officer,2026-04-15,2026-04-17,187500,0.0,0.0,A,M,193594,False,False,True,0001225208-26-004569,https://www.sec.gov/Archives/edgar/data/2041610/000122520826004569/0001225208-26-004569.txt
Cinelli Dennis,Chief Financial Officer,2026-04-15,2026-04-17,88974,11.67,1038326.58,D,F,104620,False,False,True,0001225208-26-004569,https://www.sec.gov/Archives/edgar/data/2041610/000122520826004569/0001225208-26-004569.txt
Delrahim Makan,Chief Legal Officer,2026-04-06,2026-04-08,150000,0.0,0.0,A,M,235936,False,False,True,0001225208-26-004453,https://www.sec.gov/Archives/edgar/data/2041610/000122520826004453/0001225208-26-004453.txt
Gill Charest Katherine,"EVP, Controller & CAO",2026-03-01,2026-03-03,32588,0.0,0.0,A,M,60542,False,False,True,0001225208-26-003002,https://www.sec.gov/Archives/edgar/data/2041610/000122520826003002/0001225208-26-003002.txt
Gill Charest Katherine,"EVP, Controller & CAO",2026-03-01,2026-03-03,18392,0.0,0.0,A,M,78934,False,False,True,0001225208-26-003002,https://www.sec.gov/Archives/edgar/data/2041610/000122520826003002/0001225208-26-003002.txt
Gill Charest Katherine,"EVP, Controller & CAO",2026-03-01,2026-03-03,8174,0.0,0.0,A,M,87108,False,False,True,0001225208-26-003002,https://www.sec.gov/Archives/edgar/data/2041610/000122520826003002/0001225208-26-003002.txt
Gill Charest Katherine,"EVP, Controller & CAO",2026-03-01,2026-03-03,4382,0.0,0.0,A,M,91490,False,False,True,0001225208-26-003002,https://www.sec.gov/Archives/edgar/data/2041610/000122520826003002/0001225208-26-003002.txt
