insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
CHRISTENSON ALICE,Chief Accounting Officer,2026-05-12,2026-05-12,816,145.825,118993.2,D,S,1265,False,False,False,0001654954-26-004735,https://www.sec.gov/Archives/edgar/data/857005/000165495426004735/0001654954-26-004735.txt
CHRISTENSON ALICE,Chief Accounting Officer,2026-05-07,2026-05-08,1186,0.0,0.0,A,A,2451,False,False,False,0001654954-26-004635,https://www.sec.gov/Archives/edgar/data/857005/000165495426004635/0001654954-26-004635.txt
CHRISTENSON ALICE,Chief Accounting Officer,2026-05-07,2026-05-08,370,147.65,54630.5,D,F,2081,False,False,False,0001654954-26-004635,https://www.sec.gov/Archives/edgar/data/857005/000165495426004635/0001654954-26-004635.txt
Lathan Corinna,,2026-03-16,2026-03-18,675,157.24,106137.0,D,S,8429,False,False,False,0001714701-26-000003,https://www.sec.gov/Archives/edgar/data/857005/000171470126000003/0001714701-26-000003.txt
Pham Trac,,2026-03-15,2026-03-16,1181,0.0,0.0,A,M,2612,False,False,False,0001627340-26-000002,https://www.sec.gov/Archives/edgar/data/857005/000162734026000002/0001627340-26-000002.txt
VON STAATS AARON C,"EVP, Chief Legal Officer",2026-03-03,2026-03-04,2639,160.0,422240.0,D,S,19582,False,False,False,0001252191-26-000002,https://www.sec.gov/Archives/edgar/data/857005/000125219126000002/0001252191-26-000002.txt
VON STAATS AARON C,"EVP, Chief Legal Officer",2026-02-11,2026-02-12,232,161.0622,37366.43,D,S,22229,False,False,False,0001252191-26-000001,https://www.sec.gov/Archives/edgar/data/857005/000125219126000001/0001252191-26-000001.txt
VON STAATS AARON C,"EVP, Chief Legal Officer",2026-02-11,2026-02-12,8,162.23,1297.84,D,S,22221,False,False,False,0001252191-26-000001,https://www.sec.gov/Archives/edgar/data/857005/000125219126000001/0001252191-26-000001.txt
Pham Trac,,2026-02-11,2026-02-12,1431,0.0,0.0,A,M,1431,False,False,False,0001627340-26-000001,https://www.sec.gov/Archives/edgar/data/857005/000162734026000001/0001627340-26-000001.txt
Lathan Corinna,,2026-02-11,2026-02-12,1500,0.0,0.0,A,M,9104,False,False,False,0001714701-26-000001,https://www.sec.gov/Archives/edgar/data/857005/000171470126000001/0001714701-26-000001.txt
LICO JAMES A,,2026-02-11,2026-02-12,410,0.0,0.0,A,M,410,False,False,False,0000857005-26-000001,https://www.sec.gov/Archives/edgar/data/857005/000085700526000001/0000857005-26-000001.txt
LACY PAUL A,,2026-02-11,2026-02-12,1500,0.0,0.0,A,M,13393,False,False,False,0001193635-26-000001,https://www.sec.gov/Archives/edgar/data/857005/000119363526000001/0001193635-26-000001.txt
Katz Michal,,2026-02-11,2026-02-12,1500,0.0,0.0,A,M,4875,False,False,False,0001751561-26-000001,https://www.sec.gov/Archives/edgar/data/857005/000175156126000001/0001751561-26-000001.txt
Hanspal Amarpreet,,2026-02-11,2026-02-12,1500,0.0,0.0,A,M,10316,False,False,False,0001394887-26-000001,https://www.sec.gov/Archives/edgar/data/857005/000139488726000001/0001394887-26-000001.txt
CHAFFIN JANICE,,2026-02-11,2026-02-12,1801,0.0,0.0,A,M,43597,False,False,False,0001202443-26-000002,https://www.sec.gov/Archives/edgar/data/857005/000120244326000002/0001202443-26-000002.txt
Benjamin Mark D,,2026-02-11,2026-02-12,1500,0.0,0.0,A,M,11183,False,False,False,0001525550-26-000002,https://www.sec.gov/Archives/edgar/data/857005/000152555026000002/0001525550-26-000002.txt
BERNSHTEYN ROBERT,,2026-02-11,2026-02-12,1500,0.0,0.0,A,M,3265,False,False,False,0001436655-26-000001,https://www.sec.gov/Archives/edgar/data/857005/000143665526000001/0001436655-26-000001.txt
Barua Neil,President and CEO,2026-01-12,2026-01-14,7628,0.0,0.0,A,M,89164,False,False,False,0001389250-26-000002,https://www.sec.gov/Archives/edgar/data/857005/000138925026000002/0001389250-26-000002.txt
Barua Neil,President and CEO,2026-01-12,2026-01-14,2611,171.43,447603.73,D,F,86553,False,False,False,0001389250-26-000002,https://www.sec.gov/Archives/edgar/data/857005/000138925026000002/0001389250-26-000002.txt
Talvitie Kristian,"EVP, Chief Financial Officer",2025-12-31,2026-01-02,30619,0.0,0.0,A,M,43005,False,False,False,0001777095-26-000001,https://www.sec.gov/Archives/edgar/data/857005/000177709526000001/0001777095-26-000001.txt
Talvitie Kristian,"EVP, Chief Financial Officer",2025-12-31,2026-01-02,14809,174.21,2579875.89,D,F,28196,False,False,False,0001777095-26-000001,https://www.sec.gov/Archives/edgar/data/857005/000177709526000001/0001777095-26-000001.txt
Talvitie Kristian,"EVP, Chief Financial Officer",2025-12-09,2025-12-11,40061,173.0257,6931582.57,D,S,22616,False,False,False,0001777095-25-000007,https://www.sec.gov/Archives/edgar/data/857005/000177709525000007/0001777095-25-000007.txt
Talvitie Kristian,"EVP, Chief Financial Officer",2025-12-09,2025-12-11,10230,173.6121,1776051.78,D,S,12386,False,False,False,0001777095-25-000007,https://www.sec.gov/Archives/edgar/data/857005/000177709525000007/0001777095-25-000007.txt
VON STAATS AARON C,"EVP, Chief Legal Officer",2025-12-08,2025-12-08,2984,174.4333,520508.97,D,S,25805,False,False,False,0001252191-25-000005,https://www.sec.gov/Archives/edgar/data/857005/000125219125000005/0001252191-25-000005.txt
VON STAATS AARON C,"EVP, Chief Legal Officer",2025-12-08,2025-12-08,3344,175.1125,585576.2,D,S,22461,False,False,False,0001252191-25-000005,https://www.sec.gov/Archives/edgar/data/857005/000125219125000005/0001252191-25-000005.txt
Talvitie Kristian,"EVP, Chief Financial Officer",2025-12-08,2025-12-08,1838,174.5807,320879.33,D,S,63177,False,False,False,0001777095-25-000005,https://www.sec.gov/Archives/edgar/data/857005/000177709525000005/0001777095-25-000005.txt
Talvitie Kristian,"EVP, Chief Financial Officer",2025-12-08,2025-12-08,500,175.164,87582.0,D,S,62677,False,False,False,0001777095-25-000005,https://www.sec.gov/Archives/edgar/data/857005/000177709525000005/0001777095-25-000005.txt
Talvitie Kristian,"EVP, Chief Financial Officer",2025-12-05,2025-12-08,300,172.22,51666.0,D,S,67035,False,False,False,0001777095-25-000005,https://www.sec.gov/Archives/edgar/data/857005/000177709525000005/0001777095-25-000005.txt
Talvitie Kristian,"EVP, Chief Financial Officer",2025-12-05,2025-12-08,1420,173.1339,245850.14,D,S,65615,False,False,False,0001777095-25-000005,https://www.sec.gov/Archives/edgar/data/857005/000177709525000005/0001777095-25-000005.txt
Talvitie Kristian,"EVP, Chief Financial Officer",2025-12-05,2025-12-08,400,173.8725,69549.0,D,S,65215,False,False,False,0001777095-25-000005,https://www.sec.gov/Archives/edgar/data/857005/000177709525000005/0001777095-25-000005.txt
Talvitie Kristian,"EVP, Chief Financial Officer",2025-12-05,2025-12-08,200,175.475,35095.0,D,S,65015,False,False,False,0001777095-25-000005,https://www.sec.gov/Archives/edgar/data/857005/000177709525000005/0001777095-25-000005.txt
Dahdah Robert,"EVP, Chief Revenue Officer",2025-12-01,2025-12-02,12275,0.0,0.0,A,M,18453,False,False,False,0001671728-25-000007,https://www.sec.gov/Archives/edgar/data/857005/000167172825000007/0001671728-25-000007.txt
Dahdah Robert,"EVP, Chief Revenue Officer",2025-12-01,2025-12-02,5935,174.88,1037912.8,D,F,12518,False,False,False,0001671728-25-000007,https://www.sec.gov/Archives/edgar/data/857005/000167172825000007/0001671728-25-000007.txt
CHRISTENSON ALICE,Chief Accounting Officer,2025-11-25,2025-11-26,1323,173.52,229566.96,D,S,1207,False,False,False,0002007480-25-000006,https://www.sec.gov/Archives/edgar/data/857005/000200748025000006/0002007480-25-000006.txt
VON STAATS AARON C,"EVP, GC and Secretary",2025-11-20,2025-11-21,2674,0.0,0.0,A,A,30082,False,False,False,0001252191-25-000004,https://www.sec.gov/Archives/edgar/data/857005/000125219125000004/0001252191-25-000004.txt
VON STAATS AARON C,"EVP, GC and Secretary",2025-11-20,2025-11-21,1293,170.43,220365.99,D,F,28789,False,False,False,0001252191-25-000004,https://www.sec.gov/Archives/edgar/data/857005/000125219125000004/0001252191-25-000004.txt
Talvitie Kristian,"EVP, Chief Financial Officer",2025-11-20,2025-11-21,4555,0.0,0.0,A,A,69538,False,False,False,0001777095-25-000004,https://www.sec.gov/Archives/edgar/data/857005/000177709525000004/0001777095-25-000004.txt
Talvitie Kristian,"EVP, Chief Financial Officer",2025-11-20,2025-11-21,2203,170.43,375457.29,D,F,67335,False,False,False,0001777095-25-000004,https://www.sec.gov/Archives/edgar/data/857005/000177709525000004/0001777095-25-000004.txt
STEVENSON JON,Chief Product Officer,2025-11-20,2025-11-24,620,0.0,0.0,A,A,620,False,False,False,0000857005-25-000013,https://www.sec.gov/Archives/edgar/data/857005/000085700525000013/0000857005-25-000013.txt
STEVENSON JON,Chief Product Officer,2025-11-20,2025-11-24,184,170.43,31359.12,D,F,436,False,False,False,0000857005-25-000013,https://www.sec.gov/Archives/edgar/data/857005/000085700525000013/0000857005-25-000013.txt
Dahdah Robert,"EVP, Chief Revenue Officer",2025-11-20,2025-11-21,4436,0.0,0.0,A,A,8323,False,False,False,0001671728-25-000005,https://www.sec.gov/Archives/edgar/data/857005/000167172825000005/0001671728-25-000005.txt
Dahdah Robert,"EVP, Chief Revenue Officer",2025-11-20,2025-11-21,2145,170.43,365572.35,D,F,6178,False,False,False,0001671728-25-000005,https://www.sec.gov/Archives/edgar/data/857005/000167172825000005/0001671728-25-000005.txt
CHRISTENSON ALICE,Chief Accounting Officer,2025-11-20,2025-11-21,1104,0.0,0.0,A,A,2855,False,False,False,0002007480-25-000004,https://www.sec.gov/Archives/edgar/data/857005/000200748025000004/0002007480-25-000004.txt
CHRISTENSON ALICE,Chief Accounting Officer,2025-11-20,2025-11-21,325,170.43,55389.75,D,F,2530,False,False,False,0002007480-25-000004,https://www.sec.gov/Archives/edgar/data/857005/000200748025000004/0002007480-25-000004.txt
Barua Neil,President and CEO,2025-11-20,2025-11-21,9506,0.0,0.0,A,A,86133,False,False,False,0001389250-25-000003,https://www.sec.gov/Archives/edgar/data/857005/000138925025000003/0001389250-25-000003.txt
Barua Neil,President and CEO,2025-11-20,2025-11-21,4597,170.43,783466.71,D,F,81536,False,False,False,0001389250-25-000003,https://www.sec.gov/Archives/edgar/data/857005/000138925025000003/0001389250-25-000003.txt
VON STAATS AARON C,"EVP, GC and Secretary",2025-11-15,2025-11-17,20678,0.0,0.0,A,M,36421,False,False,False,0001252191-25-000003,https://www.sec.gov/Archives/edgar/data/857005/000125219125000003/0001252191-25-000003.txt
VON STAATS AARON C,"EVP, GC and Secretary",2025-11-15,2025-11-17,9013,179.61,1618824.93,D,F,27408,False,False,False,0001252191-25-000003,https://www.sec.gov/Archives/edgar/data/857005/000125219125000003/0001252191-25-000003.txt
Talvitie Kristian,"EVP, Chief Financial Officer",2025-11-15,2025-11-17,32140,0.0,0.0,A,M,79557,False,False,False,0001777095-25-000003,https://www.sec.gov/Archives/edgar/data/857005/000177709525000003/0001777095-25-000003.txt
Talvitie Kristian,"EVP, Chief Financial Officer",2025-11-15,2025-11-17,14574,179.61,2617636.14,D,F,64983,False,False,False,0001777095-25-000003,https://www.sec.gov/Archives/edgar/data/857005/000177709525000003/0001777095-25-000003.txt
Dahdah Robert,"EVP, Chief Revenue Officer",2025-11-15,2025-11-17,5650,0.0,0.0,A,M,5650,False,False,False,0001671728-25-000004,https://www.sec.gov/Archives/edgar/data/857005/000167172825000004/0001671728-25-000004.txt
Dahdah Robert,"EVP, Chief Revenue Officer",2025-11-15,2025-11-17,1763,179.61,316652.43,D,F,3887,False,False,False,0001671728-25-000004,https://www.sec.gov/Archives/edgar/data/857005/000167172825000004/0001671728-25-000004.txt
CHRISTENSON ALICE,Chief Accounting Officer,2025-11-15,2025-11-17,2072,0.0,0.0,A,M,2361,False,False,False,0002007480-25-000003,https://www.sec.gov/Archives/edgar/data/857005/000200748025000003/0002007480-25-000003.txt
CHRISTENSON ALICE,Chief Accounting Officer,2025-11-15,2025-11-17,610,179.61,109562.1,D,F,1751,False,False,False,0002007480-25-000003,https://www.sec.gov/Archives/edgar/data/857005/000200748025000003/0002007480-25-000003.txt
Barua Neil,President and CEO,2025-11-15,2025-11-17,35205,0.0,0.0,A,M,93650,False,False,False,0001389250-25-000002,https://www.sec.gov/Archives/edgar/data/857005/000138925025000002/0001389250-25-000002.txt
Barua Neil,President and CEO,2025-11-15,2025-11-17,17023,179.61,3057501.03,D,F,76627,False,False,False,0001389250-25-000002,https://www.sec.gov/Archives/edgar/data/857005/000138925025000002/0001389250-25-000002.txt
BERNSHTEYN ROBERT,,2025-09-15,2025-09-16,1117,0.0,0.0,A,M,1765,False,False,False,0001654954-25-010822,https://www.sec.gov/Archives/edgar/data/857005/000165495425010822/0001654954-25-010822.txt
Barua Neil,President and CEO,2025-08-15,2025-08-18,11471,0.0,0.0,A,M,63992,False,False,False,0001654954-25-009771,https://www.sec.gov/Archives/edgar/data/857005/000165495425009771/0001654954-25-009771.txt
