insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Fortebuono Kathleen M.,Chief People Officer,2026-06-12,2026-06-15,418,149.755,62597.59,D,F,8459,False,False,True,0001628280-26-043316,https://www.sec.gov/Archives/edgar/data/2058873/000162828026043316/0001628280-26-043316.txt
Sterin Steven,,2026-06-05,2026-06-08,400,148.35,59340.0,D,S,12195,False,True,False,0001628280-26-041676,https://www.sec.gov/Archives/edgar/data/2058873/000162828026041676/0001628280-26-041676.txt
Green Byron,,2026-05-29,2026-06-01,208,156.0,32448.0,A,A,7859,False,True,False,0001628280-26-039661,https://www.sec.gov/Archives/edgar/data/2058873/000162828026039661/0001628280-26-039661.txt
CURTIN TERRENCE R,,2026-05-29,2026-06-01,208,156.0,32448.0,A,A,22053,False,True,False,0001628280-26-039660,https://www.sec.gov/Archives/edgar/data/2058873/000162828026039660/0001628280-26-039660.txt
Sterin Steven,,2026-05-26,2026-05-26,511,161.9656,82764.42,D,S,12595,False,True,False,0001628280-26-038263,https://www.sec.gov/Archives/edgar/data/2058873/000162828026038263/0001628280-26-038263.txt
Sterin Steven,,2026-05-21,2026-05-26,1278,0.0,0.0,A,A,13106,False,True,False,0001628280-26-038263,https://www.sec.gov/Archives/edgar/data/2058873/000162828026038263/0001628280-26-038263.txt
PAIK YI HYON,,2026-05-21,2026-05-26,1278,0.0,0.0,A,A,5645,False,True,False,0001628280-26-038262,https://www.sec.gov/Archives/edgar/data/2058873/000162828026038262/0001628280-26-038262.txt
Noonan Anne P,,2026-05-21,2026-05-26,1278,0.0,0.0,A,A,8878,False,True,False,0001628280-26-038260,https://www.sec.gov/Archives/edgar/data/2058873/000162828026038260/0001628280-26-038260.txt
JOHNSON KRISTINA M,,2026-05-21,2026-05-26,1278,0.0,0.0,A,A,7763,False,True,False,0001628280-26-038259,https://www.sec.gov/Archives/edgar/data/2058873/000162828026038259/0001628280-26-038259.txt
Green Byron,,2026-05-21,2026-05-26,1278,0.0,0.0,A,A,7651,False,True,False,0001628280-26-038258,https://www.sec.gov/Archives/edgar/data/2058873/000162828026038258/0001628280-26-038258.txt
De Bondt Karin,,2026-05-21,2026-05-26,1278,0.0,0.0,A,A,5645,False,True,False,0001628280-26-038256,https://www.sec.gov/Archives/edgar/data/2058873/000162828026038256/0001628280-26-038256.txt
CURTIN TERRENCE R,,2026-05-21,2026-05-26,1278,0.0,0.0,A,A,21845,False,True,False,0001628280-26-038255,https://www.sec.gov/Archives/edgar/data/2058873/000162828026038255/0001628280-26-038255.txt
Banerji Shumeet,,2026-05-21,2026-05-26,1278,0.0,0.0,A,A,5645,False,True,False,0001628280-26-038253,https://www.sec.gov/Archives/edgar/data/2058873/000162828026038253/0001628280-26-038253.txt
BLINN MARK A,,2026-05-21,2026-05-26,1278,0.0,0.0,A,A,5645,False,True,False,0001628280-26-038254,https://www.sec.gov/Archives/edgar/data/2058873/000162828026038254/0001628280-26-038254.txt
Xu Chuck,"President,  Interconnect",2026-05-04,2026-05-06,98,141.7625,13892.72,D,F,21967,False,False,True,0001628280-26-031418,https://www.sec.gov/Archives/edgar/data/2058873/000162828026031418/0001628280-26-031418.txt
Kemp Jon D.,Chief Executive Officer,2026-05-04,2026-05-06,842,141.7625,119364.02,D,F,114967,False,True,True,0001628280-26-031422,https://www.sec.gov/Archives/edgar/data/2058873/000162828026031422/0001628280-26-031422.txt
Hennessey Peter W,General Counsel,2026-05-04,2026-05-06,73,141.7625,10348.66,D,F,9620,False,False,True,0001628280-26-031432,https://www.sec.gov/Archives/edgar/data/2058873/000162828026031432/0001628280-26-031432.txt
Goss Michael G.,VP & Interim CFO,2026-05-04,2026-05-06,146,141.7625,20697.32,D,F,19744,False,False,True,0001628280-26-031428,https://www.sec.gov/Archives/edgar/data/2058873/000162828026031428/0001628280-26-031428.txt
Fortebuono Kathleen M.,Chief People Officer,2026-05-04,2026-05-06,101,141.7625,14318.01,D,F,8877,False,False,True,0001628280-26-031425,https://www.sec.gov/Archives/edgar/data/2058873/000162828026031425/0001628280-26-031425.txt
Xu Chuck,"President,  Interconnect",2026-02-27,2026-03-03,7324,0.0,0.0,A,A,22056,False,False,True,0001628280-26-014058,https://www.sec.gov/Archives/edgar/data/2058873/000162828026014058/0001628280-26-014058.txt
Kemp Jon D.,Chief Executive Officer,2026-02-27,2026-03-03,32957,0.0,0.0,A,A,115762,False,True,True,0001628280-26-014060,https://www.sec.gov/Archives/edgar/data/2058873/000162828026014060/0001628280-26-014060.txt
Hennessey Peter W,General Counsel,2026-02-27,2026-03-03,4578,0.0,0.0,A,A,9688,False,False,True,0001628280-26-014059,https://www.sec.gov/Archives/edgar/data/2058873/000162828026014059/0001628280-26-014059.txt
Green Byron,,2026-02-27,2026-03-03,256,126.76,32450.56,A,A,6370,False,True,False,0001628280-26-014053,https://www.sec.gov/Archives/edgar/data/2058873/000162828026014053/0001628280-26-014053.txt
Goss Michael G.,VP & Interim CFO,2026-02-27,2026-03-03,7324,0.0,0.0,A,A,19882,False,False,True,0001628280-26-014056,https://www.sec.gov/Archives/edgar/data/2058873/000162828026014056/0001628280-26-014056.txt
Fortebuono Kathleen M.,Chief People Officer,2026-02-27,2026-03-03,2564,0.0,0.0,A,A,8973,False,False,True,0001628280-26-014054,https://www.sec.gov/Archives/edgar/data/2058873/000162828026014054/0001628280-26-014054.txt
CURTIN TERRENCE R,,2026-02-27,2026-03-03,256,126.76,32450.56,A,A,20545,False,True,False,0001628280-26-014051,https://www.sec.gov/Archives/edgar/data/2058873/000162828026014051/0001628280-26-014051.txt
Xu Chuck,"President,  Interconnect",2026-02-21,2026-02-24,343,113.72,39005.96,D,F,14732,False,False,True,0001628280-26-011217,https://www.sec.gov/Archives/edgar/data/2058873/000162828026011217/0001628280-26-011217.txt
Kemp Jon D.,Chief Executive Officer,2026-02-21,2026-02-24,4555,113.72,517994.6,D,F,82805,False,True,True,0001628280-26-011219,https://www.sec.gov/Archives/edgar/data/2058873/000162828026011219/0001628280-26-011219.txt
Hennessey Peter W,General Counsel,2026-02-21,2026-02-24,309,113.72,35139.48,D,F,5110,False,False,True,0001628280-26-011222,https://www.sec.gov/Archives/edgar/data/2058873/000162828026011222/0001628280-26-011222.txt
Goss Michael G.,VP & Interim CFO,2026-02-21,2026-02-24,274,113.72,31159.28,D,F,12558,False,False,True,0001628280-26-011225,https://www.sec.gov/Archives/edgar/data/2058873/000162828026011225/0001628280-26-011225.txt
Fortebuono Kathleen M.,Chief People Officer,2026-02-21,2026-02-24,308,113.72,35025.76,D,F,6409,False,False,True,0001628280-26-011227,https://www.sec.gov/Archives/edgar/data/2058873/000162828026011227/0001628280-26-011227.txt
Xu Chuck,"President,  Interconnect",2026-02-15,2026-02-18,136,110.975,15092.6,D,F,15076,False,False,True,0001628280-26-009134,https://www.sec.gov/Archives/edgar/data/2058873/000162828026009134/0001628280-26-009134.txt
Kemp Jon D.,Chief Executive Officer,2026-02-15,2026-02-18,546,110.975,60592.35,D,F,87360,False,True,True,0001628280-26-009151,https://www.sec.gov/Archives/edgar/data/2058873/000162828026009151/0001628280-26-009151.txt
Hennessey Peter W,General Counsel,2026-02-15,2026-02-18,117,110.975,12984.07,D,F,5419,False,False,True,0001628280-26-009139,https://www.sec.gov/Archives/edgar/data/2058873/000162828026009139/0001628280-26-009139.txt
Goss Michael G.,VP & Interim CFO,2026-02-15,2026-02-18,156,110.975,17312.1,D,F,12833,False,False,True,0001628280-26-009145,https://www.sec.gov/Archives/edgar/data/2058873/000162828026009145/0001628280-26-009145.txt
Fortebuono Kathleen M.,Chief People Officer,2026-02-15,2026-02-18,107,110.975,11874.32,D,F,6717,False,False,True,0001628280-26-009148,https://www.sec.gov/Archives/edgar/data/2058873/000162828026009148/0001628280-26-009148.txt
Green Byron,,2026-01-30,2026-02-03,112,96.18,10772.16,A,A,6113,False,True,False,0001628280-26-005253,https://www.sec.gov/Archives/edgar/data/2058873/000162828026005253/0001628280-26-005253.txt
CURTIN TERRENCE R,,2026-01-30,2026-02-03,112,96.18,10772.16,A,A,20288,False,True,False,0001628280-26-005256,https://www.sec.gov/Archives/edgar/data/2058873/000162828026005256/0001628280-26-005256.txt
Xu Chuck,"President,  Interconnect",2025-12-31,2026-01-05,240,82.825,19878.0,D,F,15212,False,False,True,0001628280-26-000615,https://www.sec.gov/Archives/edgar/data/2058873/000162828026000615/0001628280-26-000615.txt
Kemp Jon D.,Chief Executive Officer,2025-12-31,2026-01-05,1308,82.825,108335.1,D,F,87907,False,True,True,0001628280-26-000613,https://www.sec.gov/Archives/edgar/data/2058873/000162828026000613/0001628280-26-000613.txt
Hennessey Peter W,General Counsel,2025-12-31,2026-01-05,162,82.825,13417.65,D,F,5537,False,False,True,0001628280-26-000607,https://www.sec.gov/Archives/edgar/data/2058873/000162828026000607/0001628280-26-000607.txt
Goss Michael G.,VP & Controller,2025-12-31,2026-01-05,320,82.825,26504.0,D,F,12989,False,False,True,0001628280-26-000603,https://www.sec.gov/Archives/edgar/data/2058873/000162828026000603/0001628280-26-000603.txt
Fortebuono Kathleen M.,Chief People Officer,2025-12-31,2026-01-05,219,82.825,18138.67,D,F,6824,False,False,True,0001628280-26-000601,https://www.sec.gov/Archives/edgar/data/2058873/000162828026000601/0001628280-26-000601.txt
Xu Chuck,"President,  Interconnect",2025-12-17,2025-12-19,113,77.325,8737.73,D,F,15452,False,False,True,0001628280-25-058348,https://www.sec.gov/Archives/edgar/data/2058873/000162828025058348/0001628280-25-058348.txt
Xu Chuck,"President,  Interconnect",2025-12-12,2025-12-15,838,79.01,66210.38,A,M,15560,False,False,True,0001628280-25-057097,https://www.sec.gov/Archives/edgar/data/2058873/000162828025057097/0001628280-25-057097.txt
