insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Santone Angela R.,SEVP,2026-07-01,2026-07-02,28411,0.0,0.0,A,M,28411,False,False,True,0001797976-26-000007,https://www.sec.gov/Archives/edgar/data/1281761/000179797626000007/0001797976-26-000007.txt
Santone Angela R.,SEVP,2026-07-01,2026-07-02,10286,30.8,316808.8,D,F,18125,False,False,True,0001797976-26-000007,https://www.sec.gov/Archives/edgar/data/1281761/000179797626000007/0001797976-26-000007.txt
Willman Brian R,SEVP,2026-05-07,2026-05-08,7014,27.9085,195750.22,D,S,0,False,False,True,0002042972-26-000006,https://www.sec.gov/Archives/edgar/data/1281761/000204297226000006/0002042972-26-000006.txt
RHODES WILLIAM C III,,2026-05-06,2026-05-08,7904,0.0,0.0,A,M,16272,False,True,False,0001080992-26-000003,https://www.sec.gov/Archives/edgar/data/1281761/000108099226000003/0001080992-26-000003.txt
PROKOPANKO JAMES T,,2026-05-06,2026-05-08,63055,0.0,0.0,A,M,81786,False,True,False,0001301456-26-000002,https://www.sec.gov/Archives/edgar/data/1281761/000130145626000002/0001301456-26-000002.txt
Jenkins Roger W.,,2026-05-06,2026-05-08,7904,0.0,0.0,A,M,14287,False,True,False,0001469778-26-000002,https://www.sec.gov/Archives/edgar/data/1281761/000146977826000002/0001469778-26-000002.txt
JOHNSON JOIA M,,2026-05-06,2026-05-08,7904,0.0,0.0,A,M,14993,False,True,False,0001204987-26-000004,https://www.sec.gov/Archives/edgar/data/1281761/000120498726000004/0001204987-26-000004.txt
Golodryga Zhanna,,2026-05-06,2026-05-08,7904,0.0,0.0,A,M,43429,False,True,False,0001762792-26-000002,https://www.sec.gov/Archives/edgar/data/1281761/000176279226000002/0001762792-26-000002.txt
Davis Noopur,,2026-05-06,2026-05-08,7904,0.0,0.0,A,M,28572,False,True,False,0001935424-26-000002,https://www.sec.gov/Archives/edgar/data/1281761/000193542426000002/0001935424-26-000002.txt
Willman Brian R,SEVP,2026-04-03,2026-04-07,6966,0.0,0.0,A,M,6966,False,False,True,0002042972-26-000004,https://www.sec.gov/Archives/edgar/data/1281761/000204297226000004/0002042972-26-000004.txt
Willman Brian R,SEVP,2026-04-03,2026-04-07,1001,0.0,0.0,A,M,7967,False,False,True,0002042972-26-000004,https://www.sec.gov/Archives/edgar/data/1281761/000204297226000004/0002042972-26-000004.txt
Willman Brian R,SEVP,2026-04-03,2026-04-07,1001,26.47,26496.47,D,D,6966,False,False,True,0002042972-26-000004,https://www.sec.gov/Archives/edgar/data/1281761/000204297226000004/0002042972-26-000004.txt
Willman Brian R,SEVP,2026-04-03,2026-04-07,4528,0.0,0.0,A,A,11494,False,False,True,0002042972-26-000004,https://www.sec.gov/Archives/edgar/data/1281761/000204297226000004/0002042972-26-000004.txt
Willman Brian R,SEVP,2026-04-03,2026-04-07,4480,26.47,118585.6,D,F,7014,False,False,True,0002042972-26-000004,https://www.sec.gov/Archives/edgar/data/1281761/000204297226000004/0002042972-26-000004.txt
Turner John M JR,"Chairman, President and CEO",2026-04-03,2026-04-07,97527,0.0,0.0,A,M,1014133,False,True,True,0001319060-26-000004,https://www.sec.gov/Archives/edgar/data/1281761/000131906026000004/0001319060-26-000004.txt
Turner John M JR,"Chairman, President and CEO",2026-04-03,2026-04-07,14018,0.0,0.0,A,M,1028151,False,True,True,0001319060-26-000004,https://www.sec.gov/Archives/edgar/data/1281761/000131906026000004/0001319060-26-000004.txt
Turner John M JR,"Chairman, President and CEO",2026-04-03,2026-04-07,14018,26.47,371056.46,D,D,1014133,False,True,True,0001319060-26-000004,https://www.sec.gov/Archives/edgar/data/1281761/000131906026000004/0001319060-26-000004.txt
Turner John M JR,"Chairman, President and CEO",2026-04-03,2026-04-07,63393,0.0,0.0,A,A,1077526,False,True,True,0001319060-26-000004,https://www.sec.gov/Archives/edgar/data/1281761/000131906026000004/0001319060-26-000004.txt
Turner John M JR,"Chairman, President and CEO",2026-04-03,2026-04-07,71369,26.47,1889137.43,D,F,1006157,False,True,True,0001319060-26-000004,https://www.sec.gov/Archives/edgar/data/1281761/000131906026000004/0001319060-26-000004.txt
Ritter William D.,SEVP,2026-04-03,2026-04-07,12191,0.0,0.0,A,M,29760,False,False,True,0001509493-26-000006,https://www.sec.gov/Archives/edgar/data/1281761/000150949326000006/0001509493-26-000006.txt
Ritter William D.,SEVP,2026-04-03,2026-04-07,1752,0.0,0.0,A,M,31512,False,False,True,0001509493-26-000006,https://www.sec.gov/Archives/edgar/data/1281761/000150949326000006/0001509493-26-000006.txt
Ritter William D.,SEVP,2026-04-03,2026-04-07,1752,26.47,46375.44,D,D,29760,False,False,True,0001509493-26-000006,https://www.sec.gov/Archives/edgar/data/1281761/000150949326000006/0001509493-26-000006.txt
Ritter William D.,SEVP,2026-04-03,2026-04-07,7924,0.0,0.0,A,A,37684,False,False,True,0001509493-26-000006,https://www.sec.gov/Archives/edgar/data/1281761/000150949326000006/0001509493-26-000006.txt
Ritter William D.,SEVP,2026-04-03,2026-04-07,8090,26.47,214142.3,D,F,29594,False,False,True,0001509493-26-000006,https://www.sec.gov/Archives/edgar/data/1281761/000150949326000006/0001509493-26-000006.txt
