insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
LANGER JACK,,2026-05-13,2026-05-15,1501,212.31,318677.31,A,M,10200,False,False,False,0001253093-26-000004,https://www.sec.gov/Archives/edgar/data/1034054/000125309326000004/0001253093-26-000004.txt
LANGER JACK,,2026-05-13,2026-05-15,1496,213.61,319560.56,D,F,8704,False,False,False,0001253093-26-000004,https://www.sec.gov/Archives/edgar/data/1034054/000125309326000004/0001253093-26-000004.txt
Krouse George R Jr,,2026-05-13,2026-05-15,501,212.31,106367.31,A,M,9311,False,False,False,0001473955-26-000004,https://www.sec.gov/Archives/edgar/data/1034054/000147395526000004/0001473955-26-000004.txt
Krouse George R Jr,,2026-05-13,2026-05-15,500,213.61,106805.0,D,F,8811,False,False,False,0001473955-26-000004,https://www.sec.gov/Archives/edgar/data/1034054/000147395526000004/0001473955-26-000004.txt
BERNSTEIN STEVEN E,,2026-05-13,2026-05-15,1501,212.31,318677.31,A,M,8635,False,False,False,0001089833-26-000004,https://www.sec.gov/Archives/edgar/data/1034054/000108983326000004/0001089833-26-000004.txt
BERNSTEIN STEVEN E,,2026-05-13,2026-05-15,1496,213.61,319560.56,D,F,7139,False,False,False,0001089833-26-000004,https://www.sec.gov/Archives/edgar/data/1034054/000108983326000004/0001089833-26-000004.txt
BEEBE KEVIN L,,2026-05-13,2026-05-15,1501,212.31,318677.31,A,M,18136,False,False,False,0001187378-26-000005,https://www.sec.gov/Archives/edgar/data/1034054/000118737826000005/0001187378-26-000005.txt
BEEBE KEVIN L,,2026-05-13,2026-05-15,1492,213.61,318706.12,D,F,16644,False,False,False,0001187378-26-000005,https://www.sec.gov/Archives/edgar/data/1034054/000118737826000005/0001187378-26-000005.txt
Wilson Amy E,,2026-05-01,2026-05-05,248,0.0,0.0,A,M,1068,False,False,False,0001772229-26-000002,https://www.sec.gov/Archives/edgar/data/1034054/000177222926000002/0001772229-26-000002.txt
Wilson Amy E,,2026-05-01,2026-05-05,302,0.0,0.0,A,M,1370,False,False,False,0001772229-26-000002,https://www.sec.gov/Archives/edgar/data/1034054/000177222926000002/0001772229-26-000002.txt
Wilson Amy E,,2026-05-01,2026-05-05,331,0.0,0.0,A,M,1701,False,False,False,0001772229-26-000002,https://www.sec.gov/Archives/edgar/data/1034054/000177222926000002/0001772229-26-000002.txt
STOOPS JEFFREY,,2026-05-01,2026-05-05,302,0.0,0.0,A,M,141133,False,False,False,0001106860-26-000006,https://www.sec.gov/Archives/edgar/data/1034054/000110686026000006/0001106860-26-000006.txt
STOOPS JEFFREY,,2026-05-01,2026-05-05,331,0.0,0.0,A,M,141464,False,False,False,0001106860-26-000006,https://www.sec.gov/Archives/edgar/data/1034054/000110686026000006/0001106860-26-000006.txt
LANGER JACK,,2026-05-01,2026-05-05,248,0.0,0.0,A,M,8392,False,False,False,0001253093-26-000002,https://www.sec.gov/Archives/edgar/data/1034054/000125309326000002/0001253093-26-000002.txt
LANGER JACK,,2026-05-01,2026-05-05,302,0.0,0.0,A,M,8694,False,False,False,0001253093-26-000002,https://www.sec.gov/Archives/edgar/data/1034054/000125309326000002/0001253093-26-000002.txt
LANGER JACK,,2026-05-01,2026-05-05,331,0.0,0.0,A,M,9025,False,False,False,0001253093-26-000002,https://www.sec.gov/Archives/edgar/data/1034054/000125309326000002/0001253093-26-000002.txt
LANGER JACK,,2026-05-01,2026-05-05,325,221.2,71890.0,D,F,8699,False,False,False,0001253093-26-000002,https://www.sec.gov/Archives/edgar/data/1034054/000125309326000002/0001253093-26-000002.txt
Krouse George R Jr,,2026-05-01,2026-05-05,248,0.0,0.0,A,M,8503,False,False,False,0001473955-26-000002,https://www.sec.gov/Archives/edgar/data/1034054/000147395526000002/0001473955-26-000002.txt
Krouse George R Jr,,2026-05-01,2026-05-05,302,0.0,0.0,A,M,8805,False,False,False,0001473955-26-000002,https://www.sec.gov/Archives/edgar/data/1034054/000147395526000002/0001473955-26-000002.txt
Krouse George R Jr,,2026-05-01,2026-05-05,331,0.0,0.0,A,M,9136,False,False,False,0001473955-26-000002,https://www.sec.gov/Archives/edgar/data/1034054/000147395526000002/0001473955-26-000002.txt
Krouse George R Jr,,2026-05-01,2026-05-05,325,221.2,71890.0,D,F,8810,False,False,False,0001473955-26-000002,https://www.sec.gov/Archives/edgar/data/1034054/000147395526000002/0001473955-26-000002.txt
Johnson Jay LeCoryelle,,2026-05-01,2026-05-05,248,0.0,0.0,A,M,1358,False,False,False,0001736249-26-000004,https://www.sec.gov/Archives/edgar/data/1034054/000173624926000004/0001736249-26-000004.txt
Johnson Jay LeCoryelle,,2026-05-01,2026-05-05,302,0.0,0.0,A,M,1660,False,False,False,0001736249-26-000004,https://www.sec.gov/Archives/edgar/data/1034054/000173624926000004/0001736249-26-000004.txt
