insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
BREWER BRADY,"ceo, International",2026-07-06,2026-07-08,2229,104.0,231816.0,D,S,77363,True,False,True,0000829224-26-000118,https://www.sec.gov/Archives/edgar/data/829224/000082922426000118/0000829224-26-000118.txt
KELLY SARA,"evp, chief partner officer",2026-06-15,2026-06-17,315,101.59,32000.85,D,F,57567,False,False,True,0000829224-26-000110,https://www.sec.gov/Archives/edgar/data/829224/000082922426000110/0000829224-26-000110.txt
BREWER BRADY,"ceo, International",2026-06-11,2026-06-15,588,100.0,58800.0,D,S,79592,True,False,True,0000829224-26-000108,https://www.sec.gov/Archives/edgar/data/829224/000082922426000108/0000829224-26-000108.txt
BREWER BRADY,"ceo, International",2026-06-05,2026-06-09,1641,94.33,154795.53,D,S,80180,True,False,True,0000829224-26-000102,https://www.sec.gov/Archives/edgar/data/829224/000082922426000102/0000829224-26-000102.txt
BREWER BRADY,"ceo, International",2026-05-05,2026-05-07,2229,104.81,233621.49,D,S,81558,True,False,True,0000829224-26-000084,https://www.sec.gov/Archives/edgar/data/829224/000082922426000084/0000829224-26-000084.txt
KELLY SARA,"evp, chief partner officer",2026-04-29,2026-04-30,2000,105.0,210000.0,D,S,57652,True,False,True,0000829224-26-000082,https://www.sec.gov/Archives/edgar/data/829224/000082922426000082/0000829224-26-000082.txt
BREWER BRADY,"ceo, International",2026-04-17,2026-04-21,588,100.0,58800.0,D,S,83787,True,False,True,0000829224-26-000068,https://www.sec.gov/Archives/edgar/data/829224/000082922426000068/0000829224-26-000068.txt
BREWER BRADY,"ceo, International",2026-04-06,2026-04-08,1641,90.0,147690.0,D,S,84375,True,False,True,0000829224-26-000066,https://www.sec.gov/Archives/edgar/data/829224/000082922426000066/0000829224-26-000066.txt
Zhang Wei,,2026-03-25,2026-03-27,3667,0.0,0.0,A,A,12376,False,True,False,0000829224-26-000056,https://www.sec.gov/Archives/edgar/data/829224/000082922426000056/0000829224-26-000056.txt
SIEVERT G MICHAEL,,2026-03-25,2026-03-27,3667,0.0,0.0,A,A,10878,False,True,False,0000829224-26-000054,https://www.sec.gov/Archives/edgar/data/829224/000082922426000054/0000829224-26-000054.txt
SERVITJE DANIEL,,2026-03-25,2026-03-27,3667,0.0,0.0,A,A,11187,False,True,False,0000829224-26-000052,https://www.sec.gov/Archives/edgar/data/829224/000082922426000052/0000829224-26-000052.txt
Moyo Dambisa F,,2026-03-25,2026-03-27,2265,0.0,0.0,A,A,3615,False,True,False,0000829224-26-000049,https://www.sec.gov/Archives/edgar/data/829224/000082922426000049/0000829224-26-000049.txt
Mohan Neal,,2026-03-25,2026-03-27,3667,0.0,0.0,A,A,11187,False,True,False,0000829224-26-000047,https://www.sec.gov/Archives/edgar/data/829224/000082922426000047/0000829224-26-000047.txt
MAYER MARISSA A,,2026-03-25,2026-03-27,3667,0.0,0.0,A,A,6041,False,True,False,0000829224-26-000045,https://www.sec.gov/Archives/edgar/data/829224/000082922426000045/0000829224-26-000045.txt
KNUDSTORP JORGEN VIG,,2026-03-25,2026-03-27,4746,0.0,0.0,A,A,57752,False,True,False,0000829224-26-000041,https://www.sec.gov/Archives/edgar/data/829224/000082922426000041/0000829224-26-000041.txt
FORD BETH,,2026-03-25,2026-03-27,3937,0.0,0.0,A,A,14638,False,True,False,0000829224-26-000039,https://www.sec.gov/Archives/edgar/data/829224/000082922426000039/0000829224-26-000039.txt
Campion Andrew,,2026-03-25,2026-03-27,4099,0.0,0.0,A,A,30133,False,True,False,0000829224-26-000037,https://www.sec.gov/Archives/edgar/data/829224/000082922426000037/0000829224-26-000037.txt
ALLISON RICHARD E JR,,2026-03-25,2026-03-27,3991,0.0,0.0,A,A,39699,False,True,False,0000829224-26-000035,https://www.sec.gov/Archives/edgar/data/829224/000082922426000035/0000829224-26-000035.txt
Smith Cathy R,"evp, cfo",2026-03-24,2026-03-26,2231,91.98,205207.38,D,F,63751,False,False,True,0000829224-26-000029,https://www.sec.gov/Archives/edgar/data/829224/000082922426000029/0000829224-26-000029.txt
KNUDSTORP JORGEN VIG,,2026-03-23,2026-03-25,354,93.83,33215.82,D,F,53006,False,True,False,0000829224-26-000027,https://www.sec.gov/Archives/edgar/data/829224/000082922426000027/0000829224-26-000027.txt
GRAMS MICHAEL DAVID,"evp, chief operating officer",2026-03-17,2026-03-19,988,97.57,96399.16,D,F,28149,False,False,True,0000829224-26-000025,https://www.sec.gov/Archives/edgar/data/829224/000082922426000025/0000829224-26-000025.txt
BREWER BRADY,"ceo, International",2026-03-09,2026-03-11,588,100.0,58800.0,D,S,86016,True,False,True,0000829224-26-000017,https://www.sec.gov/Archives/edgar/data/829224/000082922426000017/0000829224-26-000017.txt
