insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
LEE JANET,GC & Corporate Secretary,2026-06-15,2026-06-16,540,0.0,0.0,A,M,15817,False,False,True,0001711671-26-000018,https://www.sec.gov/Archives/edgar/data/883241/000171167126000018/0001711671-26-000018.txt
LEE JANET,GC & Corporate Secretary,2026-06-15,2026-06-16,235,454.38,106779.3,D,F,15582,False,False,True,0001711671-26-000018,https://www.sec.gov/Archives/edgar/data/883241/000171167126000018/0001711671-26-000018.txt
Kankanwadi Sudhindra,Deputy CFO & CAO,2026-06-15,2026-06-16,720,0.0,0.0,A,M,22939,False,False,True,0001652437-26-000006,https://www.sec.gov/Archives/edgar/data/883241/000165243726000006/0001652437-26-000006.txt
Kankanwadi Sudhindra,Deputy CFO & CAO,2026-06-15,2026-06-16,249,454.38,113140.62,D,F,22690,False,False,True,0001652437-26-000006,https://www.sec.gov/Archives/edgar/data/883241/000165243726000006/0001652437-26-000006.txt
Glaser Shelagh,CFO,2026-06-15,2026-06-16,1259,0.0,0.0,A,M,1888,False,False,True,0001865504-26-000012,https://www.sec.gov/Archives/edgar/data/883241/000186550426000012/0001865504-26-000012.txt
Glaser Shelagh,CFO,2026-06-15,2026-06-16,436,454.38,198109.68,D,F,1452,False,False,True,0001865504-26-000012,https://www.sec.gov/Archives/edgar/data/883241/000186550426000012/0001865504-26-000012.txt
Ghazi Sassine,PRESIDENT AND CEO,2026-06-15,2026-06-16,14603,135.88,1984255.64,A,M,89623,True,True,True,0001822289-26-000006,https://www.sec.gov/Archives/edgar/data/883241/000182228926000006/0001822289-26-000006.txt
Ghazi Sassine,PRESIDENT AND CEO,2026-06-15,2026-06-16,14603,458.962,6702222.09,D,S,75020,True,True,True,0001822289-26-000006,https://www.sec.gov/Archives/edgar/data/883241/000182228926000006/0001822289-26-000006.txt
Ghazi Sassine,PRESIDENT AND CEO,2026-06-15,2026-06-16,3310,0.0,0.0,A,M,78330,True,True,True,0001822289-26-000006,https://www.sec.gov/Archives/edgar/data/883241/000182228926000006/0001822289-26-000006.txt
Ghazi Sassine,PRESIDENT AND CEO,2026-06-15,2026-06-16,1492,454.38,677934.96,D,F,76838,True,True,True,0001822289-26-000006,https://www.sec.gov/Archives/edgar/data/883241/000182228926000006/0001822289-26-000006.txt
Ellow Michael,Chief Revenue Officer,2026-06-15,2026-06-16,4048,0.0,0.0,A,M,4048,False,False,True,0001615442-26-000003,https://www.sec.gov/Archives/edgar/data/883241/000161544226000003/0001615442-26-000003.txt
Ellow Michael,Chief Revenue Officer,2026-06-15,2026-06-16,2007,454.38,911940.66,D,F,2041,False,False,True,0001615442-26-000003,https://www.sec.gov/Archives/edgar/data/883241/000161544226000003/0001615442-26-000003.txt
Ellow Michael,Chief Revenue Officer,2026-06-15,2026-06-16,1080,0.0,0.0,A,M,3121,False,False,True,0001615442-26-000003,https://www.sec.gov/Archives/edgar/data/883241/000161544226000003/0001615442-26-000003.txt
Ellow Michael,Chief Revenue Officer,2026-06-15,2026-06-16,536,454.38,243547.68,D,F,2585,False,False,True,0001615442-26-000003,https://www.sec.gov/Archives/edgar/data/883241/000161544226000003/0001615442-26-000003.txt
DE GEUS AART,EXECUTIVE CHAIR,2026-06-15,2026-06-16,449,0.0,0.0,A,M,120577,False,True,True,0001249802-26-000006,https://www.sec.gov/Archives/edgar/data/883241/000124980226000006/0001249802-26-000006.txt
DE GEUS AART,EXECUTIVE CHAIR,2026-06-15,2026-06-16,156,454.38,70883.28,D,F,120421,False,True,True,0001249802-26-000006,https://www.sec.gov/Archives/edgar/data/883241/000124980226000006/0001249802-26-000006.txt
Glaser Shelagh,CFO,2026-06-12,2026-06-15,3394,450.0211,1527371.61,D,S,14358,True,False,True,0001865504-26-000010,https://www.sec.gov/Archives/edgar/data/883241/000186550426000010/0001865504-26-000010.txt
LEE JANET,GC & Corporate Secretary,2026-06-01,2026-06-02,699,0.0,0.0,A,M,15581,False,False,True,0001711671-26-000016,https://www.sec.gov/Archives/edgar/data/883241/000171167126000016/0001711671-26-000016.txt
LEE JANET,GC & Corporate Secretary,2026-06-01,2026-06-02,304,492.29,149656.16,D,F,15277,False,False,True,0001711671-26-000016,https://www.sec.gov/Archives/edgar/data/883241/000171167126000016/0001711671-26-000016.txt
