insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
MILLETT MARK D,Chairman and CEO,2026-07-28,2026-07-28,300,0.0,0.0,D,G,3016401,False,True,True,0001022671-26-000143,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000143/0001022671-26-000143.txt
Sierra Luis Manuel,,2026-07-10,2026-07-14,7,0.0,0.0,A,A,11523,False,True,False,0001022671-26-000141,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000141/0001022671-26-000141.txt
Seaman Bradley S,,2026-07-10,2026-07-14,109,0.0,0.0,A,A,51600,False,True,False,0001022671-26-000140,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000140/0001022671-26-000140.txt
Hamann Jennifer L,,2026-07-10,2026-07-14,18,0.0,0.0,A,A,5304,False,True,False,0001022671-26-000139,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000139/0001022671-26-000139.txt
DOLAN TRACI M,,2026-07-10,2026-07-14,102,0.0,0.0,A,A,58970,False,True,False,0001022671-26-000138,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000138/0001022671-26-000138.txt
Cornew Kenneth W.,,2026-07-10,2026-07-14,2,0.0,0.0,A,A,32013,False,True,False,0001022671-26-000137,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000137/0001022671-26-000137.txt
BARGABOS SHEREE L,,2026-07-10,2026-07-14,43,0.0,0.0,A,A,27105,False,True,False,0001022671-26-000136,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000136/0001022671-26-000136.txt
Anderson James Stanley,Senior Vice President,2026-06-05,2026-06-08,1100,267.35,294085.0,D,S,111737,False,False,True,0001022671-26-000129,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000129/0001022671-26-000129.txt
Anderson James Stanley,Senior Vice President,2026-06-05,2026-06-08,4177,268.42,1121190.34,D,S,107560,False,False,True,0001022671-26-000129,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000129/0001022671-26-000129.txt
Anderson James Stanley,Senior Vice President,2026-06-05,2026-06-08,4401,269.22,1184837.22,D,S,103159,False,False,True,0001022671-26-000129,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000129/0001022671-26-000129.txt
Anderson James Stanley,Senior Vice President,2026-06-05,2026-06-08,322,269.93,86917.46,D,S,102837,False,False,True,0001022671-26-000129,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000129/0001022671-26-000129.txt
Sierra Luis Manuel,,2026-06-01,2026-06-01,712,0.0,0.0,A,A,11516,False,True,False,0001022671-26-000122,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000122/0001022671-26-000122.txt
Seaman Bradley S,,2026-06-01,2026-06-01,712,0.0,0.0,A,A,51491,False,True,False,0001022671-26-000127,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000127/0001022671-26-000127.txt
Hamann Jennifer L,,2026-06-01,2026-06-01,712,0.0,0.0,A,A,5286,False,True,False,0001022671-26-000126,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000126/0001022671-26-000126.txt
DOLAN TRACI M,,2026-06-01,2026-06-01,712,0.0,0.0,A,A,58868,False,True,False,0001022671-26-000125,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000125/0001022671-26-000125.txt
Cornew Kenneth W.,,2026-06-01,2026-06-01,712,0.0,0.0,A,A,32011,False,True,False,0001022671-26-000124,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000124/0001022671-26-000124.txt
BARGABOS SHEREE L,,2026-06-01,2026-06-01,712,0.0,0.0,A,A,27062,False,True,False,0001022671-26-000123,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000123/0001022671-26-000123.txt
Poinsatte Richard A,Senior Vice President,2026-05-14,2026-05-15,200,0.0,0.0,D,G,28418,False,False,True,0001022671-26-000113,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000113/0001022671-26-000113.txt
Graham Christopher A,Senior Vice President,2026-05-13,2026-05-15,2999,236.52,709323.48,D,S,74748,False,False,True,0001022671-26-000115,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000115/0001022671-26-000115.txt
Graham Christopher A,Senior Vice President,2026-05-13,2026-05-15,3000,237.01,711030.0,D,S,71748,False,False,True,0001022671-26-000115,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000115/0001022671-26-000115.txt
