insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
WILSON ALAN D,,2026-06-10,2026-06-12,721,0.0,0.0,A,A,66906,False,True,False,0001628280-26-042710,https://www.sec.gov/Archives/edgar/data/2005951/000162828026042710/0001628280-26-042710.txt
Sellier Laurent,See remarks,2026-06-10,2026-06-12,150,0.0,0.0,A,A,138641,False,False,True,0001628280-26-042721,https://www.sec.gov/Archives/edgar/data/2005951/000162828026042721/0001628280-26-042721.txt
SMURFIT ANTHONY P J,President and Group CEO,2026-06-10,2026-06-12,521,0.0,0.0,A,A,1727724,False,True,True,0001628280-26-042718,https://www.sec.gov/Archives/edgar/data/2005951/000162828026042718/0001628280-26-042718.txt
Rasmussen Jorgen Buhl,,2026-06-10,2026-06-12,51,0.0,0.0,A,A,14742,False,True,False,0001628280-26-042714,https://www.sec.gov/Archives/edgar/data/2005951/000162828026042714/0001628280-26-042714.txt
Page Irene,Chief Accounting Officer,2026-06-10,2026-06-12,25,0.0,0.0,A,A,62735,False,False,True,0001628280-26-042716,https://www.sec.gov/Archives/edgar/data/2005951/000162828026042716/0001628280-26-042716.txt
Mayer Saverio,See remarks,2026-06-10,2026-06-12,127,0.0,0.0,A,A,241370,False,False,True,0001628280-26-042722,https://www.sec.gov/Archives/edgar/data/2005951/000162828026042722/0001628280-26-042722.txt
Hietala Kaisa,,2026-06-10,2026-06-12,51,0.0,0.0,A,A,10067,False,True,False,0001628280-26-042708,https://www.sec.gov/Archives/edgar/data/2005951/000162828026042708/0001628280-26-042708.txt
Henao Alvaro,See remarks,2026-06-10,2026-06-12,38,0.0,0.0,A,A,72769,False,False,True,0001628280-26-042723,https://www.sec.gov/Archives/edgar/data/2005951/000162828026042723/0001628280-26-042723.txt
Harrison Suzan F.,,2026-06-10,2026-06-12,51,0.0,0.0,A,A,28006,False,True,False,0001628280-26-042713,https://www.sec.gov/Archives/edgar/data/2005951/000162828026042713/0001628280-26-042713.txt
Garren Ben,See remarks,2026-06-10,2026-06-12,60,0.0,0.0,A,A,14869,False,False,True,0001628280-26-042724,https://www.sec.gov/Archives/edgar/data/2005951/000162828026042724/0001628280-26-042724.txt
Finan Irial,,2026-06-10,2026-06-12,80,0.0,0.0,A,A,58898,False,True,False,0001628280-26-042726,https://www.sec.gov/Archives/edgar/data/2005951/000162828026042726/0001628280-26-042726.txt
FergusonMchugh MaryLynn,,2026-06-10,2026-06-12,51,0.0,0.0,A,A,8596,False,True,False,0001628280-26-042719,https://www.sec.gov/Archives/edgar/data/2005951/000162828026042719/0001628280-26-042719.txt
Fairweather Carol,,2026-06-10,2026-06-12,51,0.0,0.0,A,A,11596,False,True,False,0001628280-26-042711,https://www.sec.gov/Archives/edgar/data/2005951/000162828026042711/0001628280-26-042711.txt
Brown Carole Lynnette,,2026-06-10,2026-06-12,51,0.0,0.0,A,A,6788,False,True,False,0001628280-26-042712,https://www.sec.gov/Archives/edgar/data/2005951/000162828026042712/0001628280-26-042712.txt
Bowles Ken,Executive VP and Group CFO,2026-06-10,2026-06-12,150,0.0,0.0,A,A,174113,False,True,True,0001628280-26-042717,https://www.sec.gov/Archives/edgar/data/2005951/000162828026042717/0001628280-26-042717.txt
BERNLOHR TIMOTHY J,,2026-06-10,2026-06-12,51,0.0,0.0,A,A,57571,False,True,False,0001628280-26-042709,https://www.sec.gov/Archives/edgar/data/2005951/000162828026042709/0001628280-26-042709.txt
Arnold Colleen F.,,2026-06-10,2026-06-12,367,0.0,0.0,A,A,36278,False,True,False,0001628280-26-042715,https://www.sec.gov/Archives/edgar/data/2005951/000162828026042715/0001628280-26-042715.txt
Sellier Laurent,See remarks,2026-05-15,2026-05-19,303,0.0,0.0,A,A,138491,False,False,True,0001628280-26-036201,https://www.sec.gov/Archives/edgar/data/2005951/000162828026036201/0001628280-26-036201.txt
SMURFIT ANTHONY P J,President and Group CEO,2026-05-15,2026-05-19,1018,0.0,0.0,A,A,1727203,False,True,True,0001628280-26-036205,https://www.sec.gov/Archives/edgar/data/2005951/000162828026036205/0001628280-26-036205.txt
Page Irene,Chief Accounting Officer,2026-05-15,2026-05-19,38,0.0,0.0,A,A,62710,False,False,True,0001628280-26-036206,https://www.sec.gov/Archives/edgar/data/2005951/000162828026036206/0001628280-26-036206.txt
Mayer Saverio,See remarks,2026-05-15,2026-05-19,253,0.0,0.0,A,A,241243,False,False,True,0001628280-26-036202,https://www.sec.gov/Archives/edgar/data/2005951/000162828026036202/0001628280-26-036202.txt
Henao Alvaro,See remarks,2026-05-15,2026-05-19,87,0.0,0.0,A,A,72731,False,False,True,0001628280-26-036203,https://www.sec.gov/Archives/edgar/data/2005951/000162828026036203/0001628280-26-036203.txt
Garren Ben,See remarks,2026-05-15,2026-05-19,92,0.0,0.0,A,A,14809,False,False,True,0001628280-26-036204,https://www.sec.gov/Archives/edgar/data/2005951/000162828026036204/0001628280-26-036204.txt
Bowles Ken,Executive VP and Group CFO,2026-05-15,2026-05-19,303,0.0,0.0,A,A,173963,False,True,True,0001628280-26-036200,https://www.sec.gov/Archives/edgar/data/2005951/000162828026036200/0001628280-26-036200.txt
WILSON ALAN D,,2026-05-01,2026-05-05,4438,0.0,0.0,A,A,68308,False,True,False,0001628280-26-030310,https://www.sec.gov/Archives/edgar/data/2005951/000162828026030310/0001628280-26-030310.txt
WILSON ALAN D,,2026-05-01,2026-05-05,2123,38.39,81501.97,D,F,66185,False,True,False,0001628280-26-030310,https://www.sec.gov/Archives/edgar/data/2005951/000162828026030310/0001628280-26-030310.txt
Rasmussen Jorgen Buhl,,2026-05-01,2026-05-05,4438,0.0,0.0,A,A,16814,False,True,False,0001628280-26-030309,https://www.sec.gov/Archives/edgar/data/2005951/000162828026030309/0001628280-26-030309.txt
Rasmussen Jorgen Buhl,,2026-05-01,2026-05-05,2123,38.39,81501.97,D,F,14691,False,True,False,0001628280-26-030309,https://www.sec.gov/Archives/edgar/data/2005951/000162828026030309/0001628280-26-030309.txt
Melgar Lourdes,,2026-05-01,2026-05-05,2123,38.39,81501.97,D,F,4107,False,True,False,0001628280-26-030306,https://www.sec.gov/Archives/edgar/data/2005951/000162828026030306/0001628280-26-030306.txt
Hietala Kaisa,,2026-05-01,2026-05-05,4438,0.0,0.0,A,A,12139,False,True,False,0001628280-26-030308,https://www.sec.gov/Archives/edgar/data/2005951/000162828026030308/0001628280-26-030308.txt
Hietala Kaisa,,2026-05-01,2026-05-05,2123,38.39,81501.97,D,F,10016,False,True,False,0001628280-26-030308,https://www.sec.gov/Archives/edgar/data/2005951/000162828026030308/0001628280-26-030308.txt
Harrison Suzan F.,,2026-05-01,2026-05-05,4438,0.0,0.0,A,A,30078,False,True,False,0001628280-26-030307,https://www.sec.gov/Archives/edgar/data/2005951/000162828026030307/0001628280-26-030307.txt
Harrison Suzan F.,,2026-05-01,2026-05-05,2123,38.39,81501.97,D,F,27955,False,True,False,0001628280-26-030307,https://www.sec.gov/Archives/edgar/data/2005951/000162828026030307/0001628280-26-030307.txt
