insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
McGee Grant B,Executive Officer,2026-06-30,2026-07-01,4127,0.0,0.0,A,A,4127,False,False,True,0002010725-26-000006,https://www.sec.gov/Archives/edgar/data/27419/000201072526000006/0002010725-26-000006.txt
McGee Grant B,Executive Officer,2026-06-30,2026-07-01,15282,0.0,0.0,A,A,19409,False,False,True,0002010725-26-000006,https://www.sec.gov/Archives/edgar/data/27419/000201072526000006/0002010725-26-000006.txt
ROATH LISA R,Executive Officer,2026-06-29,2026-06-30,7000,138.07,966490.0,D,S,35465,False,False,True,0002110401-26-000016,https://www.sec.gov/Archives/edgar/data/27419/000211040126000016/0002110401-26-000016.txt
SYLVESTER CARA A,Executive Officer,2026-05-29,2026-06-01,10000,125.8905,1258905.0,D,S,45930,False,False,True,0001846662-26-000007,https://www.sec.gov/Archives/edgar/data/27419/000184666226000007/0001846662-26-000007.txt
Cornell Brian C,Executive Officer,2026-05-27,2026-05-28,49000,129.8383,6362076.7,D,S,194270,False,True,True,0001288709-26-000010,https://www.sec.gov/Archives/edgar/data/27419/000128870926000010/0001288709-26-000010.txt
Cornell Brian C,Executive Officer,2026-05-27,2026-05-28,1000,130.5459,130545.9,D,S,193270,False,True,True,0001288709-26-000010,https://www.sec.gov/Archives/edgar/data/27419/000128870926000010/0001288709-26-000010.txt
Vemana Pratabkumar,Executive Officer,2026-04-07,2026-04-09,3634,0.0,0.0,A,A,51686,False,False,True,0001854365-26-000008,https://www.sec.gov/Archives/edgar/data/27419/000185436526000008/0001854365-26-000008.txt
Vemana Pratabkumar,Executive Officer,2026-04-07,2026-04-09,1166,120.76,140806.16,D,F,50520,False,False,True,0001854365-26-000008,https://www.sec.gov/Archives/edgar/data/27419/000185436526000008/0001854365-26-000008.txt
SYLVESTER CARA A,Executive Officer,2026-04-07,2026-04-09,5809,0.0,0.0,A,A,57913,False,False,True,0001846662-26-000005,https://www.sec.gov/Archives/edgar/data/27419/000184666226000005/0001846662-26-000005.txt
SYLVESTER CARA A,Executive Officer,2026-04-07,2026-04-09,1983,120.76,239467.08,D,F,55930,False,False,True,0001846662-26-000005,https://www.sec.gov/Archives/edgar/data/27419/000184666226000005/0001846662-26-000005.txt
ROATH LISA R,Executive Officer,2026-04-07,2026-04-09,2443,0.0,0.0,A,A,42915,False,False,True,0002110401-26-000013,https://www.sec.gov/Archives/edgar/data/27419/000211040126000013/0002110401-26-000013.txt
ROATH LISA R,Executive Officer,2026-04-07,2026-04-09,751,120.76,90690.76,D,F,42164,False,False,True,0002110401-26-000013,https://www.sec.gov/Archives/edgar/data/27419/000211040126000013/0002110401-26-000013.txt
LIEGEL MATTHEW A,Chief Accounting Officer,2026-04-07,2026-04-09,1337,0.0,0.0,A,A,13480,False,False,True,0001921955-26-000010,https://www.sec.gov/Archives/edgar/data/27419/000192195526000010/0001921955-26-000010.txt
LIEGEL MATTHEW A,Chief Accounting Officer,2026-04-07,2026-04-09,411,120.76,49632.36,D,F,13069,False,False,True,0001921955-26-000010,https://www.sec.gov/Archives/edgar/data/27419/000192195526000010/0001921955-26-000010.txt
Kremer Melissa K,Executive Officer,2026-04-07,2026-04-09,7259,0.0,0.0,A,A,75233,False,False,True,0001764843-26-000005,https://www.sec.gov/Archives/edgar/data/27419/000176484326000005/0001764843-26-000005.txt
Kremer Melissa K,Executive Officer,2026-04-07,2026-04-09,3088,120.76,372906.88,D,F,72145,False,False,True,0001764843-26-000005,https://www.sec.gov/Archives/edgar/data/27419/000176484326000005/0001764843-26-000005.txt
FIDDELKE MICHAEL J,Executive Officer,2026-04-07,2026-04-09,11250,0.0,0.0,A,A,129921,False,False,True,0001792920-26-000006,https://www.sec.gov/Archives/edgar/data/27419/000179292026000006/0001792920-26-000006.txt
FIDDELKE MICHAEL J,Executive Officer,2026-04-07,2026-04-09,5131,120.76,619619.56,D,F,124790,False,False,True,0001792920-26-000006,https://www.sec.gov/Archives/edgar/data/27419/000179292026000006/0001792920-26-000006.txt
Cornell Brian C,Executive Officer,2026-04-07,2026-04-09,50777,0.0,0.0,A,A,202020,False,True,True,0001288709-26-000007,https://www.sec.gov/Archives/edgar/data/27419/000128870926000007/0001288709-26-000007.txt
Cornell Brian C,Executive Officer,2026-04-07,2026-04-09,21697,120.76,2620129.72,D,F,180323,False,True,True,0001288709-26-000007,https://www.sec.gov/Archives/edgar/data/27419/000128870926000007/0001288709-26-000007.txt
Bratspies Stephen B,,2026-04-01,2026-04-03,1791,0.0,0.0,A,A,1791,False,True,False,0001818305-26-000004,https://www.sec.gov/Archives/edgar/data/27419/000181830526000004/0001818305-26-000004.txt
