insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Kahn Todd,"CEO and Brand President, Coach",2026-05-26,2026-05-27,57286,42.31,2423770.66,A,M,142815,False,False,True,0001225208-26-005608,https://www.sec.gov/Archives/edgar/data/1116132/000122520826005608/0001225208-26-005608.txt
Kahn Todd,"CEO and Brand President, Coach",2026-05-26,2026-05-27,19557,140.02,2738371.14,D,S,123258,False,False,True,0001225208-26-005608,https://www.sec.gov/Archives/edgar/data/1116132/000122520826005608/0001225208-26-005608.txt
Kahn Todd,"CEO and Brand President, Coach",2026-05-26,2026-05-27,37729,140.02,5282814.58,D,F,85529,False,False,True,0001225208-26-005608,https://www.sec.gov/Archives/edgar/data/1116132/000122520826005608/0001225208-26-005608.txt
Kahn Todd,"CEO and Brand President, Coach",2026-05-20,2026-05-21,426,0.0,0.0,D,G,86529,False,False,True,0001225208-26-005535,https://www.sec.gov/Archives/edgar/data/1116132/000122520826005535/0001225208-26-005535.txt
Kahn Todd,"CEO and Brand President, Coach",2026-05-20,2026-05-21,1000,0.0,0.0,D,G,85529,False,False,True,0001225208-26-005535,https://www.sec.gov/Archives/edgar/data/1116132/000122520826005535/0001225208-26-005535.txt
Crevoiserat Joanne C.,Chief Executive Officer,2026-05-13,2026-05-14,35770,20.97,750096.9,A,M,649919,True,False,True,0001225208-26-005318,https://www.sec.gov/Archives/edgar/data/1116132/000122520826005318/0001225208-26-005318.txt
Crevoiserat Joanne C.,Chief Executive Officer,2026-05-13,2026-05-14,30291,15.83,479506.53,A,M,680210,True,False,True,0001225208-26-005318,https://www.sec.gov/Archives/edgar/data/1116132/000122520826005318/0001225208-26-005318.txt
Crevoiserat Joanne C.,Chief Executive Officer,2026-05-13,2026-05-14,13047,132.9,1733946.3,D,S,667163,True,False,True,0001225208-26-005318,https://www.sec.gov/Archives/edgar/data/1116132/000122520826005318/0001225208-26-005318.txt
Crevoiserat Joanne C.,Chief Executive Officer,2026-05-13,2026-05-14,14729,132.88,1957189.52,D,S,652434,True,False,True,0001225208-26-005318,https://www.sec.gov/Archives/edgar/data/1116132/000122520826005318/0001225208-26-005318.txt
Crevoiserat Joanne C.,Chief Executive Officer,2026-05-13,2026-05-14,17244,132.9,2291727.6,D,F,635190,True,False,True,0001225208-26-005318,https://www.sec.gov/Archives/edgar/data/1116132/000122520826005318/0001225208-26-005318.txt
Crevoiserat Joanne C.,Chief Executive Officer,2026-05-13,2026-05-14,21041,132.88,2795928.08,D,F,614149,True,False,True,0001225208-26-005318,https://www.sec.gov/Archives/edgar/data/1116132/000122520826005318/0001225208-26-005318.txt
Madrigal Matthew,,2026-04-06,2026-04-06,1392,143.7,200030.4,A,A,1392,False,True,False,0001225208-26-004421,https://www.sec.gov/Archives/edgar/data/1116132/000122520826004421/0001225208-26-004421.txt
Dadlani Manesh,"VP, Controller and PAO",2026-03-03,2026-03-04,975,156.05,152148.75,D,S,17500,False,False,True,0001225208-26-003112,https://www.sec.gov/Archives/edgar/data/1116132/000122520826003112/0001225208-26-003112.txt
Crevoiserat Joanne C.,Chief Executive Officer,2026-02-18,2026-02-19,57286,42.31,2423770.66,A,M,670918,True,False,True,0001225208-26-002192,https://www.sec.gov/Archives/edgar/data/1116132/000122520826002192/0001225208-26-002192.txt
Crevoiserat Joanne C.,Chief Executive Officer,2026-02-18,2026-02-19,35770,20.97,750096.9,A,M,706688,True,False,True,0001225208-26-002192,https://www.sec.gov/Archives/edgar/data/1116132/000122520826002192/0001225208-26-002192.txt
Crevoiserat Joanne C.,Chief Executive Officer,2026-02-18,2026-02-19,30292,15.83,479522.36,A,M,736980,True,False,True,0001225208-26-002192,https://www.sec.gov/Archives/edgar/data/1116132/000122520826002192/0001225208-26-002192.txt
Crevoiserat Joanne C.,Chief Executive Officer,2026-02-18,2026-02-19,13300,154.79,2058707.0,D,S,723680,True,False,True,0001225208-26-002192,https://www.sec.gov/Archives/edgar/data/1116132/000122520826002192/0001225208-26-002192.txt
Crevoiserat Joanne C.,Chief Executive Officer,2026-02-18,2026-02-19,15123,154.78,2340737.94,D,S,708557,True,False,True,0001225208-26-002192,https://www.sec.gov/Archives/edgar/data/1116132/000122520826002192/0001225208-26-002192.txt
Crevoiserat Joanne C.,Chief Executive Officer,2026-02-18,2026-02-19,16992,154.79,2630191.68,D,F,691565,True,False,True,0001225208-26-002192,https://www.sec.gov/Archives/edgar/data/1116132/000122520826002192/0001225208-26-002192.txt
